pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,17.4,-31.85,-63.001,-11.34,-13.68,-44.277,-84.692,4.295,-14.711,0.2791,swarm_318_15.pdb
top_2_A,A,top_2_B,B,12.06,-16.29,-39.83,190.58,133.61,-45.423,188.069,18.883,-13.866,0.0848,swarm_162_89.pdb
top_3_A,A,top_3_B,B,9.8,-31.47,-54.976,-33.87,10.17,-48.097,-72.797,-23.028,-5.424,-0.0389,swarm_100_192.pdb
top_4_A,A,top_4_B,B,7.68,-21.13,-46.42,-23.08,-5.2,-30.297,-71.005,-0.573,-4.567,0.0567,swarm_329_32.pdb
top_5_A,A,top_5_B,B,14.94,-22.5,-49.298,16.97,35.34,-57.281,-39.694,-18.681,-3.448,0.0261,swarm_342_90.pdb
top_6_A,A,top_6_B,B,9.68,-14.87,-43.568,-2.34,20.07,-20.939,-75.473,37.233,-6.009,0.0295,swarm_154_74.pdb
top_7_A,A,top_7_B,B,7.46,-22.71,-46.088,-31.89,-26.25,-38.092,-93.97,-21.317,-2.609,0.0224,swarm_56_162.pdb
top_8_A,A,top_8_B,B,15.3,-24.03,-51.025,75.38,22.67,-35.96,-107.636,26.645,-5.6,0.2639,swarm_100_16.pdb
top_9_A,A,top_9_B,B,12.28,-19.92,-50.807,-37.58,20.83,-17.512,-109.318,29.361,-9.018,-0.1137,swarm_96_100.pdb
top_10_A,A,top_10_B,B,7.54,-23.56,-41.995,-0.28,30.75,-25.581,-81.068,-20.751,-4.415,-0.1819,swarm_82_67.pdb
top_11_A,A,top_11_B,B,3.36,-17.04,-37.107,-6.76,23.74,-36.631,-75.018,-26.171,-3.578,-0.2189,swarm_97_166.pdb
top_12_A,A,top_12_B,B,19.64,-30.74,-62.943,43.68,62.05,-46.513,-55.219,16.539,-13.23,0.2707,swarm_318_48.pdb
top_13_A,A,top_13_B,B,6.7,-24.61,-42.089,-76.23,-19.73,-27.605,-69.945,-16.405,-4.922,-0.2702,swarm_56_12.pdb
top_14_A,A,top_14_B,B,7.76,-21.25,-48.9,8.64,13.0,-27.205,-108.722,24.423,-8.912,0.0677,swarm_100_131.pdb
top_15_A,A,top_15_B,B,5.4,-17.77,-39.844,-4.96,1.42,-39.084,-59.449,-11.793,-6.681,-0.119,swarm_23_105.pdb
top_16_A,A,top_16_B,B,2.9,-15.05,-37.682,-49.24,-17.38,-37.469,-58.558,-23.699,1.173,-0.2601,swarm_144_153.pdb
top_17_A,A,top_17_B,B,12.22,-24.73,-50.298,12.44,26.98,-3.124,-63.455,29.951,-6.321,-0.1219,swarm_182_54.pdb
top_18_A,A,top_18_B,B,3.18,-19.63,-41.184,-18.22,-13.83,-45.157,-58.795,-27.547,0.223,-0.3301,swarm_33_82.pdb
top_19_A,A,top_19_B,B,10.16,-25.31,-41.406,6.72,14.37,-31.274,-40.62,-16.078,-8.531,-0.0429,swarm_319_36.pdb
top_20_A,A,top_20_B,B,12.98,-21.57,-53.974,-29.17,-12.4,-31.541,-113.569,21.206,-6.587,0.0385,swarm_99_88.pdb
top_21_A,A,top_21_B,B,16.12,-13.95,-39.183,18.38,30.92,-31.502,-59.01,17.871,-12.322,-0.0141,swarm_182_119.pdb
top_22_A,A,top_22_B,B,14.14,-20.93,-51.039,42.79,46.48,-25.904,-64.114,40.507,-9.615,0.261,swarm_318_117.pdb
top_23_A,A,top_23_B,B,10.02,-21.44,-47.527,-12.65,1.56,-37.878,-100.92,11.286,-9.005,-0.2536,swarm_322_115.pdb
top_24_A,A,top_24_B,B,13.9,-20.07,-43.617,-37.31,16.98,-39.675,-87.765,-1.931,-5.073,-0.1252,swarm_345_21.pdb
top_25_A,A,top_25_B,B,17.58,-17.6,-40.82,-8.33,-0.84,-30.198,-27.876,16.327,-10.291,-0.1104,swarm_183_30.pdb
top_26_A,A,top_26_B,B,13.62,-23.1,-44.425,-55.89,-5.12,-23.411,-81.361,10.999,-6.904,-0.0703,swarm_322_158.pdb
top_27_A,A,top_27_B,B,14.86,-20.05,-42.387,-26.61,2.44,-30.328,-93.583,6.94,-5.648,-0.3133,swarm_215_61.pdb
