pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,7.54,-35.09,-50.764,-56.09,-30.25,-18.459,-109.443,-10.523,-5.714,-0.2962,swarm_211_191.pdb
top_2_A,A,top_2_B,B,4.72,-32.56,-49.314,-17.15,-11.43,-10.554,-53.342,12.77,-8.786,0.007,swarm_96_76.pdb
top_3_A,A,top_3_B,B,9.64,-27.7,-50.206,32.79,96.15,-1.626,-15.893,28.08,-8.733,0.3269,swarm_78_67.pdb
top_4_A,A,top_4_B,B,11.32,-26.72,-47.883,-21.72,-23.0,-22.841,-84.456,2.779,-9.279,0.1365,swarm_224_52.pdb
top_5_A,A,top_5_B,B,2.94,-29.1,-48.383,-86.66,-19.19,-17.839,-96.777,-8.998,-5.307,-0.0317,swarm_345_181.pdb
top_6_A,A,top_6_B,B,12.84,-18.97,-46.97,178.45,160.59,-31.48,175.039,14.761,-11.006,0.6574,swarm_206_52.pdb
top_7_A,A,top_7_B,B,16.34,-23.17,-44.753,78.46,64.83,-26.601,-85.445,-1.823,-7.349,0.0635,swarm_310_47.pdb
top_8_A,A,top_8_B,B,11.34,-25.62,-47.633,40.6,57.72,2.106,-66.063,14.417,-8.984,0.0505,swarm_67_72.pdb
top_9_A,A,top_9_B,B,9.18,-22.04,-43.233,-26.15,14.09,-9.129,-66.301,5.15,-4.497,0.1107,swarm_331_27.pdb
top_10_A,A,top_10_B,B,13.76,-27.72,-47.869,3.2,33.99,-6.381,-12.648,29.432,-11.066,-0.0478,swarm_96_31.pdb
top_11_A,A,top_11_B,B,10.84,-24.44,-45.015,62.31,77.86,-13.804,2.557,22.622,-5.844,-0.0745,swarm_206_2.pdb
top_12_A,A,top_12_B,B,9.78,-22.44,-45.085,30.77,18.68,-1.654,-81.008,25.966,-10.992,0.0002,swarm_173_123.pdb
top_13_A,A,top_13_B,B,11.56,-17.82,-40.234,-12.12,9.59,-5.389,-88.661,34.053,-10.954,0.1076,swarm_134_71.pdb
top_14_A,A,top_14_B,B,14.28,-21.9,-46.48,116.39,72.15,0.973,17.876,36.624,-13.201,0.0581,swarm_328_184.pdb
top_15_A,A,top_15_B,B,12.06,-22.56,-45.23,-0.72,42.78,-6.682,-57.544,28.148,-10.484,-0.0136,swarm_357_24.pdb
top_16_A,A,top_16_B,B,4.44,-23.67,-39.125,-29.88,12.25,-17.395,-61.515,2.918,-7.881,-0.1487,swarm_224_55.pdb
top_17_A,A,top_17_B,B,7.58,-19.11,-41.563,-23.34,-3.74,-23.465,-84.839,3.239,-9.723,-0.1191,swarm_41_2.pdb
top_18_A,A,top_18_B,B,10.68,-21.79,-43.19,-18.66,27.05,3.878,-65.312,40.468,-11.475,-0.0586,swarm_134_82.pdb
top_19_A,A,top_19_B,B,8.52,-28.21,-48.458,-29.42,25.33,-10.29,-39.777,12.048,-8.047,-0.002,swarm_78_127.pdb
top_20_A,A,top_20_B,B,2.4,-27.91,-44.637,-24.82,15.78,-17.827,-61.665,-1.845,-2.503,0.0579,swarm_67_158.pdb
top_21_A,A,top_21_B,B,6.82,-23.39,-42.296,-15.55,20.93,-12.997,-71.134,10.249,-8.822,-0.1397,swarm_173_68.pdb
top_22_A,A,top_22_B,B,9.58,-22.6,-44.434,10.69,40.65,-0.781,-67.31,12.884,-10.206,-0.0026,swarm_100_20.pdb
top_23_A,A,top_23_B,B,3.88,-22.42,-38.407,-16.15,2.26,-11.757,-58.874,1.217,-5.217,-0.2638,swarm_28_199.pdb
top_24_A,A,top_24_B,B,7.88,-20.94,-43.818,69.06,78.92,-2.501,0.63,23.558,-7.681,-0.086,swarm_207_39.pdb
top_25_A,A,top_25_B,B,8.82,-23.71,-40.876,108.98,85.31,-2.68,12.522,29.922,-8.692,0.2577,swarm_260_170.pdb
top_26_A,A,top_26_B,B,9.46,-21.63,-41.896,52.04,51.83,-14.757,16.865,10.293,-7.441,-0.0947,swarm_272_143.pdb
top_27_A,A,top_27_B,B,9.42,-7.87,-36.41,398.25,316.44,-14.232,420.564,55.891,-14.492,1.2345,swarm_211_115.pdb
top_28_A,A,top_28_B,B,6.6,-20.69,-39.748,101.21,86.29,-6.617,114.098,28.463,-8.234,0.2865,swarm_211_167.pdb
top_29_A,A,top_29_B,B,7.08,-20.97,-40.839,49.07,39.54,-15.521,-13.544,21.09,-4.214,-0.0558,swarm_1_197.pdb
top_30_A,A,top_30_B,B,11.04,-24.37,-44.506,28.73,50.61,-19.404,-21.04,-1.915,-6.184,0.113,swarm_51_169.pdb
top_31_A,A,top_31_B,B,15.4,-19.79,-43.78,72.49,90.94,0.316,22.838,32.218,-9.953,0.0212,swarm_211_17.pdb
top_32_A,A,top_32_B,B,11.54,-20.1,-45.255,-6.53,18.95,-18.098,-69.776,6.219,-7.095,-0.1155,swarm_245_195.pdb
top_33_A,A,top_33_B,B,8.52,-18.7,-40.927,-0.25,32.95,-12.84,7.511,18.319,-7.41,0.3329,swarm_204_13.pdb
top_34_A,A,top_34_B,B,2.84,-14.71,-36.127,232.66,151.94,-14.861,110.061,26.061,-11.131,0.2093,swarm_245_62.pdb
top_35_A,A,top_35_B,B,8.44,-25.45,-46.443,23.56,29.24,-3.819,-7.094,22.276,-8.124,0.1669,swarm_67_55.pdb
top_36_A,A,top_36_B,B,11.12,-18.01,-38.532,40.67,58.97,-11.414,18.775,7.119,-8.382,-0.0883,swarm_245_93.pdb
top_37_A,A,top_37_B,B,16.12,-19.37,-41.246,65.06,66.27,-6.249,7.284,26.816,-12.384,0.0926,swarm_204_127.pdb
top_38_A,A,top_38_B,B,5.78,-16.76,-39.982,40.39,39.23,-18.684,34.438,23.365,-6.103,-0.0682,swarm_45_89.pdb
top_39_A,A,top_39_B,B,7.8,-22.75,-36.396,1.67,10.97,-5.377,-77.901,-0.817,-5.429,0.0164,swarm_206_193.pdb
top_40_A,A,top_40_B,B,8.0,-18.68,-41.357,35.2,26.42,-1.833,-50.59,24.634,-10.591,0.0633,swarm_211_52.pdb
top_41_A,A,top_41_B,B,11.4,-23.1,-42.62,49.73,53.82,-21.862,85.723,3.351,-8.884,0.0649,swarm_45_114.pdb
top_42_A,A,top_42_B,B,3.74,-28.85,-43.71,14.66,6.84,-6.995,-88.317,-1.726,-3.196,-0.0838,swarm_55_6.pdb
top_43_A,A,top_43_B,B,4.14,-16.72,-42.07,10.16,44.46,1.396,16.994,31.9,-4.025,0.2651,swarm_96_22.pdb
top_44_A,A,top_44_B,B,5.8,-24.45,-39.845,11.87,13.55,-20.297,-59.08,-4.605,-7.508,-0.0965,swarm_310_35.pdb
top_45_A,A,top_45_B,B,9.54,-25.19,-40.57,49.68,57.47,-23.447,16.588,-4.089,-5.148,0.0279,swarm_304_141.pdb
top_46_A,A,top_46_B,B,7.24,-27.09,-45.372,44.02,49.1,-10.94,-42.54,6.171,-7.199,-0.1511,swarm_274_31.pdb
top_47_A,A,top_47_B,B,13.6,-19.29,-40.104,44.52,23.74,-3.147,62.738,31.037,-8.851,-0.1447,swarm_245_41.pdb
top_48_A,A,top_48_B,B,11.12,-17.29,-35.968,6.89,37.06,-24.04,-21.959,6.242,-7.126,-0.0092,swarm_245_154.pdb
top_49_A,A,top_49_B,B,9.5,-23.18,-38.967,-12.52,11.84,-5.149,-50.491,-3.923,-7.132,0.0391,swarm_55_171.pdb
top_50_A,A,top_50_B,B,7.74,-15.82,-36.811,-6.79,-7.24,-12.483,-64.499,5.473,-3.987,0.0473,swarm_182_198.pdb
top_51_A,A,top_51_B,B,3.54,-18.44,-40.211,50.54,63.22,-26.382,51.609,0.797,-9.323,0.0307,swarm_8_87.pdb
top_52_A,A,top_52_B,B,12.98,-19.39,-41.339,46.68,55.02,-23.241,12.316,10.324,-10.69,0.1223,swarm_310_103.pdb
top_53_A,A,top_53_B,B,5.32,-23.9,-36.8,4.95,-9.25,-3.62,-35.159,7.624,-2.622,-0.0286,swarm_331_32.pdb
top_54_A,A,top_54_B,B,8.72,-23.81,-47.168,61.33,67.59,0.018,7.659,21.173,-5.944,-0.1251,swarm_345_73.pdb
top_55_A,A,top_55_B,B,8.98,-12.95,-40.822,229.79,128.35,-19.578,247.81,32.241,-16.111,0.1894,swarm_207_90.pdb
top_56_A,A,top_56_B,B,6.02,-18.33,-35.333,-23.56,5.41,-14.286,-67.59,13.466,-2.744,-0.087,swarm_45_121.pdb
top_57_A,A,top_57_B,B,6.18,-22.29,-39.254,14.34,30.04,-20.583,-1.477,-1.732,-5.274,-0.1369,swarm_245_77.pdb
top_58_A,A,top_58_B,B,11.62,-17.72,-38.044,23.5,50.04,-8.704,-11.401,17.39,-6.92,0.1278,swarm_262_4.pdb
top_59_A,A,top_59_B,B,-1.0,-21.12,-34.418,-16.77,16.0,1.9,-43.618,1.767,3.815,-0.189,swarm_370_72.pdb
top_60_A,A,top_60_B,B,10.32,-22.68,-37.434,-6.92,-13.1,-30.229,-72.923,-14.977,-1.881,-0.3459,swarm_304_155.pdb
top_61_A,A,top_61_B,B,2.72,-20.28,-37.363,-2.02,10.58,-7.471,-38.748,9.731,-0.928,-0.2307,swarm_96_130.pdb
top_62_A,A,top_62_B,B,2.98,-19.94,-35.785,-7.13,-0.92,-7.25,-72.468,8.304,-4.261,-0.2004,swarm_262_195.pdb
top_63_A,A,top_63_B,B,14.22,-17.85,-42.198,42.06,28.09,-15.759,56.135,19.124,-11.881,0.0959,swarm_130_127.pdb
top_64_A,A,top_64_B,B,3.74,-21.47,-38.881,-23.05,-7.28,-7.715,-76.433,14.667,-2.803,-0.1677,swarm_78_0.pdb
top_65_A,A,top_65_B,B,4.02,-15.51,-31.239,9.42,17.39,-24.71,-0.162,-1.469,-4.83,-0.0134,swarm_381_11.pdb
top_66_A,A,top_66_B,B,9.76,-14.66,-39.393,165.7,122.35,-24.604,95.561,11.6,-5.096,-0.0442,swarm_224_199.pdb
top_67_A,A,top_67_B,B,8.36,-22.01,-38.682,7.65,34.13,-6.462,-61.422,10.345,-7.666,-0.0169,swarm_279_69.pdb
top_68_A,A,top_68_B,B,4.34,-17.32,-35.603,4.54,17.92,-12.219,-10.623,1.432,-1.352,0.1882,swarm_51_193.pdb
top_69_A,A,top_69_B,B,4.14,-23.59,-41.156,2.48,18.03,-20.003,-97.006,-8.245,-5.105,0.0061,swarm_211_117.pdb
top_70_A,A,top_70_B,B,1.04,-14.87,-33.282,-43.24,-0.51,-16.844,-32.154,4.017,1.977,-0.0844,swarm_248_55.pdb
top_71_A,A,top_71_B,B,8.42,-19.53,-40.229,37.6,36.55,-3.753,-0.467,22.73,-5.107,-0.121,swarm_328_13.pdb
top_72_A,A,top_72_B,B,9.22,-22.02,-43.139,-18.07,34.04,-21.506,15.89,4.991,-6.208,-0.1936,swarm_321_79.pdb
top_73_A,A,top_73_B,B,10.66,-21.61,-39.091,13.98,19.99,-19.522,-50.684,-10.466,-7.399,-0.0957,swarm_321_101.pdb
top_74_A,A,top_74_B,B,14.34,-26.42,-46.154,80.18,66.13,0.596,-52.254,29.476,-9.663,-0.0265,swarm_345_179.pdb
top_75_A,A,top_75_B,B,12.38,-15.96,-41.689,31.68,32.92,-28.895,22.766,15.631,-10.865,0.0094,swarm_338_9.pdb
top_76_A,A,top_76_B,B,5.38,-22.96,-37.147,60.71,55.82,5.651,1.696,36.336,-4.73,0.0733,swarm_211_57.pdb
top_77_A,A,top_77_B,B,9.58,-8.88,-34.295,315.3,246.0,2.064,375.223,64.503,-10.712,0.495,swarm_345_187.pdb
top_78_A,A,top_78_B,B,6.74,-23.39,-35.289,-6.08,-0.41,-13.241,-41.461,3.717,-8.979,0.0039,swarm_244_4.pdb
top_79_A,A,top_79_B,B,5.22,-22.12,-43.201,-31.7,9.1,-11.354,-86.126,7.056,-4.138,0.1424,swarm_204_46.pdb
top_80_A,A,top_80_B,B,4.64,-22.19,-32.775,-6.74,12.82,-10.393,-34.825,-2.274,-8.107,-0.0521,swarm_182_48.pdb
top_81_A,A,top_81_B,B,8.38,4.37,-27.446,474.59,330.84,-14.734,643.369,77.028,-15.658,0.5658,swarm_328_111.pdb
top_82_A,A,top_82_B,B,9.92,-19.99,-37.514,58.54,53.59,2.413,5.038,25.565,-8.499,0.1386,swarm_252_89.pdb
top_83_A,A,top_83_B,B,4.02,-15.89,-38.211,23.12,33.89,-5.336,-2.905,23.028,-2.438,-0.139,swarm_164_94.pdb
top_84_A,A,top_84_B,B,-0.56,-13.77,-27.922,27.28,10.95,-6.262,-10.145,-3.673,2.078,-0.0804,swarm_37_1.pdb
top_85_A,A,top_85_B,B,7.88,-18.67,-38.259,11.08,17.23,-23.995,-59.075,-3.045,-6.8,0.0504,swarm_182_199.pdb
top_86_A,A,top_86_B,B,9.7,-20.75,-32.181,-34.44,0.79,-14.67,-44.027,-1.578,-11.335,0.0492,swarm_23_161.pdb
top_87_A,A,top_87_B,B,0.64,-18.15,-33.354,-16.89,-17.71,-12.871,-50.82,-5.288,4.381,-0.2011,swarm_381_2.pdb
top_88_A,A,top_88_B,B,-2.86,-19.8,-29.995,-5.38,9.52,-5.162,-25.336,-7.16,4.437,-0.1441,swarm_137_24.pdb
top_89_A,A,top_89_B,B,7.7,-15.2,-34.144,-48.89,-5.73,-12.361,-82.052,8.688,-5.633,0.0118,swarm_345_184.pdb
top_90_A,A,top_90_B,B,4.92,-19.34,-36.46,-73.01,-1.09,-13.921,-33.97,0.749,-5.532,-0.1801,swarm_331_187.pdb
top_91_A,A,top_91_B,B,5.78,-17.26,-37.987,-58.78,-18.8,-20.866,-78.527,0.305,-6.637,0.0294,swarm_45_76.pdb
top_92_A,A,top_92_B,B,7.7,-14.71,-33.601,36.15,22.9,-21.994,-2.681,7.9,-5.342,-0.0614,swarm_207_176.pdb
top_93_A,A,top_93_B,B,11.1,-14.06,-34.913,80.21,81.75,-4.036,65.775,38.078,-8.799,0.3554,swarm_23_69.pdb
top_94_A,A,top_94_B,B,7.6,-19.84,-36.369,-5.75,39.28,0.733,-53.611,21.511,-6.613,-0.0444,swarm_345_6.pdb
top_95_A,A,top_95_B,B,10.02,-15.62,-32.864,42.89,45.03,-7.94,9.075,15.444,-7.308,0.0427,swarm_321_46.pdb
top_96_A,A,top_96_B,B,-1.92,-12.77,-29.695,-63.49,-7.24,-5.611,-29.989,-4.564,3.699,-0.0134,swarm_37_18.pdb
top_97_A,A,top_97_B,B,6.24,-16.07,-32.336,29.24,19.83,-18.524,1.135,13.815,-6.366,0.0374,swarm_8_25.pdb
top_98_A,A,top_98_B,B,7.84,-14.69,-30.75,16.12,23.23,-5.065,-27.108,2.629,-9.243,0.1322,swarm_131_84.pdb
top_99_A,A,top_99_B,B,8.78,-14.86,-29.636,10.63,25.4,-9.159,-11.807,19.708,-10.07,0.0727,swarm_340_30.pdb
top_100_A,A,top_100_B,B,7.62,-22.79,-43.731,25.57,37.3,-20.333,-2.575,11.223,-9.027,-0.0289,swarm_304_197.pdb
top_101_A,A,top_101_B,B,12.7,-19.38,-34.065,5.72,31.49,-3.224,-22.954,21.77,-8.064,-0.0164,swarm_352_181.pdb
top_102_A,A,top_102_B,B,3.82,-18.63,-33.312,-38.85,-5.72,-9.458,-45.776,18.723,-10.467,0.0765,swarm_86_162.pdb
top_103_A,A,top_103_B,B,12.32,-18.95,-40.989,80.88,78.29,-11.464,-51.884,17.958,-10.884,0.1508,swarm_189_179.pdb
top_104_A,A,top_104_B,B,9.0,-19.08,-36.531,-11.19,21.11,-0.349,8.809,34.737,-11.986,0.2273,swarm_115_104.pdb
top_105_A,A,top_105_B,B,10.58,-18.66,-32.99,9.71,22.53,7.033,-35.016,32.824,-6.892,0.3203,swarm_198_175.pdb
top_106_A,A,top_106_B,B,6.56,-17.02,-31.793,130.69,98.05,-3.799,23.275,9.504,-11.136,0.1417,swarm_146_53.pdb
top_107_A,A,top_107_B,B,8.18,-20.81,-31.623,-2.35,35.15,-8.87,-9.496,3.818,-6.831,-0.1299,swarm_315_188.pdb
top_108_A,A,top_108_B,B,-1.66,-13.85,-29.058,50.45,53.84,-13.662,117.19,-3.115,3.047,-0.1265,swarm_52_101.pdb
top_109_A,A,top_109_B,B,1.06,-18.22,-31.516,59.74,61.56,8.269,26.65,28.654,-6.14,0.0396,swarm_307_169.pdb
top_110_A,A,top_110_B,B,7.0,-25.43,-45.452,61.27,64.13,-1.333,-21.346,23.061,-6.584,0.3214,swarm_328_113.pdb
top_111_A,A,top_111_B,B,6.88,-11.11,-25.788,126.17,115.71,2.869,155.124,43.132,-10.704,0.1152,swarm_352_169.pdb
top_112_A,A,top_112_B,B,7.36,-21.54,-40.127,-9.85,42.35,-4.133,-20.181,19.344,-5.963,-0.079,swarm_204_87.pdb
