pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-1.18,-27.14,-36.6523,-17.4,25.21,-17.366,-2.492,-22.064,12.297,-0.1248,swarm_198_7.pdb
top_2_A,A,top_2_B,B,2.76,-24.87,-31.5636,-28.15,-21.33,-16.102,-59.108,-33.544,11.707,-0.1597,swarm_123_44.pdb
top_3_A,A,top_3_B,B,-1.58,-22.01,-29.9145,-62.62,-11.52,-20.97,-41.832,-28.707,8.634,-0.4542,swarm_123_156.pdb
top_4_A,A,top_4_B,B,4.78,-21.35,-30.8319,-11.44,1.17,-11.123,-59.815,-12.006,7.162,-0.2727,swarm_123_18.pdb
top_5_A,A,top_5_B,B,-4.26,-26.55,-30.546,-11.55,-5.8,-2.974,-27.201,2.403,5.633,-0.1477,swarm_0_20.pdb
top_6_A,A,top_6_B,B,-3.7,-22.62,-28.0776,-15.17,-8.54,-14.477,22.414,-7.549,8.383,-0.2814,swarm_84_110.pdb
top_7_A,A,top_7_B,B,-1.14,-22.41,-32.0115,-34.86,14.29,-14.177,-36.083,-16.951,-0.945,-0.3189,swarm_172_101.pdb
top_8_A,A,top_8_B,B,-0.84,-23.96,-31.0397,11.55,22.44,-12.535,27.928,-15.761,6.212,0.2614,swarm_166_35.pdb
top_9_A,A,top_9_B,B,-0.32,-16.15,-26.2237,13.13,1.14,-15.721,-12.338,-12.127,9.173,-0.2143,swarm_169_77.pdb
top_10_A,A,top_10_B,B,0.84,-23.34,-31.1469,-4.56,-6.62,-30.329,-39.928,-43.387,13.068,-0.0089,swarm_48_160.pdb
top_11_A,A,top_11_B,B,-6.9,-25.13,-29.1732,-64.95,-15.82,-7.377,-31.94,-18.594,9.464,-0.1321,swarm_60_24.pdb
top_12_A,A,top_12_B,B,-0.14,-21.8,-30.0467,-56.73,-11.5,-16.429,-51.984,-22.044,9.51,-0.1044,swarm_103_129.pdb
