pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,9.04,-32.2,-50.412,73.76,79.74,-38.811,69.351,-10.861,1.106,0.2176,swarm_433_8.pdb
top_2_A,A,top_2_B,B,0.94,-37.45,-52.653,-77.03,-27.0,-53.669,-57.063,-58.101,5.468,-0.1871,swarm_328_38.pdb
top_3_A,A,top_3_B,B,2.84,-33.98,-54.36,-95.12,-27.68,-32.424,-97.747,-26.123,7.025,-0.2031,swarm_343_161.pdb
top_4_A,A,top_4_B,B,2.68,-30.45,-46.534,-12.08,18.53,-48.263,-22.907,-49.833,5.076,-0.3759,swarm_43_175.pdb
top_5_A,A,top_5_B,B,4.34,-27.36,-45.738,30.47,20.75,-26.876,-22.162,-6.384,7.151,-0.1847,swarm_334_42.pdb
top_6_A,A,top_6_B,B,6.98,-8.58,-38.261,132.23,126.47,-9.324,206.841,39.334,1.06,0.2113,swarm_442_5.pdb
top_7_A,A,top_7_B,B,11.46,-27.56,-47.979,-29.2,6.76,-15.986,-67.085,-4.141,10.875,0.1316,swarm_368_90.pdb
top_8_A,A,top_8_B,B,6.98,-28.28,-45.53,-79.41,-46.72,-20.198,-73.556,-16.236,7.023,0.0138,swarm_368_56.pdb
top_9_A,A,top_9_B,B,3.58,-26.87,-42.428,10.42,7.38,-25.871,-57.435,-19.136,1.007,0.0762,swarm_76_143.pdb
top_10_A,A,top_10_B,B,4.82,-26.33,-43.048,-58.53,-18.46,-3.271,-23.545,-0.392,6.522,-0.0163,swarm_245_89.pdb
top_11_A,A,top_11_B,B,11.22,-23.78,-42.897,-29.2,-4.95,-22.423,-77.095,-12.371,3.276,-0.0058,swarm_343_3.pdb
top_12_A,A,top_12_B,B,3.66,-24.97,-40.794,15.84,22.79,-23.658,9.0,-3.136,5.457,0.2762,swarm_262_6.pdb
top_13_A,A,top_13_B,B,5.88,-22.68,-37.963,-7.35,-5.46,-24.622,-38.568,-13.686,-1.463,0.0187,swarm_388_100.pdb
top_14_A,A,top_14_B,B,9.08,-23.86,-42.422,-10.63,29.09,-21.867,-60.64,7.471,-1.853,0.1282,swarm_286_20.pdb
top_15_A,A,top_15_B,B,9.22,-22.65,-37.602,-50.29,-8.81,-21.01,-65.31,-9.946,1.342,-0.006,swarm_69_53.pdb
top_16_A,A,top_16_B,B,4.72,-27.12,-39.69,-15.26,0.99,-24.277,-0.856,-28.589,2.487,0.0337,swarm_370_143.pdb
top_17_A,A,top_17_B,B,0.24,-37.88,-63.344,70.35,45.64,-22.488,61.058,14.219,8.141,-0.162,swarm_262_63.pdb
top_18_A,A,top_18_B,B,7.3,-23.03,-42.398,-64.23,-55.82,-33.53,-43.723,-10.365,9.344,-0.2336,swarm_368_79.pdb
top_19_A,A,top_19_B,B,0.34,-28.61,-42.718,29.68,69.18,-17.986,2.858,-15.068,0.838,-0.11,swarm_46_177.pdb
top_20_A,A,top_20_B,B,0.82,-26.34,-40.892,-23.78,-7.72,-12.511,-68.535,-3.875,5.291,-0.0705,swarm_158_186.pdb
top_21_A,A,top_21_B,B,6.54,-24.48,-37.788,-77.93,-34.81,-26.162,-92.703,-7.159,-5.418,0.1408,swarm_183_131.pdb
top_22_A,A,top_22_B,B,3.88,-24.52,-43.966,26.35,42.37,-28.799,45.911,-11.87,1.148,-0.1038,swarm_343_25.pdb
top_23_A,A,top_23_B,B,1.06,-28.28,-37.257,23.39,40.76,-7.276,-6.406,5.624,-5.455,0.0572,swarm_280_109.pdb
top_24_A,A,top_24_B,B,0.72,-25.29,-40.027,44.87,24.9,-16.786,-16.17,-21.927,-1.682,-0.157,swarm_334_8.pdb
top_25_A,A,top_25_B,B,9.7,-27.64,-46.153,-24.02,14.76,-40.437,-47.62,-28.91,7.528,-0.0359,swarm_26_91.pdb
top_26_A,A,top_26_B,B,1.58,-17.07,-34.541,85.57,91.94,-12.284,158.028,12.485,5.663,0.3467,swarm_262_88.pdb
top_27_A,A,top_27_B,B,3.6,-26.36,-43.348,2.86,-11.96,-14.727,-72.676,-12.877,8.232,0.0041,swarm_411_63.pdb
top_28_A,A,top_28_B,B,-2.3,-25.83,-41.704,-92.08,-28.34,-32.451,-69.292,-34.505,10.82,-0.2293,swarm_324_135.pdb
top_29_A,A,top_29_B,B,4.34,-25.13,-37.969,-99.66,-77.9,-41.003,-83.47,-34.707,4.314,-0.2063,swarm_370_138.pdb
top_30_A,A,top_30_B,B,0.66,-23.69,-41.57,-17.75,-15.82,-22.748,-38.25,7.425,0.916,0.0843,swarm_421_93.pdb
top_31_A,A,top_31_B,B,-0.34,-23.21,-37.241,57.29,52.44,-20.607,112.013,-18.524,6.226,0.4169,swarm_131_97.pdb
top_32_A,A,top_32_B,B,6.36,-32.75,-47.397,-91.43,-23.43,-19.428,-86.158,-1.015,-0.801,0.1347,swarm_446_114.pdb
top_33_A,A,top_33_B,B,5.34,-28.75,-44.422,-54.49,-11.1,-41.43,-36.757,-25.57,2.959,-0.0291,swarm_66_29.pdb
top_34_A,A,top_34_B,B,5.02,-25.44,-40.128,-41.67,-4.61,-11.624,-57.292,-8.423,2.31,-0.1581,swarm_132_151.pdb
top_35_A,A,top_35_B,B,3.82,-24.98,-42.308,46.77,34.07,-25.164,57.183,-2.397,-1.259,0.026,swarm_331_77.pdb
top_36_A,A,top_36_B,B,7.7,-25.93,-44.389,5.56,7.1,-14.204,-8.645,5.607,-4.783,-0.0431,swarm_132_67.pdb
top_37_A,A,top_37_B,B,5.32,-30.37,-43.492,-50.8,-31.72,-35.073,-62.718,-27.172,5.612,-0.2173,swarm_317_91.pdb
top_38_A,A,top_38_B,B,4.18,-20.79,-43.166,-45.25,-27.23,-5.186,-65.722,18.181,3.968,0.0128,swarm_132_90.pdb
top_39_A,A,top_39_B,B,2.76,-26.8,-44.216,-42.7,-5.61,-33.791,-62.693,-23.101,4.829,-0.0162,swarm_71_7.pdb
top_40_A,A,top_40_B,B,10.96,-31.31,-45.76,-15.11,11.12,-12.619,-73.107,-6.495,1.601,0.1565,swarm_46_3.pdb
top_41_A,A,top_41_B,B,5.42,-20.49,-38.086,-9.79,27.08,-13.566,-70.92,5.748,-1.023,-0.0568,swarm_446_69.pdb
top_42_A,A,top_42_B,B,5.32,-20.09,-39.673,-42.56,-15.25,-12.928,-25.96,4.946,5.994,0.1276,swarm_334_25.pdb
top_43_A,A,top_43_B,B,5.14,-24.23,-39.616,-89.52,-32.6,-3.782,-65.561,-5.522,7.258,-0.0095,swarm_334_44.pdb
