pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,10.82,-29.05,-44.305,65.09,53.35,-29.465,-10.799,-1.928,-5.749,-0.2007,swarm_45_173.pdb
top_2_A,A,top_2_B,B,1.3,-30.34,-41.776,-57.97,-3.32,-38.376,-55.147,-36.053,3.951,-0.4533,swarm_206_134.pdb
top_3_A,A,top_3_B,B,-6.96,-24.46,-37.54,59.87,60.56,-43.752,61.392,-23.39,2.415,-0.1401,swarm_42_19.pdb
top_4_A,A,top_4_B,B,3.76,-24.35,-35.066,-10.21,9.54,-37.846,-8.562,-24.547,1.176,-0.2406,swarm_141_43.pdb
top_5_A,A,top_5_B,B,0.64,-29.57,-40.062,-97.03,-35.64,-37.457,-41.782,-38.097,3.366,-0.2534,swarm_25_138.pdb
top_6_A,A,top_6_B,B,3.5,-25.22,-36.392,-7.9,-2.45,-26.882,-31.27,-24.366,1.376,-0.0587,swarm_156_7.pdb
top_7_A,A,top_7_B,B,6.32,-31.9,-44.449,13.21,11.31,-43.942,-17.673,-28.866,-3.247,-0.2729,swarm_152_77.pdb
top_8_A,A,top_8_B,B,6.28,-30.77,-42.114,-49.24,-23.7,-44.37,-65.221,-34.587,-1.595,-0.4128,swarm_162_177.pdb
top_9_A,A,top_9_B,B,-3.08,-23.98,-36.304,-54.34,-3.46,-35.633,12.142,-28.784,3.092,-0.1523,swarm_156_134.pdb
top_10_A,A,top_10_B,B,0.14,-24.58,-35.868,-10.29,-3.92,-36.057,-29.9,-30.699,2.725,-0.3289,swarm_221_13.pdb
top_11_A,A,top_11_B,B,2.7,-29.38,-41.39,-49.09,-21.5,-35.807,-81.105,-22.081,-0.164,-0.3288,swarm_225_45.pdb
top_12_A,A,top_12_B,B,-0.82,-26.72,-39.73,-64.01,-20.12,-42.078,-44.546,-41.143,4.253,-0.4093,swarm_102_9.pdb
top_13_A,A,top_13_B,B,-6.86,-26.04,-37.963,-50.65,-12.61,-27.036,-25.697,-37.569,6.022,-0.2765,swarm_231_45.pdb
top_14_A,A,top_14_B,B,-1.36,-22.99,-34.614,-24.6,-10.57,-57.031,-11.031,-49.417,5.26,-0.4736,swarm_246_10.pdb
top_15_A,A,top_15_B,B,-1.62,-22.38,-34.929,42.38,50.0,-42.966,56.16,-22.019,1.942,-0.0215,swarm_233_162.pdb
top_16_A,A,top_16_B,B,-5.62,-23.8,-32.253,-39.71,-10.86,-35.348,14.464,-35.783,4.75,-0.3931,swarm_246_144.pdb
top_17_A,A,top_17_B,B,-2.92,-23.16,-34.738,-23.18,10.67,-29.113,12.542,-32.547,6.575,-0.2628,swarm_111_96.pdb
top_18_A,A,top_18_B,B,7.62,-23.26,-34.958,-3.02,3.85,-27.954,-34.833,-25.823,-1.546,-0.17,swarm_19_116.pdb
top_19_A,A,top_19_B,B,9.44,-19.94,-35.479,4.38,19.4,-23.396,-21.311,2.678,-10.771,-0.246,swarm_45_169.pdb
