pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,17.92,-56.2,-85.578,-13.54,7.51,-16.63,-186.817,11.941,-4.987,-0.2279,swarm_691_65.pdb
top_2_A,A,top_2_B,B,23.84,-44.03,-78.34,72.49,106.45,-15.524,-82.532,41.566,-3.891,0.1477,swarm_383_28.pdb
top_3_A,A,top_3_B,B,21.3,-43.92,-81.291,8.64,31.01,-9.924,-164.816,31.682,-4.666,0.286,swarm_770_173.pdb
top_4_A,A,top_4_B,B,17.72,-48.33,-81.909,-18.0,43.26,-24.753,-142.552,10.637,-1.876,-0.2246,swarm_722_80.pdb
top_5_A,A,top_5_B,B,19.04,-24.05,-74.31,32.79,36.64,-51.987,-109.604,18.635,-17.304,0.0399,swarm_362_61.pdb
top_6_A,A,top_6_B,B,21.5,-16.51,-70.312,38.08,59.06,-39.696,-111.975,28.219,-16.441,0.1201,swarm_24_185.pdb
top_7_A,A,top_7_B,B,20.26,-31.32,-68.489,166.17,129.52,-12.045,33.182,30.805,-7.066,0.064,swarm_515_76.pdb
top_8_A,A,top_8_B,B,27.56,-28.33,-79.997,-16.48,22.16,-66.027,-123.463,9.054,-22.914,-0.1376,swarm_7_30.pdb
top_9_A,A,top_9_B,B,20.3,-23.57,-70.882,181.86,127.87,-46.003,42.675,19.746,-4.735,0.152,swarm_339_145.pdb
top_10_A,A,top_10_B,B,14.36,-44.67,-79.72,8.46,18.92,-41.977,-90.251,-24.881,8.709,-0.3566,swarm_944_65.pdb
top_11_A,A,top_11_B,B,14.86,-49.05,-81.932,-99.45,-14.43,-50.637,-139.838,-17.138,-0.001,-0.3584,swarm_458_166.pdb
top_12_A,A,top_12_B,B,14.1,-41.93,-72.135,1.24,69.31,-21.185,-0.742,-12.638,11.6,-0.0261,swarm_568_140.pdb
top_13_A,A,top_13_B,B,4.56,-47.43,-79.014,15.14,64.94,-33.757,36.956,-13.095,7.558,0.0279,swarm_63_159.pdb
top_14_A,A,top_14_B,B,5.28,-37.22,-69.844,15.51,29.29,-7.824,-151.649,32.066,1.059,0.1779,swarm_24_177.pdb
top_15_A,A,top_15_B,B,7.82,-30.99,-64.884,53.3,72.03,-14.569,46.973,10.785,12.982,-0.0305,swarm_177_157.pdb
top_16_A,A,top_16_B,B,21.5,-27.84,-72.497,45.4,51.84,-54.499,-105.892,28.018,-15.79,-0.1723,swarm_53_157.pdb
top_17_A,A,top_17_B,B,18.26,-43.87,-85.741,148.0,120.86,-55.835,97.453,-28.559,3.828,-0.0812,swarm_364_156.pdb
top_18_A,A,top_18_B,B,19.06,-10.95,-62.362,244.01,186.2,-48.684,161.412,31.699,-23.733,0.295,swarm_80_89.pdb
top_19_A,A,top_19_B,B,23.42,-24.81,-71.207,76.64,84.98,-57.901,-85.076,5.138,-12.757,-0.2788,swarm_719_188.pdb
top_20_A,A,top_20_B,B,18.68,-23.76,-65.822,-1.69,33.69,-43.272,-125.613,22.818,-15.451,0.1337,swarm_117_24.pdb
top_21_A,A,top_21_B,B,12.38,-43.02,-69.768,42.82,49.2,-11.069,-129.208,7.236,-0.408,-0.213,swarm_722_49.pdb
top_22_A,A,top_22_B,B,10.9,-40.18,-78.155,-127.14,-39.23,-35.885,-78.745,-14.831,0.895,0.2403,swarm_227_140.pdb
top_23_A,A,top_23_B,B,7.9,-32.18,-64.68,-44.38,37.17,-22.437,-35.362,-1.698,3.598,-0.0252,swarm_357_22.pdb
top_24_A,A,top_24_B,B,22.52,-23.28,-76.168,24.82,68.09,-47.846,-133.208,26.278,-13.6,-0.0405,swarm_21_106.pdb
top_25_A,A,top_25_B,B,21.04,-34.41,-68.646,52.01,33.92,-20.59,-117.149,18.483,-4.966,0.1715,swarm_578_189.pdb
top_26_A,A,top_26_B,B,19.18,-38.31,-66.955,-109.44,-14.52,-6.815,-140.083,15.119,-0.416,0.3066,swarm_319_2.pdb
top_27_A,A,top_27_B,B,27.22,-18.92,-69.877,37.76,50.75,-35.859,-123.743,45.684,-21.437,0.0177,swarm_55_94.pdb
top_28_A,A,top_28_B,B,20.06,-23.09,-70.236,4.7,5.69,-57.039,-155.008,11.799,-13.274,0.0753,swarm_280_75.pdb
top_29_A,A,top_29_B,B,17.98,-19.65,-64.227,-71.3,-35.24,-46.339,-136.597,10.596,-13.17,-0.1417,swarm_91_54.pdb
top_30_A,A,top_30_B,B,19.74,-38.02,-78.551,130.24,104.09,-52.969,6.679,-15.236,-3.768,0.013,swarm_604_161.pdb
top_31_A,A,top_31_B,B,20.64,-21.18,-61.372,281.27,226.6,-65.914,190.396,-18.751,2.687,0.2137,swarm_739_65.pdb
top_32_A,A,top_32_B,B,23.8,-20.03,-67.839,145.02,172.09,-40.738,60.088,33.408,-18.959,0.7065,swarm_101_47.pdb
top_33_A,A,top_33_B,B,10.52,-32.52,-71.445,-48.78,1.72,-44.62,-51.513,-1.849,0.131,0.0741,swarm_940_104.pdb
top_34_A,A,top_34_B,B,0.96,-33.26,-63.632,61.23,81.2,-24.002,147.536,8.921,8.638,-0.1498,swarm_173_47.pdb
top_35_A,A,top_35_B,B,24.84,-23.35,-67.947,130.68,96.08,-56.642,7.819,15.697,-18.098,-0.0531,swarm_483_1.pdb
top_36_A,A,top_36_B,B,7.54,-19.21,-51.309,169.95,105.82,-24.637,142.513,24.58,6.421,0.0968,swarm_187_50.pdb
top_37_A,A,top_37_B,B,0.78,-43.46,-69.83,-61.62,-2.74,-24.78,-51.97,-25.153,18.187,-0.0748,swarm_713_136.pdb
top_38_A,A,top_38_B,B,25.84,-20.65,-68.365,-4.78,44.32,-40.647,-113.797,22.476,-15.743,0.357,swarm_490_82.pdb
top_39_A,A,top_39_B,B,17.12,-35.95,-71.385,42.88,58.56,-62.954,-132.507,-29.609,0.511,0.2566,swarm_771_141.pdb
top_40_A,A,top_40_B,B,12.1,-52.21,-86.653,145.48,162.49,-40.438,155.339,-21.022,26.604,-0.5745,swarm_69_79.pdb
top_41_A,A,top_41_B,B,8.66,-48.0,-81.861,29.23,25.36,-31.066,-75.487,-5.95,2.402,-0.1058,swarm_354_18.pdb
top_42_A,A,top_42_B,B,23.34,-22.31,-71.892,222.73,152.77,-63.574,27.74,23.534,-19.259,0.1198,swarm_179_68.pdb
top_43_A,A,top_43_B,B,8.42,-46.74,-73.79,-63.94,7.5,-20.073,-40.073,-5.838,14.07,0.0906,swarm_372_86.pdb
top_44_A,A,top_44_B,B,6.78,-33.83,-69.156,-62.63,-24.98,-25.989,-86.41,-2.741,1.231,-0.0517,swarm_339_64.pdb
top_45_A,A,top_45_B,B,18.34,-23.01,-67.794,80.25,84.81,-29.058,37.267,36.624,-11.31,-0.0173,swarm_734_47.pdb
top_46_A,A,top_46_B,B,17.36,-22.55,-64.484,7.1,35.29,-49.409,-106.794,3.239,-14.462,-0.0765,swarm_7_161.pdb
top_47_A,A,top_47_B,B,6.68,-27.77,-63.797,273.64,199.78,-28.523,328.88,8.749,10.872,-0.1006,swarm_382_50.pdb
top_48_A,A,top_48_B,B,2.76,-42.01,-66.743,-99.63,-55.91,-12.488,-71.557,-13.315,9.294,-0.2806,swarm_42_85.pdb
top_49_A,A,top_49_B,B,14.12,-39.59,-67.962,-30.29,-3.3,-34.251,-134.901,-17.388,7.643,-0.2111,swarm_63_59.pdb
top_50_A,A,top_50_B,B,22.9,-28.73,-76.061,-6.56,53.98,-54.474,-140.443,-1.003,-15.066,-0.0599,swarm_18_152.pdb
top_51_A,A,top_51_B,B,17.46,-27.36,-76.977,111.57,121.78,-69.624,-56.083,-4.095,-16.775,0.1511,swarm_455_189.pdb
top_52_A,A,top_52_B,B,24.94,-33.19,-77.259,-13.69,39.49,-57.81,-169.207,-20.384,-14.726,-0.1285,swarm_24_21.pdb
top_53_A,A,top_53_B,B,22.72,-28.84,-83.116,123.46,85.12,-38.59,-3.432,46.271,-8.831,-0.1207,swarm_156_103.pdb
top_54_A,A,top_54_B,B,3.1,-26.11,-56.478,141.9,116.34,-38.116,205.509,14.568,9.683,-0.1099,swarm_680_90.pdb
top_55_A,A,top_55_B,B,6.52,-28.08,-61.081,31.61,67.16,-26.845,63.413,9.123,5.591,0.1178,swarm_364_83.pdb
top_56_A,A,top_56_B,B,3.72,-36.43,-61.762,-44.67,12.99,-5.773,18.029,21.105,14.778,0.2405,swarm_521_35.pdb
