pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,2.58,-31.66,-50.36,-52.52,2.18,-21.039,-84.714,-18.39,2.89,-0.3522,swarm_232_134.pdb
top_2_A,A,top_2_B,B,-2.24,-27.46,-46.088,-59.6,7.46,-17.357,-57.604,-16.991,9.162,-0.2413,swarm_79_39.pdb
top_3_A,A,top_3_B,B,-4.08,-27.24,-45.051,-21.9,17.29,-17.317,-54.697,-14.866,4.443,-0.1356,swarm_293_90.pdb
top_4_A,A,top_4_B,B,4.8,-27.04,-45.276,8.89,37.52,-20.243,-43.611,-8.457,1.797,-0.1174,swarm_181_71.pdb
top_5_A,A,top_5_B,B,5.06,-26.59,-41.626,-27.76,-7.82,-13.672,-34.11,-9.22,8.912,-0.0078,swarm_113_163.pdb
top_6_A,A,top_6_B,B,9.74,-25.7,-44.952,-14.25,4.47,-11.46,-115.15,-7.269,3.515,0.1428,swarm_113_73.pdb
top_7_A,A,top_7_B,B,-7.38,-22.37,-39.492,-18.7,21.25,-16.558,-33.772,-18.579,4.946,-0.2739,swarm_153_11.pdb
top_8_A,A,top_8_B,B,1.3,-25.52,-48.148,13.9,37.68,-6.123,-39.974,-3.287,-3.626,-0.121,swarm_45_186.pdb
top_9_A,A,top_9_B,B,-4.66,-28.94,-40.311,-90.61,-13.58,-21.311,-51.043,-26.736,8.901,-0.3604,swarm_71_120.pdb
top_10_A,A,top_10_B,B,5.42,-28.18,-43.477,-2.49,-4.4,-7.924,-61.728,-6.928,1.528,-0.0868,swarm_92_145.pdb
top_11_A,A,top_11_B,B,7.2,-28.95,-42.605,102.65,113.08,-4.902,30.326,19.372,-6.103,0.1354,swarm_227_17.pdb
top_12_A,A,top_12_B,B,4.58,-26.24,-43.162,-59.9,-5.05,-17.265,-40.069,-8.059,4.632,-0.1345,swarm_267_158.pdb
top_13_A,A,top_13_B,B,-1.66,-22.69,-38.903,-10.61,12.8,-16.117,-42.478,-22.179,4.747,-0.1445,swarm_43_11.pdb
top_14_A,A,top_14_B,B,-9.16,-30.61,-48.283,20.45,51.51,-20.201,29.589,-20.54,10.024,-0.2573,swarm_111_74.pdb
top_15_A,A,top_15_B,B,3.34,-28.66,-44.148,-36.76,-5.16,-20.885,-64.665,-9.276,-4.866,-0.0688,swarm_165_57.pdb
top_16_A,A,top_16_B,B,-2.42,-29.86,-45.396,-93.06,-22.76,-10.707,-45.715,-15.093,7.987,-0.3299,swarm_215_146.pdb
top_17_A,A,top_17_B,B,-7.86,-25.8,-42.636,-44.95,-11.76,-15.667,-55.185,-21.618,5.397,-0.4526,swarm_30_119.pdb
top_18_A,A,top_18_B,B,-2.14,-21.67,-36.775,12.63,24.16,-6.428,-33.366,-10.486,8.885,0.1398,swarm_309_111.pdb
top_19_A,A,top_19_B,B,11.58,-25.66,-39.726,-27.93,24.92,-5.698,-74.288,13.457,-2.381,-0.1667,swarm_63_161.pdb
top_20_A,A,top_20_B,B,-1.58,-23.24,-36.683,8.35,25.52,-10.39,-4.42,-10.576,-3.775,-0.1583,swarm_153_74.pdb
top_21_A,A,top_21_B,B,-4.74,-22.8,-35.65,-39.79,6.66,1.525,-50.17,-5.889,1.221,-0.2467,swarm_92_18.pdb
top_22_A,A,top_22_B,B,4.08,-24.73,-41.602,4.63,-6.1,-12.918,-13.431,-0.051,3.875,-0.0214,swarm_327_132.pdb
top_23_A,A,top_23_B,B,11.96,-24.73,-39.621,35.39,54.05,-16.549,-48.695,0.118,-3.878,0.0221,swarm_56_70.pdb
top_24_A,A,top_24_B,B,-3.66,-23.43,-40.247,40.27,80.3,-12.824,25.285,-7.37,4.33,0.111,swarm_15_123.pdb
top_25_A,A,top_25_B,B,6.46,-26.26,-41.153,-31.66,10.72,-15.699,-59.899,0.261,-1.53,-0.2067,swarm_185_84.pdb
top_26_A,A,top_26_B,B,0.76,-24.58,-41.206,-7.35,6.95,-15.912,-24.589,-9.859,2.211,-0.3522,swarm_71_21.pdb
top_27_A,A,top_27_B,B,-0.56,-16.8,-34.25,13.49,36.23,-7.039,63.672,18.948,1.842,0.0186,swarm_48_20.pdb
top_28_A,A,top_28_B,B,-2.56,-19.91,-36.747,55.91,44.25,-17.268,60.99,-25.984,5.697,-0.1483,swarm_272_16.pdb
top_29_A,A,top_29_B,B,-4.66,-24.83,-36.615,-57.26,-15.59,-10.577,-42.577,-15.238,6.064,-0.4689,swarm_214_104.pdb
top_30_A,A,top_30_B,B,-7.72,-23.56,-35.588,-44.12,-4.78,-10.493,-36.382,-20.398,9.543,-0.1442,swarm_224_162.pdb
top_31_A,A,top_31_B,B,0.44,-29.07,-41.942,-53.08,8.37,-11.477,-0.475,-4.569,-1.766,0.0267,swarm_118_189.pdb
top_32_A,A,top_32_B,B,-6.22,-22.13,-38.508,-4.32,24.62,-19.472,-21.332,-32.069,11.33,-0.215,swarm_6_133.pdb
top_33_A,A,top_33_B,B,4.82,-23.89,-37.192,-86.44,-6.78,-16.483,-35.593,-7.781,-6.431,-0.1846,swarm_64_78.pdb
top_34_A,A,top_34_B,B,-6.0,-25.32,-41.898,6.2,44.05,-21.589,25.162,-32.239,10.906,0.0853,swarm_93_22.pdb
top_35_A,A,top_35_B,B,-0.78,-21.7,-36.571,-18.41,8.57,-10.146,33.262,-8.902,7.175,-0.2246,swarm_35_141.pdb
top_36_A,A,top_36_B,B,9.76,-27.62,-42.996,-27.62,39.6,-6.015,-52.56,10.528,5.822,-0.1179,swarm_137_196.pdb
top_37_A,A,top_37_B,B,-10.24,-17.65,-36.961,57.32,31.47,-15.775,89.978,-3.281,9.255,-0.0654,swarm_111_191.pdb
top_38_A,A,top_38_B,B,8.44,-26.37,-41.559,-0.34,9.39,-12.569,-50.532,22.706,-3.102,-0.1337,swarm_321_59.pdb
top_39_A,A,top_39_B,B,-2.72,-19.89,-39.333,31.19,15.39,-14.265,22.51,-7.738,13.451,0.0579,swarm_215_180.pdb
top_40_A,A,top_40_B,B,4.8,-19.99,-38.041,121.22,103.43,-3.048,74.131,15.282,-7.102,-0.0705,swarm_63_160.pdb
top_41_A,A,top_41_B,B,3.94,-18.89,-38.403,-84.5,-26.37,-18.592,-54.857,-14.577,3.844,0.1045,swarm_162_176.pdb
top_42_A,A,top_42_B,B,-1.6,-21.73,-36.584,38.39,37.69,-14.829,63.208,2.414,-5.848,0.0947,swarm_56_25.pdb
top_43_A,A,top_43_B,B,0.38,-21.34,-35.067,-88.91,-40.97,-10.268,-19.662,-12.202,-0.427,-0.2244,swarm_202_116.pdb
top_44_A,A,top_44_B,B,-2.34,-21.62,-32.728,-113.4,-13.97,-7.063,-36.048,-20.52,9.16,-0.2324,swarm_161_107.pdb
top_45_A,A,top_45_B,B,0.98,-25.83,-40.832,12.06,20.88,-17.052,-38.732,-9.775,11.307,-0.094,swarm_30_33.pdb
top_46_A,A,top_46_B,B,-0.6,-19.5,-34.436,-13.08,12.63,-21.576,-20.26,-21.643,8.192,0.0045,swarm_81_175.pdb
top_47_A,A,top_47_B,B,-8.98,-26.59,-40.668,14.73,31.43,-4.353,14.759,-5.758,6.935,-0.0728,swarm_111_195.pdb
top_48_A,A,top_48_B,B,-6.82,-25.35,-39.199,-73.59,-10.58,-8.375,-25.441,-16.768,8.383,-0.2578,swarm_320_60.pdb
top_49_A,A,top_49_B,B,-4.8,-34.2,-56.838,-10.18,2.09,-16.884,49.427,-3.94,8.459,-0.0237,swarm_125_145.pdb
top_50_A,A,top_50_B,B,6.38,-21.17,-37.004,26.71,18.45,-20.028,-58.156,-17.801,0.517,-0.0363,swarm_69_97.pdb
top_51_A,A,top_51_B,B,-11.78,-19.69,-41.876,69.84,44.74,-14.738,86.536,-6.388,3.913,-0.433,swarm_125_147.pdb
top_52_A,A,top_52_B,B,-1.7,-17.83,-32.56,61.87,61.14,-18.197,4.499,-10.047,-1.706,-0.2234,swarm_255_37.pdb
top_53_A,A,top_53_B,B,9.52,-25.43,-43.113,-27.75,-5.07,-17.476,-79.83,2.542,0.91,0.1555,swarm_252_184.pdb
top_54_A,A,top_54_B,B,-0.14,-27.09,-42.161,-7.0,32.91,-10.457,8.327,5.962,-3.014,0.0172,swarm_34_192.pdb
top_55_A,A,top_55_B,B,-7.82,-30.87,-47.457,-109.95,-64.69,-20.126,-46.091,-25.352,5.47,0.6932,swarm_286_49.pdb
top_56_A,A,top_56_B,B,-11.28,-21.08,-36.316,3.36,-1.29,-11.616,21.999,-16.246,7.646,-0.2703,swarm_161_174.pdb
top_57_A,A,top_57_B,B,6.44,-21.79,-34.426,97.33,72.48,-10.762,71.775,2.396,-9.591,-0.0555,swarm_327_97.pdb
top_58_A,A,top_58_B,B,-1.98,-16.08,-32.096,34.28,49.06,-12.397,71.339,8.01,2.839,-0.0672,swarm_63_191.pdb
top_59_A,A,top_59_B,B,14.94,4.31,-13.37,324.52,206.97,-7.364,437.65,53.409,-9.271,0.1756,swarm_63_173.pdb
top_60_A,A,top_60_B,B,0.94,-17.84,-36.029,25.4,71.87,2.562,0.586,10.519,2.529,-0.0744,swarm_118_119.pdb
top_61_A,A,top_61_B,B,2.68,-22.19,-35.618,5.98,6.34,-7.901,-6.311,3.065,7.668,0.0157,swarm_273_4.pdb
top_62_A,A,top_62_B,B,18.84,-25.16,-39.747,90.79,122.01,-11.721,-18.101,7.243,-5.23,0.1218,swarm_57_138.pdb
top_63_A,A,top_63_B,B,-2.42,-23.87,-38.175,-10.51,7.81,-24.034,-45.119,-20.744,5.977,-0.127,swarm_285_17.pdb
top_64_A,A,top_64_B,B,12.72,-20.2,-37.618,-7.68,36.21,-4.444,-37.829,11.681,0.542,0.0272,swarm_127_70.pdb
top_65_A,A,top_65_B,B,9.8,-23.94,-38.766,-14.02,45.89,-15.1,-47.492,-7.663,5.195,-0.0949,swarm_181_13.pdb
top_66_A,A,top_66_B,B,5.26,-22.37,-37.382,43.92,57.0,-3.799,1.547,12.119,-11.661,0.0528,swarm_64_49.pdb
top_67_A,A,top_67_B,B,-6.3,-28.48,-50.239,-4.53,-3.34,-26.997,-40.853,-38.01,11.295,-0.126,swarm_82_180.pdb
top_68_A,A,top_68_B,B,3.6,-15.81,-34.049,41.08,29.91,-5.557,29.386,-13.151,10.391,-0.1858,swarm_78_78.pdb
top_69_A,A,top_69_B,B,3.54,-19.27,-36.212,-50.54,-2.28,-12.824,-37.006,-12.076,-1.117,-0.2359,swarm_185_183.pdb
top_70_A,A,top_70_B,B,-12.36,-24.99,-37.235,-22.3,13.56,-14.937,-42.921,-17.771,9.066,-0.4346,swarm_125_13.pdb
top_71_A,A,top_71_B,B,13.34,12.05,-13.12,566.48,395.94,-30.235,950.984,61.933,-21.058,0.3754,swarm_64_152.pdb
top_72_A,A,top_72_B,B,11.46,-24.91,-44.82,11.79,60.48,-7.938,-51.198,7.389,2.583,0.1016,swarm_57_27.pdb
top_73_A,A,top_73_B,B,-2.22,-22.59,-35.213,-24.67,2.99,0.502,-59.942,-2.021,-1.778,-0.0796,swarm_227_161.pdb
top_74_A,A,top_74_B,B,0.04,-27.01,-39.191,-119.01,-31.17,-17.713,-94.969,-20.867,-2.492,-0.3684,swarm_34_34.pdb
top_75_A,A,top_75_B,B,-5.14,-25.99,-38.296,15.91,25.03,-1.623,-4.127,-15.65,6.304,-0.2726,swarm_125_171.pdb
top_76_A,A,top_76_B,B,0.2,-27.27,-39.31,39.61,51.74,-20.319,24.333,-11.98,-1.068,-0.2531,swarm_118_91.pdb
top_77_A,A,top_77_B,B,8.34,-24.29,-37.295,19.78,9.57,-24.64,-25.477,-10.794,-3.815,0.0061,swarm_307_80.pdb
