pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,6.64,-19.36,-40.276,108.53,116.95,-25.897,70.545,-2.998,-8.967,-0.0468,swarm_94_26.pdb
top_2_A,A,top_2_B,B,10.0,-18.29,-39.343,102.51,103.95,-8.1,120.185,28.496,-10.125,0.0694,swarm_258_25.pdb
top_3_A,A,top_3_B,B,12.44,-27.24,-49.446,-72.37,4.38,-23.709,-47.702,0.181,-6.136,-0.0435,swarm_46_93.pdb
top_4_A,A,top_4_B,B,10.14,-24.46,-44.946,-15.7,16.87,-9.683,-26.106,20.4,-4.546,0.083,swarm_232_34.pdb
top_5_A,A,top_5_B,B,13.92,-12.6,-35.968,84.78,94.87,-14.938,55.82,21.523,-8.507,-0.1437,swarm_297_167.pdb
top_6_A,A,top_6_B,B,11.96,-21.59,-40.53,24.88,68.46,-14.347,73.614,-2.097,-3.6,0.1563,swarm_209_174.pdb
top_7_A,A,top_7_B,B,12.08,-19.22,-39.417,3.78,59.56,-7.448,68.756,24.197,-7.378,0.3771,swarm_206_186.pdb
top_8_A,A,top_8_B,B,12.58,-24.36,-44.519,-49.06,9.03,-9.548,-28.64,9.226,-4.842,0.0638,swarm_263_26.pdb
top_9_A,A,top_9_B,B,12.18,-10.89,-36.205,311.07,210.41,3.357,228.704,56.164,-10.855,-0.1326,swarm_57_38.pdb
top_10_A,A,top_10_B,B,4.24,-24.99,-44.431,-19.93,0.96,-19.376,-41.6,-2.609,0.157,0.1082,swarm_265_36.pdb
top_11_A,A,top_11_B,B,9.26,-20.54,-44.782,4.45,27.62,-11.619,-74.923,27.945,-2.795,-0.0417,swarm_218_47.pdb
top_12_A,A,top_12_B,B,6.38,-19.73,-40.069,56.82,61.43,-0.792,36.897,22.686,-2.281,0.2875,swarm_240_40.pdb
top_13_A,A,top_13_B,B,8.66,-22.76,-42.95,-97.99,-35.05,-23.93,-65.58,-0.346,-1.708,-0.2005,swarm_13_92.pdb
top_14_A,A,top_14_B,B,5.38,-22.28,-40.563,-63.55,-5.34,-1.363,-79.865,11.82,-2.917,-0.0292,swarm_152_146.pdb
top_15_A,A,top_15_B,B,11.16,-15.93,-37.224,52.27,51.8,0.993,-5.92,38.759,-4.515,0.1722,swarm_224_154.pdb
top_16_A,A,top_16_B,B,13.5,-20.77,-39.912,25.17,53.66,-21.249,-26.555,7.955,-8.426,0.0182,swarm_274_17.pdb
top_17_A,A,top_17_B,B,15.36,-22.91,-39.024,37.37,71.77,-10.024,-31.747,5.791,-10.387,0.2064,swarm_103_18.pdb
top_18_A,A,top_18_B,B,1.74,-25.26,-40.565,-6.11,15.06,-6.078,25.124,9.795,-5.07,-0.0422,swarm_191_142.pdb
top_19_A,A,top_19_B,B,0.9,-18.4,-37.31,48.43,58.32,-8.684,26.374,33.613,-5.538,0.1633,swarm_151_40.pdb
top_20_A,A,top_20_B,B,4.08,-17.41,-38.009,91.65,78.09,-22.07,44.532,-1.165,-5.36,-0.0647,swarm_159_185.pdb
top_21_A,A,top_21_B,B,1.5,-12.77,-35.317,100.46,62.52,-13.559,107.58,18.49,0.457,0.0078,swarm_19_96.pdb
top_22_A,A,top_22_B,B,9.4,-15.21,-35.032,113.45,117.59,-5.97,117.661,27.284,-3.227,0.1149,swarm_31_24.pdb
top_23_A,A,top_23_B,B,9.48,-17.72,-31.671,171.0,135.49,-6.88,210.105,25.199,-4.909,0.056,swarm_181_194.pdb
top_24_A,A,top_24_B,B,7.7,-27.26,-41.463,13.33,50.52,-2.601,-8.52,-1.499,-3.463,0.1162,swarm_215_198.pdb
top_25_A,A,top_25_B,B,12.4,-13.26,-31.775,105.48,53.23,-7.253,100.613,28.238,-6.172,0.0307,swarm_60_89.pdb
top_26_A,A,top_26_B,B,0.66,-19.87,-38.292,-8.48,4.02,-23.199,-47.494,-3.114,2.933,-0.0762,swarm_323_192.pdb
top_27_A,A,top_27_B,B,7.02,-26.13,-37.313,48.93,40.58,-7.79,46.603,14.807,1.586,0.0905,swarm_325_107.pdb
top_28_A,A,top_28_B,B,9.7,-24.92,-41.418,43.16,60.82,-17.146,39.579,3.01,-5.599,0.3236,swarm_303_117.pdb
top_29_A,A,top_29_B,B,6.46,-21.94,-37.825,75.11,104.02,6.753,111.997,29.806,2.103,-0.0197,swarm_33_169.pdb
top_30_A,A,top_30_B,B,10.1,-18.76,-41.746,26.68,55.84,-12.063,0.226,28.509,-2.776,-0.039,swarm_240_178.pdb
top_31_A,A,top_31_B,B,4.34,-11.72,-32.792,123.27,112.23,-13.79,139.757,27.03,2.717,0.1636,swarm_255_25.pdb
top_32_A,A,top_32_B,B,4.58,-21.38,-34.273,91.35,90.43,4.487,84.226,18.622,-1.055,0.0509,swarm_119_155.pdb
top_33_A,A,top_33_B,B,4.58,-30.27,-44.471,59.48,66.13,-14.245,-8.48,5.329,-2.393,-0.1271,swarm_180_8.pdb
top_34_A,A,top_34_B,B,1.42,-18.35,-38.486,78.64,63.82,-18.342,-13.798,-0.441,-2.583,0.2743,swarm_156_104.pdb
top_35_A,A,top_35_B,B,3.8,-15.84,-32.442,71.59,67.55,-22.406,77.565,-1.887,-2.495,-0.0221,swarm_170_160.pdb
top_36_A,A,top_36_B,B,-3.7,-16.66,-29.602,80.99,62.4,3.168,94.944,26.306,-2.052,0.0687,swarm_94_142.pdb
top_37_A,A,top_37_B,B,5.9,-18.71,-39.95,-18.01,4.12,-22.922,-64.764,-0.756,-3.414,0.0274,swarm_41_16.pdb
top_38_A,A,top_38_B,B,6.7,-6.92,-34.312,174.07,129.91,-18.495,175.242,31.513,-2.197,0.1385,swarm_274_69.pdb
top_39_A,A,top_39_B,B,11.7,-9.87,-34.773,27.14,58.06,-15.862,68.116,11.796,-9.529,0.2682,swarm_301_12.pdb
top_40_A,A,top_40_B,B,9.38,-18.72,-39.86,86.17,58.27,-2.913,47.154,38.71,-8.66,0.3395,swarm_220_176.pdb
top_41_A,A,top_41_B,B,11.9,-14.98,-36.492,50.21,79.45,-6.131,107.284,31.644,-4.123,0.0848,swarm_212_19.pdb
top_42_A,A,top_42_B,B,2.54,-19.76,-37.955,6.05,43.64,-2.151,-11.728,16.148,-2.381,0.0943,swarm_56_132.pdb
top_43_A,A,top_43_B,B,9.86,-20.53,-32.833,32.31,46.63,-12.36,29.37,6.282,-3.606,-0.06,swarm_181_88.pdb
top_44_A,A,top_44_B,B,5.16,-18.31,-36.066,-12.43,11.76,-18.154,-19.025,-10.038,-1.528,-0.1628,swarm_56_93.pdb
top_45_A,A,top_45_B,B,6.22,-17.27,-37.196,-23.49,16.84,-14.486,-20.668,1.261,-5.105,0.074,swarm_213_187.pdb
top_46_A,A,top_46_B,B,5.36,-22.28,-36.901,-27.31,-6.89,-6.939,-58.301,-0.88,0.567,0.0134,swarm_128_188.pdb
top_47_A,A,top_47_B,B,5.52,-25.33,-40.808,-28.28,-2.79,-14.221,-52.96,2.886,-2.873,-0.3309,swarm_295_148.pdb
top_48_A,A,top_48_B,B,9.16,-24.67,-36.795,-50.94,-4.87,-8.896,-23.623,4.357,-2.526,-0.193,swarm_245_118.pdb
top_49_A,A,top_49_B,B,12.6,-17.51,-36.137,123.43,107.33,-10.641,95.632,23.043,-7.345,0.2203,swarm_263_161.pdb
top_50_A,A,top_50_B,B,9.78,-18.99,-33.918,79.93,84.89,-1.61,86.237,29.756,-3.984,0.2733,swarm_268_164.pdb
top_51_A,A,top_51_B,B,5.18,-25.59,-38.862,3.49,-15.89,-2.319,-24.827,8.828,-0.757,-0.1427,swarm_157_167.pdb
top_52_A,A,top_52_B,B,10.56,-15.41,-37.794,-16.74,23.67,-13.017,-21.399,21.682,-5.011,0.0761,swarm_230_83.pdb
