pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-6.74,-29.15,-42.047,-9.64,21.12,-11.182,-23.546,-12.812,10.814,-0.0856,swarm_67_131.pdb
top_2_A,A,top_2_B,B,-8.02,-23.66,-37.062,-18.78,-10.45,-0.966,36.852,-9.713,13.892,-0.1287,swarm_263_45.pdb
top_3_A,A,top_3_B,B,-9.54,-27.65,-39.862,-41.51,3.46,2.213,-32.145,-4.573,7.554,-0.1807,swarm_44_32.pdb
top_4_A,A,top_4_B,B,-4.72,-24.18,-33.602,-17.21,-8.74,-6.138,-20.944,-15.653,10.281,-0.1575,swarm_156_26.pdb
top_5_A,A,top_5_B,B,1.92,-25.91,-38.225,-12.39,17.77,0.952,-52.175,-7.925,6.848,-0.1937,swarm_280_26.pdb
top_6_A,A,top_6_B,B,-8.7,-26.5,-38.446,-8.86,-5.22,-1.289,-32.335,1.032,9.352,-0.1266,swarm_109_62.pdb
top_7_A,A,top_7_B,B,-1.24,-23.87,-39.771,12.3,6.92,-7.102,1.024,-4.344,4.334,-0.2046,swarm_44_97.pdb
top_8_A,A,top_8_B,B,0.36,-26.51,-38.066,-51.02,-17.38,-7.739,-25.346,-17.032,6.246,-0.23,swarm_202_13.pdb
top_9_A,A,top_9_B,B,-4.54,-26.63,-38.236,-29.07,18.47,-7.308,-20.293,-7.252,6.162,-0.1952,swarm_76_122.pdb
top_10_A,A,top_10_B,B,-5.96,-25.83,-32.457,-16.81,13.16,-6.064,-29.942,-34.493,10.058,-0.2365,swarm_197_143.pdb
top_11_A,A,top_11_B,B,2.96,-18.79,-32.44,30.11,61.36,-12.622,24.67,-11.857,-0.033,-0.3127,swarm_23_98.pdb
top_12_A,A,top_12_B,B,-12.9,-29.05,-39.163,-2.52,48.92,-0.898,129.378,-2.108,11.006,-0.3369,swarm_302_103.pdb
top_13_A,A,top_13_B,B,-2.72,-23.19,-34.778,48.65,38.53,-11.545,18.305,-17.452,14.186,-0.214,swarm_33_193.pdb
top_14_A,A,top_14_B,B,-4.16,-23.34,-34.04,-42.7,-5.51,-4.484,-21.195,-17.463,6.269,-0.0354,swarm_210_112.pdb
top_15_A,A,top_15_B,B,4.62,-19.01,-34.478,34.07,37.35,2.887,-2.775,32.16,-5.416,-0.0545,swarm_114_51.pdb
top_16_A,A,top_16_B,B,6.66,-23.34,-32.901,-40.66,-22.03,-2.154,-71.541,-1.79,-2.026,-0.0341,swarm_157_147.pdb
top_17_A,A,top_17_B,B,1.58,-17.81,-30.681,-54.11,-21.82,-8.825,-40.88,-12.806,4.079,-0.0578,swarm_42_98.pdb
top_18_A,A,top_18_B,B,-1.72,-20.6,-32.841,-44.42,5.98,-10.053,-9.387,-13.57,1.711,-0.0465,swarm_197_18.pdb
top_19_A,A,top_19_B,B,-7.42,-28.3,-34.463,-35.05,-1.96,3.653,31.122,-17.061,9.019,-0.1171,swarm_139_67.pdb
top_20_A,A,top_20_B,B,-5.26,-22.76,-34.584,-67.6,-42.2,-5.64,-59.529,-11.542,5.82,-0.1636,swarm_23_102.pdb
top_21_A,A,top_21_B,B,-5.3,-24.21,-34.014,15.01,53.02,0.405,51.568,2.704,8.483,0.0686,swarm_302_18.pdb
top_22_A,A,top_22_B,B,-0.94,-24.86,-41.245,-51.15,-32.96,-17.583,-8.816,-14.501,3.506,-0.0481,swarm_104_116.pdb
top_23_A,A,top_23_B,B,0.16,-19.3,-33.475,-33.83,-10.74,1.997,-29.852,-2.685,4.619,-0.1477,swarm_42_4.pdb
top_24_A,A,top_24_B,B,5.8,-15.71,-27.42,113.73,73.59,-8.1,79.331,16.711,-1.848,-0.0667,swarm_37_144.pdb
top_25_A,A,top_25_B,B,-2.96,-21.34,-27.86,-18.01,-3.39,2.078,-16.191,-0.167,7.041,-0.1345,swarm_32_164.pdb
top_26_A,A,top_26_B,B,-0.38,-31.69,-41.104,-16.44,24.02,-12.276,14.132,-17.139,3.6,-0.1069,swarm_53_57.pdb
top_27_A,A,top_27_B,B,-0.2,-23.83,-39.086,-39.75,8.52,-7.266,9.403,-9.52,3.275,-0.3133,swarm_263_22.pdb
top_28_A,A,top_28_B,B,1.04,-18.12,-28.194,33.23,50.05,1.541,77.968,4.52,5.644,-0.0601,swarm_290_71.pdb
top_29_A,A,top_29_B,B,-0.26,-22.53,-31.819,-42.86,-15.48,-8.89,-59.428,-14.363,4.217,0.1863,swarm_209_165.pdb
top_30_A,A,top_30_B,B,-4.32,-22.98,-34.12,-96.96,-47.85,2.984,-67.369,1.355,4.375,-0.0557,swarm_37_81.pdb
top_31_A,A,top_31_B,B,3.12,-17.34,-29.012,33.46,25.86,4.9,-19.355,4.262,4.292,-0.0697,swarm_46_16.pdb
top_32_A,A,top_32_B,B,-4.84,-23.31,-30.21,-18.49,-11.05,-6.407,-12.685,-25.833,7.53,-0.2837,swarm_263_128.pdb
top_33_A,A,top_33_B,B,-8.8,-20.49,-36.057,92.42,75.46,-18.474,85.523,-9.805,3.131,-0.3364,swarm_67_107.pdb
top_34_A,A,top_34_B,B,-15.54,-23.83,-29.307,-70.66,-13.21,-1.327,1.644,-23.606,10.996,0.0271,swarm_95_116.pdb
top_35_A,A,top_35_B,B,4.58,-24.41,-35.3,-50.24,-11.65,-10.247,-27.017,-17.248,2.97,-0.1228,swarm_284_151.pdb
top_36_A,A,top_36_B,B,-3.06,-26.18,-30.242,-58.75,-38.74,5.77,-46.093,-20.843,3.393,0.1634,swarm_76_163.pdb
top_37_A,A,top_37_B,B,-5.76,-24.46,-31.853,-17.79,5.09,-3.848,-25.291,-21.716,11.73,-0.0749,swarm_202_191.pdb
top_38_A,A,top_38_B,B,3.34,-21.95,-32.586,-28.41,0.29,-9.56,-64.682,-14.35,1.052,-0.1163,swarm_49_79.pdb
