pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,0.08,-29.13,-50.362,-36.3,25.8,-19.708,-9.569,-16.89,-3.12,-0.0185,swarm_183_48.pdb
top_2_A,A,top_2_B,B,2.74,-24.27,-41.636,-60.02,-24.05,-4.947,-58.964,-8.268,0.936,0.0198,swarm_99_159.pdb
top_3_A,A,top_3_B,B,4.56,-30.65,-42.936,-12.74,8.15,-8.933,-53.357,1.301,-3.254,0.0048,swarm_89_97.pdb
top_4_A,A,top_4_B,B,6.44,-23.02,-37.432,11.92,35.28,-5.159,-43.084,-2.486,-1.849,-0.0154,swarm_178_78.pdb
top_5_A,A,top_5_B,B,1.96,-25.88,-37.096,-22.66,14.35,-19.766,-35.45,-3.821,-0.754,-0.1262,swarm_185_1.pdb
top_6_A,A,top_6_B,B,-5.16,-25.07,-37.766,-73.18,-17.37,-19.341,-43.127,-27.289,6.807,-0.0534,swarm_220_98.pdb
top_7_A,A,top_7_B,B,0.5,-21.05,-36.929,-56.39,-12.61,-14.443,-18.579,-14.495,4.278,-0.2529,swarm_14_131.pdb
top_8_A,A,top_8_B,B,0.1,-22.68,-36.26,-104.75,-51.43,-5.711,-39.416,-15.411,4.246,-0.1664,swarm_259_183.pdb
top_9_A,A,top_9_B,B,9.58,-20.92,-34.749,6.1,21.32,-3.17,-43.184,6.919,-7.676,0.0407,swarm_273_194.pdb
top_10_A,A,top_10_B,B,9.0,-20.59,-37.921,-53.0,-6.98,-0.323,-62.441,7.867,-2.909,-0.2029,swarm_61_106.pdb
top_11_A,A,top_11_B,B,2.5,-16.67,-32.474,91.55,76.38,-2.313,90.249,12.265,1.23,0.1582,swarm_132_171.pdb
top_12_A,A,top_12_B,B,-0.1,-26.74,-37.799,-93.67,-46.97,-9.473,-74.142,-28.9,7.867,-0.2707,swarm_277_0.pdb
top_13_A,A,top_13_B,B,7.82,-20.68,-37.24,-43.77,12.95,-17.892,-46.161,-3.982,-0.581,0.0952,swarm_277_53.pdb
top_14_A,A,top_14_B,B,0.2,-20.47,-37.348,-27.51,2.57,-4.432,-34.659,1.702,0.537,0.1675,swarm_259_170.pdb
top_15_A,A,top_15_B,B,9.02,-18.91,-38.467,18.19,11.19,-11.856,-71.94,3.833,-7.729,0.2378,swarm_99_22.pdb
top_16_A,A,top_16_B,B,6.42,-21.76,-37.272,-49.91,0.18,-1.48,-51.445,11.358,-2.922,-0.0445,swarm_208_59.pdb
top_17_A,A,top_17_B,B,5.68,-24.5,-37.205,-27.87,-5.93,-17.721,-53.942,2.206,-8.177,0.0053,swarm_84_125.pdb
top_18_A,A,top_18_B,B,6.54,-14.58,-28.411,-20.55,3.73,-14.251,-51.162,7.634,-4.605,-0.1554,swarm_45_8.pdb
top_19_A,A,top_19_B,B,-6.38,-18.55,-32.226,30.4,75.69,-10.173,133.256,-15.179,5.182,-0.3413,swarm_4_167.pdb
top_20_A,A,top_20_B,B,-2.14,-27.2,-36.433,-20.85,-3.69,-5.327,-10.455,-27.353,11.158,-0.4249,swarm_130_14.pdb
top_21_A,A,top_21_B,B,-1.34,-18.06,-32.489,-83.16,-31.88,-8.202,-48.804,-14.625,6.963,-0.1774,swarm_186_33.pdb
top_22_A,A,top_22_B,B,1.88,-29.84,-41.371,5.77,25.7,-1.972,16.751,-1.209,-1.594,-0.1335,swarm_239_199.pdb
top_23_A,A,top_23_B,B,-0.74,-21.18,-31.891,-71.93,-39.04,-10.972,-58.459,-30.807,7.341,-0.1303,swarm_274_147.pdb
top_24_A,A,top_24_B,B,3.08,-24.5,-36.84,-37.28,-15.15,-7.647,-27.907,-24.207,3.314,-0.2117,swarm_99_151.pdb
top_25_A,A,top_25_B,B,2.54,-17.71,-32.673,-53.56,-14.8,-5.644,-60.468,-11.001,1.803,-0.2057,swarm_262_175.pdb
top_26_A,A,top_26_B,B,8.94,-21.47,-41.309,-30.17,0.57,-10.625,-104.238,22.431,-3.349,0.3568,swarm_306_142.pdb
top_27_A,A,top_27_B,B,3.26,-20.3,-34.958,-17.78,9.9,-22.188,-56.447,-10.907,-0.813,0.1915,swarm_106_90.pdb
top_28_A,A,top_28_B,B,8.2,-15.61,-34.71,-26.19,8.98,2.815,-63.787,27.873,-2.578,-0.0637,swarm_273_176.pdb
top_29_A,A,top_29_B,B,4.2,-20.54,-34.134,-4.86,21.07,-9.987,-32.794,-1.025,1.422,-0.0495,swarm_212_59.pdb
top_30_A,A,top_30_B,B,12.26,-22.18,-32.697,39.59,17.6,15.224,-77.744,40.661,-6.907,0.0262,swarm_89_115.pdb
top_31_A,A,top_31_B,B,7.16,-16.58,-33.873,-4.36,-9.44,-0.439,-35.747,17.637,-3.187,-0.1754,swarm_292_8.pdb
top_32_A,A,top_32_B,B,4.38,-18.29,-33.263,-87.28,-34.85,-9.522,-61.773,-1.067,1.618,-0.2024,swarm_198_152.pdb
top_33_A,A,top_33_B,B,0.04,-25.53,-32.568,-36.7,-16.64,-4.106,-35.58,-13.835,4.704,-0.034,swarm_219_163.pdb
top_34_A,A,top_34_B,B,6.78,-21.64,-38.283,-4.39,13.58,-11.274,-52.216,15.285,-5.372,0.1582,swarm_183_106.pdb
top_35_A,A,top_35_B,B,7.48,-18.36,-35.54,-59.65,11.48,-2.173,-47.748,21.253,-6.154,0.0307,swarm_134_5.pdb
top_36_A,A,top_36_B,B,7.2,-13.53,-33.888,-7.76,44.37,-4.913,4.021,28.99,-2.458,-0.0038,swarm_132_42.pdb
top_37_A,A,top_37_B,B,8.38,-19.92,-34.128,10.98,10.19,-6.592,-15.204,22.684,-3.646,0.0499,swarm_31_6.pdb
top_38_A,A,top_38_B,B,5.66,-23.07,-36.778,-9.51,20.12,-9.475,-20.68,-17.032,1.691,-0.1418,swarm_56_65.pdb
top_39_A,A,top_39_B,B,3.9,-17.91,-33.8,-70.32,-15.97,-2.025,-73.757,6.379,0.235,-0.0204,swarm_183_92.pdb
top_40_A,A,top_40_B,B,4.44,-20.76,-35.467,-10.52,13.36,-6.589,19.061,-17.276,7.718,0.1209,swarm_3_197.pdb
top_41_A,A,top_41_B,B,0.28,-19.36,-33.525,54.68,26.92,-7.468,13.401,-1.977,-2.43,0.0417,swarm_206_127.pdb
top_42_A,A,top_42_B,B,3.16,-20.95,-37.942,-6.61,2.71,-22.939,-47.309,-9.507,-1.86,-0.0384,swarm_302_134.pdb
top_43_A,A,top_43_B,B,4.92,-17.54,-32.889,75.01,59.11,-2.001,75.888,14.832,0.825,-0.0531,swarm_181_14.pdb
top_44_A,A,top_44_B,B,8.34,-15.67,-33.423,-31.93,10.12,-10.736,-30.111,9.121,-3.534,-0.013,swarm_278_174.pdb
