pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-2.42,-37.4,-52.1757,-98.92,-42.87,-20.472,-76.828,-39.528,-1.884,-0.2259,swarm_351_44.pdb
top_2_A,A,top_2_B,B,-1.74,-29.14,-45.8261,-18.13,17.77,-15.956,18.485,-15.3,-1.37,-0.2388,swarm_101_70.pdb
top_3_A,A,top_3_B,B,-1.12,-32.56,-48.1725,-34.17,6.37,-8.447,-25.798,-20.484,-1.323,-0.1869,swarm_384_71.pdb
top_4_A,A,top_4_B,B,0.0,-32.11,-48.1816,-51.6,-11.63,-4.644,-75.07,-26.039,-2.226,-0.1549,swarm_24_60.pdb
top_5_A,A,top_5_B,B,2.34,-36.61,-47.5509,-59.2,-35.89,-3.243,-89.393,-17.861,-3.752,-0.0558,swarm_144_91.pdb
top_6_A,A,top_6_B,B,6.84,-32.63,-45.4097,-38.16,-17.6,-6.345,-49.467,-29.318,-3.822,-0.143,swarm_25_12.pdb
top_7_A,A,top_7_B,B,0.22,-34.44,-46.9612,-83.87,-29.64,-15.075,-72.295,-29.87,-2.248,-0.2246,swarm_401_23.pdb
top_8_A,A,top_8_B,B,3.3,-36.1,-46.3872,-5.54,-3.94,-16.762,-53.435,-50.241,1.006,-0.4387,swarm_165_155.pdb
top_9_A,A,top_9_B,B,-2.82,-31.39,-44.3304,-91.23,-48.62,-11.274,-61.93,-36.39,-0.686,-0.3705,swarm_55_122.pdb
top_10_A,A,top_10_B,B,2.52,-29.16,-43.029,-7.4,-0.91,-8.354,-40.298,-27.038,-0.548,-0.1862,swarm_63_110.pdb
top_11_A,A,top_11_B,B,2.64,-30.11,-45.13,-61.98,-41.74,-18.955,-79.971,-35.821,2.008,-0.2183,swarm_349_40.pdb
top_12_A,A,top_12_B,B,1.24,-34.96,-48.8935,8.91,17.5,-18.077,32.941,-26.873,-8.116,0.0524,swarm_101_71.pdb
top_13_A,A,top_13_B,B,10.28,-31.76,-44.8911,-59.48,-16.69,-7.403,-87.787,-25.055,-6.657,-0.0247,swarm_323_95.pdb
top_14_A,A,top_14_B,B,1.56,-27.85,-41.7774,-23.54,0.15,-14.416,21.783,-25.024,-0.268,-0.2777,swarm_431_154.pdb
