pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-12.02,-23.54,-32.8513,55.62,60.65,-8.465,39.628,-16.239,-0.568,0.0185,swarm_43_167.pdb
top_2_A,A,top_2_B,B,-0.68,-19.73,-31.3237,-10.74,21.75,-12.186,12.212,5.017,-8.454,0.1444,swarm_9_98.pdb
top_3_A,A,top_3_B,B,-7.72,-15.76,-27.0285,-33.0,4.87,-4.295,15.455,-10.613,2.124,-0.0416,swarm_23_138.pdb
top_4_A,A,top_4_B,B,0.02,-14.26,-23.5794,23.45,29.57,-9.837,-18.366,-17.011,-2.066,-0.0733,swarm_64_142.pdb
top_5_A,A,top_5_B,B,-2.12,-14.28,-22.3645,-7.02,7.53,-7.383,-9.302,-3.474,3.966,-0.1119,swarm_52_5.pdb
top_6_A,A,top_6_B,B,0.98,-13.21,-23.5345,35.27,40.77,-8.405,-0.694,-12.796,-0.813,0.0408,swarm_98_15.pdb
top_7_A,A,top_7_B,B,-0.88,-15.13,-26.6164,-4.77,22.19,-0.609,-20.425,7.064,-6.404,0.085,swarm_52_183.pdb
top_8_A,A,top_8_B,B,-5.54,-18.5,-26.8619,-54.61,-26.24,-1.773,-17.968,-15.047,3.109,0.085,swarm_85_104.pdb
top_9_A,A,top_9_B,B,-6.36,-16.63,-24.1305,-1.0,15.75,-6.956,10.387,-12.799,0.734,-0.1326,swarm_52_2.pdb
top_10_A,A,top_10_B,B,-10.7,-16.06,-24.9401,28.56,45.17,1.073,45.617,-5.182,2.089,0.0423,swarm_52_32.pdb
top_11_A,A,top_11_B,B,1.92,-14.28,-24.4847,-42.76,9.37,-10.87,-8.677,-8.336,-6.158,0.0395,swarm_23_86.pdb
top_12_A,A,top_12_B,B,-3.5,-18.64,-23.7507,-39.15,-15.17,-5.283,-11.967,-19.05,0.342,-0.2043,swarm_102_24.pdb
top_13_A,A,top_13_B,B,-9.12,-18.08,-24.5611,-12.3,12.33,-4.21,-6.479,-20.291,3.815,0.102,swarm_53_167.pdb
top_14_A,A,top_14_B,B,-1.42,-15.07,-21.4347,-45.59,-17.89,0.279,-37.727,-10.898,0.99,-0.0872,swarm_53_154.pdb
top_15_A,A,top_15_B,B,-2.7,-14.16,-20.562,13.14,21.56,-3.442,28.453,-15.505,0.684,0.0378,swarm_53_161.pdb
top_16_A,A,top_16_B,B,-4.94,-16.94,-24.373,-28.06,1.95,0.78,-6.757,-9.74,-0.589,0.0487,swarm_27_33.pdb
top_17_A,A,top_17_B,B,6.08,-13.69,-23.6723,22.73,30.53,-16.053,-10.055,-10.759,-4.307,-0.2219,swarm_38_177.pdb
top_18_A,A,top_18_B,B,-12.52,-15.76,-21.1146,8.27,17.64,-10.738,53.599,-16.465,2.186,-0.0953,swarm_102_164.pdb
top_19_A,A,top_19_B,B,-5.14,-15.87,-23.4806,42.84,42.07,0.867,-25.928,2.671,-6.031,-0.0011,swarm_53_146.pdb
top_20_A,A,top_20_B,B,-6.16,-15.32,-20.5774,2.76,-1.71,-9.414,4.898,-17.233,2.007,0.037,swarm_102_132.pdb
top_21_A,A,top_21_B,B,3.18,-12.78,-21.798,17.72,14.29,-3.635,-28.864,4.049,-4.208,-0.0327,swarm_18_153.pdb
top_22_A,A,top_22_B,B,1.78,-16.09,-23.5747,4.06,18.23,-3.584,3.332,-5.559,-6.117,-0.1597,swarm_13_163.pdb
top_23_A,A,top_23_B,B,-6.54,-18.49,-23.7547,-55.85,-26.21,-22.496,-27.851,-17.771,0.444,-0.2339,swarm_106_72.pdb
top_24_A,A,top_24_B,B,0.32,-13.18,-22.5979,-7.4,0.54,-10.139,-8.643,-8.763,-2.217,0.0032,swarm_9_6.pdb
top_25_A,A,top_25_B,B,-6.46,-14.19,-24.998,-16.7,14.91,-10.306,-16.743,-4.209,-3.047,0.0291,swarm_85_19.pdb
top_26_A,A,top_26_B,B,-13.66,-16.4,-26.6063,48.26,43.41,-9.07,127.531,-9.131,2.74,0.0837,swarm_13_25.pdb
top_27_A,A,top_27_B,B,-4.3,-14.68,-22.5417,31.12,34.07,-0.257,-1.632,-9.669,3.824,0.0959,swarm_13_66.pdb
