pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-2.68,-28.38,-39.116,0.26,14.22,-3.56,-46.659,-11.323,-1.164,-0.0696,swarm_223_106.pdb
top_2_A,A,top_2_B,B,2.12,-25.85,-40.713,-24.34,-19.45,-10.635,-69.156,-4.242,7.045,-0.1146,swarm_145_116.pdb
top_3_A,A,top_3_B,B,3.18,-18.31,-36.753,26.73,38.45,-22.262,-42.207,6.778,-1.676,-0.1086,swarm_75_130.pdb
top_4_A,A,top_4_B,B,6.56,-19.89,-36.244,28.82,35.91,-0.664,-23.638,10.063,3.078,0.234,swarm_94_96.pdb
top_5_A,A,top_5_B,B,2.32,-24.0,-37.179,-27.26,3.86,-9.05,-34.799,-4.866,1.251,0.117,swarm_215_193.pdb
top_6_A,A,top_6_B,B,8.26,-24.43,-43.189,92.14,91.11,-8.76,-6.226,11.643,1.841,0.0746,swarm_122_151.pdb
top_7_A,A,top_7_B,B,6.2,-23.2,-37.438,-27.31,29.27,-8.396,-66.255,-17.9,-3.961,0.0448,swarm_237_109.pdb
top_8_A,A,top_8_B,B,0.22,-23.32,-36.262,-27.55,23.28,-9.396,7.124,-7.88,1.423,-0.1359,swarm_194_5.pdb
top_9_A,A,top_9_B,B,6.96,-23.9,-37.923,-1.3,-5.36,-21.319,-72.101,-14.537,0.185,0.0238,swarm_172_168.pdb
top_10_A,A,top_10_B,B,11.28,-24.4,-39.212,54.45,48.91,1.551,-61.9,15.249,-9.081,-0.0983,swarm_223_141.pdb
top_11_A,A,top_11_B,B,7.18,-23.34,-39.931,-37.87,-11.69,-13.423,-28.272,-16.225,-4.711,0.285,swarm_121_4.pdb
top_12_A,A,top_12_B,B,13.16,-27.92,-38.178,83.14,42.09,-12.18,-20.404,-2.766,-2.394,0.0473,swarm_94_84.pdb
top_13_A,A,top_13_B,B,7.16,-23.68,-40.103,41.06,23.32,-12.777,-52.158,2.479,-7.004,0.1349,swarm_30_101.pdb
top_14_A,A,top_14_B,B,3.1,-22.69,-37.516,-19.7,17.53,-8.101,-62.591,7.288,7.839,-0.0302,swarm_89_83.pdb
top_15_A,A,top_15_B,B,4.42,-20.51,-35.894,-33.96,-12.15,-16.02,-76.284,-3.356,-4.213,-0.1609,swarm_178_128.pdb
top_16_A,A,top_16_B,B,4.94,-23.28,-42.096,-75.28,-4.29,-5.85,-28.254,-10.721,4.682,0.1066,swarm_8_12.pdb
top_17_A,A,top_17_B,B,4.24,-22.7,-36.858,-70.69,-26.26,-27.501,-49.077,-9.116,-1.082,-0.1044,swarm_137_108.pdb
top_18_A,A,top_18_B,B,5.58,-23.52,-37.41,11.79,9.52,-14.251,-17.0,3.16,-3.579,0.0002,swarm_236_123.pdb
top_19_A,A,top_19_B,B,1.48,-21.39,-37.119,-32.01,21.89,-9.112,-13.878,5.933,-0.957,-0.1362,swarm_242_149.pdb
top_20_A,A,top_20_B,B,8.14,-23.34,-39.987,52.43,53.69,-3.838,-23.544,3.498,-2.812,0.0132,swarm_183_71.pdb
top_21_A,A,top_21_B,B,5.2,-21.54,-33.732,13.88,24.12,-0.564,-42.391,3.937,2.47,-0.035,swarm_45_72.pdb
top_22_A,A,top_22_B,B,2.94,-20.77,-33.245,28.81,20.19,-13.929,52.948,-26.027,6.937,0.175,swarm_263_165.pdb
top_23_A,A,top_23_B,B,-0.14,-21.4,-33.792,-62.26,-7.4,-11.994,-0.956,-20.129,4.545,-0.1512,swarm_170_61.pdb
top_24_A,A,top_24_B,B,6.24,-20.42,-36.403,-18.37,20.25,-17.973,-51.714,-5.828,1.347,-0.024,swarm_100_22.pdb
top_25_A,A,top_25_B,B,5.6,-25.28,-38.302,4.59,32.08,-17.119,-17.009,-3.569,-0.942,0.1076,swarm_153_76.pdb
top_26_A,A,top_26_B,B,0.7,-17.66,-32.719,-19.44,30.41,-12.418,33.35,-8.62,0.603,0.0214,swarm_235_121.pdb
top_27_A,A,top_27_B,B,8.86,-16.12,-35.414,45.17,50.61,-17.775,-45.381,0.828,-1.634,-0.1267,swarm_90_12.pdb
top_28_A,A,top_28_B,B,8.06,-19.68,-35.244,50.16,25.1,-29.73,-3.561,-8.451,-4.039,0.0823,swarm_56_130.pdb
top_29_A,A,top_29_B,B,3.82,-21.78,-35.529,-9.88,37.3,-3.039,-10.71,-11.935,0.211,0.0356,swarm_98_13.pdb
top_30_A,A,top_30_B,B,6.04,-18.83,-35.694,-57.61,-12.86,-13.365,-27.255,-5.792,0.917,0.1043,swarm_6_199.pdb
top_31_A,A,top_31_B,B,6.2,-22.09,-36.277,9.08,6.66,-0.591,-48.575,-6.998,-4.388,0.154,swarm_273_184.pdb
top_32_A,A,top_32_B,B,7.7,-15.95,-33.88,50.37,40.75,-8.159,-44.456,2.792,-0.12,0.076,swarm_237_106.pdb
top_33_A,A,top_33_B,B,-12.52,-23.2,-40.09,-20.72,-3.24,-10.37,-10.515,-8.169,4.75,-0.1682,swarm_95_15.pdb
top_34_A,A,top_34_B,B,1.38,-20.03,-33.581,-46.89,-8.86,-8.564,-47.071,-10.535,-2.345,0.1274,swarm_206_63.pdb
top_35_A,A,top_35_B,B,7.74,-17.95,-34.534,3.92,26.5,-9.656,-52.733,-3.829,-0.35,0.1921,swarm_280_112.pdb
top_36_A,A,top_36_B,B,0.52,-21.63,-35.589,-54.06,-22.79,-13.924,-66.138,-21.913,6.051,-0.1018,swarm_56_187.pdb
top_37_A,A,top_37_B,B,5.56,-17.08,-36.713,-5.39,21.92,-20.973,-40.529,-1.194,-2.707,0.0408,swarm_30_8.pdb
