pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,10.96,-25.38,-45.5,9.92,25.81,-16.793,-62.369,-6.92,-7.374,0.0372,swarm_303_42.pdb
top_2_A,A,top_2_B,B,14.86,-22.26,-44.217,-43.25,-6.53,-19.969,-92.487,4.546,-8.013,0.0762,swarm_294_104.pdb
top_3_A,A,top_3_B,B,9.68,-18.69,-44.75,-15.14,23.69,-16.907,-65.298,2.762,-6.943,-0.0644,swarm_2_185.pdb
top_4_A,A,top_4_B,B,11.22,-15.38,-39.505,-14.4,36.25,-5.67,9.633,34.94,-7.893,0.0748,swarm_382_55.pdb
top_5_A,A,top_5_B,B,4.9,-19.37,-44.788,-81.77,-25.9,-15.484,-7.594,8.585,-3.412,-0.043,swarm_318_44.pdb
top_6_A,A,top_6_B,B,8.7,-15.41,-37.603,64.81,59.3,-9.796,5.716,13.728,-4.183,0.0759,swarm_48_197.pdb
top_7_A,A,top_7_B,B,6.66,-17.94,-39.422,-60.98,-5.3,-25.548,-39.518,5.356,-6.776,-0.1245,swarm_349_120.pdb
top_8_A,A,top_8_B,B,-3.72,-24.69,-38.115,-62.71,-19.29,-11.462,-31.844,-23.497,3.839,-0.2566,swarm_136_18.pdb
top_9_A,A,top_9_B,B,11.14,-18.49,-42.473,-13.61,22.26,-13.371,-65.009,17.401,-7.076,-0.1527,swarm_303_191.pdb
top_10_A,A,top_10_B,B,15.46,-16.63,-42.084,49.59,52.45,-5.042,-1.984,25.622,-8.971,0.0693,swarm_349_70.pdb
top_11_A,A,top_11_B,B,-1.88,-21.22,-36.181,14.88,25.47,-7.738,-3.071,5.945,-4.571,0.0632,swarm_134_127.pdb
top_12_A,A,top_12_B,B,5.62,-17.28,-36.762,85.18,66.46,-24.54,49.838,7.471,-10.025,0.0068,swarm_80_64.pdb
top_13_A,A,top_13_B,B,-0.24,-22.22,-38.53,-13.2,30.11,-19.106,-5.319,-10.488,1.749,-0.1181,swarm_299_118.pdb
top_14_A,A,top_14_B,B,7.2,-16.41,-41.113,57.37,57.59,-19.407,23.454,-8.525,-7.999,0.0486,swarm_247_96.pdb
top_15_A,A,top_15_B,B,6.56,-23.88,-37.753,-27.87,-8.86,-17.526,-64.797,-2.678,-3.75,-0.1965,swarm_325_21.pdb
top_16_A,A,top_16_B,B,12.96,-24.84,-44.954,-56.28,-7.66,-24.777,-91.82,-0.994,-6.789,-0.0907,swarm_69_195.pdb
top_17_A,A,top_17_B,B,-0.98,-19.85,-32.832,-65.27,-10.92,-13.409,16.65,-3.382,8.698,-0.3366,swarm_61_67.pdb
top_18_A,A,top_18_B,B,10.84,-14.51,-37.479,-28.02,-11.2,-15.212,-25.087,12.062,-4.975,0.1704,swarm_110_20.pdb
top_19_A,A,top_19_B,B,2.34,-17.14,-34.829,43.52,41.52,-4.135,32.121,22.168,-6.915,0.0434,swarm_139_145.pdb
top_20_A,A,top_20_B,B,12.28,-16.39,-36.658,0.25,17.24,-6.106,-81.271,18.147,-11.28,0.0758,swarm_75_14.pdb
top_21_A,A,top_21_B,B,11.98,-23.42,-40.437,-13.53,18.88,-25.836,-70.954,-21.943,-6.048,-0.0545,swarm_131_36.pdb
top_22_A,A,top_22_B,B,0.2,-19.88,-33.902,-96.83,-23.21,-10.32,-11.403,-12.41,4.256,0.1198,swarm_289_143.pdb
top_23_A,A,top_23_B,B,8.56,-20.85,-38.207,-24.38,-2.47,-23.339,-69.013,-4.123,-2.786,-0.1275,swarm_48_9.pdb
top_24_A,A,top_24_B,B,14.68,-21.4,-41.509,-43.01,-11.64,-13.798,-65.81,8.931,-12.063,0.0711,swarm_267_17.pdb
top_25_A,A,top_25_B,B,21.16,-19.3,-40.872,82.78,67.88,-30.901,105.714,20.524,-15.909,0.155,swarm_267_105.pdb
top_26_A,A,top_26_B,B,7.64,-23.57,-35.598,42.86,25.9,-16.838,-6.536,-1.721,-4.111,0.0502,swarm_239_60.pdb
top_27_A,A,top_27_B,B,-0.48,-19.67,-37.043,-48.55,-10.95,-18.145,-67.851,-9.153,-0.951,-0.1524,swarm_368_195.pdb
top_28_A,A,top_28_B,B,14.92,-25.45,-46.278,23.4,39.4,-22.635,-42.861,5.171,-7.326,0.0125,swarm_69_151.pdb
top_29_A,A,top_29_B,B,0.4,-19.18,-31.896,30.72,24.76,-10.506,20.146,9.229,-3.998,-0.0219,swarm_265_35.pdb
top_30_A,A,top_30_B,B,-1.12,-20.96,-31.738,-53.27,-19.06,-4.873,-32.03,-17.839,4.124,-0.1394,swarm_306_25.pdb
top_31_A,A,top_31_B,B,5.22,-12.89,-35.63,-7.02,28.59,-14.826,-12.017,10.252,-3.715,0.0922,swarm_48_61.pdb
top_32_A,A,top_32_B,B,3.76,-20.14,-34.017,-23.98,11.06,-16.795,-52.383,-6.767,-2.306,0.0204,swarm_65_167.pdb
top_33_A,A,top_33_B,B,4.6,-17.57,-38.014,-43.14,-22.07,-15.435,-89.892,3.348,-8.714,-0.0474,swarm_390_155.pdb
top_34_A,A,top_34_B,B,5.26,-13.77,-33.862,62.06,43.58,-20.621,-25.425,5.285,-5.767,0.0069,swarm_2_91.pdb
top_35_A,A,top_35_B,B,12.66,-22.62,-37.013,-68.9,0.36,-17.779,-62.631,2.763,-9.199,-0.0649,swarm_41_163.pdb
top_36_A,A,top_36_B,B,13.62,-16.71,-37.17,32.25,45.22,-29.236,31.19,9.587,-6.836,0.0384,swarm_361_128.pdb
top_37_A,A,top_37_B,B,6.2,-16.85,-36.15,-1.48,34.24,-9.208,-57.408,14.558,-8.929,-0.1267,swarm_175_74.pdb
top_38_A,A,top_38_B,B,2.66,-18.44,-33.365,-30.02,4.75,-14.838,-13.296,-3.568,3.376,-0.0619,swarm_233_1.pdb
top_39_A,A,top_39_B,B,8.3,-19.79,-33.95,-23.46,-10.51,-11.923,-88.278,3.103,-5.826,-0.0137,swarm_34_76.pdb
top_40_A,A,top_40_B,B,7.72,-26.44,-32.875,-10.92,-9.28,-8.85,-53.998,-2.53,-9.588,-0.1059,swarm_92_66.pdb
