pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,3.4,-32.85,-40.6328,-25.28,-2.86,-9.953,-48.707,-23.732,17.041,-0.1562,swarm_111_53.pdb
top_2_A,A,top_2_B,B,-2.9,-4.38,-17.2308,174.62,129.11,-13.777,277.035,-1.516,19.414,-0.0167,swarm_111_15.pdb
top_3_A,A,top_3_B,B,0.46,-27.29,-35.3586,-52.13,-11.39,-3.815,-55.946,-31.176,17.339,-0.064,swarm_111_20.pdb
top_4_A,A,top_4_B,B,4.84,-32.07,-40.7878,10.74,25.63,-8.163,33.305,-10.365,13.63,-0.2106,swarm_45_94.pdb
top_5_A,A,top_5_B,B,2.54,-27.09,-35.8073,-30.24,-9.4,-8.661,-46.561,-23.125,20.067,-0.0586,swarm_225_180.pdb
top_6_A,A,top_6_B,B,5.12,-26.13,-36.4582,-4.82,1.51545442861e-14,-3.754,-38.573,-2.766,11.113,-0.1607,swarm_221_131.pdb
top_7_A,A,top_7_B,B,4.88,-23.24,-37.5713,83.76,64.49,-16.447,84.73,-14.946,14.693,0.1439,swarm_40_47.pdb
top_8_A,A,top_8_B,B,3.6,-29.44,-38.4648,11.86,-1.36,-3.56,-59.167,-23.612,17.28,-0.1295,swarm_221_69.pdb
top_9_A,A,top_9_B,B,-6.04,-27.31,-36.5327,138.0,123.08,-9.024,181.177,-0.461,21.562,0.2948,swarm_45_135.pdb
top_10_A,A,top_10_B,B,2.56,-27.34,-39.0903,-19.99,22.64,-8.302,-48.22,-11.614,10.247,-0.09,swarm_93_89.pdb
top_11_A,A,top_11_B,B,8.72,-25.28,-35.383,-4.77,6.45,-6.967,-71.271,-10.402,6.567,-0.0758,swarm_45_70.pdb
top_12_A,A,top_12_B,B,1.46,-27.54,-37.2844,-54.16,-9.26,-7.782,-41.601,-16.84,14.562,-0.0585,swarm_23_181.pdb
top_13_A,A,top_13_B,B,-1.08,-26.36,-34.0545,-123.65,-44.59,-13.127,-87.931,-34.563,15.419,-0.1763,swarm_40_129.pdb
