pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,12.86,-29.78,-48.406,45.94,35.68,-33.0,34.929,-25.511,2.175,-0.2342,swarm_147_163.pdb
top_2_A,A,top_2_B,B,1.14,-36.15,-53.971,-76.47,-18.37,-10.944,-22.76,-30.768,3.048,-0.0998,swarm_252_141.pdb
top_3_A,A,top_3_B,B,18.22,-38.2,-61.251,-0.56,56.03,-15.527,-63.999,-1.873,-9.943,0.0716,swarm_341_101.pdb
top_4_A,A,top_4_B,B,8.64,-29.36,-50.402,-61.84,-1.45,-15.833,-96.11,4.435,-5.033,-0.159,swarm_310_74.pdb
top_5_A,A,top_5_B,B,10.86,-23.26,-48.275,23.71,64.07,-25.498,-32.109,4.449,-8.006,0.0166,swarm_101_149.pdb
top_6_A,A,top_6_B,B,11.68,-37.79,-53.093,-40.5,39.89,-22.125,-27.176,-37.208,8.358,0.0348,swarm_20_69.pdb
top_7_A,A,top_7_B,B,16.22,-23.94,-49.147,-51.26,-10.82,-25.024,-66.093,9.034,-10.18,-0.1872,swarm_123_174.pdb
top_8_A,A,top_8_B,B,14.08,-32.72,-52.733,-56.94,-22.35,-14.885,-145.622,-13.897,-8.845,-0.1141,swarm_85_145.pdb
top_9_A,A,top_9_B,B,2.2,-24.24,-43.172,-62.07,-7.76,-19.326,-12.547,-11.905,3.939,-0.2279,swarm_261_147.pdb
top_10_A,A,top_10_B,B,3.22,-24.36,-43.096,4.55,54.76,-32.109,60.042,-23.131,-9.41,-0.0589,swarm_263_25.pdb
top_11_A,A,top_11_B,B,5.54,-31.87,-61.673,-28.17,35.22,-47.956,-26.631,-30.755,-5.345,-0.2891,swarm_144_168.pdb
top_12_A,A,top_12_B,B,1.74,-33.86,-46.46,-20.98,5.31,-6.649,-34.118,-32.756,6.566,0.9678,swarm_5_83.pdb
top_13_A,A,top_13_B,B,9.12,-23.91,-44.017,39.94,55.66,-24.38,-31.819,2.796,-8.936,0.0594,swarm_66_87.pdb
top_14_A,A,top_14_B,B,11.08,-25.1,-50.352,-43.45,4.31,-22.223,-110.349,-12.736,-5.912,-0.1307,swarm_147_127.pdb
top_15_A,A,top_15_B,B,10.74,-20.88,-44.53,53.45,96.84,-17.002,93.845,-4.966,-6.253,0.0857,swarm_140_33.pdb
top_16_A,A,top_16_B,B,10.72,-27.19,-45.045,-46.89,-16.85,-7.391,-71.815,-8.701,-5.695,0.0224,swarm_193_67.pdb
top_17_A,A,top_17_B,B,10.34,-23.01,-40.33,-54.95,1.79,-15.845,-70.984,1.829,-8.834,-0.1693,swarm_238_72.pdb
top_18_A,A,top_18_B,B,9.8,-15.4,-37.054,27.54,39.64,-30.283,-8.208,-0.939,-10.476,0.2144,swarm_141_93.pdb
top_19_A,A,top_19_B,B,7.52,-21.12,-43.184,-39.41,6.88,-20.202,-85.486,-9.643,-0.613,-0.1489,swarm_179_126.pdb
