pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,18.0,-32.9,-60.98,-61.16,-1.08,-21.467,-102.778,8.99,-9.639,0.0683,swarm_89_21.pdb
top_2_A,A,top_2_B,B,1.16,-34.13,-53.606,63.69,99.51,-20.378,60.542,-29.488,13.01,-0.3957,swarm_584_0.pdb
top_3_A,A,top_3_B,B,11.5,-34.18,-56.827,89.32,65.25,-16.12,8.67,-0.418,8.584,0.2858,swarm_224_35.pdb
top_4_A,A,top_4_B,B,-2.38,-26.51,-53.369,4.55,52.73,-20.055,-41.162,-7.217,-1.75,-0.0213,swarm_19_140.pdb
top_5_A,A,top_5_B,B,10.8,-18.32,-45.254,97.63,109.03,-26.681,74.557,20.814,-0.484,-0.0896,swarm_66_136.pdb
top_6_A,A,top_6_B,B,1.1,-35.59,-53.854,12.09,37.22,-18.062,28.658,-22.376,7.977,-0.0633,swarm_379_7.pdb
top_7_A,A,top_7_B,B,-1.16,-34.93,-53.64,32.57,53.41,-29.113,59.249,-12.74,-4.203,0.0295,swarm_93_67.pdb
top_8_A,A,top_8_B,B,0.62,-32.71,-52.093,21.41,57.9,-8.865,46.811,25.637,-11.64,-0.0373,swarm_396_55.pdb
top_9_A,A,top_9_B,B,3.72,-36.42,-53.674,68.98,67.52,-12.856,21.46,-8.456,6.865,0.0117,swarm_531_130.pdb
top_10_A,A,top_10_B,B,-5.86,-32.55,-52.733,81.34,73.79,-11.494,42.739,-15.089,6.424,-0.3795,swarm_584_80.pdb
top_11_A,A,top_11_B,B,7.82,-28.3,-51.06,45.23,72.65,-24.302,-50.933,-19.617,-1.794,-0.0944,swarm_350_6.pdb
top_12_A,A,top_12_B,B,4.54,-31.11,-46.923,-86.62,-6.72,-17.432,-76.092,9.96,-9.738,-0.3517,swarm_472_195.pdb
top_13_A,A,top_13_B,B,4.3,-29.38,-61.815,42.92,118.29,-16.492,38.933,11.043,5.89,-0.2011,swarm_580_148.pdb
top_14_A,A,top_14_B,B,12.14,-26.3,-54.329,-42.14,2.47,-19.309,-113.648,17.502,-12.479,-0.0462,swarm_527_184.pdb
top_15_A,A,top_15_B,B,8.28,-34.91,-57.386,12.06,43.56,-7.926,-29.124,16.123,-10.63,-0.0753,swarm_459_104.pdb
top_16_A,A,top_16_B,B,6.12,-25.21,-51.778,166.79,132.2,-24.736,-6.184,4.27,-5.879,0.1756,swarm_445_172.pdb
top_17_A,A,top_17_B,B,17.56,-15.37,-51.984,12.51,47.93,-32.601,-93.695,31.265,-13.833,-0.2219,swarm_405_167.pdb
top_18_A,A,top_18_B,B,5.76,-24.22,-49.537,-21.77,24.94,-20.494,-48.654,-1.071,0.786,-0.0182,swarm_353_20.pdb
top_19_A,A,top_19_B,B,5.12,-32.7,-59.884,19.43,24.72,-19.627,-56.533,27.513,-11.869,0.0284,swarm_563_151.pdb
