pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-4.14,-33.83,-43.56,-45.92,9.68,7.874,-31.411,20.44,1.522,-0.2003,swarm_168_186.pdb
top_2_A,A,top_2_B,B,-3.46,-36.47,-45.5,-57.98,-24.12,-5.661,-69.802,-26.795,2.374,-0.362,swarm_77_109.pdb
top_3_A,A,top_3_B,B,-6.2,-43.7,-51.937,-84.01,-22.97,-9.331,-34.501,-35.918,1.871,-0.279,swarm_92_188.pdb
top_4_A,A,top_4_B,B,-4.84,-28.82,-37.826,-38.56,-7.42,-12.017,79.52,-18.949,-0.209,-0.241,swarm_168_10.pdb
top_5_A,A,top_5_B,B,-7.58,-33.65,-42.378,-45.52,-14.1,-5.57,12.754,-20.357,4.601,-0.1997,swarm_125_132.pdb
top_6_A,A,top_6_B,B,0.98,-27.54,-36.763,1.84,2.32,-4.729,-21.229,-13.592,-3.736,-0.0963,swarm_141_89.pdb
top_7_A,A,top_7_B,B,-3.22,-29.68,-37.746,-5.89,25.77,-9.073,10.508,-11.698,-0.339,-0.1761,swarm_152_122.pdb
top_8_A,A,top_8_B,B,-1.38,-33.31,-42.647,-37.19,-17.12,0.646,21.495,-11.927,5.735,-0.0073,swarm_168_195.pdb
top_9_A,A,top_9_B,B,-1.02,-23.67,-32.063,-36.83,-12.11,-4.382,-28.863,-14.956,-0.631,0.0265,swarm_68_98.pdb
top_10_A,A,top_10_B,B,-1.98,-25.81,-33.861,-19.22,-4.84,-5.501,-22.456,-2.273,-1.547,-0.3358,swarm_170_65.pdb
top_11_A,A,top_11_B,B,2.08,-16.71,-30.33,-31.97,-15.07,-2.596,-3.858,7.348,0.712,-0.1405,swarm_72_28.pdb
top_12_A,A,top_12_B,B,-7.9,-28.0,-37.039,-3.62,6.58,0.234,21.988,-8.227,6.801,-0.1215,swarm_165_0.pdb
top_13_A,A,top_13_B,B,4.22,-24.26,-32.599,-37.28,9.46,-11.462,-21.283,-13.504,1.194,-0.1322,swarm_29_96.pdb
top_14_A,A,top_14_B,B,0.1,-26.84,-34.704,-43.27,-12.44,-8.849,-46.441,-16.83,2.763,-0.2615,swarm_34_54.pdb
top_15_A,A,top_15_B,B,4.48,-22.25,-29.914,-49.22,-16.58,-8.065,-66.212,-4.062,-2.878,0.0132,swarm_72_175.pdb
top_16_A,A,top_16_B,B,-3.46,-21.86,-30.513,-55.33,-26.79,-4.764,-48.609,-3.889,5.218,-0.2443,swarm_170_52.pdb
top_17_A,A,top_17_B,B,0.3,-23.02,-31.9,-17.44,-8.87,1.239,-51.293,4.301,2.595,-0.0926,swarm_49_143.pdb
top_18_A,A,top_18_B,B,0.54,-27.38,-33.973,-34.26,-18.72,0.488,-49.458,-9.848,5.489,-0.2122,swarm_72_171.pdb
top_19_A,A,top_19_B,B,-2.52,-32.75,-39.512,-58.22,-10.03,-16.121,-59.105,-25.874,0.005,-0.3286,swarm_168_111.pdb
top_20_A,A,top_20_B,B,-4.62,-25.82,-32.815,-66.99,-34.48,-5.641,-35.096,-26.435,4.151,-0.304,swarm_141_112.pdb
top_21_A,A,top_21_B,B,2.1,-22.0,-32.2,-12.33,-5.18,-18.089,-46.477,-11.969,-0.528,-0.0293,swarm_9_183.pdb
top_22_A,A,top_22_B,B,3.58,-22.86,-33.589,-19.12,-2.94,-0.722,-37.259,-4.744,-1.568,0.0279,swarm_168_104.pdb
top_23_A,A,top_23_B,B,-5.44,-27.71,-34.998,-82.08,-29.86,-4.538,-20.692,-22.65,4.096,-0.2946,swarm_152_101.pdb
top_24_A,A,top_24_B,B,1.16,-26.42,-39.264,3.06,9.46,9.578,32.837,19.508,0.095,-0.1289,swarm_72_13.pdb
top_25_A,A,top_25_B,B,-2.46,-24.08,-34.98,-51.86,-17.52,-4.65,-14.708,-4.067,2.822,-0.1053,swarm_165_72.pdb
top_26_A,A,top_26_B,B,-0.44,-23.14,-31.838,-73.13,-47.07,-6.441,-66.306,-9.23,6.464,-0.1171,swarm_77_194.pdb
top_27_A,A,top_27_B,B,2.4,-11.56,-22.199,46.94,29.38,-13.448,19.812,0.198,1.521,0.2302,swarm_168_72.pdb
top_28_A,A,top_28_B,B,-0.7,-16.46,-26.288,58.96,49.46,-5.973,95.811,-1.438,0.839,0.0481,swarm_3_106.pdb
top_29_A,A,top_29_B,B,-1.0,-24.08,-29.847,-17.58,-1.59,-1.874,-4.13,-15.797,0.335,-0.1493,swarm_97_46.pdb
top_30_A,A,top_30_B,B,0.62,-26.33,-33.727,30.12,7.98,1.528,-20.291,5.183,-3.152,0.0834,swarm_165_132.pdb
top_31_A,A,top_31_B,B,7.56,-24.85,-33.872,-49.39,-24.19,-13.038,-62.869,-5.868,-4.218,-0.181,swarm_26_149.pdb
top_32_A,A,top_32_B,B,-5.62,-23.0,-32.572,26.66,40.37,-17.53,7.545,-15.556,-0.054,-0.1408,swarm_69_127.pdb
top_33_A,A,top_33_B,B,-2.76,-20.13,-29.776,17.56,33.96,-11.437,88.361,-6.721,-0.171,-0.002,swarm_3_50.pdb
top_34_A,A,top_34_B,B,-8.32,-27.05,-34.004,-45.07,-12.14,-2.712,44.094,-16.724,1.81,-0.3114,swarm_160_66.pdb
top_35_A,A,top_35_B,B,-6.36,-25.21,-29.775,-28.56,-14.12,-2.288,-36.041,-29.281,5.417,-0.0697,swarm_160_143.pdb
top_36_A,A,top_36_B,B,5.8,-20.9,-29.421,-24.06,-4.86,-1.688,-60.88,13.055,-3.654,0.0012,swarm_154_167.pdb
top_37_A,A,top_37_B,B,-5.14,-18.28,-26.596,25.35,15.57,-0.718,27.36,-0.465,-3.567,-0.0292,swarm_1_107.pdb
top_38_A,A,top_38_B,B,0.58,-20.12,-31.442,-34.73,-17.19,-5.454,-61.518,4.511,-1.166,-0.0837,swarm_72_197.pdb
top_39_A,A,top_39_B,B,-0.18,-23.13,-28.806,-49.85,-18.21,-8.891,-25.068,-11.333,-0.678,-0.3124,swarm_141_111.pdb
top_40_A,A,top_40_B,B,2.16,-22.78,-29.089,-4.01,14.06,-10.519,-25.577,-5.829,-1.541,-0.1498,swarm_79_82.pdb
top_41_A,A,top_41_B,B,-0.62,-22.4,-30.76,14.9,24.77,-7.203,19.739,-11.187,-3.483,-0.074,swarm_98_55.pdb
top_42_A,A,top_42_B,B,-2.04,-17.81,-28.634,19.33,8.51,1.605,-44.831,6.888,0.447,-0.1663,swarm_92_6.pdb
top_43_A,A,top_43_B,B,2.7,-20.14,-26.265,-44.58,-29.11,-2.127,-52.482,-8.074,-0.634,-0.0654,swarm_114_193.pdb
top_44_A,A,top_44_B,B,-0.28,-21.36,-28.728,-60.02,-30.75,-1.045,-56.355,-12.843,0.367,-0.3061,swarm_92_185.pdb
top_45_A,A,top_45_B,B,7.38,-19.07,-29.034,-34.6,-11.77,-18.213,-69.304,-4.689,-3.08,0.0304,swarm_159_27.pdb
top_46_A,A,top_46_B,B,-1.5,-27.76,-34.208,-64.46,-19.45,-2.689,-31.901,-27.429,4.721,-0.1207,swarm_165_120.pdb
top_47_A,A,top_47_B,B,-0.88,-19.01,-26.809,-43.21,-24.22,-12.432,-51.938,-8.373,1.074,-0.1825,swarm_162_95.pdb
top_48_A,A,top_48_B,B,-1.74,-22.62,-31.064,-51.51,-8.98,-6.299,-52.557,2.223,-0.18,0.0405,swarm_69_83.pdb
top_49_A,A,top_49_B,B,-1.36,-16.67,-25.923,-42.44,5.48,-6.905,15.249,-15.929,1.724,-0.1844,swarm_170_163.pdb
top_50_A,A,top_50_B,B,0.84,-22.77,-32.357,-66.78,-38.3,-10.278,-53.853,7.339,0.745,-0.0209,swarm_162_150.pdb
top_51_A,A,top_51_B,B,-0.08,-21.5,-30.014,-24.33,-7.67,-8.426,-56.19,-4.502,1.447,-0.1121,swarm_29_146.pdb
top_52_A,A,top_52_B,B,-2.5,-18.79,-28.904,32.65,26.46,3.47,8.305,6.967,2.496,-0.0369,swarm_29_108.pdb
top_53_A,A,top_53_B,B,-3.2,-21.49,-26.029,-19.84,1.19,2.903,-16.717,-6.812,3.185,-0.1246,swarm_137_194.pdb
top_54_A,A,top_54_B,B,-3.38,-23.03,-31.105,15.71,15.01,-12.272,54.282,-14.388,-0.231,-0.2759,swarm_154_20.pdb
top_55_A,A,top_55_B,B,4.78,-19.34,-27.181,-20.42,-5.18,-13.6,-53.088,-7.329,-3.388,-0.1904,swarm_98_139.pdb
top_56_A,A,top_56_B,B,-0.4,-22.5,-30.28,-52.78,-25.72,-14.66,-49.718,-5.854,1.026,-0.2956,swarm_138_115.pdb
top_57_A,A,top_57_B,B,1.82,-19.07,-28.276,-59.67,-1.4,-2.827,-9.838,8.395,-0.422,-0.0313,swarm_141_98.pdb
