pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-3.92,-30.95,-39.365,-61.09,-15.78,-4.456,-62.383,-6.098,6.993,-0.0688,swarm_98_76.pdb
top_2_A,A,top_2_B,B,4.56,-22.77,-33.991,11.37,14.12,0.119,-44.129,12.452,2.479,-0.049,swarm_150_145.pdb
top_3_A,A,top_3_B,B,-5.34,-26.34,-38.475,-19.68,-4.09,-3.02,-30.568,-23.077,14.312,-0.126,swarm_192_170.pdb
top_4_A,A,top_4_B,B,-9.5,-26.77,-35.879,-50.06,-22.24,-4.44,-46.695,-23.257,14.816,-0.0897,swarm_192_177.pdb
top_5_A,A,top_5_B,B,-10.24,-26.86,-36.474,-47.57,-23.32,-3.082,-61.169,-12.812,14.918,1.207,swarm_77_156.pdb
top_6_A,A,top_6_B,B,-3.38,-21.58,-32.394,-25.56,-15.04,-2.804,-2.594,-2.292,19.077,0.2544,swarm_3_134.pdb
top_7_A,A,top_7_B,B,-2.54,-23.86,-32.407,-67.31,-32.19,-9.302,-38.257,-16.991,15.49,-0.1989,swarm_17_174.pdb
top_8_A,A,top_8_B,B,-13.92,-26.74,-33.359,-9.09,6.43,-5.879,43.791,-26.81,20.537,0.1125,swarm_53_110.pdb
top_9_A,A,top_9_B,B,-0.58,-20.96,-33.659,-40.72,12.58,-4.303,-78.092,-18.06,6.819,-0.0772,swarm_3_19.pdb
top_10_A,A,top_10_B,B,-4.84,-22.12,-29.743,-58.63,-24.84,-12.753,-46.257,-18.39,8.556,1.6795,swarm_96_60.pdb
top_11_A,A,top_11_B,B,-1.0,-21.63,-32.012,-32.73,-5.89,0.19,-11.439,-13.5,9.92,-0.0271,swarm_193_146.pdb
top_12_A,A,top_12_B,B,-1.7,-25.8,-35.864,9.81,18.9,-7.004,-18.043,-17.448,14.456,-0.079,swarm_98_150.pdb
top_13_A,A,top_13_B,B,-1.56,-23.89,-39.11,24.06,34.52,-8.397,45.687,8.173,7.877,-0.0146,swarm_17_84.pdb
top_14_A,A,top_14_B,B,-0.12,-19.23,-31.999,16.82,11.77,-8.667,-10.848,-16.292,12.576,0.121,swarm_199_192.pdb
top_15_A,A,top_15_B,B,5.24,-23.9,-33.158,-48.52,-9.41,1.098,-51.527,16.325,4.568,-0.1917,swarm_88_149.pdb
top_16_A,A,top_16_B,B,3.52,-14.75,-30.373,-60.8,2.42,-7.506,-21.567,8.262,-0.14,-0.1211,swarm_65_52.pdb
top_17_A,A,top_17_B,B,-0.58,-23.53,-29.995,-49.61,-24.13,-0.216,-32.191,2.977,5.655,0.0423,swarm_210_73.pdb
top_18_A,A,top_18_B,B,-5.64,-20.8,-30.007,-87.43,-40.9,-5.616,-42.978,-33.145,18.07,0.2127,swarm_186_101.pdb
