pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,1.48,-19.79,-32.377,-11.6,-5.83,-8.703,-37.707,-1.59,-2.638,-0.1008,swarm_137_10.pdb
top_2_A,A,top_2_B,B,6.76,-24.98,-34.693,-23.64,0.12,1.658,-26.671,7.562,-2.171,-0.1,swarm_120_67.pdb
top_3_A,A,top_3_B,B,0.2,-17.53,-30.393,48.89,66.41,-5.942,19.469,0.733,-2.255,0.1269,swarm_170_46.pdb
top_4_A,A,top_4_B,B,5.18,-23.51,-31.735,-53.35,9.64,-7.084,-26.077,-9.011,2.006,-0.0013,swarm_48_96.pdb
top_5_A,A,top_5_B,B,5.36,-23.54,-33.172,-66.29,-28.77,-5.933,-44.447,-3.75,0.121,-0.1793,swarm_47_188.pdb
top_6_A,A,top_6_B,B,8.44,-16.21,-26.291,112.58,81.01,-7.697,29.681,11.815,-7.203,0.098,swarm_164_45.pdb
top_7_A,A,top_7_B,B,1.16,-22.67,-29.007,-17.8,-24.18,-9.852,-39.049,-3.321,-2.933,0.0228,swarm_135_121.pdb
top_8_A,A,top_8_B,B,2.72,-17.46,-28.918,-13.35,11.35,-0.288,-28.59,7.562,-2.344,-0.1865,swarm_144_144.pdb
top_9_A,A,top_9_B,B,8.28,-28.12,-37.577,-58.86,-8.97,-13.252,-41.381,-7.59,-1.969,-0.0359,swarm_158_38.pdb
top_10_A,A,top_10_B,B,8.58,-24.88,-33.088,-48.65,-10.54,-12.3,-85.287,-10.035,-1.883,0.0829,swarm_105_125.pdb
top_11_A,A,top_11_B,B,5.86,-21.62,-30.11,-6.53,6.12,-5.176,-84.118,-1.296,-4.381,0.0416,swarm_56_194.pdb
top_12_A,A,top_12_B,B,3.18,-21.55,-30.533,6.74,24.33,5.936,48.155,18.589,-0.936,-0.1287,swarm_149_60.pdb
top_13_A,A,top_13_B,B,4.38,-24.47,-35.465,-38.34,-18.32,1.2,-54.664,18.403,-0.961,0.131,swarm_105_128.pdb
top_14_A,A,top_14_B,B,5.76,-21.25,-31.248,-44.79,-29.64,-3.843,-74.944,8.911,-2.291,-0.2168,swarm_164_109.pdb
top_15_A,A,top_15_B,B,7.78,-19.35,-30.485,9.94,39.64,-1.192,3.857,23.65,-2.734,-0.011,swarm_35_158.pdb
top_16_A,A,top_16_B,B,5.38,-17.42,-27.472,8.62,-1.4,-11.479,-36.311,-13.49,-1.645,-0.0389,swarm_116_163.pdb
top_17_A,A,top_17_B,B,3.72,-19.18,-31.304,-20.22,9.82,-27.158,29.523,-3.428,-1.599,0.0315,swarm_78_72.pdb
top_18_A,A,top_18_B,B,10.44,-16.18,-27.607,-12.96,9.71,-11.411,-26.073,20.862,-4.838,-0.0275,swarm_7_197.pdb
top_19_A,A,top_19_B,B,11.5,-19.7,-32.289,4.15,29.29,-0.917,39.202,27.302,-7.281,0.0105,swarm_181_192.pdb
top_20_A,A,top_20_B,B,2.48,-21.26,-29.612,-4.6,15.42,-8.995,-53.353,-0.295,-3.408,-0.0811,swarm_55_193.pdb
top_21_A,A,top_21_B,B,10.88,-22.63,-30.039,2.21,41.77,-23.864,7.523,-6.095,-0.169,-0.1154,swarm_16_81.pdb
top_22_A,A,top_22_B,B,8.96,-19.13,-27.623,34.22,43.09,-6.39,55.936,14.067,-7.173,-0.0198,swarm_18_79.pdb
top_23_A,A,top_23_B,B,9.78,-15.68,-27.746,-8.85,3.11,1.766,-34.229,27.346,-2.072,-0.0328,swarm_25_26.pdb
top_24_A,A,top_24_B,B,5.08,-19.47,-30.548,17.1,-3.09,-2.56,-59.864,11.002,-4.405,0.0176,swarm_13_31.pdb
top_25_A,A,top_25_B,B,0.58,-19.7,-30.418,-39.14,-4.53,-19.456,0.557,-18.339,-0.249,-0.1799,swarm_53_92.pdb
top_26_A,A,top_26_B,B,2.4,-17.22,-30.845,14.36,23.76,-9.24,-21.874,3.808,0.219,-0.0717,swarm_157_136.pdb
top_27_A,A,top_27_B,B,-0.38,-18.24,-26.092,-57.67,-15.39,1.546,-42.402,3.93,3.235,0.0231,swarm_174_11.pdb
top_28_A,A,top_28_B,B,2.8,-18.55,-32.177,-12.47,9.76,-11.651,-52.145,2.826,-0.284,-0.2112,swarm_116_165.pdb
top_29_A,A,top_29_B,B,1.38,-20.58,-29.998,-2.99,13.89,-5.069,3.664,3.034,-0.967,-0.1243,swarm_91_95.pdb
top_30_A,A,top_30_B,B,2.28,-14.93,-25.714,8.35,5.53,-2.034,-4.255,10.987,-3.369,-0.1002,swarm_162_157.pdb
top_31_A,A,top_31_B,B,7.36,-20.3,-28.844,-16.42,-11.3,-2.143,-62.518,2.374,-1.268,-0.1689,swarm_30_59.pdb
top_32_A,A,top_32_B,B,7.86,-18.94,-27.733,0.51,4.68,-4.804,-24.456,-3.901,-2.846,0.0676,swarm_166_3.pdb
top_33_A,A,top_33_B,B,3.74,-18.95,-25.734,-36.94,-14.33,-11.441,-48.031,-5.034,-4.67,0.0458,swarm_135_46.pdb
