pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,8.56,-24.33,-41.416,59.09,64.57,-23.918,88.207,-1.951,0.518,0.1799,swarm_228_40.pdb
top_2_A,A,top_2_B,B,4.18,-23.93,-38.063,-14.82,7.36,-17.832,-33.017,3.709,-5.223,-0.028,swarm_312_31.pdb
top_3_A,A,top_3_B,B,5.4,-24.43,-41.065,-49.63,-6.15,-20.61,-67.794,-16.273,-4.326,-0.0638,swarm_99_134.pdb
top_4_A,A,top_4_B,B,-6.04,-23.95,-37.427,41.09,41.74,-24.675,37.956,-3.744,0.71,-0.2432,swarm_46_9.pdb
top_5_A,A,top_5_B,B,9.4,-17.85,-37.269,-39.62,-9.34,-12.151,-77.29,25.611,-2.871,-0.0041,swarm_197_24.pdb
top_6_A,A,top_6_B,B,5.24,-18.28,-38.554,-85.26,-13.45,-40.391,-99.123,-32.43,0.046,-0.0823,swarm_280_65.pdb
top_7_A,A,top_7_B,B,11.22,-18.75,-38.176,-18.08,-11.03,0.569,-75.073,18.751,-8.829,0.0815,swarm_235_159.pdb
top_8_A,A,top_8_B,B,5.0,-19.08,-38.765,-77.89,-13.93,-48.906,-69.969,-30.039,-5.091,0.0199,swarm_198_192.pdb
top_9_A,A,top_9_B,B,2.42,-28.48,-39.277,-21.65,-0.35,-23.652,-51.275,-13.766,-5.711,0.0798,swarm_57_22.pdb
top_10_A,A,top_10_B,B,9.32,-17.91,-33.898,-78.23,-46.42,-20.272,-86.756,3.868,-5.974,-0.0526,swarm_87_166.pdb
top_11_A,A,top_11_B,B,4.8,-27.58,-38.512,3.06,4.8,-25.927,-51.643,-24.325,-2.044,0.0017,swarm_86_182.pdb
top_12_A,A,top_12_B,B,3.08,-16.47,-33.75,-13.89,-0.88,-42.645,-42.809,-20.959,-5.411,0.1248,swarm_108_21.pdb
top_13_A,A,top_13_B,B,1.08,-20.98,-32.623,-17.54,10.08,-12.86,29.927,0.646,-5.953,0.1317,swarm_239_111.pdb
top_14_A,A,top_14_B,B,4.9,-26.31,-35.421,-25.66,11.51,-23.367,-30.591,-13.47,-3.812,-0.0561,swarm_185_142.pdb
top_15_A,A,top_15_B,B,8.86,-22.16,-35.783,-47.37,-16.21,-14.505,-44.469,-0.106,-2.588,-0.0081,swarm_6_15.pdb
top_16_A,A,top_16_B,B,8.48,-25.53,-37.594,-8.17,20.12,-23.092,-52.406,-2.902,-4.576,0.0815,swarm_60_12.pdb
top_17_A,A,top_17_B,B,7.54,-24.07,-35.639,-3.3,15.43,-11.443,-38.574,0.203,-2.749,0.1152,swarm_0_168.pdb
top_18_A,A,top_18_B,B,11.38,-21.52,-35.677,7.39,10.68,-8.423,-44.951,8.09,-7.686,0.1088,swarm_127_17.pdb
top_19_A,A,top_19_B,B,3.2,-20.18,-35.159,18.7,18.98,-15.278,-46.648,11.133,-3.923,-0.0416,swarm_3_24.pdb
top_20_A,A,top_20_B,B,5.32,-21.1,-33.062,-24.25,15.49,-23.208,-28.571,-9.816,-0.993,0.1978,swarm_202_63.pdb
top_21_A,A,top_21_B,B,6.92,-22.9,-34.007,-31.77,-15.46,-21.998,-44.854,-12.385,-10.3,0.0147,swarm_44_65.pdb
top_22_A,A,top_22_B,B,6.3,-17.29,-37.507,-42.58,-8.51,-38.761,-43.774,-16.507,-6.347,-0.1671,swarm_201_102.pdb
top_23_A,A,top_23_B,B,4.68,-19.03,-38.304,-71.39,-19.92,-30.541,-53.4,-12.632,-4.912,0.1164,swarm_74_183.pdb
top_24_A,A,top_24_B,B,6.82,-16.58,-33.182,-23.67,-23.47,-12.686,-89.551,4.032,-5.475,-0.0876,swarm_70_183.pdb
top_25_A,A,top_25_B,B,4.68,-18.04,-35.815,-50.64,-6.27,-44.746,-85.985,-17.152,-2.721,-0.0135,swarm_170_149.pdb
top_26_A,A,top_26_B,B,-2.58,-27.26,-37.756,5.46,26.39,-19.314,-34.702,1.388,-1.903,-0.0222,swarm_82_90.pdb
top_27_A,A,top_27_B,B,4.9,-26.33,-36.145,-56.72,-10.99,-24.751,-67.518,-22.372,-4.577,-0.0599,swarm_252_100.pdb
top_28_A,A,top_28_B,B,-1.58,-22.89,-32.2,-12.21,-1.92,-14.065,-49.909,-20.115,-1.168,-0.0795,swarm_52_191.pdb
top_29_A,A,top_29_B,B,4.76,-26.14,-36.896,11.09,11.02,-9.362,-46.339,-6.347,-2.052,0.0002,swarm_148_84.pdb
top_30_A,A,top_30_B,B,4.96,-20.44,-33.335,-9.42,8.02,-10.964,-53.737,2.286,-1.694,0.0708,swarm_207_9.pdb
top_31_A,A,top_31_B,B,7.4,-28.15,-37.265,-73.03,-33.18,-16.386,-63.175,-14.932,-0.954,-0.2132,swarm_268_117.pdb
top_32_A,A,top_32_B,B,6.7,-14.73,-36.484,7.83,2.12,-19.753,-40.894,8.762,-4.342,-0.1022,swarm_191_104.pdb
top_33_A,A,top_33_B,B,0.16,-21.65,-33.767,-63.72,-7.17,-14.971,-55.34,0.622,-4.063,0.0046,swarm_266_18.pdb
top_34_A,A,top_34_B,B,3.0,-24.87,-38.073,22.88,54.74,-7.984,-11.409,13.077,-1.913,0.0673,swarm_92_154.pdb
top_35_A,A,top_35_B,B,10.84,-22.8,-35.848,-7.39,6.56,-7.744,-13.578,3.096,-5.655,-0.1134,swarm_36_122.pdb
top_36_A,A,top_36_B,B,8.46,-13.25,-37.507,-25.24,5.4,-19.878,-81.533,2.547,-6.05,-0.051,swarm_191_60.pdb
top_37_A,A,top_37_B,B,4.92,-18.52,-33.407,10.73,38.83,-20.309,-5.198,-7.508,-0.903,-0.2348,swarm_96_88.pdb
top_38_A,A,top_38_B,B,9.1,-20.31,-33.05,-12.05,2.36,-11.559,-50.661,-8.316,-5.068,-0.0366,swarm_52_115.pdb
top_39_A,A,top_39_B,B,12.4,-10.75,-33.9,-11.22,41.14,-14.827,-58.316,17.168,-10.351,0.2406,swarm_153_82.pdb
top_40_A,A,top_40_B,B,10.12,-26.26,-38.384,12.28,22.48,-8.097,-1.454,4.418,-4.996,0.1642,swarm_132_118.pdb
top_41_A,A,top_41_B,B,5.34,-20.39,-35.091,6.25,32.81,-23.205,13.671,-3.667,-10.853,0.0984,swarm_310_22.pdb
top_42_A,A,top_42_B,B,8.3,-13.13,-35.295,-23.13,6.08,-20.579,-46.891,25.712,-7.802,0.088,swarm_247_91.pdb
top_43_A,A,top_43_B,B,16.0,-19.55,-34.461,31.66,13.29,-8.746,-52.278,15.001,-4.061,0.1574,swarm_223_115.pdb
top_44_A,A,top_44_B,B,1.44,-23.57,-34.649,-38.36,-11.49,-6.646,-83.986,4.793,-0.311,-0.1833,swarm_230_196.pdb
top_45_A,A,top_45_B,B,8.24,-15.88,-34.152,-36.15,-15.1,-39.427,-66.787,-1.597,-5.483,-0.2777,swarm_170_154.pdb
top_46_A,A,top_46_B,B,9.16,-16.5,-36.457,172.29,142.11,-15.596,115.507,12.189,-6.354,0.2845,swarm_65_114.pdb
top_47_A,A,top_47_B,B,2.02,-23.09,-37.025,-78.05,-15.09,-21.715,-5.618,-8.759,-1.276,-0.1093,swarm_23_176.pdb
top_48_A,A,top_48_B,B,4.84,-20.39,-29.093,-48.18,-25.75,-10.187,-39.937,-9.429,-3.292,0.001,swarm_58_184.pdb
top_49_A,A,top_49_B,B,7.2,-25.86,-36.233,-38.75,-8.19,-12.314,-86.67,-6.282,-6.156,-0.055,swarm_281_9.pdb
top_50_A,A,top_50_B,B,3.56,-22.41,-34.223,-25.02,16.09,-8.751,-59.377,-7.215,-0.217,0.0812,swarm_106_76.pdb
top_51_A,A,top_51_B,B,8.12,-20.65,-33.748,-8.13,-15.21,-14.326,-17.823,-5.658,-3.621,-0.0169,swarm_20_14.pdb
top_52_A,A,top_52_B,B,3.0,-15.5,-35.359,-61.1,-1.59,-26.185,-60.32,-7.248,2.083,-0.1907,swarm_74_151.pdb
top_53_A,A,top_53_B,B,3.12,-30.3,-39.424,-53.0,-8.0,-3.302,-67.892,1.403,1.233,0.0469,swarm_294_94.pdb
top_54_A,A,top_54_B,B,10.6,-24.12,-34.252,3.04,10.03,-11.945,-35.399,-10.889,-3.479,0.1215,swarm_200_22.pdb
top_55_A,A,top_55_B,B,1.4,-16.0,-31.541,-25.51,1.41,-29.583,-37.461,-12.312,-0.407,0.0562,swarm_241_2.pdb
top_56_A,A,top_56_B,B,3.3,-23.94,-36.414,-14.77,17.24,-22.798,-42.484,-11.09,-1.678,-0.1224,swarm_12_133.pdb
top_57_A,A,top_57_B,B,9.8,-12.31,-26.752,78.08,66.77,-10.226,28.531,13.762,-6.714,0.2114,swarm_108_1.pdb
top_58_A,A,top_58_B,B,11.46,-19.56,-35.834,1.31,30.34,-20.97,2.791,4.291,-8.83,0.2716,swarm_277_6.pdb
top_59_A,A,top_59_B,B,6.02,-22.1,-34.283,26.86,38.57,-12.128,-33.083,-0.04,-6.578,-0.0283,swarm_26_159.pdb
top_60_A,A,top_60_B,B,1.56,-29.08,-39.227,-55.51,-22.16,-18.279,-71.141,-6.538,-0.901,-0.1748,swarm_219_92.pdb
top_61_A,A,top_61_B,B,4.92,-18.05,-31.824,-19.04,-1.5,-29.78,-33.248,-1.93,-5.944,0.0259,swarm_272_81.pdb
top_62_A,A,top_62_B,B,7.82,-20.76,-33.008,13.49,16.6,-10.531,-83.448,0.061,-2.426,-0.0406,swarm_309_60.pdb
top_63_A,A,top_63_B,B,5.22,-15.48,-34.021,-48.99,-18.74,-18.245,-69.005,5.233,-0.609,0.1465,swarm_96_158.pdb
top_64_A,A,top_64_B,B,-1.9,-19.12,-29.956,-33.85,-4.61,-10.403,-17.175,-12.399,-1.256,0.0423,swarm_166_58.pdb
