pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-0.72,-28.85,-42.065,-4.39,12.75,-18.065,8.972,-26.408,12.265,-0.3594,swarm_214_193.pdb
top_2_A,A,top_2_B,B,11.78,-9.44,-25.633,200.43,166.24,-24.679,326.848,15.447,-3.003,-0.1299,swarm_80_90.pdb
top_3_A,A,top_3_B,B,5.56,-28.24,-41.271,-11.82,-17.26,-4.915,-57.782,22.096,3.994,0.0195,swarm_251_192.pdb
top_4_A,A,top_4_B,B,10.9,-29.24,-41.6,-40.1,1.43,-1.909,-66.363,0.918,-2.462,-0.2231,swarm_200_27.pdb
top_5_A,A,top_5_B,B,10.9,-19.97,-35.095,76.93,52.93,-17.195,39.928,18.088,2.984,0.2059,swarm_196_199.pdb
top_6_A,A,top_6_B,B,6.32,-21.92,-36.076,-5.66,44.88,-20.703,82.44,-11.2,-4.541,-0.0467,swarm_147_59.pdb
top_7_A,A,top_7_B,B,8.42,-24.71,-39.728,0.0200000000001,13.94,-11.871,-30.056,-15.244,5.527,0.139,swarm_287_177.pdb
top_8_A,A,top_8_B,B,7.74,-20.08,-36.854,-12.98,18.61,-4.112,-2.901,-5.39,6.099,0.1773,swarm_405_91.pdb
top_9_A,A,top_9_B,B,-1.8,-25.83,-37.593,-70.89,-21.35,-12.734,-25.415,-30.826,12.38,-0.2464,swarm_251_191.pdb
top_10_A,A,top_10_B,B,2.66,-25.07,-37.339,-71.68,-19.87,-12.355,-54.686,-22.691,8.616,-0.2481,swarm_397_29.pdb
top_11_A,A,top_11_B,B,1.56,-23.36,-37.816,-23.07,-2.28,-9.567,-35.926,-10.41,10.415,-0.1022,swarm_176_194.pdb
top_12_A,A,top_12_B,B,6.36,-27.66,-40.505,-63.63,-49.38,-8.17,-86.0,1.487,-1.48,0.0823,swarm_338_186.pdb
top_13_A,A,top_13_B,B,5.74,-22.06,-37.672,-40.68,-18.67,-14.23,-33.617,-15.479,4.414,-0.0563,swarm_352_6.pdb
top_14_A,A,top_14_B,B,-6.28,-29.87,-38.447,-73.69,-20.41,-2.966,-18.986,-25.75,16.019,-0.1442,swarm_419_8.pdb
top_15_A,A,top_15_B,B,-1.66533453694e-16,-25.72,-35.016,-1.97,6.75,-7.408,-23.556,-9.958,3.992,-0.0989,swarm_323_84.pdb
top_16_A,A,top_16_B,B,4.38,-23.23,-37.444,-0.87,5.4,-14.253,-62.149,-1.625,3.677,-0.0162,swarm_323_87.pdb
top_17_A,A,top_17_B,B,-0.36,-24.15,-33.481,-37.69,-8.82,-11.794,-44.46,-9.453,5.443,-0.1586,swarm_330_70.pdb
top_18_A,A,top_18_B,B,3.34,-20.41,-38.362,-6.28,26.16,-10.39,-55.139,-2.399,-1.036,0.0037,swarm_376_128.pdb
top_19_A,A,top_19_B,B,2.66,-25.55,-40.211,52.38,45.29,-12.276,-25.142,-14.961,-2.359,0.0017,swarm_159_115.pdb
top_20_A,A,top_20_B,B,2.12,-25.55,-36.012,-40.7,-14.07,-8.496,-61.25,-24.295,8.563,-0.2111,swarm_214_154.pdb
top_21_A,A,top_21_B,B,8.7,-22.99,-32.738,24.48,23.6,-4.243,-34.828,-6.42,5.491,0.2005,swarm_198_27.pdb
top_22_A,A,top_22_B,B,3.9,-24.26,-35.567,-4.69,-1.91,0.969,-54.604,0.405,5.406,-0.0964,swarm_257_47.pdb
top_23_A,A,top_23_B,B,0.94,-24.38,-38.783,-15.61,17.48,-0.346,-40.981,-12.012,5.141,0.0945,swarm_230_144.pdb
top_24_A,A,top_24_B,B,0.12,-24.82,-35.36,-74.04,-30.83,-7.778,-34.873,-21.996,12.005,-0.2277,swarm_419_13.pdb
top_25_A,A,top_25_B,B,0.66,-30.44,-40.287,-2.01,4.99,1.139,-39.519,-11.703,10.44,-0.0407,swarm_176_160.pdb
top_26_A,A,top_26_B,B,3.02,-22.05,-35.502,2.71,10.34,-14.249,-15.499,5.979,-1.545,-0.1133,swarm_74_111.pdb
top_27_A,A,top_27_B,B,0.88,-22.99,-34.346,-32.23,-24.99,-15.149,-52.17,-12.686,4.161,0.0129,swarm_217_1.pdb
top_28_A,A,top_28_B,B,2.06,-19.36,-34.489,23.27,23.52,-7.265,-39.684,-3.451,4.551,0.0475,swarm_157_180.pdb
top_29_A,A,top_29_B,B,-5.68,-28.72,-40.543,0.76,30.04,-8.544,58.033,-6.737,19.24,-0.2092,swarm_323_56.pdb
top_30_A,A,top_30_B,B,2.0,-21.36,-40.067,-9.1,3.97,-6.208,-16.778,-5.404,5.07,-0.1318,swarm_337_54.pdb
top_31_A,A,top_31_B,B,4.5,-19.95,-34.424,47.55,65.57,-9.203,0.777,-13.824,5.033,0.3261,swarm_397_150.pdb
top_32_A,A,top_32_B,B,5.08,-21.88,-33.696,6.62,24.67,1.532,-67.822,20.356,-2.756,-0.1009,swarm_114_123.pdb
top_33_A,A,top_33_B,B,8.32,-16.57,-32.499,45.33,79.7,-7.893,96.157,27.465,6.305,0.2173,swarm_391_32.pdb
top_34_A,A,top_34_B,B,2.64,-24.54,-36.912,-21.01,2.3,-1.792,-51.407,-10.795,2.032,-0.1109,swarm_388_37.pdb
top_35_A,A,top_35_B,B,1.32,-24.67,-33.95,-33.48,-18.37,-23.813,-71.532,-17.362,2.509,-0.0767,swarm_294_65.pdb
top_36_A,A,top_36_B,B,1.9,-18.62,-33.399,-27.07,8.69,-13.203,-32.066,-5.831,2.481,0.0318,swarm_419_95.pdb
top_37_A,A,top_37_B,B,11.1,-17.87,-34.028,28.62,36.0,-11.234,-14.476,2.572,-5.958,0.0562,swarm_417_127.pdb
top_38_A,A,top_38_B,B,2.08,-19.62,-32.085,-87.02,-39.76,-16.2,-36.739,-0.149,2.602,-0.017,swarm_125_88.pdb
top_39_A,A,top_39_B,B,9.32,-16.61,-25.517,107.71,113.71,-7.229,131.992,16.403,-4.265,0.3998,swarm_145_135.pdb
top_40_A,A,top_40_B,B,4.34,-20.39,-35.894,43.59,49.23,1.011,-24.834,0.728,0.553,0.1147,swarm_299_109.pdb
top_41_A,A,top_41_B,B,-5.06,-27.59,-37.173,-41.55,-31.28,-15.825,-20.991,-25.085,15.965,-0.3421,swarm_251_162.pdb
top_42_A,A,top_42_B,B,2.96,-24.93,-35.333,-29.52,0.49,-11.958,-9.222,-14.138,6.517,-0.3234,swarm_350_150.pdb
top_43_A,A,top_43_B,B,-1.96,-32.2,-39.993,-78.59,-33.4,-8.329,3.143,-29.585,15.488,-0.2502,swarm_323_166.pdb
top_44_A,A,top_44_B,B,6.7,-20.9,-33.632,-0.94,1.43,-1.785,-15.057,-1.63,1.942,-0.0644,swarm_1_179.pdb
top_45_A,A,top_45_B,B,0.24,-22.54,-35.118,-21.3,10.36,-8.583,-55.803,-13.026,5.494,-0.1943,swarm_251_55.pdb
top_46_A,A,top_46_B,B,3.9,-23.0,-31.464,-25.31,-2.58,-5.112,-25.839,-17.846,9.674,-0.1446,swarm_397_56.pdb
top_47_A,A,top_47_B,B,1.14,-20.87,-37.771,60.99,54.81,-0.996,-30.628,5.396,-5.586,-0.0871,swarm_35_194.pdb
top_48_A,A,top_48_B,B,4.58,-27.14,-39.57,-31.31,-9.44,-11.727,-52.121,-22.627,8.074,0.238,swarm_350_20.pdb
top_49_A,A,top_49_B,B,1.0,-19.88,-29.912,-20.19,17.08,-3.289,-26.338,-12.146,1.232,0.0335,swarm_82_18.pdb
top_50_A,A,top_50_B,B,0.38,-23.45,-35.772,-25.53,-12.69,-6.042,-28.001,-12.675,8.302,-0.1578,swarm_251_73.pdb
top_51_A,A,top_51_B,B,9.3,-27.42,-37.732,50.52,26.83,-10.809,43.944,-4.691,-6.542,-0.0374,swarm_207_46.pdb
top_52_A,A,top_52_B,B,7.3,-18.38,-33.791,23.22,13.43,-10.493,-29.592,-8.723,6.86,-0.1706,swarm_408_186.pdb
top_53_A,A,top_53_B,B,7.04,-23.24,-35.256,-23.9,18.63,-4.6,-41.65,0.093,0.023,-0.0394,swarm_95_128.pdb
top_54_A,A,top_54_B,B,12.7,-20.99,-34.843,52.61,23.57,-8.925,-59.697,6.43,-2.148,0.227,swarm_294_3.pdb
top_55_A,A,top_55_B,B,5.24,-19.28,-33.59,38.37,37.07,-6.96,-10.222,-2.022,-0.734,-0.0277,swarm_216_98.pdb
top_56_A,A,top_56_B,B,4.7,-19.73,-30.988,-55.42,-18.07,-16.307,-63.02,-28.991,5.729,-0.2195,swarm_383_154.pdb
top_57_A,A,top_57_B,B,3.33066907388e-16,-22.51,-34.063,-65.51,-31.37,-2.882,-55.642,-7.197,0.667,0.0094,swarm_230_186.pdb
top_58_A,A,top_58_B,B,9.94,-17.88,-37.032,-35.45,-5.96,-8.128,-40.159,2.548,0.189,-0.1353,swarm_200_137.pdb
top_59_A,A,top_59_B,B,3.2,-13.51,-29.138,36.57,33.44,-13.352,34.726,-6.38,7.579,-0.0241,swarm_436_189.pdb
top_60_A,A,top_60_B,B,8.84,-20.27,-33.749,-18.69,7.64,-4.613,-53.623,-8.245,1.831,-0.0937,swarm_214_182.pdb
top_61_A,A,top_61_B,B,10.28,-21.89,-34.725,-20.59,17.77,-19.613,-7.193,2.439,-2.092,-0.1976,swarm_105_118.pdb
top_62_A,A,top_62_B,B,-6.56,-22.01,-32.287,-54.72,-25.89,-9.529,13.7,-19.668,15.704,-0.1718,swarm_397_149.pdb
top_63_A,A,top_63_B,B,-4.12,-24.13,-35.256,-18.96,-3.55,-18.178,-2.061,-27.294,12.781,-0.1814,swarm_196_41.pdb
top_64_A,A,top_64_B,B,2.82,-23.34,-37.324,-1.93,32.72,-0.213,-2.852,2.251,-0.015,-0.1947,swarm_311_88.pdb
top_65_A,A,top_65_B,B,-3.22,-23.77,-35.346,-28.46,-20.96,-7.563,-19.467,-23.602,9.073,-0.1477,swarm_82_70.pdb
top_66_A,A,top_66_B,B,-2.34,-22.13,-32.957,-13.82,-1.0,1.028,22.742,-2.1,8.741,-0.1843,swarm_352_34.pdb
top_67_A,A,top_67_B,B,4.4,-20.16,-33.436,-47.97,-1.57,-11.47,-62.788,-0.463,-0.552,-0.213,swarm_114_168.pdb
top_68_A,A,top_68_B,B,5.6,-23.22,-33.852,-67.13,-28.02,-6.676,-84.463,-0.438,1.227,0.0331,swarm_55_96.pdb
top_69_A,A,top_69_B,B,6.94,-24.76,-36.459,-27.22,-14.41,-7.94,-72.318,1.597,-1.202,0.2232,swarm_196_51.pdb
top_70_A,A,top_70_B,B,-2.14,-23.49,-34.692,-66.82,-26.02,-15.161,-54.502,-30.308,9.53,-0.2291,swarm_383_121.pdb
top_71_A,A,top_71_B,B,-0.38,-31.69,-41.729,-57.53,-7.76,-4.749,-27.949,-22.96,12.573,-0.134,swarm_214_184.pdb
top_72_A,A,top_72_B,B,-5.26,-22.73,-34.639,-72.77,-21.09,-10.1,10.318,-17.978,13.485,-0.2629,swarm_323_177.pdb
top_73_A,A,top_73_B,B,3.04,-22.87,-33.995,-26.36,-8.48,-14.378,-38.443,-26.771,9.035,-0.0545,swarm_350_8.pdb
top_74_A,A,top_74_B,B,0.84,-19.08,-32.545,-9.41,-3.52,-8.376,-33.504,-5.425,7.365,0.0259,swarm_325_107.pdb
top_75_A,A,top_75_B,B,4.9,-19.6,-30.992,-8.84,15.57,-8.958,-36.413,5.444,-1.343,-0.1819,swarm_284_94.pdb
top_76_A,A,top_76_B,B,4.02,-19.77,-32.377,-18.94,19.84,-19.587,-12.475,-1.654,0.483,0.0004,swarm_222_45.pdb
top_77_A,A,top_77_B,B,2.56,-24.4,-37.55,-15.54,-13.32,-9.082,-53.635,-6.255,5.577,-0.033,swarm_140_84.pdb
top_78_A,A,top_78_B,B,8.18,-19.8,-31.036,-36.19,-10.19,-10.607,-53.959,0.936,0.017,-0.0354,swarm_232_91.pdb
top_79_A,A,top_79_B,B,0.4,-25.61,-37.992,30.5,51.32,-0.343,35.036,7.024,5.873,0.0466,swarm_292_40.pdb
top_80_A,A,top_80_B,B,0.12,-25.02,-34.436,-24.48,-16.72,-11.857,-57.472,-15.082,6.743,0.0057,swarm_179_90.pdb
top_81_A,A,top_81_B,B,-1.64,-22.04,-33.109,30.43,47.14,-27.739,41.684,-26.912,9.716,-0.1654,swarm_383_113.pdb
top_82_A,A,top_82_B,B,7.82,-25.26,-33.523,-53.65,-10.21,-33.363,-24.673,-27.782,0.507,-0.2702,swarm_91_198.pdb
top_83_A,A,top_83_B,B,10.98,-15.74,-36.403,67.74,40.45,-9.188,-22.82,5.169,0.48,0.1178,swarm_124_96.pdb
top_84_A,A,top_84_B,B,1.76,-23.98,-35.169,11.92,21.06,-0.783,-20.043,-12.559,5.651,-0.0694,swarm_59_131.pdb
top_85_A,A,top_85_B,B,3.74,-17.4,-35.496,11.78,19.51,-6.207,11.229,18.127,1.849,0.1442,swarm_338_82.pdb
top_86_A,A,top_86_B,B,0.24,-22.94,-34.906,-34.13,-23.21,-10.578,-62.334,-18.185,5.083,-0.2313,swarm_253_168.pdb
top_87_A,A,top_87_B,B,4.38,-35.68,-47.083,-72.06,-24.18,-9.96,-22.328,-11.585,11.633,0.0082,swarm_157_15.pdb
top_88_A,A,top_88_B,B,-1.82,-23.01,-30.831,-39.18,-9.5,-4.107,-26.243,-17.926,11.219,-0.1399,swarm_419_181.pdb
top_89_A,A,top_89_B,B,-3.7,-22.87,-31.862,-81.94,-31.71,-15.534,-19.315,-20.166,7.449,-0.1759,swarm_345_98.pdb
top_90_A,A,top_90_B,B,12.18,-18.6,-32.318,72.23,81.22,-34.42,172.62,-5.424,-4.141,-0.3415,swarm_156_63.pdb
top_91_A,A,top_91_B,B,5.68,-18.56,-33.327,11.01,7.75,-2.934,-9.787,10.182,2.036,0.0432,swarm_114_153.pdb
top_92_A,A,top_92_B,B,-0.28,-27.65,-37.892,-82.36,-32.39,-15.467,-56.618,-33.588,8.216,0.1275,swarm_405_28.pdb
top_93_A,A,top_93_B,B,0.32,-19.36,-31.406,-56.82,-24.08,-0.428,-65.374,5.237,-0.596,-0.0622,swarm_34_181.pdb
top_94_A,A,top_94_B,B,5.42,-23.61,-32.843,11.94,18.58,-14.044,-23.898,-15.874,5.87,0.2821,swarm_157_76.pdb
top_95_A,A,top_95_B,B,3.58,-23.4,-34.79,-62.43,-22.26,-3.165,-60.456,6.958,0.051,0.0266,swarm_18_152.pdb
top_96_A,A,top_96_B,B,-1.9,-24.61,-33.219,-45.39,-11.85,-6.124,-24.053,-12.844,5.39,-0.2006,swarm_268_12.pdb
top_97_A,A,top_97_B,B,1.86,-19.38,-31.825,-59.58,-19.86,-21.693,-54.112,-12.282,0.308,-0.0889,swarm_105_112.pdb
top_98_A,A,top_98_B,B,2.42,-23.94,-36.602,18.88,11.72,-20.568,-49.863,-13.501,7.187,-0.079,swarm_126_66.pdb
top_99_A,A,top_99_B,B,-0.08,-18.5,-28.305,20.85,8.56,-7.953,-42.403,9.938,1.983,0.1347,swarm_89_18.pdb
top_100_A,A,top_100_B,B,7.06,-25.36,-35.486,17.52,12.0,-18.516,-74.369,-0.052,1.899,-0.1076,swarm_317_16.pdb
top_101_A,A,top_101_B,B,6.5,-15.85,-33.163,-8.28,4.39,-11.617,6.947,0.717,3.548,-0.004,swarm_140_145.pdb
top_102_A,A,top_102_B,B,1.36,-22.29,-31.71,-54.36,-21.6,-9.861,-42.797,-7.984,2.296,-0.2583,swarm_179_116.pdb
