pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,7.5,-27.88,-51.241,108.64,96.83,-10.48,28.4,8.198,-9.338,0.0275,swarm_55_32.pdb
top_2_A,A,top_2_B,B,8.74,-31.7,-58.347,2.54,45.47,-6.737,-13.226,12.74,-4.837,-0.0313,swarm_103_92.pdb
top_3_A,A,top_3_B,B,6.82,-23.64,-43.328,56.05,96.12,1.622,36.693,28.472,-19.678,0.0956,swarm_146_72.pdb
top_4_A,A,top_4_B,B,10.7,-30.0,-59.579,30.42,38.14,-17.138,-4.4,7.108,-9.634,-0.2257,swarm_250_38.pdb
top_5_A,A,top_5_B,B,8.68,-27.19,-45.039,-4.95,19.27,2.558,-79.556,22.465,-9.612,-0.0146,swarm_75_130.pdb
top_6_A,A,top_6_B,B,15.5,-27.02,-45.475,-19.28,20.59,-13.897,-70.327,-3.081,-13.988,0.0091,swarm_4_146.pdb
top_7_A,A,top_7_B,B,9.02,-25.0,-49.445,16.69,15.26,-6.398,-54.235,5.784,-9.302,-0.1134,swarm_179_113.pdb
top_8_A,A,top_8_B,B,11.46,-33.45,-52.969,14.91,66.6,-9.311,-10.844,-3.103,-13.579,-0.0148,swarm_129_197.pdb
top_9_A,A,top_9_B,B,23.02,-25.72,-52.515,94.78,106.59,-12.228,51.108,14.579,-20.302,0.1209,swarm_106_130.pdb
top_10_A,A,top_10_B,B,12.22,-8.36,-32.699,271.26,166.31,-3.208,301.567,51.176,-19.993,0.3029,swarm_274_35.pdb
top_11_A,A,top_11_B,B,17.12,-24.11,-45.796,-41.25,-12.38,-15.509,-83.248,-7.776,-10.608,-0.0394,swarm_16_99.pdb
top_12_A,A,top_12_B,B,7.82,-31.49,-48.605,112.46,108.04,-4.362,-3.887,14.745,-14.931,0.1112,swarm_171_154.pdb
top_13_A,A,top_13_B,B,13.1,-34.82,-51.385,-3.85,48.7,6.802,-66.735,11.749,-9.739,-0.0148,swarm_269_10.pdb
top_14_A,A,top_14_B,B,7.82,-23.95,-47.945,20.79,39.38,-5.78,-31.103,11.1,-11.609,-0.1815,swarm_235_49.pdb
top_15_A,A,top_15_B,B,8.92,-31.74,-44.794,-42.85,-10.58,-6.429,-71.356,-5.738,-8.637,-0.122,swarm_171_123.pdb
top_16_A,A,top_16_B,B,18.14,-21.51,-44.453,-34.04,5.73,-15.461,-77.104,-1.867,-11.331,0.0712,swarm_80_167.pdb
top_17_A,A,top_17_B,B,8.0,-28.79,-52.238,-10.34,37.11,-12.164,-42.487,27.149,-11.725,-0.14,swarm_140_72.pdb
top_18_A,A,top_18_B,B,9.66,-26.04,-49.175,86.11,109.65,-9.144,-2.851,12.206,-14.209,-0.3451,swarm_273_38.pdb
top_19_A,A,top_19_B,B,7.86,-19.24,-45.012,56.26,63.38,-2.938,-10.291,28.72,-11.147,-0.0208,swarm_229_152.pdb
top_20_A,A,top_20_B,B,9.42,-21.99,-43.067,-39.52,7.28,-2.231,-19.646,26.801,-11.928,-0.0704,swarm_159_11.pdb
