pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,13.7,-40.42,-66.39,-24.27,7.94,-99.38,-52.07,-76.627,2.785,-0.16,swarm_73_173.pdb
top_2_A,A,top_2_B,B,10.12,-30.7,-56.723,-44.75,4.99,-64.919,-72.748,-55.149,-1.465,-0.0882,swarm_248_100.pdb
top_3_A,A,top_3_B,B,2.84,-29.3,-46.737,-60.53,-12.62,-74.513,-70.017,-55.949,-1.064,-0.0754,swarm_367_51.pdb
top_4_A,A,top_4_B,B,17.68,-26.7,-61.677,83.08,113.26,-43.783,38.721,7.764,-9.957,0.3145,swarm_71_6.pdb
top_5_A,A,top_5_B,B,-2.62,-23.93,-45.493,-87.88,-14.58,-65.837,-15.248,-49.986,7.938,0.0558,swarm_361_66.pdb
top_6_A,A,top_6_B,B,11.12,-31.94,-54.856,-36.75,1.14,-52.509,-88.6,-12.676,-3.801,0.1693,swarm_40_61.pdb
top_7_A,A,top_7_B,B,11.68,-30.98,-56.429,-33.47,26.45,-36.553,-78.366,-21.918,-2.627,0.1135,swarm_71_51.pdb
top_8_A,A,top_8_B,B,6.56,-25.32,-54.797,-47.86,3.0,-83.371,-80.352,-41.391,-0.604,0.0634,swarm_61_131.pdb
top_9_A,A,top_9_B,B,16.18,-27.41,-46.588,99.43,73.63,-53.422,92.785,-27.671,-8.79,-0.0603,swarm_296_135.pdb
top_10_A,A,top_10_B,B,-0.62,-26.35,-46.42,-57.66,-9.42,-13.27,-95.344,8.59,-0.943,-0.1766,swarm_376_45.pdb
top_11_A,A,top_11_B,B,7.14,-29.99,-52.717,-46.69,14.43,-58.278,-56.282,-23.482,1.198,-0.0296,swarm_249_138.pdb
top_12_A,A,top_12_B,B,5.44,-25.76,-47.997,-59.22,-23.53,-91.748,-72.002,-75.226,0.073,-0.0121,swarm_12_11.pdb
top_13_A,A,top_13_B,B,-1.16,-30.68,-50.099,-3.46,6.58,-36.557,-53.959,-38.995,5.554,0.0078,swarm_115_92.pdb
top_14_A,A,top_14_B,B,0.64,-31.47,-54.976,-0.84,20.38,-46.289,20.144,-39.388,-0.71,-0.1292,swarm_224_58.pdb
top_15_A,A,top_15_B,B,7.82,-30.37,-49.665,-61.89,-5.75,-80.536,-39.782,-52.713,-1.039,-0.1115,swarm_338_42.pdb
top_16_A,A,top_16_B,B,4.3,-22.46,-42.428,2.94,17.36,-33.588,-57.33,-19.116,2.946,-0.1055,swarm_312_11.pdb
top_17_A,A,top_17_B,B,10.76,-19.02,-45.865,124.76,85.34,-47.987,120.064,-15.031,-1.058,0.0611,swarm_330_176.pdb
top_18_A,A,top_18_B,B,10.6,-23.26,-43.348,-33.97,-6.74,-52.969,-78.57,-27.709,-4.67,-0.0306,swarm_192_135.pdb
top_19_A,A,top_19_B,B,11.16,-28.72,-45.597,-80.1,-27.5,-102.68,-86.611,-72.891,-5.083,-0.1856,swarm_248_181.pdb
top_20_A,A,top_20_B,B,9.42,-26.13,-52.858,-34.26,-0.84,-46.147,-20.421,-5.835,-4.769,0.0975,swarm_305_13.pdb
top_21_A,A,top_21_B,B,8.0,-19.89,-47.878,-31.08,-9.82,-67.258,-72.054,-58.884,0.864,-0.346,swarm_374_141.pdb
top_22_A,A,top_22_B,B,2.04,-34.89,-69.504,66.47,83.22,-73.881,195.299,-33.192,1.431,-0.1018,swarm_212_47.pdb
top_23_A,A,top_23_B,B,5.88,-26.35,-43.06,-31.89,-0.13,-68.169,-68.323,-63.311,3.28,-0.0353,swarm_300_31.pdb
top_24_A,A,top_24_B,B,5.76,-20.64,-43.517,-22.51,14.26,-53.253,-81.628,-15.974,0.416,-0.1675,swarm_271_183.pdb
top_25_A,A,top_25_B,B,-2.06,-28.76,-52.71,-44.99,9.39,-43.445,17.3,-39.894,2.855,0.0196,swarm_125_7.pdb
top_26_A,A,top_26_B,B,7.28,-18.94,-42.83,-96.26,-16.83,-70.054,-77.375,-34.411,-0.769,-0.0753,swarm_319_53.pdb
top_27_A,A,top_27_B,B,13.06,-26.54,-51.745,63.71,55.42,-46.761,-21.895,-27.533,-9.595,0.0445,swarm_24_118.pdb
top_28_A,A,top_28_B,B,-2.38,-21.58,-43.348,-24.36,15.61,-65.843,-51.303,-40.696,1.846,-0.0359,swarm_346_67.pdb
top_29_A,A,top_29_B,B,6.06,-23.15,-50.782,-84.33,-7.72,-50.845,-76.903,-6.503,-8.163,0.0247,swarm_87_68.pdb
top_30_A,A,top_30_B,B,5.86,-25.14,-44.092,-59.18,3.15,-45.12,-67.164,-18.07,-8.003,0.0955,swarm_55_140.pdb
top_31_A,A,top_31_B,B,4.2,-20.31,-37.352,-30.66,-14.14,-44.688,-62.368,-29.852,-1.382,-0.2242,swarm_286_49.pdb
top_32_A,A,top_32_B,B,7.98,-23.37,-43.739,-34.45,-5.54,-40.12,-80.681,-45.382,2.886,0.0382,swarm_300_22.pdb
top_33_A,A,top_33_B,B,7.34,-24.55,-40.956,-16.66,-13.49,-76.051,-63.148,-60.078,-0.248,-0.0697,swarm_90_98.pdb
top_34_A,A,top_34_B,B,7.1,-23.32,-52.414,48.15,79.85,-57.929,-1.782,-44.642,-3.657,0.2125,swarm_224_120.pdb
top_35_A,A,top_35_B,B,13.02,-23.49,-43.829,-2.8,19.15,-30.318,-64.523,9.064,-5.824,0.0437,swarm_116_193.pdb
top_36_A,A,top_36_B,B,10.8,-23.5,-43.336,-25.12,26.83,-72.538,-24.702,-35.804,0.765,-0.017,swarm_87_192.pdb
top_37_A,A,top_37_B,B,5.1,-24.09,-48.062,-34.08,17.19,-51.961,-42.509,-29.931,-3.713,0.0014,swarm_374_36.pdb
top_38_A,A,top_38_B,B,13.04,-20.41,-42.812,-1.43,15.95,-42.286,-97.747,-19.787,-5.915,0.1364,swarm_168_55.pdb
top_39_A,A,top_39_B,B,21.74,7.19,-27.506,614.14,413.87,-54.0,810.521,15.673,-16.511,0.8916,swarm_374_199.pdb
top_40_A,A,top_40_B,B,13.48,-25.14,-50.068,-21.0,5.14,-83.57,-102.641,-38.117,-4.846,-0.1109,swarm_71_113.pdb
top_41_A,A,top_41_B,B,6.12,-30.7,-44.57,-34.14,19.7,-23.271,48.193,-22.301,1.089,-0.0904,swarm_198_71.pdb
top_42_A,A,top_42_B,B,8.46,-21.87,-41.075,13.98,23.32,-48.079,-27.956,-29.411,-0.659,-0.1135,swarm_300_107.pdb
top_43_A,A,top_43_B,B,11.68,-21.77,-49.765,1.92,27.61,-59.404,-37.464,-27.7,-3.253,-0.0165,swarm_73_168.pdb
top_44_A,A,top_44_B,B,5.34,-23.71,-44.147,-38.71,2.84,-39.747,-79.322,-13.927,-2.349,0.1214,swarm_104_13.pdb
top_45_A,A,top_45_B,B,-0.14,-26.36,-42.43,28.2,39.79,-37.65,-44.411,-44.773,10.981,-0.2109,swarm_171_135.pdb
top_46_A,A,top_46_B,B,1.28,-22.31,-46.849,-44.17,1.43,-68.478,-36.633,-43.557,1.235,0.0709,swarm_28_175.pdb
top_47_A,A,top_47_B,B,5.58,-30.97,-49.92,-46.48,-5.27,-75.702,-29.164,-48.992,7.691,0.2851,swarm_296_173.pdb
top_48_A,A,top_48_B,B,4.34,-22.1,-38.198,-33.43,23.58,-24.55,-20.426,-1.173,0.814,0.0436,swarm_233_193.pdb
top_49_A,A,top_49_B,B,4.82,-9.36,-27.51,-46.42,-14.54,-55.893,22.668,-34.953,-0.837,0.071,swarm_125_2.pdb
top_50_A,A,top_50_B,B,15.9,-24.74,-48.603,20.49,30.15,-42.014,-104.344,-19.666,-9.572,-0.0171,swarm_287_164.pdb
top_51_A,A,top_51_B,B,7.38,-23.21,-41.872,-45.99,-10.83,-97.158,-41.895,-62.983,3.771,-0.2199,swarm_370_139.pdb
top_52_A,A,top_52_B,B,7.0,-19.71,-39.894,31.42,41.75,-50.157,0.139,-22.275,-2.74,-0.1975,swarm_45_2.pdb
top_53_A,A,top_53_B,B,-1.84,-26.57,-43.836,-77.19,-26.76,-54.239,-74.268,-50.804,6.609,-0.1098,swarm_296_70.pdb
top_54_A,A,top_54_B,B,2.76,-23.9,-40.618,-70.35,-24.03,-78.269,-77.937,-63.751,2.199,-0.1843,swarm_125_46.pdb
top_55_A,A,top_55_B,B,6.66,-18.24,-41.814,-23.33,-16.29,-80.18,-59.117,-56.854,0.211,-0.0932,swarm_168_156.pdb
top_56_A,A,top_56_B,B,5.48,-25.17,-43.63,-50.81,-10.31,-23.847,-33.827,-20.097,4.985,0.0852,swarm_178_103.pdb
top_57_A,A,top_57_B,B,11.52,-22.11,-38.397,94.11,59.63,-39.086,26.882,-22.826,-4.163,-0.0921,swarm_370_138.pdb
top_58_A,A,top_58_B,B,9.96,-22.2,-48.112,-13.67,17.77,-53.929,-39.38,-30.196,-0.22,-0.1355,swarm_12_6.pdb
top_59_A,A,top_59_B,B,4.84,-39.16,-57.295,-72.41,-33.77,-77.112,-53.894,-34.606,0.335,-0.4024,swarm_104_118.pdb
top_60_A,A,top_60_B,B,2.86,-24.29,-41.749,-101.31,-36.05,-47.774,-95.454,-34.769,-1.772,-0.0182,swarm_249_25.pdb
top_61_A,A,top_61_B,B,2.28,-25.16,-42.179,-23.2,-1.19,-16.942,-77.857,-10.689,5.988,0.0433,swarm_332_138.pdb
top_62_A,A,top_62_B,B,-1.22,-21.68,-38.972,-27.12,6.49,-25.893,-38.112,-8.386,5.898,-0.1345,swarm_128_17.pdb
top_63_A,A,top_63_B,B,6.02,-14.17,-35.133,-46.57,-18.15,-54.192,-68.671,-27.157,-1.448,-0.1467,swarm_92_162.pdb
top_64_A,A,top_64_B,B,10.14,-13.62,-34.756,27.54,48.59,-32.835,-30.965,5.509,-3.782,0.0415,swarm_319_3.pdb
top_65_A,A,top_65_B,B,1.74,-20.65,-41.927,83.38,101.66,-15.334,52.323,-10.537,4.782,-0.2035,swarm_395_186.pdb
top_66_A,A,top_66_B,B,5.82,-17.61,-39.187,-122.69,-72.77,-73.581,-116.101,-49.359,-3.675,-0.1976,swarm_168_163.pdb
top_67_A,A,top_67_B,B,12.22,-19.5,-45.981,8.03,15.37,-59.606,-79.846,-41.702,-5.139,-0.0292,swarm_115_30.pdb
top_68_A,A,top_68_B,B,15.94,-15.44,-38.998,-9.16,15.5,-37.59,-41.67,9.551,-9.11,-0.1998,swarm_380_67.pdb
