pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,5.1,-23.82,-42.011,0.55,-6.87,-4.307,-76.94,9.159,3.129,-0.1214,swarm_211_93.pdb
top_2_A,A,top_2_B,B,-0.32,-25.17,-40.85,-21.05,0.33,-6.583,-67.616,-4.51,-2.831,-0.0612,swarm_80_108.pdb
top_3_A,A,top_3_B,B,5.98,-21.53,-46.233,55.69,62.58,-42.376,20.013,-17.675,-3.03,0.1019,swarm_78_40.pdb
top_4_A,A,top_4_B,B,2.94,-26.03,-41.633,-73.46,-41.76,-33.07,-74.715,-24.465,0.18,-0.2118,swarm_122_82.pdb
top_5_A,A,top_5_B,B,-7.2,-28.2,-44.952,-54.55,-1.77,-45.341,-2.628,-49.81,4.751,-0.127,swarm_75_149.pdb
top_6_A,A,top_6_B,B,-2.02,-25.49,-39.846,-95.04,-4.4,-34.324,-44.196,-20.242,3.975,0.0028,swarm_81_105.pdb
top_7_A,A,top_7_B,B,9.36,-21.84,-37.602,-35.48,5.62,25.013,-80.945,31.012,-3.646,0.2305,swarm_133_147.pdb
top_8_A,A,top_8_B,B,3.86,-20.47,-42.036,-9.72,17.1,-52.663,-57.614,-33.608,-1.902,-0.1238,swarm_75_168.pdb
top_9_A,A,top_9_B,B,-0.64,-22.9,-38.936,-79.93,-33.67,-1.829,-78.159,3.214,0.439,-0.0116,swarm_101_57.pdb
top_10_A,A,top_10_B,B,-0.18,-21.97,-38.271,-24.07,-1.83,-18.596,-26.169,-11.704,0.482,-0.0466,swarm_75_57.pdb
top_11_A,A,top_11_B,B,-1.32,-20.15,-34.522,-51.71,-35.04,-19.535,20.287,-10.221,1.199,-0.2618,swarm_71_142.pdb
top_12_A,A,top_12_B,B,-7.32,-24.63,-39.703,-53.17,-8.93,-41.652,-11.945,-56.389,9.18,-0.128,swarm_226_60.pdb
top_13_A,A,top_13_B,B,-1.82,-26.07,-41.302,-48.88,6.43,-19.279,-20.192,-22.596,-1.947,-0.0251,swarm_81_55.pdb
top_14_A,A,top_14_B,B,6.74,-16.69,-34.484,-53.6,-33.93,-24.506,-73.417,-6.859,0.437,-0.0471,swarm_23_136.pdb
top_15_A,A,top_15_B,B,7.68,-22.15,-36.473,-73.82,-38.55,-19.326,-75.721,0.005,-1.854,0.0186,swarm_232_166.pdb
top_16_A,A,top_16_B,B,4.96,-22.11,-37.121,-60.17,-34.18,-27.864,-86.766,-29.481,1.605,0.0465,swarm_77_197.pdb
top_17_A,A,top_17_B,B,-3.68,-28.79,-43.1,-66.43,-13.12,-42.738,-39.239,-52.962,8.478,-0.1192,swarm_205_98.pdb
top_18_A,A,top_18_B,B,8.0,-22.59,-37.538,-83.9,-33.11,-38.467,-73.424,-38.246,-4.29,-0.2493,swarm_73_66.pdb
top_19_A,A,top_19_B,B,-3.46,-21.91,-35.64,-32.76,-7.35,-39.1,23.085,-37.651,6.119,0.0127,swarm_133_25.pdb
top_20_A,A,top_20_B,B,0.74,-24.13,-39.211,-47.78,0.05,-29.103,-59.049,-39.014,6.89,-0.1611,swarm_78_50.pdb
top_21_A,A,top_21_B,B,0.18,-22.18,-36.365,-21.13,8.64,-10.15,-49.269,-2.162,3.318,-0.1213,swarm_188_133.pdb
top_22_A,A,top_22_B,B,2.6,-21.05,-38.157,-41.73,-19.73,-20.944,2.261,-17.634,1.388,0.0407,swarm_17_90.pdb
top_23_A,A,top_23_B,B,6.44,-21.3,-36.502,-23.26,3.82,-5.842,-27.067,10.468,-0.709,0.0754,swarm_23_46.pdb
top_24_A,A,top_24_B,B,7.22,-18.25,-34.673,9.59,-0.18,-34.119,-33.291,-15.226,-1.62,-0.1063,swarm_75_152.pdb
top_25_A,A,top_25_B,B,0.62,-19.35,-34.521,-11.7,5.52,-26.091,-2.786,-19.584,1.226,0.0327,swarm_78_171.pdb
top_26_A,A,top_26_B,B,-0.14,-18.67,-35.151,-63.16,-10.36,-25.145,-50.819,-17.141,4.496,-0.0054,swarm_81_81.pdb
top_27_A,A,top_27_B,B,3.1,-17.6,-36.133,13.14,49.33,-31.957,95.658,-8.04,6.248,-0.1963,swarm_189_172.pdb
top_28_A,A,top_28_B,B,0.38,-22.31,-37.561,6.91,27.04,-16.425,18.563,-0.622,4.826,-0.1815,swarm_123_16.pdb
top_29_A,A,top_29_B,B,5.98,-23.06,-35.947,-32.71,3.7,2.938,-45.716,18.68,-0.952,0.0766,swarm_101_11.pdb
top_30_A,A,top_30_B,B,0.48,-22.92,-35.885,5.44,13.53,-17.086,50.847,-6.009,1.588,-0.0427,swarm_77_95.pdb
top_31_A,A,top_31_B,B,-10.5,-28.01,-41.061,-30.84,-22.6,-14.898,58.502,-23.974,7.038,-0.1389,swarm_7_150.pdb
top_32_A,A,top_32_B,B,5.44,-14.39,-32.39,-21.41,-2.7,-14.053,-50.226,0.153,-1.061,-0.0235,swarm_73_125.pdb
top_33_A,A,top_33_B,B,14.62,-14.47,-30.907,48.68,57.66,20.276,-23.671,60.866,-4.943,0.3097,swarm_122_97.pdb
top_34_A,A,top_34_B,B,8.06,-18.2,-33.01,-32.17,6.51,-27.601,-78.955,-14.451,-2.61,-0.1712,swarm_184_46.pdb
top_35_A,A,top_35_B,B,-1.42,-25.29,-42.206,62.73,52.44,-2.567,76.781,3.559,3.155,-0.1588,swarm_202_196.pdb
top_36_A,A,top_36_B,B,7.26,-14.78,-31.658,-21.46,28.25,-18.863,-35.576,-7.676,-0.484,-0.033,swarm_66_61.pdb
