pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,8.78,-32.35,-51.229,-11.72,26.22,2.32,-50.429,35.598,-13.74,0.1553,swarm_135_115.pdb
top_2_A,A,top_2_B,B,3.02,-24.8,-39.645,-24.1,-8.42,-14.788,-72.539,-1.39,-0.576,-0.0092,swarm_114_72.pdb
top_3_A,A,top_3_B,B,6.72,-26.94,-40.209,-81.05,-16.0,-23.638,-58.484,-20.67,-0.899,-0.0704,swarm_77_157.pdb
top_4_A,A,top_4_B,B,6.94,-19.87,-36.973,-39.89,7.97,-18.52,-56.736,-2.245,-1.3,-0.0904,swarm_292_111.pdb
top_5_A,A,top_5_B,B,7.12,-19.96,-36.711,-32.11,4.74,-7.999,-44.116,15.007,-6.337,-0.0219,swarm_93_151.pdb
top_6_A,A,top_6_B,B,8.4,-27.06,-47.807,-37.74,-0.27,-2.419,-113.889,28.029,-6.311,-0.0095,swarm_92_141.pdb
top_7_A,A,top_7_B,B,7.72,-23.23,-40.404,-47.09,-12.85,-6.246,-97.518,-0.706,-5.619,0.0516,swarm_135_1.pdb
top_8_A,A,top_8_B,B,10.44,-22.99,-44.161,0.23,17.46,-23.575,-42.879,-3.157,-8.56,0.2107,swarm_165_38.pdb
top_9_A,A,top_9_B,B,5.76,-25.94,-36.357,-85.98,-30.53,-9.839,-51.544,-7.674,-5.701,-0.1202,swarm_157_197.pdb
top_10_A,A,top_10_B,B,3.38,-22.87,-35.369,-49.17,-5.9,-18.754,-63.927,-10.647,-3.703,0.0516,swarm_19_50.pdb
top_11_A,A,top_11_B,B,6.58,-31.14,-43.151,-78.15,-17.96,-22.77,-61.384,-11.948,-3.81,0.0557,swarm_103_39.pdb
top_12_A,A,top_12_B,B,1.0,-23.8,-39.758,-44.52,-35.78,-23.915,-87.916,-5.036,-4.927,-0.126,swarm_69_130.pdb
top_13_A,A,top_13_B,B,9.5,-20.17,-39.039,26.43,42.66,-2.061,-27.176,30.742,-10.587,-0.0182,swarm_309_182.pdb
top_14_A,A,top_14_B,B,11.8,-22.84,-40.34,35.99,42.85,-17.079,-65.956,12.033,-8.014,0.1895,swarm_69_190.pdb
top_15_A,A,top_15_B,B,7.54,-14.21,-35.338,4.75,25.77,-8.83,9.053,10.983,-2.641,-0.0127,swarm_152_49.pdb
top_16_A,A,top_16_B,B,13.16,-26.01,-41.566,99.42,68.18,-17.288,-23.32,8.591,-9.876,-0.0324,swarm_93_84.pdb
top_17_A,A,top_17_B,B,7.0,-16.87,-34.9,2.46,23.35,-11.54,-79.045,20.235,-7.615,-0.2072,swarm_167_193.pdb
top_18_A,A,top_18_B,B,2.9,-19.36,-35.3,-59.43,0.7,-10.821,-51.828,-8.364,-3.922,0.0883,swarm_1_33.pdb
top_19_A,A,top_19_B,B,5.76,-18.77,-37.181,4.01,15.77,-9.355,-7.362,19.305,-7.187,-0.0118,swarm_138_81.pdb
top_20_A,A,top_20_B,B,2.86,-25.87,-39.235,83.63,70.14,-25.8,24.119,-17.92,2.261,-0.1895,swarm_89_1.pdb
top_21_A,A,top_21_B,B,6.0,-24.1,-33.753,17.68,12.99,-15.424,-51.579,-8.696,-1.567,-0.1822,swarm_253_65.pdb
top_22_A,A,top_22_B,B,2.82,-14.97,-33.596,-36.35,-9.08,-13.506,-70.495,17.549,-2.62,0.0262,swarm_333_122.pdb
top_23_A,A,top_23_B,B,8.54,-20.47,-35.28,-38.84,8.15,-8.159,-42.035,12.634,-2.159,0.0369,swarm_248_112.pdb
top_24_A,A,top_24_B,B,6.04,-18.74,-38.408,17.33,28.23,-17.375,49.069,-0.837,-5.119,-0.0903,swarm_167_12.pdb
top_25_A,A,top_25_B,B,4.58,-24.68,-38.646,-88.46,-30.78,-33.749,-81.334,-17.846,-1.238,-0.2384,swarm_205_130.pdb
top_26_A,A,top_26_B,B,7.92,-24.93,-38.607,34.41,24.43,-24.904,-2.573,-18.173,-3.879,0.2859,swarm_261_178.pdb
top_27_A,A,top_27_B,B,7.58,-18.06,-29.724,-30.59,-0.81,-11.73,-64.901,3.678,-3.431,-0.0016,swarm_114_134.pdb
top_28_A,A,top_28_B,B,8.12,-24.82,-36.463,-51.5,2.62,-7.068,-35.162,-11.751,-8.164,0.2032,swarm_271_21.pdb
top_29_A,A,top_29_B,B,10.18,-15.01,-26.625,29.38,48.67,-17.618,41.843,-9.131,-5.713,0.0887,swarm_114_77.pdb
top_30_A,A,top_30_B,B,3.48,-15.22,-29.466,29.57,21.53,-17.687,45.475,-0.903,-2.276,0.0382,swarm_286_162.pdb
top_31_A,A,top_31_B,B,7.84,-21.99,-33.29,9.8,27.16,-16.349,-17.29,-18.731,-4.534,-0.2128,swarm_116_74.pdb
top_32_A,A,top_32_B,B,3.22,-17.89,-30.757,28.71,26.04,-6.438,-2.572,9.939,-3.062,0.0798,swarm_192_29.pdb
top_33_A,A,top_33_B,B,5.56,-17.72,-32.392,33.61,21.89,-23.817,23.568,-11.482,-2.827,-0.3304,swarm_271_81.pdb
top_34_A,A,top_34_B,B,9.06,-22.19,-35.554,-24.32,5.83,-19.062,-39.64,-1.065,-4.895,-0.0469,swarm_70_140.pdb
top_35_A,A,top_35_B,B,1.0,-20.34,-32.454,-45.63,-8.38,-13.43,-66.424,-11.534,-4.301,-0.1007,swarm_142_136.pdb
top_36_A,A,top_36_B,B,2.12,-19.26,-32.551,-19.16,10.75,-8.181,-45.158,-18.599,-4.208,-0.0096,swarm_22_99.pdb
top_37_A,A,top_37_B,B,8.0,-19.44,-35.138,-20.07,-12.85,-3.548,-88.613,15.314,-5.195,-0.0756,swarm_309_2.pdb
top_38_A,A,top_38_B,B,5.92,-12.06,-28.033,-65.43,-11.81,-12.024,-22.493,-3.657,-1.474,-0.0027,swarm_241_197.pdb
top_39_A,A,top_39_B,B,7.48,-18.39,-31.766,-29.93,1.67,-0.029,-64.001,20.317,-1.786,0.0563,swarm_216_133.pdb
top_40_A,A,top_40_B,B,7.88,-26.23,-36.053,7.58,11.04,-13.068,-33.162,-3.952,-6.206,0.0929,swarm_4_24.pdb
top_41_A,A,top_41_B,B,14.72,-16.03,-32.045,-4.81,24.47,-8.449,-57.432,9.972,-9.734,0.2955,swarm_329_59.pdb
top_42_A,A,top_42_B,B,5.16,-26.11,-38.596,-20.46,-12.93,-16.367,-49.757,-30.516,-2.734,-0.1552,swarm_74_46.pdb
top_43_A,A,top_43_B,B,9.04,-21.47,-38.658,61.77,59.09,-21.296,27.13,3.8,-4.739,0.0059,swarm_267_19.pdb
top_44_A,A,top_44_B,B,6.42,-24.24,-37.094,122.08,70.48,-7.434,3.465,9.562,-7.632,0.156,swarm_197_99.pdb
top_45_A,A,top_45_B,B,-1.34,-21.77,-31.626,-45.12,-5.36,-8.702,-47.02,5.196,-1.052,-0.0397,swarm_282_85.pdb
top_46_A,A,top_46_B,B,1.7,-11.89,-25.589,91.11,49.55,-7.565,61.056,5.373,-1.256,0.0163,swarm_53_105.pdb
top_47_A,A,top_47_B,B,14.04,-19.27,-37.948,-18.96,16.01,3.272,-36.992,41.023,-5.882,0.037,swarm_333_125.pdb
top_48_A,A,top_48_B,B,12.66,-19.44,-30.783,-6.65,10.56,-17.775,-36.878,3.062,-7.438,-0.0622,swarm_224_178.pdb
top_49_A,A,top_49_B,B,-0.66,-23.53,-32.504,-35.13,-7.04,-4.455,-46.346,-8.382,0.756,-0.0514,swarm_255_94.pdb
top_50_A,A,top_50_B,B,1.46,-13.71,-27.902,12.13,6.29,-21.316,-53.006,-6.803,1.0,-0.1329,swarm_21_9.pdb
top_51_A,A,top_51_B,B,4.6,-22.64,-32.116,2.66,8.13,-13.175,-28.213,2.943,-2.933,0.0799,swarm_111_116.pdb
top_52_A,A,top_52_B,B,3.9,-19.58,-29.56,-35.7,-11.05,-32.576,-40.899,-24.121,-1.928,-0.1412,swarm_60_170.pdb
top_53_A,A,top_53_B,B,6.38,-18.81,-32.258,-6.82,-6.36,-17.212,-67.749,8.214,-4.289,-0.0888,swarm_52_70.pdb
top_54_A,A,top_54_B,B,2.72,-14.38,-25.689,10.97,28.42,-4.016,10.291,3.933,-2.198,0.0233,swarm_135_68.pdb
top_55_A,A,top_55_B,B,6.82,-14.07,-30.792,-47.36,12.28,2.834,-62.231,31.548,-7.672,0.2888,swarm_248_83.pdb
top_56_A,A,top_56_B,B,7.7,-18.42,-31.284,34.87,35.07,-16.276,-29.932,9.347,-4.146,0.0486,swarm_156_133.pdb
top_57_A,A,top_57_B,B,3.18,-11.42,-30.475,-22.59,-3.47,-7.222,-38.304,8.016,-2.849,0.0799,swarm_313_122.pdb
top_58_A,A,top_58_B,B,12.58,-11.71,-33.824,84.73,53.04,-14.719,14.615,18.613,-7.038,0.0519,swarm_159_130.pdb
top_59_A,A,top_59_B,B,0.08,-17.45,-32.293,-29.66,-32.27,-12.768,-63.363,-18.064,0.73,-0.028,swarm_68_47.pdb
top_60_A,A,top_60_B,B,10.32,-15.33,-32.794,14.56,3.97,-10.882,-81.113,18.544,-5.892,-0.0094,swarm_152_8.pdb
top_61_A,A,top_61_B,B,5.1,-18.86,-28.673,-42.14,-7.25,-7.088,-45.811,7.629,-4.851,-0.1086,swarm_115_106.pdb
top_62_A,A,top_62_B,B,10.0,-18.47,-32.748,33.93,41.23,-4.392,-39.508,11.99,-3.485,0.1539,swarm_159_89.pdb
top_63_A,A,top_63_B,B,1.76,-13.27,-27.508,-2.78,18.55,-6.309,-43.343,1.198,0.734,-0.1518,swarm_244_48.pdb
top_64_A,A,top_64_B,B,9.3,-20.62,-35.851,19.04,23.13,-9.542,-77.983,8.434,-5.303,0.0961,swarm_167_43.pdb
top_65_A,A,top_65_B,B,1.64,-20.97,-27.007,-58.15,-18.96,-11.624,-59.755,-19.829,-0.549,-0.1339,swarm_93_12.pdb
top_66_A,A,top_66_B,B,8.58,-25.18,-41.918,-76.29,-16.97,-23.612,-73.008,-22.28,-2.574,-0.0498,swarm_112_80.pdb
top_67_A,A,top_67_B,B,4.04,-21.78,-33.25,7.34,24.46,6.415,-30.774,24.36,-9.986,0.2575,swarm_4_98.pdb
top_68_A,A,top_68_B,B,-0.28,-26.09,-32.166,-26.96,7.29,-7.246,-43.144,-7.64,2.737,0.031,swarm_30_44.pdb
top_69_A,A,top_69_B,B,8.04,-18.15,-28.463,32.08,27.42,-4.436,-7.186,8.89,-1.805,-0.3548,swarm_88_75.pdb
top_70_A,A,top_70_B,B,4.26,-15.94,-27.891,-19.44,-3.88,-23.089,6.294,-2.108,-4.045,0.1125,swarm_311_188.pdb
top_71_A,A,top_71_B,B,10.86,-12.13,-29.685,47.5,25.23,-9.323,-70.013,13.093,-6.624,0.0462,swarm_114_57.pdb
top_72_A,A,top_72_B,B,6.22,-18.29,-35.461,-51.42,-12.44,-20.821,-73.111,-1.562,-5.903,-0.1169,swarm_313_68.pdb
top_73_A,A,top_73_B,B,6.12,-14.12,-29.368,12.82,28.41,-8.63,-49.806,8.797,-3.632,0.0469,swarm_152_0.pdb
top_74_A,A,top_74_B,B,-0.52,-18.68,-28.955,-30.89,-14.85,-7.192,-52.249,-12.376,2.039,-0.1386,swarm_41_189.pdb
top_75_A,A,top_75_B,B,-1.5,-13.28,-28.897,-50.74,0.03,-19.204,-3.865,-3.724,-0.027,-0.0803,swarm_159_108.pdb
top_76_A,A,top_76_B,B,5.04,-21.4,-28.909,1.0,-10.04,-4.603,-37.161,-1.924,-0.872,-0.0466,swarm_41_185.pdb
top_77_A,A,top_77_B,B,7.02,-17.55,-36.81,-9.97,38.11,-10.624,-54.029,11.157,-5.074,-0.12,swarm_313_136.pdb
top_78_A,A,top_78_B,B,6.38,-19.51,-28.08,-0.07,-0.19,-9.052,-39.978,-7.089,-2.154,-0.0615,swarm_271_123.pdb
top_79_A,A,top_79_B,B,5.0,-4.02,-16.217,215.19,156.35,-12.217,233.923,14.864,-5.951,0.0937,swarm_271_179.pdb
top_80_A,A,top_80_B,B,7.16,-18.47,-28.361,-44.02,-24.38,-14.739,-78.206,-10.092,-5.559,-0.0623,swarm_213_192.pdb
top_81_A,A,top_81_B,B,-0.74,-20.39,-27.095,-26.62,-0.05,-11.13,-45.028,-9.222,-2.519,-0.0603,swarm_24_165.pdb
top_82_A,A,top_82_B,B,8.3,-12.3,-31.355,-11.17,4.45,-18.14,-37.246,14.62,-6.828,0.0705,swarm_333_65.pdb
top_83_A,A,top_83_B,B,9.62,-16.56,-28.029,34.77,9.52,-3.214,-59.099,4.954,-2.549,0.0966,swarm_248_63.pdb
top_84_A,A,top_84_B,B,-2.5,-15.56,-26.374,-27.17,-8.61,-11.274,-11.83,1.01,-7.01,0.0853,swarm_213_135.pdb
top_85_A,A,top_85_B,B,9.04,-15.18,-26.606,3.97,8.1,-19.812,-12.1,-0.226,-1.163,0.1087,swarm_329_26.pdb
top_86_A,A,top_86_B,B,6.08,-15.1,-29.996,-5.62,-1.92,-7.53,-40.168,1.721,-2.474,0.0706,swarm_68_119.pdb
top_87_A,A,top_87_B,B,0.34,-17.1,-27.843,-0.63,18.99,-18.057,-41.098,-7.709,-6.509,-0.1267,swarm_197_31.pdb
top_88_A,A,top_88_B,B,1.46,-17.83,-32.808,-34.97,-17.93,-1.602,-49.62,8.303,-0.209,0.0515,swarm_52_74.pdb
top_89_A,A,top_89_B,B,5.54,-14.29,-30.736,-69.71,-15.02,-7.139,-50.701,2.762,-2.638,0.0045,swarm_157_56.pdb
top_90_A,A,top_90_B,B,4.02,-17.8,-27.977,-0.05,1.37,-6.263,-61.147,-8.464,-1.457,-0.0419,swarm_302_171.pdb
top_91_A,A,top_91_B,B,2.54,-12.21,-28.709,-36.43,0.17,-14.442,-64.222,4.051,-4.565,-0.0945,swarm_167_9.pdb
top_92_A,A,top_92_B,B,6.16,-21.36,-29.939,-33.78,16.08,-15.879,-65.723,-14.726,-3.127,-0.2407,swarm_116_97.pdb
top_93_A,A,top_93_B,B,0.5,-18.42,-28.753,-52.7,-2.94,-4.345,-9.311,-6.423,0.358,-0.2454,swarm_103_136.pdb
top_94_A,A,top_94_B,B,1.62,-19.71,-29.355,-15.53,-4.55,-7.783,-22.309,-15.987,1.869,-0.2154,swarm_297_112.pdb
top_95_A,A,top_95_B,B,11.62,-14.19,-27.923,7.91,30.69,5.58,-56.141,25.647,-5.459,0.2134,swarm_92_164.pdb
top_96_A,A,top_96_B,B,2.5,-14.59,-31.329,12.97,53.31,-11.85,14.007,-2.678,-4.0,0.0995,swarm_70_158.pdb
top_97_A,A,top_97_B,B,3.62,-20.04,-29.348,-16.09,4.62,-11.323,-18.561,-8.366,-3.039,0.0368,swarm_197_73.pdb
