pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-2.76,-27.5,-32.4111,-40.85,-18.79,-2.999,-38.81,-7.901,-1.177,-0.0944,swarm_139_141.pdb
top_2_A,A,top_2_B,B,-8.34,-24.13,-30.4687,-66.83,-5.67,-16.572,-51.542,-26.447,-0.857,-0.2026,swarm_131_98.pdb
top_3_A,A,top_3_B,B,-1.0,-25.14,-30.127,-56.16,-21.78,-2.541,-41.725,-12.785,-0.085,-0.1744,swarm_112_1.pdb
top_4_A,A,top_4_B,B,-2.66,-23.85,-28.5964,-29.3,10.73,-8.587,-12.538,-11.279,1.22,-0.0337,swarm_13_96.pdb
top_5_A,A,top_5_B,B,-5.78,-22.11,-26.707,-33.52,-18.91,-4.126,6.32,-12.088,2.438,-0.0784,swarm_152_106.pdb
top_6_A,A,top_6_B,B,-6.82,-23.89,-27.7254,-35.92,0.75,-2.474,-13.424,-17.255,1.635,-0.1174,swarm_120_173.pdb
top_7_A,A,top_7_B,B,-4.1,-21.29,-28.2162,-96.02,-37.94,-1.747,-44.612,-7.833,-0.906,-0.0325,swarm_122_4.pdb
top_8_A,A,top_8_B,B,-5.3,-23.06,-28.5135,-29.1,-7.03,-18.961,39.559,-13.196,2.627,-0.238,swarm_15_132.pdb
top_9_A,A,top_9_B,B,-2.0,-21.86,-25.1854,-45.08,-13.72,-4.395,-39.44,-15.06,1.442,-0.0299,swarm_56_123.pdb
top_10_A,A,top_10_B,B,-4.6,-21.36,-28.5915,-58.34,-27.92,-15.22,-29.044,-18.627,-3.18,-0.1773,swarm_13_113.pdb
top_11_A,A,top_11_B,B,-3.36,-19.96,-25.8642,-23.47,-18.49,-12.281,-19.412,-15.358,2.659,-0.207,swarm_79_168.pdb
top_12_A,A,top_12_B,B,-3.66,-20.66,-26.649,-54.46,-19.56,-13.205,-40.564,-20.669,0.756,-0.023,swarm_91_22.pdb
top_13_A,A,top_13_B,B,0.22,-19.95,-26.7238,-54.4,-28.62,-4.692,-50.833,-7.177,-0.795,0.0284,swarm_120_15.pdb
top_14_A,A,top_14_B,B,2.32,-23.52,-25.6263,-48.99,-24.03,-8.527,0.366,-17.775,-5.405,-0.0572,swarm_21_72.pdb
top_15_A,A,top_15_B,B,-10.82,-22.82,-26.5856,-69.52,-33.17,-7.371,-17.405,-21.268,3.309,-0.0887,swarm_136_134.pdb
top_16_A,A,top_16_B,B,-0.08,-20.59,-26.7303,-7.35,20.61,-10.358,24.827,-10.852,-1.915,-0.1938,swarm_91_152.pdb
top_17_A,A,top_17_B,B,-4.72,-18.94,-23.9861,-41.14,-21.55,-3.889,-32.676,-18.73,1.717,-0.1838,swarm_146_43.pdb
top_18_A,A,top_18_B,B,-7.04,-21.02,-25.8094,-72.78,-38.4,-8.854,-27.65,-27.381,2.5,-0.1002,swarm_63_191.pdb
top_19_A,A,top_19_B,B,-5.44,-25.04,-29.6426,-18.58,23.24,-8.295,-1.03,-12.544,-1.551,-0.1528,swarm_93_97.pdb
top_20_A,A,top_20_B,B,-0.56,-20.11,-25.5314,-60.67,-28.93,-3.779,-46.069,-12.024,-3.285,0.0184,swarm_89_29.pdb
top_21_A,A,top_21_B,B,0.22,-22.18,-26.1487,-38.77,-16.61,-11.113,-37.708,-20.573,2.692,-0.1082,swarm_137_139.pdb
top_22_A,A,top_22_B,B,-4.54,-21.52,-24.5375,-45.35,-13.5,-9.804,-2.617,-21.704,0.43,-0.0706,swarm_161_106.pdb
top_23_A,A,top_23_B,B,-7.1,-19.39,-24.7559,-65.28,-22.85,-7.999,-17.175,-17.212,1.008,-0.2518,swarm_79_171.pdb
top_24_A,A,top_24_B,B,4.38,-18.41,-23.7657,-32.49,-16.26,-11.803,-40.837,-16.821,-4.189,0.0631,swarm_131_153.pdb
top_25_A,A,top_25_B,B,-2.68,-17.04,-21.262,-44.76,-23.16,-4.934,-5.651,-15.137,1.992,-0.2403,swarm_29_52.pdb
top_26_A,A,top_26_B,B,-1.02,-19.56,-24.7038,-61.86,-23.78,-5.124,-17.922,-3.173,-2.012,0.0075,swarm_83_103.pdb
top_27_A,A,top_27_B,B,0.62,-20.1,-25.2525,-20.62,9.43,-4.599,-14.825,-8.887,-3.525,0.0261,swarm_133_4.pdb
top_28_A,A,top_28_B,B,-1.14,-19.68,-26.2776,-4.72,6.22,5.395,-11.414,12.061,-2.371,-0.028,swarm_88_180.pdb
top_29_A,A,top_29_B,B,4.06,-18.57,-24.5412,-42.32,-20.25,1.613,-49.644,5.197,-1.769,-0.0707,swarm_42_97.pdb
top_30_A,A,top_30_B,B,-5.86,-18.57,-24.0638,-29.82,-7.23,-8.744,-25.155,-15.219,-1.722,0.0537,swarm_78_165.pdb
top_31_A,A,top_31_B,B,1.38,-17.83,-23.1731,-8.88,-3.63,-4.154,0.278,-12.397,-1.772,0.0281,swarm_102_77.pdb
top_32_A,A,top_32_B,B,0.02,-18.32,-23.9903,-18.42,-3.06,1.358,4.682,6.635,-5.879,0.0146,swarm_142_117.pdb
top_33_A,A,top_33_B,B,2.34,-20.29,-25.8165,-13.27,-0.05,-8.39,-41.796,-8.21,-2.072,0.0561,swarm_71_55.pdb
top_34_A,A,top_34_B,B,-1.54,-19.25,-23.7898,-52.22,-18.45,-4.939,-14.76,-13.598,5.694,-0.1419,swarm_80_174.pdb
top_35_A,A,top_35_B,B,0.04,-15.56,-21.4638,-28.23,-20.36,-4.569,-24.251,-9.012,-0.544,-0.1131,swarm_42_44.pdb
top_36_A,A,top_36_B,B,-2.68,-15.67,-22.3955,-33.4,-10.7,-7.762,-21.139,-8.927,3.535,-0.0734,swarm_122_30.pdb
top_37_A,A,top_37_B,B,-1.58,-22.47,-24.9335,-39.87,-13.73,-12.797,-29.386,-10.881,0.081,-0.1378,swarm_122_92.pdb
top_38_A,A,top_38_B,B,-0.32,-18.15,-23.6324,-26.22,-5.48,-9.434,-28.612,-9.484,-1.077,-0.0397,swarm_112_99.pdb
top_39_A,A,top_39_B,B,-8.28,-17.54,-23.583,-27.93,-11.42,-3.515,-11.827,-15.408,1.36,-0.1368,swarm_149_89.pdb
top_40_A,A,top_40_B,B,-2.7,-21.82,-24.7257,-40.44,-8.33,-4.158,-15.475,-18.681,1.354,-0.014,swarm_117_181.pdb
top_41_A,A,top_41_B,B,-3.54,-19.8,-24.9484,0.66,-0.4,-1.311,-4.457,-3.126,-1.604,-0.2335,swarm_61_130.pdb
top_42_A,A,top_42_B,B,-2.86,-19.26,-26.5941,3.55,1.48,-6.543,-31.881,9.293,0.142,0.0009,swarm_65_75.pdb
top_43_A,A,top_43_B,B,-1.86,-20.85,-23.4097,-79.2,-38.45,-1.942,-11.832,-18.489,2.024,-0.2081,swarm_80_180.pdb
top_44_A,A,top_44_B,B,-2.22044604925e-16,-15.97,-20.2252,24.41,33.76,-12.679,49.91,-0.502,-0.226,-0.1713,swarm_7_152.pdb
top_45_A,A,top_45_B,B,0.98,-18.09,-22.2237,-36.69,-11.41,-0.653,-35.53,-5.103,-0.582,-0.0627,swarm_18_82.pdb
top_46_A,A,top_46_B,B,-7.18,-18.11,-22.3881,-17.35,-9.8,-0.164,-9.536,-15.315,2.498,-0.1821,swarm_94_4.pdb
top_47_A,A,top_47_B,B,-0.38,-18.95,-22.8661,-52.5,-28.01,-3.56,-29.299,-2.063,-0.572,-0.143,swarm_91_122.pdb
top_48_A,A,top_48_B,B,-6.16,-18.1,-22.2236,-40.7,-16.82,-6.708,0.302,-15.649,3.484,-0.1785,swarm_88_107.pdb
top_49_A,A,top_49_B,B,-1.76,-18.89,-21.2908,-59.3,-43.71,-9.027,-34.394,-12.685,2.616,-0.335,swarm_139_159.pdb
top_50_A,A,top_50_B,B,-0.82,-19.27,-23.4819,-32.73,-13.64,-11.566,-24.547,-5.841,-3.177,-0.0568,swarm_23_157.pdb
top_51_A,A,top_51_B,B,-9.38,-19.65,-21.9948,-15.79,0.19,-11.105,37.893,-21.436,5.925,-0.1681,swarm_152_121.pdb
top_52_A,A,top_52_B,B,1.48,-17.37,-23.037,-30.37,-14.11,-12.756,-43.076,-11.091,-2.93,-0.0885,swarm_74_185.pdb
top_53_A,A,top_53_B,B,-2.44,-16.8,-22.4347,-36.71,-17.75,-3.632,-14.098,-10.378,-0.93,-0.1245,swarm_95_11.pdb
top_54_A,A,top_54_B,B,4.08,-15.25,-21.5357,31.77,43.31,-9.97,77.818,5.471,-4.862,0.2896,swarm_120_124.pdb
top_55_A,A,top_55_B,B,-12.14,-18.52,-21.0635,-55.48,-37.34,-7.254,-24.045,-13.334,2.849,-0.1877,swarm_16_63.pdb
