pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,1.94,-17.34,-31.824,-2.1,12.91,-15.159,-47.733,-9.421,-5.884,0.1927,swarm_72_90.pdb
top_2_A,A,top_2_B,B,2.64,-18.63,-35.089,-14.02,6.06,-10.889,-36.04,10.976,-6.34,0.0047,swarm_203_122.pdb
top_3_A,A,top_3_B,B,-0.88,-21.69,-31.908,-2.43,11.04,-9.265,-26.691,-8.613,5.939,-0.1186,swarm_78_77.pdb
top_4_A,A,top_4_B,B,-0.7,-19.9,-33.435,8.46,29.2,-15.771,29.213,-8.652,-5.81,0.0747,swarm_203_64.pdb
top_5_A,A,top_5_B,B,6.5,-16.42,-31.882,49.84,60.83,-8.515,-2.25,22.327,-8.344,0.1724,swarm_356_177.pdb
top_6_A,A,top_6_B,B,-7.02,-21.4,-34.547,28.37,49.35,-8.061,-24.065,-2.012,-6.727,-0.0945,swarm_86_2.pdb
top_7_A,A,top_7_B,B,-2.46,-18.59,-33.295,-9.47,16.43,-10.244,-44.973,-14.114,-6.236,-0.1278,swarm_350_15.pdb
top_8_A,A,top_8_B,B,3.4,-22.99,-38.351,7.48,29.39,-14.269,-40.005,-7.627,-6.158,-0.1748,swarm_366_62.pdb
top_9_A,A,top_9_B,B,-3.58,-15.96,-30.765,48.87,35.53,0.889,8.344,10.427,-6.243,-0.0875,swarm_108_46.pdb
top_10_A,A,top_10_B,B,2.26,-21.87,-31.931,-1.78,0.88,-16.007,-48.163,-12.106,1.874,0.0262,swarm_96_197.pdb
top_11_A,A,top_11_B,B,5.36,-17.01,-28.896,-43.44,-12.17,-6.514,-66.301,11.003,-3.444,-0.1566,swarm_352_59.pdb
top_12_A,A,top_12_B,B,-0.58,-18.77,-33.404,-25.46,20.9,-3.794,9.974,11.176,-2.415,0.0382,swarm_350_132.pdb
top_13_A,A,top_13_B,B,3.66,-20.92,-33.201,-11.97,-1.05,-2.665,-4.959,4.924,-5.243,-0.0588,swarm_162_162.pdb
top_14_A,A,top_14_B,B,-5.62,-15.03,-30.771,18.87,37.91,-7.714,11.304,5.572,-4.5,-0.0069,swarm_108_96.pdb
top_15_A,A,top_15_B,B,-1.04,-15.22,-29.826,24.92,42.94,-5.492,45.064,17.402,-6.728,-0.0086,swarm_72_136.pdb
top_16_A,A,top_16_B,B,-0.46,-21.66,-32.029,-37.37,-5.96,-5.411,-17.182,-2.604,-2.252,-0.1167,swarm_24_95.pdb
top_17_A,A,top_17_B,B,12.22,-20.35,-36.228,18.21,45.26,-6.356,0.937,11.925,-9.581,0.131,swarm_72_148.pdb
top_18_A,A,top_18_B,B,-0.68,-22.97,-31.319,-15.12,10.87,-0.506,-34.908,-14.3,-2.301,-0.0882,swarm_164_71.pdb
top_19_A,A,top_19_B,B,-0.38,-21.08,-28.622,-12.61,-5.24,-6.267,-0.543,-9.166,-4.724,-0.1468,swarm_257_33.pdb
top_20_A,A,top_20_B,B,-1.94,-19.49,-32.309,12.67,16.33,-1.64,4.64,6.046,-3.356,0.129,swarm_203_93.pdb
top_21_A,A,top_21_B,B,0.24,-22.94,-39.077,62.16,49.7,-14.34,-21.427,10.826,-8.385,0.0513,swarm_249_124.pdb
top_22_A,A,top_22_B,B,12.1,-17.36,-28.382,16.0,25.21,-3.861,-70.265,26.421,-6.161,-0.031,swarm_262_163.pdb
top_23_A,A,top_23_B,B,-0.3,-21.13,-31.635,-8.49,41.86,-10.323,14.807,-7.815,-3.203,-0.063,swarm_324_43.pdb
top_24_A,A,top_24_B,B,-2.32,-23.84,-32.724,-49.78,-3.88,-7.608,-36.307,-12.727,-3.313,-0.0265,swarm_224_13.pdb
top_25_A,A,top_25_B,B,2.96,-27.62,-38.586,3.51,21.72,-6.899,11.568,-5.025,3.881,-0.154,swarm_107_159.pdb
top_26_A,A,top_26_B,B,-1.54,-23.2,-30.112,10.23,1.36,-3.244,-12.011,-7.272,-1.724,-0.0668,swarm_19_170.pdb
top_27_A,A,top_27_B,B,2.24,-16.99,-32.678,37.5,26.62,-6.879,20.953,10.669,-8.132,0.0401,swarm_268_91.pdb
top_28_A,A,top_28_B,B,-1.16,-15.43,-28.025,74.85,46.01,-7.99,36.431,6.644,-3.501,0.034,swarm_102_138.pdb
top_29_A,A,top_29_B,B,3.64,-19.36,-29.019,34.9,37.51,-10.597,-38.19,-11.183,-0.884,0.0239,swarm_305_68.pdb
top_30_A,A,top_30_B,B,2.42,-15.21,-28.231,25.58,28.86,4.474,-19.39,10.919,-2.878,0.113,swarm_316_139.pdb
