pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-7.28,-30.02,-42.656,-51.59,-7.88,-9.122,-3.709,-15.285,0.884,-0.0861,swarm_169_162.pdb
top_2_A,A,top_2_B,B,-9.5,-31.5,-40.42,-49.43,-10.91,1.652,-62.071,-14.141,1.346,-0.2514,swarm_137_198.pdb
top_3_A,A,top_3_B,B,-11.58,-29.87,-41.203,1.72,10.8,-6.065,64.431,-4.765,5.008,-0.2571,swarm_151_193.pdb
top_4_A,A,top_4_B,B,-7.34,-26.88,-36.878,-14.75,6.66,0.498,-6.072,-5.094,0.939,-0.1457,swarm_87_192.pdb
top_5_A,A,top_5_B,B,-5.32,-27.17,-38.267,-11.13,11.98,-1.819,-25.742,-3.422,0.545,0.2985,swarm_132_176.pdb
top_6_A,A,top_6_B,B,-9.52,-28.86,-36.331,-24.14,-4.11,-3.622,-8.907,-14.749,4.421,-0.1075,swarm_76_7.pdb
top_7_A,A,top_7_B,B,-4.14,-25.82,-37.874,-47.53,-11.13,-5.752,-76.392,-22.883,0.459,-0.1865,swarm_183_177.pdb
top_8_A,A,top_8_B,B,-9.2,-27.99,-36.73,-12.95,2.5,-6.733,1.495,-18.067,5.479,-0.0538,swarm_40_147.pdb
top_9_A,A,top_9_B,B,-13.56,-27.48,-35.985,-57.91,-17.8,-9.461,-29.057,-16.719,2.327,-0.1321,swarm_11_112.pdb
top_10_A,A,top_10_B,B,-7.02,-22.69,-33.686,-31.77,-16.67,-4.571,-24.704,-5.956,1.17,-0.0212,swarm_226_90.pdb
top_11_A,A,top_11_B,B,-13.78,-25.18,-32.731,-3.23,5.73,-8.776,7.018,-17.952,3.703,-0.221,swarm_169_58.pdb
top_12_A,A,top_12_B,B,-6.78,-24.38,-36.651,-3.27,3.86,-7.583,-6.714,0.479,3.795,-0.1232,swarm_151_19.pdb
top_13_A,A,top_13_B,B,-6.0,-24.2,-32.429,-5.93,16.54,-11.119,-25.559,-27.296,2.359,-0.2297,swarm_189_142.pdb
top_14_A,A,top_14_B,B,1.34,-23.74,-37.516,55.61,59.95,-14.184,15.911,-7.587,-3.397,-0.0249,swarm_102_197.pdb
top_15_A,A,top_15_B,B,1.46,-18.91,-33.349,12.36,16.43,-13.414,28.65,-11.397,-8.006,-0.1564,swarm_216_181.pdb
top_16_A,A,top_16_B,B,-7.98,-28.88,-43.992,101.88,56.88,2.058,72.454,6.771,-0.049,-0.1399,swarm_208_7.pdb
top_17_A,A,top_17_B,B,-6.52,-24.03,-37.074,47.26,49.39,-3.59,58.149,3.134,0.613,-0.0828,swarm_183_61.pdb
top_18_A,A,top_18_B,B,7.88,-25.87,-39.198,-28.45,12.23,-12.229,-77.779,-21.408,-3.463,0.1554,swarm_187_90.pdb
top_19_A,A,top_19_B,B,-12.86,-21.43,-30.865,-44.03,-21.33,-4.243,7.453,-14.195,3.365,-0.116,swarm_183_160.pdb
top_20_A,A,top_20_B,B,1.94,-27.18,-39.117,1.62,23.74,-7.498,-27.269,-12.023,-0.317,-0.2659,swarm_10_142.pdb
top_21_A,A,top_21_B,B,4.6,-21.0,-35.36,-1.88,20.55,-10.83,-13.075,-4.691,-2.198,0.1014,swarm_165_73.pdb
top_22_A,A,top_22_B,B,-6.22,-22.9,-33.235,-19.46,1.23,-6.272,-19.246,-21.557,1.267,-0.1404,swarm_87_151.pdb
top_23_A,A,top_23_B,B,-9.08,-26.08,-33.121,-96.72,-26.79,-12.395,-35.973,-19.972,-1.383,-0.2092,swarm_141_42.pdb
top_24_A,A,top_24_B,B,3.06,-24.23,-39.116,-13.35,37.99,-18.634,78.596,-18.413,-5.415,-0.0406,swarm_22_189.pdb
top_25_A,A,top_25_B,B,-0.24,-23.69,-34.994,-20.54,-6.9,-4.278,-29.668,4.047,-5.435,-0.0772,swarm_217_84.pdb
top_26_A,A,top_26_B,B,-4.36,-25.71,-36.27,-50.69,-18.99,-10.759,-37.935,-24.413,7.036,-0.1845,swarm_22_27.pdb
top_27_A,A,top_27_B,B,-17.84,-22.99,-34.063,15.93,13.55,-6.678,56.791,-3.056,4.44,-0.0878,swarm_132_109.pdb
top_28_A,A,top_28_B,B,-7.06,-24.35,-32.924,-15.97,5.35,-3.015,-56.677,-9.095,3.483,-0.1373,swarm_52_184.pdb
top_29_A,A,top_29_B,B,-1.92,-23.25,-36.424,-19.12,4.15,-14.988,31.757,-28.0,4.346,-0.0407,swarm_22_73.pdb
top_30_A,A,top_30_B,B,-5.32,-24.5,-31.684,-17.8,5.5,-7.596,-18.054,-20.177,4.019,-0.1839,swarm_60_190.pdb
top_31_A,A,top_31_B,B,1.9,-20.99,-36.363,-8.05,32.64,-10.801,1.376,-12.527,0.678,-0.1159,swarm_187_103.pdb
top_32_A,A,top_32_B,B,-4.78,-24.89,-33.387,-31.2,2.93,-8.972,-41.856,-24.337,-2.153,-0.163,swarm_72_29.pdb
top_33_A,A,top_33_B,B,11.66,-17.82,-31.532,23.22,53.92,-9.952,-20.956,9.386,-7.303,0.1285,swarm_56_69.pdb
top_34_A,A,top_34_B,B,-3.86,-18.96,-33.811,131.23,83.8,-15.191,176.081,-7.999,0.626,0.0162,swarm_151_3.pdb
top_35_A,A,top_35_B,B,-6.6,-25.98,-35.253,2.85,10.63,-5.65,-16.629,-4.608,-4.47,-0.2357,swarm_11_168.pdb
top_36_A,A,top_36_B,B,-3.54,-23.56,-35.434,-10.22,-8.62,-12.143,-20.345,-19.932,-1.019,-0.0014,swarm_151_20.pdb
top_37_A,A,top_37_B,B,5.02,-21.63,-33.355,-70.19,-25.86,-24.359,-74.332,-9.159,-0.901,0.0327,swarm_99_50.pdb
top_38_A,A,top_38_B,B,-8.64,-25.55,-39.781,12.65,17.83,-15.991,6.027,-13.272,2.565,-0.1241,swarm_37_74.pdb
top_39_A,A,top_39_B,B,-9.76,-24.59,-32.952,-16.99,-1.69,-8.253,36.914,-12.784,4.526,-0.2051,swarm_97_15.pdb
top_40_A,A,top_40_B,B,1.64,-22.83,-31.619,-6.07,14.09,-7.781,-18.804,-14.334,-1.405,-0.1966,swarm_9_166.pdb
top_41_A,A,top_41_B,B,2.18,-20.58,-34.091,-13.36,23.27,-8.497,-1.829,-9.177,-1.76,0.0194,swarm_132_196.pdb
top_42_A,A,top_42_B,B,10.86,-18.89,-37.162,8.55,29.51,4.342,-36.818,27.437,-11.172,0.0437,swarm_11_51.pdb
top_43_A,A,top_43_B,B,0.34,-19.38,-30.553,12.18,18.93,-12.51,5.723,-15.548,-2.394,0.0392,swarm_167_75.pdb
top_44_A,A,top_44_B,B,11.78,-17.9,-32.263,15.74,10.54,-12.831,-38.238,7.0,-9.797,0.0633,swarm_225_67.pdb
top_45_A,A,top_45_B,B,4.92,-20.73,-34.331,27.22,10.73,-13.122,-56.902,-12.771,-5.941,-0.2354,swarm_165_182.pdb
top_46_A,A,top_46_B,B,2.04,-21.56,-38.765,18.33,27.83,-4.504,-16.935,7.604,-9.027,-0.154,swarm_56_150.pdb
top_47_A,A,top_47_B,B,4.2,-18.15,-31.27,35.71,44.47,-14.217,30.174,-9.296,-5.434,-0.0024,swarm_186_188.pdb
top_48_A,A,top_48_B,B,1.92,-21.44,-34.089,-22.59,-12.48,-10.535,5.143,-19.69,1.722,-0.1278,swarm_183_50.pdb
top_49_A,A,top_49_B,B,-6.5,-23.35,-32.388,45.52,39.17,-5.569,42.307,-19.603,2.864,0.0397,swarm_169_167.pdb
top_50_A,A,top_50_B,B,-10.48,-7.27,-29.7,402.66,304.85,-15.538,501.633,37.794,-7.602,0.1717,swarm_37_98.pdb
top_51_A,A,top_51_B,B,8.3,-17.71,-34.532,12.89,38.5,-26.762,-25.625,4.758,-7.465,0.1229,swarm_167_144.pdb
top_52_A,A,top_52_B,B,-4.52,-26.59,-38.966,-1.87,-5.21,-14.068,-13.792,-11.5,-5.478,0.0193,swarm_37_173.pdb
top_53_A,A,top_53_B,B,-2.9,-23.85,-38.853,-5.27,14.49,-2.96,155.385,19.419,-4.19,-0.2044,swarm_22_117.pdb
top_54_A,A,top_54_B,B,-3.76,-25.58,-32.587,-30.72,-18.01,-6.669,-41.163,-11.609,0.055,-0.1011,swarm_141_153.pdb
top_55_A,A,top_55_B,B,-0.36,-19.23,-30.882,2.1,38.88,-14.71,-17.122,-4.357,-3.671,-0.0272,swarm_106_166.pdb
top_56_A,A,top_56_B,B,-2.6,-17.96,-27.724,-5.66,36.51,-11.324,-11.937,-6.577,-12.213,-0.1034,swarm_216_160.pdb
top_57_A,A,top_57_B,B,-1.02,-24.25,-35.319,107.93,91.8,-9.785,72.129,-0.521,-4.98,0.2333,swarm_189_199.pdb
top_58_A,A,top_58_B,B,2.4,-18.79,-29.373,-11.08,9.81,-7.494,-37.419,-10.921,-4.423,-0.0404,swarm_20_64.pdb
top_59_A,A,top_59_B,B,3.2,-20.98,-32.721,21.45,50.86,-7.946,32.731,-4.77,-1.139,0.0924,swarm_102_183.pdb
top_60_A,A,top_60_B,B,5.96,-20.79,-37.08,68.27,86.46,-21.615,45.656,3.849,-7.362,0.0411,swarm_106_47.pdb
