pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,9.16,-28.26,-44.81,38.84,46.92,-3.788,-5.148,12.62,-13.1,0.2038,swarm_111_19.pdb
top_2_A,A,top_2_B,B,14.52,-37.23,-49.254,2.85,21.71,-1.07,-52.363,-1.878,-14.817,0.2061,swarm_77_144.pdb
top_3_A,A,top_3_B,B,9.08,-31.88,-49.249,28.07,56.37,-12.367,-32.957,9.551,-13.072,0.1832,swarm_140_152.pdb
top_4_A,A,top_4_B,B,5.08,-16.42,-34.862,95.07,90.54,-16.526,164.403,21.24,-10.053,0.0767,swarm_205_151.pdb
top_5_A,A,top_5_B,B,11.88,-31.86,-47.03,65.78,69.12,-9.677,40.654,12.984,-16.602,0.0751,swarm_56_151.pdb
top_6_A,A,top_6_B,B,8.16,-29.39,-41.949,-22.56,-17.19,-6.036,-83.437,-1.741,-10.682,-0.0686,swarm_139_29.pdb
top_7_A,A,top_7_B,B,13.98,-33.93,-45.742,17.38,23.69,-8.264,-44.937,5.055,-14.761,0.1225,swarm_199_47.pdb
top_8_A,A,top_8_B,B,7.54,-25.97,-43.341,-30.67,-1.06,-23.809,-59.124,-4.275,-10.428,-0.0353,swarm_210_79.pdb
top_9_A,A,top_9_B,B,8.34,-27.26,-41.274,21.41,28.81,-4.893,19.978,18.127,-15.963,0.2106,swarm_201_63.pdb
top_10_A,A,top_10_B,B,8.2,-28.79,-44.491,68.63,80.51,-22.92,25.768,0.766,-8.826,-0.0842,swarm_200_144.pdb
top_11_A,A,top_11_B,B,12.78,-32.92,-47.073,39.34,70.39,-15.425,-53.858,-6.822,-14.541,0.223,swarm_22_113.pdb
top_12_A,A,top_12_B,B,9.18,-24.32,-40.645,49.08,66.5,-16.635,-17.168,5.503,-13.494,0.0951,swarm_7_142.pdb
top_13_A,A,top_13_B,B,11.42,-30.77,-43.36,63.91,87.5,-11.31,-85.646,1.377,-10.977,0.2034,swarm_33_41.pdb
top_14_A,A,top_14_B,B,8.9,-33.12,-47.453,-0.98,40.9,-22.868,-56.994,-14.254,-11.825,-0.068,swarm_28_50.pdb
top_15_A,A,top_15_B,B,-5.52,-28.2,-38.865,-86.06,-19.82,-10.988,-26.245,-30.776,10.356,-0.3755,swarm_158_68.pdb
top_16_A,A,top_16_B,B,10.32,-28.92,-44.274,31.86,44.88,-6.062,-42.64,0.387,-9.009,0.2317,swarm_199_67.pdb
top_17_A,A,top_17_B,B,-0.54,-19.14,-39.888,-53.26,-10.55,-9.167,12.123,-2.972,4.28,-0.1296,swarm_33_6.pdb
top_18_A,A,top_18_B,B,9.36,-28.3,-42.349,27.33,31.66,-7.478,-71.985,3.721,-10.135,0.0614,swarm_111_144.pdb
top_19_A,A,top_19_B,B,-2.56,-22.72,-38.243,-16.61,10.84,-11.987,12.872,-21.388,16.087,-0.1879,swarm_10_82.pdb
top_20_A,A,top_20_B,B,-4.14,-26.75,-42.654,-24.54,16.79,-20.244,-26.727,-26.941,9.57,-0.2679,swarm_33_165.pdb
top_21_A,A,top_21_B,B,4.6,-19.92,-39.341,-81.6,-20.94,-18.257,-82.441,-21.638,2.758,-0.3939,swarm_22_151.pdb
top_22_A,A,top_22_B,B,8.46,-26.34,-39.857,-25.4,-2.66,-12.621,-73.742,9.102,-10.312,0.1994,swarm_210_173.pdb
top_23_A,A,top_23_B,B,8.98,-23.92,-40.539,-6.58,38.16,-10.322,-16.113,9.656,-13.188,-0.0001,swarm_227_43.pdb
top_24_A,A,top_24_B,B,3.56,-24.3,-42.782,-69.1,-30.18,-0.184,-70.227,-3.294,6.493,0.1465,swarm_146_29.pdb
