pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,9.76,-26.37,-53.867,-56.77,-14.94,-36.626,-81.345,-13.886,2.982,-0.3796,swarm_293_173.pdb
top_2_A,A,top_2_B,B,1.6,-18.71,-45.208,-11.41,-5.16,-38.586,-88.418,-11.823,7.064,0.1758,swarm_139_160.pdb
top_3_A,A,top_3_B,B,2.5,-20.31,-56.032,23.2,29.73,-37.902,-71.768,4.254,0.607,-0.4835,swarm_348_33.pdb
top_4_A,A,top_4_B,B,18.5,-20.72,-55.614,9.21,59.85,3.668,-99.923,40.107,0.486,0.0275,swarm_203_129.pdb
top_5_A,A,top_5_B,B,2.98,-21.5,-47.278,1.96,19.7,-16.863,-105.925,-12.14,0.364,0.0234,swarm_176_75.pdb
top_6_A,A,top_6_B,B,2.5,-21.96,-44.467,-88.54,-43.02,-25.484,-98.864,-3.68,3.022,-0.4302,swarm_254_58.pdb
top_7_A,A,top_7_B,B,5.8,-15.97,-49.121,14.75,68.27,-26.952,49.047,-3.79,-0.423,-0.1534,swarm_359_10.pdb
top_8_A,A,top_8_B,B,4.92,-20.69,-45.884,-42.36,-3.45,-11.015,-97.643,2.592,6.213,-0.1369,swarm_66_159.pdb
top_9_A,A,top_9_B,B,5.94,-16.31,-39.59,-15.72,14.7,-29.182,-44.539,-14.485,-2.996,-0.0409,swarm_229_76.pdb
top_10_A,A,top_10_B,B,4.4,-18.27,-45.386,-90.04,-25.85,-19.313,-101.225,-6.426,-0.493,-0.2551,swarm_147_28.pdb
top_11_A,A,top_11_B,B,3.44,-23.34,-42.11,24.15,-2.44,-18.539,-38.85,-11.132,3.684,-0.0926,swarm_359_114.pdb
top_12_A,A,top_12_B,B,6.7,-15.21,-40.507,15.11,37.6,-29.871,-21.923,-1.948,-4.546,-0.1427,swarm_350_91.pdb
top_13_A,A,top_13_B,B,4.98,-15.95,-40.641,21.9,29.44,-22.373,-41.636,-1.956,-1.322,-0.0155,swarm_99_37.pdb
top_14_A,A,top_14_B,B,4.14,-12.66,-42.969,-18.54,1.42,-25.986,-55.077,0.2,1.41,-0.1091,swarm_182_168.pdb
top_15_A,A,top_15_B,B,11.78,-16.06,-41.169,-26.53,15.87,-17.229,-44.192,-0.971,-2.257,-0.0481,swarm_176_98.pdb
top_16_A,A,top_16_B,B,10.32,-22.14,-47.314,-76.67,-16.39,-0.455,-92.485,22.192,0.297,-0.0429,swarm_388_99.pdb
top_17_A,A,top_17_B,B,2.88,-15.62,-45.391,-44.2,-3.58,-13.301,-126.657,31.669,-0.687,-0.2022,swarm_348_137.pdb
top_18_A,A,top_18_B,B,0.5,-15.56,-43.422,-3.54,33.45,-27.975,-78.167,-18.286,-0.454,-0.1179,swarm_358_12.pdb
top_19_A,A,top_19_B,B,8.28,-21.78,-48.581,-42.49,-9.43,-19.552,-114.059,3.728,2.36,0.0251,swarm_301_17.pdb
top_20_A,A,top_20_B,B,2.46,-13.96,-38.739,-51.1,-8.12,0.746,-101.973,20.18,0.603,-0.1088,swarm_186_20.pdb
top_21_A,A,top_21_B,B,8.62,-9.11,-45.329,-20.28,6.01,0.067,-75.03,36.166,0.708,0.0121,swarm_214_159.pdb
top_22_A,A,top_22_B,B,11.34,-21.11,-50.794,-41.11,-3.33,-25.527,-101.015,-3.872,3.466,-0.1436,swarm_254_180.pdb
top_23_A,A,top_23_B,B,3.6,-15.22,-39.628,-19.51,5.72,-26.134,-84.627,-7.274,-2.22,-0.1926,swarm_388_175.pdb
top_24_A,A,top_24_B,B,1.32,-17.73,-44.042,-1.47,27.04,-16.417,-75.629,1.097,2.559,-0.0922,swarm_364_181.pdb
top_25_A,A,top_25_B,B,6.14,-17.41,-38.41,-11.01,-15.35,-38.084,-61.788,-6.656,-0.144,-0.1192,swarm_163_41.pdb
