pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,11.02,-45.93,-75.658,55.16,56.88,-12.306,-7.534,-12.542,1.049,-0.0449,swarm_288_42.pdb
top_2_A,A,top_2_B,B,5.68,-52.58,-77.452,-118.25,-8.41,-20.928,-110.33,-45.684,2.816,-0.0074,swarm_45_17.pdb
top_3_A,A,top_3_B,B,7.96,-41.01,-62.912,30.42,82.62,-27.841,15.441,-47.646,1.04,-0.1289,swarm_379_131.pdb
top_4_A,A,top_4_B,B,10.86,-44.7,-73.254,-49.38,18.82,-18.604,-43.094,-17.341,-1.964,0.008,swarm_412_136.pdb
top_5_A,A,top_5_B,B,3.28,-44.52,-73.663,17.78,66.94,-28.106,63.477,-14.726,-2.18,0.0979,swarm_203_158.pdb
top_6_A,A,top_6_B,B,7.4,-40.18,-67.642,-27.19,2.75,-19.106,-67.717,-17.369,-2.629,-0.2667,swarm_242_136.pdb
top_7_A,A,top_7_B,B,7.2,-44.79,-76.495,-31.96,21.11,-17.81,28.057,-8.086,3.57,-0.1134,swarm_164_24.pdb
top_8_A,A,top_8_B,B,9.0,-39.73,-69.472,-3.83,18.88,-15.199,-3.764,-6.868,-6.13,-0.0329,swarm_314_185.pdb
top_9_A,A,top_9_B,B,-2.54,-35.63,-60.482,-19.09,58.79,-9.763,18.926,-9.247,1.379,-0.0279,swarm_341_64.pdb
top_10_A,A,top_10_B,B,-0.08,-35.7,-57.554,-38.65,14.87,2.886,-50.001,-25.219,2.89,-0.1571,swarm_314_198.pdb
top_11_A,A,top_11_B,B,12.3,-37.41,-64.12,-53.73,17.2,-9.852,-51.641,-7.328,0.83,0.1577,swarm_379_193.pdb
top_12_A,A,top_12_B,B,9.86,-31.52,-64.762,32.29,79.43,-17.846,67.593,13.333,-7.035,0.1305,swarm_0_34.pdb
top_13_A,A,top_13_B,B,7.82,-38.91,-63.12,98.65,59.61,-6.256,13.095,-3.853,-1.236,0.1278,swarm_313_154.pdb
top_14_A,A,top_14_B,B,4.22,-20.95,-51.375,154.87,98.82,-26.68,99.889,2.437,-0.979,0.0446,swarm_314_173.pdb
top_15_A,A,top_15_B,B,8.04,-28.48,-60.141,92.09,89.87,-7.119,78.473,18.466,-4.982,0.189,swarm_313_60.pdb
top_16_A,A,top_16_B,B,9.24,-34.63,-59.065,-68.9,-6.44,-10.051,-7.758,-2.903,0.86,-0.1471,swarm_223_108.pdb
top_17_A,A,top_17_B,B,3.02,-30.11,-53.424,11.3,41.84,-3.133,5.217,1.182,-0.276,-0.0633,swarm_379_18.pdb
top_18_A,A,top_18_B,B,-2.94,-38.08,-58.026,-67.7,-25.45,-15.45,-58.26,-32.334,9.491,-0.3147,swarm_269_10.pdb
top_19_A,A,top_19_B,B,11.8,-30.15,-54.896,-29.08,-9.42,-7.669,-78.469,2.501,3.466,0.1478,swarm_412_26.pdb
top_20_A,A,top_20_B,B,9.72,-33.88,-66.388,71.2,58.69,-15.647,-16.438,-0.148,4.466,-0.285,swarm_287_55.pdb
top_21_A,A,top_21_B,B,11.02,-28.74,-55.949,121.55,95.62,-9.369,61.836,15.664,1.064,0.0776,swarm_195_12.pdb
top_22_A,A,top_22_B,B,10.18,-29.43,-52.686,-47.44,-6.27,-12.342,-69.885,5.058,1.8,-0.1825,swarm_0_81.pdb
top_23_A,A,top_23_B,B,3.14,-32.76,-58.053,20.42,44.8,-12.968,-47.979,-10.525,4.365,-0.1565,swarm_0_178.pdb
top_24_A,A,top_24_B,B,4.08,-30.2,-52.834,97.22,60.8,-6.004,35.939,-12.471,5.142,-0.1124,swarm_341_22.pdb
top_25_A,A,top_25_B,B,7.24,-28.78,-52.763,-7.45,12.27,-18.633,-50.695,-19.576,-5.815,-0.3697,swarm_176_40.pdb
top_26_A,A,top_26_B,B,7.04,-31.94,-60.719,75.23,104.87,-14.514,66.951,-8.469,4.251,0.1664,swarm_242_5.pdb
top_27_A,A,top_27_B,B,-1.44,-30.05,-53.359,52.6,71.54,-16.522,122.348,2.663,1.805,0.0246,swarm_208_198.pdb
top_28_A,A,top_28_B,B,10.74,-27.58,-54.004,76.81,67.15,-8.785,46.902,1.918,1.87,0.0542,swarm_45_153.pdb
top_29_A,A,top_29_B,B,-0.42,-28.89,-51.249,-3.16,24.53,-17.212,20.374,-31.286,3.336,-0.1161,swarm_409_188.pdb
top_30_A,A,top_30_B,B,4.0,-33.55,-51.108,-70.15,-0.12,-6.744,-66.438,-18.639,4.699,-0.2641,swarm_218_167.pdb
top_31_A,A,top_31_B,B,-0.2,-30.31,-53.86,10.5,42.14,-3.719,24.101,-22.398,9.523,-0.1351,swarm_203_168.pdb
top_32_A,A,top_32_B,B,10.18,-26.19,-53.83,149.98,120.67,-20.922,110.884,-6.446,-2.569,0.096,swarm_314_90.pdb
top_33_A,A,top_33_B,B,5.16,-27.99,-53.421,21.56,33.85,-15.676,-49.327,0.556,-6.306,0.2256,swarm_175_19.pdb
top_34_A,A,top_34_B,B,8.82,-31.34,-58.068,-3.98,28.29,-13.507,-75.798,-4.141,-5.419,0.2319,swarm_218_119.pdb
top_35_A,A,top_35_B,B,7.5,-33.34,-58.028,12.88,35.44,2.416,4.75,-6.437,8.508,0.138,swarm_218_50.pdb
top_36_A,A,top_36_B,B,4.48,-38.91,-64.061,47.63,51.44,-13.487,-45.691,-2.491,-5.205,-0.1142,swarm_203_72.pdb
top_37_A,A,top_37_B,B,8.2,-26.27,-50.964,17.58,19.03,-13.102,-34.419,-7.371,1.998,-0.1923,swarm_281_50.pdb
top_38_A,A,top_38_B,B,1.72,-30.4,-49.245,-26.67,15.16,-18.457,-49.471,-22.218,7.471,-0.0744,swarm_353_103.pdb
