pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-3.46,-48.95,-67.386,14.87,30.44,-6.139,16.434,-26.506,59.605,-0.241,swarm_73_50.pdb
top_2_A,A,top_2_B,B,-6.34,-57.23,-77.98,-65.69,-13.48,-16.386,68.417,-35.022,61.894,-0.2726,swarm_364_188.pdb
top_3_A,A,top_3_B,B,-9.0,-48.02,-70.296,-67.13,-25.93,-7.519,-45.653,-39.338,50.339,-0.0158,swarm_45_189.pdb
top_4_A,A,top_4_B,B,4.36,-49.03,-67.925,91.9,63.53,-2.592,215.348,5.106,48.713,-0.0599,swarm_1_119.pdb
top_5_A,A,top_5_B,B,-2.54,-51.4,-70.636,-10.69,-2.05,-2.409,47.375,-29.624,54.831,-0.0228,swarm_200_130.pdb
top_6_A,A,top_6_B,B,-8.92,-54.21,-73.68,-20.09,-10.4,-1.468,84.429,-5.401,48.903,-0.2108,swarm_320_174.pdb
top_7_A,A,top_7_B,B,-8.78,-72.6,-87.058,-45.52,6.49,-16.495,36.428,-53.193,57.137,-0.1676,swarm_200_66.pdb
top_8_A,A,top_8_B,B,-7.66,-72.97,-90.655,36.44,31.98,-10.273,14.251,-33.658,87.817,-0.3029,swarm_291_103.pdb
top_9_A,A,top_9_B,B,-1.18,-51.21,-71.134,-70.84,-18.32,-14.539,8.161,-30.55,61.476,-0.3641,swarm_320_20.pdb
top_10_A,A,top_10_B,B,-7.48,-49.77,-69.334,34.54,35.62,1.502,99.056,-20.775,61.278,0.1016,swarm_120_80.pdb
top_11_A,A,top_11_B,B,-15.18,-56.67,-79.375,-43.36,-3.43,-11.691,17.234,-44.943,62.411,-0.3758,swarm_34_112.pdb
top_12_A,A,top_12_B,B,-8.16,-46.67,-64.411,52.73,47.27,-3.348,47.643,-35.251,67.358,-0.253,swarm_279_68.pdb
top_13_A,A,top_13_B,B,-0.46,-46.06,-75.317,106.41,102.9,-26.467,150.549,-29.106,54.106,-0.0673,swarm_45_44.pdb
top_14_A,A,top_14_B,B,-3.92,-42.79,-65.291,131.24,93.74,-4.676,344.513,3.148,81.609,0.223,swarm_291_121.pdb
top_15_A,A,top_15_B,B,-8.46,-55.43,-72.128,39.24,78.85,-17.771,135.952,-36.797,50.139,-0.0329,swarm_232_108.pdb
top_16_A,A,top_16_B,B,-2.02,-52.02,-70.942,37.64,55.8,-14.638,228.419,-30.541,69.961,0.0866,swarm_38_160.pdb
top_17_A,A,top_17_B,B,-8.52,-42.05,-67.185,28.64,67.5,1.878,177.392,1.474,55.416,-0.1131,swarm_3_40.pdb
top_18_A,A,top_18_B,B,2.58,-49.06,-69.799,-63.62,-5.93,-4.356,16.738,-30.291,62.197,-0.0984,swarm_240_124.pdb
top_19_A,A,top_19_B,B,-13.6,-49.51,-72.251,-21.11,-22.64,-8.822,-34.747,-28.38,46.029,-0.285,swarm_308_112.pdb
top_20_A,A,top_20_B,B,7.98,-50.12,-65.867,-29.43,49.71,1.546,88.335,-15.302,55.137,0.1048,swarm_368_122.pdb
top_21_A,A,top_21_B,B,-1.84,-67.9,-83.234,76.07,28.81,4.286,101.198,-16.474,85.506,-0.1062,swarm_160_66.pdb
top_22_A,A,top_22_B,B,-9.56,-57.4,-80.999,14.82,32.07,-13.44,13.11,-38.595,67.179,-0.2469,swarm_52_39.pdb
top_23_A,A,top_23_B,B,-7.8,-46.24,-65.935,-68.6,-12.25,-14.512,29.252,-44.261,52.08,-0.4297,swarm_45_137.pdb
top_24_A,A,top_24_B,B,-7.46,-49.54,-71.538,-27.5,24.68,-14.139,-18.758,-44.678,46.588,-0.2727,swarm_45_169.pdb
top_25_A,A,top_25_B,B,-5.94,-39.03,-68.021,151.66,153.06,-22.443,306.928,-11.754,66.97,0.0087,swarm_218_160.pdb
top_26_A,A,top_26_B,B,-11.46,-46.77,-67.339,23.49,59.33,6.958,82.239,-0.647,72.27,-0.1229,swarm_82_177.pdb
top_27_A,A,top_27_B,B,-3.7,-42.74,-69.122,63.37,54.53,-5.62,43.165,-22.966,66.065,0.0082,swarm_34_115.pdb
top_28_A,A,top_28_B,B,-2.4,-46.38,-68.604,-55.52,-22.32,-16.56,34.551,-35.032,54.482,-0.317,swarm_200_92.pdb
top_29_A,A,top_29_B,B,1.8,-39.15,-67.361,121.41,104.29,-7.081,181.176,-5.449,65.342,-0.0581,swarm_52_155.pdb
top_30_A,A,top_30_B,B,-3.36,-50.57,-75.936,34.15,51.34,-3.934,190.125,-6.405,71.629,-0.1673,swarm_164_164.pdb
top_31_A,A,top_31_B,B,-0.32,-41.35,-62.441,124.09,102.02,7.488,175.043,1.139,60.881,-0.0904,swarm_199_87.pdb
top_32_A,A,top_32_B,B,-14.76,-40.41,-62.613,-49.81,-12.41,-1.934,94.398,-11.189,52.034,-0.1882,swarm_120_77.pdb
top_33_A,A,top_33_B,B,0.18,-44.65,-62.879,16.3,14.23,2.275,13.603,-12.841,63.796,-0.0872,swarm_154_152.pdb
top_34_A,A,top_34_B,B,-7.32,-45.44,-67.103,26.18,30.35,-7.058,69.035,-25.746,56.901,-0.2811,swarm_308_74.pdb
top_35_A,A,top_35_B,B,-7.02,-53.57,-67.414,27.94,33.8,-13.378,-17.858,-43.565,53.596,-0.2564,swarm_251_103.pdb
top_36_A,A,top_36_B,B,0.22,-45.95,-63.743,-26.21,41.15,-3.591,76.549,-5.798,39.078,0.0947,swarm_4_158.pdb
top_37_A,A,top_37_B,B,3.98,-43.05,-63.585,29.65,63.01,5.145,105.841,14.798,57.236,0.0214,swarm_92_165.pdb
top_38_A,A,top_38_B,B,2.54,-40.37,-63.391,129.62,107.21,-5.329,247.31,8.255,52.06,-0.039,swarm_372_113.pdb
top_39_A,A,top_39_B,B,-5.96,-50.84,-73.229,32.06,42.62,-7.463,21.135,-27.496,63.489,-0.3049,swarm_383_198.pdb
top_40_A,A,top_40_B,B,3.1,-58.01,-70.5,-51.04,-33.33,-15.345,-90.072,-31.601,55.876,-0.1684,swarm_246_100.pdb
top_41_A,A,top_41_B,B,3.54,-49.96,-69.433,99.38,115.5,4.002,90.009,-3.254,78.354,-0.1301,swarm_267_154.pdb
top_42_A,A,top_42_B,B,0.04,-60.9,-74.17,-28.73,-25.27,-12.555,-72.995,-34.271,66.875,0.061,swarm_155_118.pdb
top_43_A,A,top_43_B,B,-5.5,-44.85,-62.752,76.67,67.57,-8.822,168.152,2.295,56.643,0.119,swarm_25_163.pdb
top_44_A,A,top_44_B,B,-4.94,-48.47,-71.784,33.59,45.81,-20.71,138.065,-34.788,66.829,-0.1879,swarm_249_90.pdb
top_45_A,A,top_45_B,B,-2.9,-52.06,-75.238,69.11,66.04,-4.58,133.185,-11.698,76.698,-0.2823,swarm_39_132.pdb
top_46_A,A,top_46_B,B,-0.04,-43.55,-61.619,-15.75,18.83,-1.072,-9.425,-22.443,44.275,-0.0622,swarm_228_16.pdb
top_47_A,A,top_47_B,B,-3.94,-45.86,-63.153,130.23,90.48,1.386,122.71,-11.017,69.569,0.0175,swarm_114_125.pdb
top_48_A,A,top_48_B,B,0.4,-38.75,-67.388,50.96,108.25,-19.678,324.767,1.477,65.291,0.0953,swarm_190_110.pdb
top_49_A,A,top_49_B,B,-14.02,-40.65,-58.963,-28.23,20.41,-11.521,16.415,-27.173,34.524,-0.1314,swarm_301_22.pdb
top_50_A,A,top_50_B,B,-14.44,-47.94,-68.416,7.59,38.17,-19.376,133.107,-48.239,49.575,-0.0499,swarm_352_184.pdb
top_51_A,A,top_51_B,B,-3.98,-18.35,-50.304,401.1,297.64,-13.43,662.363,47.365,47.491,0.2269,swarm_190_195.pdb
top_52_A,A,top_52_B,B,-2.94,-47.25,-61.814,-6.87,3.12,-5.323,26.572,-22.205,74.785,-0.0922,swarm_249_46.pdb
top_53_A,A,top_53_B,B,-3.5,-37.81,-58.824,55.96,54.44,6.714,116.447,8.48,52.87,-0.053,swarm_353_5.pdb
top_54_A,A,top_54_B,B,-7.82,-47.78,-65.067,-38.16,3.43,5.076,49.751,-3.007,57.081,0.0335,swarm_155_184.pdb
top_55_A,A,top_55_B,B,-7.3,-53.25,-73.357,-57.44,16.46,-23.281,-4.909,-57.026,60.723,-0.3599,swarm_218_67.pdb
top_56_A,A,top_56_B,B,-4.52,-44.13,-63.627,-69.94,-10.41,-10.76,27.374,-31.099,47.758,-0.0818,swarm_218_166.pdb
