pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,1.86,-34.55,-59.924,45.15,56.88,-20.968,-44.684,-6.664,-6.367,0.0716,swarm_262_161.pdb
top_2_A,A,top_2_B,B,-2.86,-21.26,-50.212,0.489999999999,36.83,-41.078,136.099,3.329,-3.283,-0.2182,swarm_21_197.pdb
top_3_A,A,top_3_B,B,3.18,-31.09,-51.666,-95.29,-39.62,-59.322,-50.682,-38.903,0.181,-0.1408,swarm_74_173.pdb
top_4_A,A,top_4_B,B,7.06,-30.9,-53.681,-102.75,-3.68,-50.615,-129.36,-15.406,-6.2,-0.2033,swarm_188_53.pdb
top_5_A,A,top_5_B,B,11.22,-24.12,-48.377,-76.54,-20.42,-12.224,-89.144,27.059,-7.204,0.1307,swarm_295_198.pdb
top_6_A,A,top_6_B,B,10.42,-29.18,-54.403,-42.35,-12.23,-26.012,-64.843,-0.896,-7.707,-0.0844,swarm_311_70.pdb
top_7_A,A,top_7_B,B,16.04,-27.69,-55.784,133.95,117.07,-48.873,8.761,25.179,-7.775,0.0493,swarm_149_22.pdb
top_8_A,A,top_8_B,B,9.32,-27.01,-52.498,4.58,44.45,-43.689,-46.286,-3.761,-3.965,-0.0599,swarm_284_100.pdb
top_9_A,A,top_9_B,B,2.12,-25.84,-46.99,-73.02,-4.9,-60.855,-85.709,-44.598,-1.173,-0.3246,swarm_47_43.pdb
top_10_A,A,top_10_B,B,3.36,-24.1,-48.789,-92.61,-12.48,-61.252,-107.479,-33.667,-2.275,-0.2074,swarm_255_47.pdb
top_11_A,A,top_11_B,B,10.66,-21.78,-47.349,28.61,52.77,-32.769,-53.215,31.978,-4.133,0.053,swarm_230_175.pdb
top_12_A,A,top_12_B,B,10.44,-31.16,-55.032,-80.55,-3.85,-16.54,-153.782,30.592,-10.305,0.3186,swarm_237_93.pdb
top_13_A,A,top_13_B,B,7.36,-24.28,-43.844,-56.3,-20.05,-26.755,-83.139,-15.583,-3.47,-0.0182,swarm_137_122.pdb
top_14_A,A,top_14_B,B,-0.88,-28.36,-48.331,-66.34,-26.28,-27.45,-33.843,-29.293,1.138,0.0693,swarm_307_191.pdb
top_15_A,A,top_15_B,B,4.26,-21.05,-42.535,-33.51,-5.28,-14.904,-76.446,-9.112,-0.143,-0.0944,swarm_51_5.pdb
top_16_A,A,top_16_B,B,6.24,-31.34,-54.273,-10.49,1.47,-32.258,-57.888,-22.405,-5.355,0.0892,swarm_150_81.pdb
top_17_A,A,top_17_B,B,5.5,-24.84,-48.845,-22.33,-4.26,-39.446,-27.721,-22.655,-3.426,0.0134,swarm_255_125.pdb
top_18_A,A,top_18_B,B,13.6,-18.67,-42.113,-4.97,41.1,-52.047,-75.246,1.839,-2.796,-0.1939,swarm_230_55.pdb
top_19_A,A,top_19_B,B,7.48,-26.48,-49.317,-2.9,13.48,-52.503,-74.949,-29.32,-1.362,-0.0486,swarm_31_185.pdb
top_20_A,A,top_20_B,B,12.1,-26.96,-48.298,-67.23,-30.75,-31.831,-94.134,-5.508,-2.486,0.0856,swarm_246_71.pdb
top_21_A,A,top_21_B,B,14.62,-21.6,-45.329,-68.14,-12.2,2.752,-92.284,50.4,-9.91,-0.036,swarm_239_24.pdb
top_22_A,A,top_22_B,B,5.16,-26.53,-50.279,-11.79,2.17,-28.544,-92.349,9.828,-2.749,0.0702,swarm_251_198.pdb
top_23_A,A,top_23_B,B,3.82,-27.36,-43.617,-41.71,-12.84,-45.264,-50.953,-19.543,0.563,-0.2184,swarm_3_71.pdb
top_24_A,A,top_24_B,B,14.64,-12.71,-46.327,39.02,54.52,-33.625,15.188,8.568,-7.249,-0.018,swarm_82_66.pdb
