pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-1.98,-29.29,-38.767,-18.52,-4.56,-6.967,-11.298,-7.412,-1.459,-0.0655,swarm_59_41.pdb
top_2_A,A,top_2_B,B,3.54,-25.09,-35.82,-43.12,-23.92,-11.607,-64.127,-20.631,-3.016,-0.2215,swarm_48_21.pdb
top_3_A,A,top_3_B,B,0.06,-24.21,-35.685,-20.52,11.62,-2.857,-46.183,0.293,-4.577,-0.0358,swarm_155_17.pdb
top_4_A,A,top_4_B,B,8.34,-22.19,-33.324,64.46,48.61,-14.844,-5.371,-5.371,-11.495,0.0053,swarm_102_23.pdb
top_5_A,A,top_5_B,B,5.5,-22.53,-32.763,-26.43,-0.44,-2.618,-24.975,4.012,-7.052,-0.1181,swarm_120_10.pdb
top_6_A,A,top_6_B,B,8.74,-24.37,-40.061,38.9,37.75,-12.944,15.3,17.435,-8.431,-0.037,swarm_130_49.pdb
top_7_A,A,top_7_B,B,1.5,-21.44,-34.622,-31.0,3.64,-1.484,-7.395,5.776,-1.197,-0.0858,swarm_148_23.pdb
top_8_A,A,top_8_B,B,2.68,-24.08,-35.935,-5.14,10.74,-2.512,26.129,11.401,-5.773,-0.0402,swarm_7_189.pdb
top_9_A,A,top_9_B,B,-4.32,-20.83,-33.174,21.71,48.88,-10.16,86.853,4.236,-4.274,-0.1218,swarm_59_96.pdb
top_10_A,A,top_10_B,B,-4.38,-22.45,-29.925,56.11,31.6,-10.772,-3.049,-9.154,-5.134,-0.2174,swarm_51_25.pdb
top_11_A,A,top_11_B,B,-2.74,-21.94,-32.192,-33.6,-9.53,-12.865,-19.11,-9.633,-5.59,-0.1033,swarm_120_196.pdb
top_12_A,A,top_12_B,B,-12.6,6.59,-10.232,316.04,210.63,-17.596,481.324,27.504,1.215,-0.3697,swarm_120_125.pdb
top_13_A,A,top_13_B,B,9.18,-19.46,-35.867,86.41,49.8,-14.421,27.97,16.371,-10.485,-0.0665,swarm_86_102.pdb
top_14_A,A,top_14_B,B,6.16,-25.2,-34.334,-15.15,9.49,-9.109,-47.611,-1.599,-3.253,-0.1779,swarm_158_68.pdb
top_15_A,A,top_15_B,B,8.68,-20.93,-32.187,61.1,45.24,-10.195,-12.729,-2.317,-9.659,0.1889,swarm_55_171.pdb
top_16_A,A,top_16_B,B,5.28,-26.18,-37.014,-55.73,-8.08,-3.861,-68.481,3.126,-5.138,-0.0902,swarm_46_58.pdb
top_17_A,A,top_17_B,B,5.64,-19.13,-32.112,-46.34,-2.15,-12.28,-68.473,5.783,-5.163,-0.0391,swarm_10_187.pdb
top_18_A,A,top_18_B,B,0.78,-19.76,-32.924,-4.93,6.85,-9.756,-13.756,-0.852,-4.899,-0.1925,swarm_104_122.pdb
top_19_A,A,top_19_B,B,7.92,-22.04,-34.41,84.67,50.32,-5.183,-32.514,6.323,-6.094,0.0426,swarm_96_37.pdb
top_20_A,A,top_20_B,B,10.26,-18.48,-32.73,-18.78,16.2,-2.246,-64.948,22.838,-10.839,0.0467,swarm_130_130.pdb
top_21_A,A,top_21_B,B,8.16,-25.18,-32.087,-11.81,0.26,-1.752,-51.428,2.025,-4.614,-0.0851,swarm_100_13.pdb
top_22_A,A,top_22_B,B,6.28,-23.24,-34.031,0.26,4.22,-8.295,-44.73,-3.796,-7.634,0.0315,swarm_42_15.pdb
top_23_A,A,top_23_B,B,5.8,-19.92,-30.479,11.63,31.49,-6.47,-42.643,0.824,-4.306,0.1362,swarm_62_5.pdb
top_24_A,A,top_24_B,B,7.3,-17.72,-33.291,23.46,32.08,-9.619,-20.397,17.599,-11.336,0.0714,swarm_42_60.pdb
top_25_A,A,top_25_B,B,4.8,-23.28,-33.285,-4.36,35.22,-4.672,16.925,-3.031,-9.153,-0.0543,swarm_83_83.pdb
top_26_A,A,top_26_B,B,-0.42,-23.94,-32.291,-60.93,-16.23,-8.632,-27.727,-0.05,-2.092,-0.1501,swarm_158_127.pdb
top_27_A,A,top_27_B,B,3.04,-16.59,-29.02,10.11,22.13,1.061,-20.059,24.384,-5.496,-0.0354,swarm_114_18.pdb
top_28_A,A,top_28_B,B,2.7,-16.97,-30.79,-41.86,-22.98,1.261,-58.708,1.206,0.598,-0.0129,swarm_125_164.pdb
top_29_A,A,top_29_B,B,11.08,-23.97,-37.186,-10.11,7.74,-20.19,-29.955,-8.491,-6.011,-0.0988,swarm_85_72.pdb
top_30_A,A,top_30_B,B,-2.36,-23.96,-30.115,-47.05,-36.6,-10.236,-58.125,-12.02,-1.192,-0.2485,swarm_154_98.pdb
top_31_A,A,top_31_B,B,8.9,-19.54,-32.584,2.68,34.63,-24.27,-4.257,-2.911,-8.91,-0.0474,swarm_61_175.pdb
top_32_A,A,top_32_B,B,5.04,-21.81,-32.492,28.72,31.95,-9.2,-18.383,4.862,-4.424,0.057,swarm_19_3.pdb
top_33_A,A,top_33_B,B,5.5,-22.13,-33.62,7.95,20.71,-11.823,-50.256,-2.909,-3.365,-0.0768,swarm_103_11.pdb
top_34_A,A,top_34_B,B,-1.38,-16.41,-28.188,10.57,30.13,-5.418,0.134,1.306,-1.988,-0.1666,swarm_101_47.pdb
top_35_A,A,top_35_B,B,5.08,-19.66,-31.552,26.7,22.57,-11.101,-33.713,-2.675,-11.427,-0.0014,swarm_48_199.pdb
top_36_A,A,top_36_B,B,-7.96,-19.74,-28.543,6.18,14.87,-5.566,31.282,7.868,0.55,-0.2987,swarm_156_50.pdb
top_37_A,A,top_37_B,B,4.76,-18.4,-30.699,-19.5,-6.16,-8.239,-36.627,3.904,-6.565,-0.0346,swarm_19_160.pdb
top_38_A,A,top_38_B,B,3.3,-15.74,-29.18,25.27,12.37,-4.781,-22.767,17.112,-2.762,-0.1365,swarm_85_109.pdb
top_39_A,A,top_39_B,B,1.38,-21.45,-30.064,-69.21,-39.29,-2.403,-47.996,-2.803,-3.481,-0.0835,swarm_18_99.pdb
top_40_A,A,top_40_B,B,5.16,-20.75,-33.431,4.33,6.94,-11.044,51.66,15.678,-4.423,-0.0953,swarm_10_38.pdb
