pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-3.8,-34.24,-45.027,-73.32,-27.09,-4.761,-60.03,-26.067,12.284,-0.1547,swarm_41_167.pdb
top_2_A,A,top_2_B,B,-3.76,-29.6,-41.087,-76.23,-27.01,-7.117,-8.139,-27.059,11.296,0.0939,swarm_14_63.pdb
top_3_A,A,top_3_B,B,-4.24,-35.12,-48.026,-41.62,0.17,-3.483,-43.235,-18.023,10.221,0.4331,swarm_41_21.pdb
top_4_A,A,top_4_B,B,-13.62,-28.6,-40.93,-14.54,3.52,-5.715,4.142,-10.533,2.607,-0.1128,swarm_1_25.pdb
top_5_A,A,top_5_B,B,-7.0,-28.69,-40.867,-37.43,13.14,-16.016,-23.825,-30.222,11.669,-0.1296,swarm_1_71.pdb
top_6_A,A,top_6_B,B,1.22,-31.98,-43.268,-45.52,37.98,-15.263,-22.143,-15.763,0.43,-0.0862,swarm_54_68.pdb
top_7_A,A,top_7_B,B,-6.28,-30.8,-42.101,-92.29,-38.7,-11.63,-78.16,-33.079,8.339,-0.291,swarm_121_13.pdb
top_8_A,A,top_8_B,B,-7.38,-29.9,-41.685,-51.45,22.48,-17.449,10.755,-32.105,1.567,-0.1383,swarm_34_105.pdb
top_9_A,A,top_9_B,B,-4.58,-30.03,-40.042,-10.5,-5.61,-9.076,-57.494,-23.39,10.1,-0.1462,swarm_39_85.pdb
top_10_A,A,top_10_B,B,-5.3,-26.56,-40.425,-39.72,-9.01,-0.692,21.956,-8.105,4.039,0.2295,swarm_79_168.pdb
top_11_A,A,top_11_B,B,-4.78,-28.28,-39.461,-60.19,-34.39,-20.018,-38.973,-21.153,9.448,-0.1732,swarm_46_156.pdb
top_12_A,A,top_12_B,B,-10.5,-25.95,-37.708,35.36,49.44,-7.487,-12.894,-12.543,9.277,-0.3952,swarm_125_95.pdb
top_13_A,A,top_13_B,B,-8.9,-25.71,-36.122,-79.95,-23.91,-10.155,-15.961,-20.095,7.096,-0.2736,swarm_128_181.pdb
top_14_A,A,top_14_B,B,-2.58,-28.31,-37.489,-23.19,-12.09,-4.824,-49.561,-25.207,9.043,-0.2685,swarm_41_193.pdb
top_15_A,A,top_15_B,B,-16.48,-32.53,-44.749,-43.87,2.55,-9.434,22.241,-29.25,6.577,-0.157,swarm_119_47.pdb
top_16_A,A,top_16_B,B,-6.78,-26.56,-36.069,-46.73,-10.09,1.478,-46.818,-14.974,6.869,1.1761,swarm_121_128.pdb
top_17_A,A,top_17_B,B,-3.48,-24.33,-33.988,-61.14,-29.09,-8.055,-32.641,-21.249,10.173,-0.2616,swarm_121_42.pdb
top_18_A,A,top_18_B,B,1.74,-26.63,-34.165,-10.88,11.43,-11.917,-65.528,-31.586,7.888,-0.0238,swarm_39_193.pdb
top_19_A,A,top_19_B,B,0.28,-23.37,-35.064,-49.24,18.19,-6.475,-5.325,-9.248,5.214,-0.0501,swarm_128_66.pdb
top_20_A,A,top_20_B,B,-4.6,-21.87,-35.837,72.0,41.46,-10.357,52.068,-12.461,1.851,0.0094,swarm_1_32.pdb
top_21_A,A,top_21_B,B,1.8,-26.39,-36.734,-63.09,-13.6,-16.934,-41.952,-26.261,9.259,-0.1299,swarm_25_106.pdb
top_22_A,A,top_22_B,B,-8.06,-28.5,-39.354,19.73,15.33,-13.72,-30.877,-21.642,5.147,-0.278,swarm_128_161.pdb
top_23_A,A,top_23_B,B,-1.84,-27.35,-35.144,-42.98,-5.96,-9.141,-39.239,-21.812,5.386,-0.1562,swarm_1_113.pdb
top_24_A,A,top_24_B,B,-0.74,-24.74,-33.848,-3.06,31.74,-12.757,-28.333,-30.219,11.052,-0.1174,swarm_39_176.pdb
top_25_A,A,top_25_B,B,-5.72,-24.72,-36.008,-28.53,-5.54,-11.436,-11.139,-22.223,6.675,-0.2191,swarm_8_52.pdb
top_26_A,A,top_26_B,B,-8.92,-27.53,-39.661,168.84,147.09,0.491,163.067,5.988,-6.301,0.2075,swarm_1_37.pdb
top_27_A,A,top_27_B,B,-2.6,-22.39,-35.24,26.55,31.39,-10.716,29.987,-8.889,9.734,0.0241,swarm_103_177.pdb
top_28_A,A,top_28_B,B,-3.3,-26.6,-36.307,4.11,15.39,-17.885,-21.691,-29.052,11.322,-0.163,swarm_103_71.pdb
top_29_A,A,top_29_B,B,6.34,-28.47,-37.443,-69.47,1.1,-5.24,-57.481,-6.645,5.071,-0.0946,swarm_54_140.pdb
top_30_A,A,top_30_B,B,-1.64,-21.06,-33.75,-6.28,12.09,-10.016,-26.285,-7.166,3.843,-0.1237,swarm_8_53.pdb
top_31_A,A,top_31_B,B,0.3,-22.17,-35.738,48.59,64.22,-13.209,14.937,-17.257,3.697,-0.0012,swarm_19_46.pdb
top_32_A,A,top_32_B,B,-2.18,-25.57,-35.7,-46.98,-21.09,-11.275,-48.218,-21.871,6.79,-0.1354,swarm_9_19.pdb
top_33_A,A,top_33_B,B,2.16,-23.02,-33.209,-33.03,-2.18,-8.121,0.224,-20.174,10.872,-0.0505,swarm_128_7.pdb
top_34_A,A,top_34_B,B,4.12,-28.96,-39.577,36.61,79.89,-14.011,26.466,-2.822,0.091,-0.01,swarm_82_45.pdb
top_35_A,A,top_35_B,B,-3.64,-26.31,-39.533,95.85,83.16,-13.233,5.328,-6.699,5.076,0.0336,swarm_72_134.pdb
top_36_A,A,top_36_B,B,-10.3,-28.41,-40.678,53.19,45.23,-6.197,63.293,-8.552,3.964,-0.1199,swarm_128_113.pdb
top_37_A,A,top_37_B,B,-7.58,-29.01,-39.392,-27.36,-14.13,-7.731,-37.204,-21.175,8.61,-0.1256,swarm_121_29.pdb
top_38_A,A,top_38_B,B,-6.76,-24.9,-35.093,-35.4,-15.44,-8.275,1.282,-26.938,10.315,-0.0632,swarm_103_108.pdb
top_39_A,A,top_39_B,B,-1.56,-26.04,-37.421,-36.71,-12.66,-5.695,-25.397,-20.022,10.898,0.0936,swarm_82_163.pdb
top_40_A,A,top_40_B,B,-2.46,-24.22,-35.633,-11.24,-10.09,-7.694,-14.177,-19.234,7.942,-0.1919,swarm_41_190.pdb
top_41_A,A,top_41_B,B,7.2,-25.11,-37.27,61.55,42.39,-3.762,8.317,-14.977,5.929,-0.0147,swarm_54_192.pdb
top_42_A,A,top_42_B,B,-3.62,-23.54,-32.711,-73.63,-25.08,-2.618,-39.234,-17.724,8.374,-0.0526,swarm_136_70.pdb
top_43_A,A,top_43_B,B,-5.92,-23.43,-34.337,101.64,88.7,-13.741,63.468,-7.455,1.702,0.3422,swarm_17_98.pdb
top_44_A,A,top_44_B,B,-9.78,-28.83,-36.487,-62.45,-9.53,-4.628,-3.551,-21.483,5.954,-0.1047,swarm_103_128.pdb
top_45_A,A,top_45_B,B,-12.86,-28.55,-40.93,-23.0,41.82,-19.965,31.837,-32.923,3.779,-0.5612,swarm_54_38.pdb
top_46_A,A,top_46_B,B,-1.38,-24.64,-32.109,-68.32,-32.07,-9.22,-61.324,-19.076,8.146,-0.11,swarm_82_66.pdb
top_47_A,A,top_47_B,B,-2.04,-22.81,-33.103,59.71,36.43,-5.662,-33.624,-19.683,8.645,-0.105,swarm_95_128.pdb
top_48_A,A,top_48_B,B,-1.38,-21.5,-34.273,-45.01,-18.37,-12.259,-46.475,-19.957,3.658,0.0203,swarm_76_19.pdb
top_49_A,A,top_49_B,B,1.6,-22.09,-31.842,15.12,11.03,-6.617,-23.634,-10.203,6.66,-0.0656,swarm_25_48.pdb
top_50_A,A,top_50_B,B,-0.16,-26.48,-36.141,11.85,52.05,-11.63,44.783,-10.727,1.248,-0.0489,swarm_62_61.pdb
top_51_A,A,top_51_B,B,-9.08,-24.02,-30.776,-56.71,-9.24,-5.323,-8.841,-17.227,8.874,-0.2734,swarm_128_134.pdb
top_52_A,A,top_52_B,B,0.42,-21.57,-33.879,28.47,36.41,-16.427,11.663,-18.865,5.803,-0.0656,swarm_34_178.pdb
top_53_A,A,top_53_B,B,-0.54,-23.76,-34.23,19.64,30.48,-8.198,13.596,-14.952,3.598,-0.1442,swarm_87_97.pdb
top_54_A,A,top_54_B,B,-5.74,-21.67,-32.133,-57.98,-11.59,-9.646,-25.516,-4.487,7.803,-0.2114,swarm_14_111.pdb
top_55_A,A,top_55_B,B,2.96,-18.62,-30.595,-43.29,-8.71,-31.839,-50.311,-16.152,2.825,-0.1013,swarm_101_0.pdb
top_56_A,A,top_56_B,B,0.76,-22.12,-31.979,7.2,-0.52,-9.31,-32.18,-19.599,6.395,0.1079,swarm_72_43.pdb
top_57_A,A,top_57_B,B,-3.32,-19.65,-28.825,8.66,7.12,-2.057,0.056,-1.756,4.482,-0.1433,swarm_1_65.pdb
top_58_A,A,top_58_B,B,-6.1,-21.82,-30.068,-12.18,-4.96,1.084,2.649,-5.858,6.542,-0.2611,swarm_60_174.pdb
top_59_A,A,top_59_B,B,2.76,-24.33,-32.719,32.85,37.53,-15.703,-29.453,-22.735,4.995,-0.0565,swarm_5_100.pdb
top_60_A,A,top_60_B,B,-4.82,-21.87,-33.806,55.33,66.73,-16.871,40.676,-7.796,-2.88,0.1103,swarm_39_166.pdb
top_61_A,A,top_61_B,B,-3.32,-22.79,-31.1,-10.72,4.77,-7.784,-65.056,-14.613,9.277,-0.171,swarm_62_188.pdb
top_62_A,A,top_62_B,B,-2.5,-17.71,-29.909,16.59,24.28,-19.173,-23.465,-2.33,6.911,0.0133,swarm_19_114.pdb
top_63_A,A,top_63_B,B,-7.26,-22.1,-32.12,-1.32,32.41,-5.163,14.14,-8.655,3.081,0.0828,swarm_39_100.pdb
top_64_A,A,top_64_B,B,-1.76,-21.91,-32.078,-11.75,-5.98,-11.529,-19.75,-13.221,1.575,-0.3037,swarm_32_125.pdb
top_65_A,A,top_65_B,B,-1.02,-19.86,-30.532,-26.11,-9.0,-13.893,-17.329,-18.833,3.891,0.087,swarm_63_36.pdb
top_66_A,A,top_66_B,B,0.38,-20.4,-30.491,-13.87,25.41,-12.571,3.662,-22.245,6.782,0.0618,swarm_119_129.pdb
top_67_A,A,top_67_B,B,2.08,-20.58,-30.662,-30.36,23.56,-5.586,-31.219,-6.024,2.489,-0.2165,swarm_95_174.pdb
top_68_A,A,top_68_B,B,2.2,-19.34,-29.914,6.47,-0.58,-16.662,-17.165,-25.06,5.372,-0.1675,swarm_122_170.pdb
top_69_A,A,top_69_B,B,-0.94,-23.54,-34.864,24.47,38.9,-5.481,14.906,-1.788,-0.343,0.3237,swarm_128_143.pdb
top_70_A,A,top_70_B,B,-2.58,-21.56,-32.394,35.76,28.16,-10.841,-15.565,-22.304,9.629,-0.0175,swarm_39_177.pdb
top_71_A,A,top_71_B,B,1.52,-25.02,-30.35,-76.26,-15.97,-4.39,-52.992,-15.426,5.173,-0.0471,swarm_73_6.pdb
top_72_A,A,top_72_B,B,8.52,-5.32,-18.132,187.24,141.44,-17.1,187.697,12.549,8.719,0.0938,swarm_19_39.pdb
top_73_A,A,top_73_B,B,-3.3,-20.13,-29.105,-57.43,-11.02,-11.025,-20.812,-17.464,8.398,-0.1931,swarm_19_101.pdb
top_74_A,A,top_74_B,B,2.64,-26.16,-31.856,37.09,34.91,-13.483,12.083,-4.299,3.576,0.0882,swarm_109_39.pdb
top_75_A,A,top_75_B,B,-5.22,-26.15,-32.723,-25.09,6.48,-3.562,32.622,-21.725,9.004,0.0305,swarm_14_60.pdb
top_76_A,A,top_76_B,B,-2.08,-18.96,-31.218,15.0,18.92,-10.138,10.636,-9.731,11.896,-0.2585,swarm_54_175.pdb
top_77_A,A,top_77_B,B,-2.8,-19.63,-29.51,-7.05,10.86,-11.279,-23.551,-11.358,8.254,-0.0721,swarm_45_150.pdb
top_78_A,A,top_78_B,B,-11.56,-22.54,-31.277,53.28,57.39,-7.288,40.519,-12.283,7.488,-0.1806,swarm_121_124.pdb
top_79_A,A,top_79_B,B,-4.56,-18.66,-29.122,-29.55,-8.13,-25.182,-34.283,-29.756,7.628,-0.2105,swarm_15_60.pdb
top_80_A,A,top_80_B,B,-2.28,-17.06,-25.044,4.56,14.06,-7.86,-46.162,-14.072,5.727,-0.0318,swarm_139_33.pdb
top_81_A,A,top_81_B,B,-4.84,-17.43,-28.373,-5.5,2.38,-16.369,33.732,-8.515,2.605,-0.0057,swarm_101_119.pdb
top_82_A,A,top_82_B,B,-3.86,-20.71,-31.239,12.94,34.65,-17.777,96.802,-8.751,1.76,-0.1013,swarm_60_42.pdb
top_83_A,A,top_83_B,B,2.5,-20.86,-31.323,-13.5,11.3,-13.459,-30.028,-20.02,6.051,0.2407,swarm_137_87.pdb
top_84_A,A,top_84_B,B,-6.54,-20.57,-28.763,-85.76,-46.78,-11.96,-38.734,-24.955,7.337,-0.1321,swarm_84_168.pdb
top_85_A,A,top_85_B,B,-6.44,-20.69,-30.372,7.93,8.22,2.739,43.857,-1.755,8.159,-0.0324,swarm_1_165.pdb
top_86_A,A,top_86_B,B,-0.66,-18.06,-27.915,-41.71,-17.23,-8.533,-48.548,-18.839,3.496,0.0012,swarm_124_181.pdb
top_87_A,A,top_87_B,B,-5.18,-25.01,-32.481,22.13,21.96,-11.751,-4.804,-17.054,10.655,0.1417,swarm_14_90.pdb
top_88_A,A,top_88_B,B,-8.4,-18.37,-31.44,44.49,54.63,-0.582,4.042,8.2,4.314,0.1991,swarm_95_179.pdb
top_89_A,A,top_89_B,B,-2.92,-21.48,-31.852,1.06,6.16,-1.231,-23.248,-13.098,5.995,0.2384,swarm_121_194.pdb
top_90_A,A,top_90_B,B,4.36,-18.52,-25.122,2.83,4.83,-14.168,-37.343,-19.482,12.718,0.0516,swarm_60_27.pdb
top_91_A,A,top_91_B,B,-3.7,-21.78,-29.915,-22.47,-2.06,-7.305,-27.589,-22.887,7.825,-0.0905,swarm_29_99.pdb
top_92_A,A,top_92_B,B,1.34,-22.9,-30.979,-56.09,-30.54,-10.305,-62.899,-14.426,5.682,-0.2528,swarm_5_169.pdb
top_93_A,A,top_93_B,B,2.42,-22.54,-32.557,-16.12,-18.64,-11.62,7.339,-11.92,2.863,0.1566,swarm_72_86.pdb
top_94_A,A,top_94_B,B,-5.2,-29.51,-38.357,31.27,47.06,-5.649,20.269,-13.137,19.819,-0.0935,swarm_121_17.pdb
top_95_A,A,top_95_B,B,-8.86,-23.69,-31.948,-95.44,-45.46,-5.713,-30.266,-28.496,13.62,0.0754,swarm_124_140.pdb
top_96_A,A,top_96_B,B,3.84,-17.28,-28.777,-2.6,2.6,-23.42,-46.243,-10.46,2.692,0.0798,swarm_21_72.pdb
top_97_A,A,top_97_B,B,-5.38,-21.07,-27.549,-29.57,-5.97,-6.98,-36.435,-18.017,4.515,-0.0302,swarm_82_148.pdb
top_98_A,A,top_98_B,B,-1.1,-18.09,-29.258,-45.03,-23.43,-17.71,4.374,-28.408,9.77,-0.0684,swarm_109_65.pdb
top_99_A,A,top_99_B,B,1.0,-18.98,-27.079,14.36,-9.78,-9.778,1.675,-8.764,0.639,-0.1421,swarm_119_144.pdb
top_100_A,A,top_100_B,B,-0.2,-19.13,-27.829,-9.21,20.09,-6.297,-56.62,-10.678,-0.423,0.1089,swarm_44_33.pdb
top_101_A,A,top_101_B,B,-5.56,-18.15,-28.653,64.16,72.56,-12.128,98.095,-7.909,-3.796,0.2021,swarm_62_184.pdb
top_102_A,A,top_102_B,B,-9.04,-18.13,-28.981,-66.65,-33.8,-5.496,-51.198,-32.65,9.895,0.5133,swarm_121_155.pdb
top_103_A,A,top_103_B,B,-2.26,-19.36,-27.81,-53.0,-22.6,-11.461,-27.905,-27.061,7.415,-0.113,swarm_130_17.pdb
