pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-14.04,-41.34,-70.352,-34.5,-23.39,-33.182,-43.439,-48.417,11.645,-0.5022,swarm_117_194.pdb
top_2_A,A,top_2_B,B,-2.76,-36.81,-68.023,58.63,66.51,-36.991,11.815,-36.697,5.011,0.0578,swarm_397_199.pdb
top_3_A,A,top_3_B,B,-1.38,-43.61,-72.41,-84.84,-18.06,-43.664,-37.142,-42.786,8.24,-0.3525,swarm_444_133.pdb
top_4_A,A,top_4_B,B,-0.46,-41.85,-83.391,91.34,83.19,-37.318,138.201,-23.825,10.615,-0.2106,swarm_250_120.pdb
top_5_A,A,top_5_B,B,2.06,-41.69,-67.63,-21.72,41.64,-14.138,47.309,-18.38,11.199,0.1004,swarm_301_54.pdb
top_6_A,A,top_6_B,B,7.44,-50.61,-88.065,39.07,128.31,-63.145,86.178,-50.498,2.578,-0.5184,swarm_444_56.pdb
top_7_A,A,top_7_B,B,20.24,-44.03,-73.311,-34.82,18.39,-13.731,-106.921,-8.581,-7.893,-0.1826,swarm_258_46.pdb
top_8_A,A,top_8_B,B,7.76,-42.65,-68.346,-4.84,9.42,-10.325,-107.445,-1.922,-2.447,0.0653,swarm_118_37.pdb
top_9_A,A,top_9_B,B,13.18,-45.23,-69.784,-50.81,-5.24,-24.735,-44.706,-15.418,-1.897,-0.1172,swarm_290_26.pdb
top_10_A,A,top_10_B,B,4.86,-33.76,-66.963,36.67,38.2,-11.033,21.352,-1.643,2.963,-0.2487,swarm_88_107.pdb
top_11_A,A,top_11_B,B,2.34,-39.74,-71.127,121.83,88.68,-2.815,12.591,32.833,-2.695,0.0265,swarm_301_66.pdb
top_12_A,A,top_12_B,B,-2.34,-29.52,-59.673,-21.26,19.46,-32.756,11.439,-37.617,4.554,-0.1296,swarm_260_87.pdb
top_13_A,A,top_13_B,B,20.62,-36.5,-65.945,10.9,38.22,-25.872,-40.421,-2.612,-5.807,-0.1836,swarm_88_133.pdb
top_14_A,A,top_14_B,B,23.0,-31.8,-63.915,-5.19,65.37,-11.979,-110.814,18.194,-9.763,0.0985,swarm_114_107.pdb
top_15_A,A,top_15_B,B,7.66,-28.35,-61.959,0.94,58.25,-38.631,12.866,-15.197,-1.137,-0.1341,swarm_186_43.pdb
top_16_A,A,top_16_B,B,9.48,-33.38,-57.215,63.47,89.56,-31.137,93.276,-20.071,-0.7,0.1662,swarm_134_93.pdb
top_17_A,A,top_17_B,B,-1.42,-35.47,-66.712,-0.14,36.46,-34.517,9.145,-36.632,1.416,-0.2362,swarm_198_143.pdb
top_18_A,A,top_18_B,B,17.12,-33.88,-63.58,78.11,71.24,-17.933,-61.255,18.271,-12.059,0.1959,swarm_364_183.pdb
