pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-1.12,-22.05,-29.868,-42.0,-5.48,-11.847,-47.588,-15.938,-1.825,-0.0231,swarm_122_91.pdb
top_2_A,A,top_2_B,B,-3.48,-20.64,-29.748,-26.83,1.17,-0.516,-34.284,9.997,-2.252,-0.211,swarm_129_43.pdb
top_3_A,A,top_3_B,B,1.92,-18.19,-27.195,-46.02,-20.47,-12.561,-38.082,-3.881,-1.365,-0.3396,swarm_160_71.pdb
top_4_A,A,top_4_B,B,1.02,-18.93,-25.804,-0.32,6.27,0.769,-35.613,11.306,-0.217,-0.071,swarm_55_142.pdb
top_5_A,A,top_5_B,B,-0.22,-19.31,-28.72,0.26,18.04,-10.297,-33.0,-7.03,-2.081,-0.0483,swarm_3_68.pdb
top_6_A,A,top_6_B,B,3.84,-20.2,-26.857,-17.26,19.37,-7.299,-38.569,18.335,-7.208,0.1819,swarm_55_39.pdb
top_7_A,A,top_7_B,B,-3.4,-18.22,-26.441,4.92,-5.96,-16.245,-3.076,-0.328,-4.22,0.0072,swarm_4_22.pdb
top_8_A,A,top_8_B,B,-2.66,-16.48,-25.808,-12.41,-0.62,-8.83,-18.323,2.338,-0.914,-0.0543,swarm_146_10.pdb
top_9_A,A,top_9_B,B,-0.32,-19.48,-26.648,-58.12,-31.51,-19.904,-53.14,-15.757,2.488,-0.1305,swarm_34_126.pdb
top_10_A,A,top_10_B,B,-0.92,-17.99,-26.458,-12.52,-5.12,-10.189,-28.44,-11.102,-0.321,-0.0522,swarm_146_23.pdb
top_11_A,A,top_11_B,B,5.32,-18.64,-25.211,5.3,13.58,-9.906,-51.167,10.34,-2.097,-0.0653,swarm_146_25.pdb
top_12_A,A,top_12_B,B,-1.68,-16.25,-24.352,-27.03,-21.4,-5.227,-23.794,11.69,-0.613,-0.0653,swarm_13_44.pdb
top_13_A,A,top_13_B,B,1.02,-17.79,-26.218,36.36,47.62,-12.497,-46.266,-8.805,-3.298,-0.0514,swarm_3_78.pdb
top_14_A,A,top_14_B,B,7.18,-20.69,-25.865,26.2,15.57,-3.903,-55.139,17.939,-3.884,0.0472,swarm_77_68.pdb
top_15_A,A,top_15_B,B,4.04,-17.05,-26.432,-0.0299999999999,22.39,-8.925,-51.189,-1.368,-2.59,0.0426,swarm_160_56.pdb
top_16_A,A,top_16_B,B,0.54,-16.86,-23.652,-0.47,-16.85,-1.239,-26.103,6.002,-2.689,0.0216,swarm_72_27.pdb
