pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-3.5,-19.48,-27.5791,-65.9,-7.18,-8.994,14.442,-14.891,7.808,-0.2353,swarm_67_47.pdb
top_2_A,A,top_2_B,B,-5.48,-21.6,-27.7742,-26.76,9.03,-4.733,6.767,-12.618,7.028,-0.1072,swarm_46_183.pdb
top_3_A,A,top_3_B,B,-2.42,-18.64,-25.0687,-54.63,-29.82,-9.905,1.939,-20.09,5.953,-0.2451,swarm_104_49.pdb
top_4_A,A,top_4_B,B,-4.94,-18.69,-24.5611,-36.12,-11.62,-1.042,-10.612,-11.533,7.408,-0.1051,swarm_9_28.pdb
top_5_A,A,top_5_B,B,-2.92,-18.53,-23.4155,-8.67,2.01,-5.093,-2.3,-12.156,3.391,-0.1918,swarm_101_20.pdb
top_6_A,A,top_6_B,B,-1.08,-17.87,-24.2249,-21.72,1.92,-10.724,13.207,-15.191,6.365,-0.1328,swarm_46_94.pdb
top_7_A,A,top_7_B,B,-4.3,-17.56,-23.5646,-7.32,1.83,-4.554,-6.646,-8.298,3.15,-0.1436,swarm_106_199.pdb
top_8_A,A,top_8_B,B,-1.22,-15.7,-23.1852,-2.79,19.85,-12.286,-3.894,-11.14,3.73,-0.0319,swarm_101_155.pdb
top_9_A,A,top_9_B,B,-2.58,-18.09,-24.5732,19.9,9.95,-10.43,24.766,-20.719,8.636,-0.3029,swarm_67_39.pdb
top_10_A,A,top_10_B,B,-5.74,-17.18,-23.6788,-21.71,2.62,-6.685,59.49,-5.087,7.557,-0.1524,swarm_101_86.pdb
top_11_A,A,top_11_B,B,3.62,-16.99,-23.7328,-17.73,-17.04,-14.098,-10.12,1.704,0.033,-0.0435,swarm_7_36.pdb
top_12_A,A,top_12_B,B,-3.7,-16.46,-23.6738,-5.13,12.01,-4.469,26.897,-5.713,6.366,0.0304,swarm_46_30.pdb
top_13_A,A,top_13_B,B,-1.54,-15.95,-21.5716,-0.13,21.3,-3.395,82.183,-5.386,6.189,-0.0152,swarm_113_38.pdb
top_14_A,A,top_14_B,B,-5.3,-15.97,-22.7282,-38.45,-0.02,-2.324,18.252,-6.585,3.694,-0.1288,swarm_32_140.pdb
top_15_A,A,top_15_B,B,0.52,-17.01,-24.1239,-0.63,1.21,-5.224,7.8,-2.271,1.066,0.0466,swarm_50_106.pdb
top_16_A,A,top_16_B,B,-2.32,-17.25,-22.6333,-33.45,-3.76,4.787,-7.255,8.353,4.008,-0.0931,swarm_32_70.pdb
top_17_A,A,top_17_B,B,-2.08,-16.72,-20.8965,23.24,4.72,-4.513,25.186,-6.002,-0.245,-0.0562,swarm_53_99.pdb
top_18_A,A,top_18_B,B,-0.56,-15.03,-22.4827,-15.71,12.28,-0.415,19.285,3.499,3.023,0.0876,swarm_87_180.pdb
top_19_A,A,top_19_B,B,-4.2,-16.17,-19.8956,-46.03,-16.46,-6.242,-0.405,-10.92,0.819,-0.1626,swarm_90_69.pdb
top_20_A,A,top_20_B,B,-1.74,-12.99,-19.7712,-40.05,-6.29,-8.77,1.96,-10.722,4.773,-0.169,swarm_49_118.pdb
top_21_A,A,top_21_B,B,-2.28,-14.39,-18.6999,-8.37,18.33,-9.497,13.039,-16.844,0.16,-0.0431,swarm_90_40.pdb
top_22_A,A,top_22_B,B,-1.0,-15.23,-20.9845,-16.38,-6.49,-4.275,-25.548,-1.317,3.005,-0.0581,swarm_82_88.pdb
top_23_A,A,top_23_B,B,0.58,-14.17,-18.501,2.58,17.07,1.064,51.724,-0.771,-2.962,0.0455,swarm_119_172.pdb
top_24_A,A,top_24_B,B,-2.6,-15.81,-20.8074,-47.7,-12.51,0.029,22.235,-1.271,4.724,-0.0833,swarm_48_190.pdb
top_25_A,A,top_25_B,B,0.78,-15.3,-21.3063,-35.7,-12.93,-7.071,-38.239,-16.486,5.216,0.0288,swarm_37_118.pdb
top_26_A,A,top_26_B,B,-2.56,-15.51,-22.0151,15.86,23.27,-2.163,7.421,-10.747,3.798,-0.0791,swarm_42_189.pdb
top_27_A,A,top_27_B,B,3.24,-16.89,-21.2448,-38.33,-6.5,-16.84,-28.049,-17.147,4.241,-0.1614,swarm_58_191.pdb
top_28_A,A,top_28_B,B,-1.02,-17.11,-21.8936,-67.87,-20.61,4.764,-24.722,-3.543,0.527,0.0745,swarm_125_56.pdb
top_29_A,A,top_29_B,B,1.68,-16.63,-21.3419,17.79,11.31,-2.553,-24.012,-8.599,6.115,0.2913,swarm_17_41.pdb
