pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,5.1,-27.13,-46.4563,35.37,45.34,-6.02,-21.58,18.003,1.477,-0.1698,swarm_142_173.pdb
top_2_A,A,top_2_B,B,-2.78,-21.32,-33.5055,5.03,37.36,1.705,-8.782,14.781,-0.683,-0.1708,swarm_241_58.pdb
top_3_A,A,top_3_B,B,0.0,-20.74,-35.2835,51.29,26.71,-21.558,-21.655,-17.394,6.803,-0.3769,swarm_111_193.pdb
top_4_A,A,top_4_B,B,2.12,-22.39,-36.2306,-38.33,8.59,2.872,-60.685,17.466,4.869,-0.0271,swarm_241_125.pdb
top_5_A,A,top_5_B,B,3.46944695195e-16,-23.39,-33.8789,-34.01,-5.07,-4.261,-52.811,-4.102,-3.707,-0.1841,swarm_358_85.pdb
top_6_A,A,top_6_B,B,1.44,-18.95,-33.7135,24.92,39.14,-3.269,1.406,14.998,-3.002,-0.2136,swarm_102_196.pdb
top_7_A,A,top_7_B,B,4.46,-28.12,-37.1669,-49.9,0.07,-16.49,-50.071,-13.572,-7.062,-0.1083,swarm_43_61.pdb
top_8_A,A,top_8_B,B,8.14,-20.79,-35.4023,60.05,47.58,-20.455,-35.206,-0.07,-5.842,-0.0603,swarm_142_179.pdb
top_9_A,A,top_9_B,B,4.0,-21.35,-32.2708,-10.0,29.99,-13.467,5.713,13.698,-2.473,0.316,swarm_380_105.pdb
top_10_A,A,top_10_B,B,-3.7,-22.92,-34.9664,34.58,42.3,-11.022,-17.604,-5.085,-0.698,-0.0013,swarm_161_120.pdb
top_11_A,A,top_11_B,B,-2.02,-20.84,-32.5286,-68.49,-41.71,-39.714,-44.892,-51.464,8.798,-0.1403,swarm_199_106.pdb
top_12_A,A,top_12_B,B,-2.3,-22.08,-33.3257,-43.97,-10.81,-5.171,-52.857,-5.436,3.254,-0.3115,swarm_233_57.pdb
top_13_A,A,top_13_B,B,-2.5,-21.82,-30.6343,-44.66,-15.19,-1.124,-31.74,-7.761,1.056,-0.2362,swarm_7_28.pdb
top_14_A,A,top_14_B,B,-0.82,-24.65,-38.184,-16.51,-7.21,-21.633,-67.917,-35.295,11.785,-0.0985,swarm_79_39.pdb
top_15_A,A,top_15_B,B,-3.08,-22.93,-34.4941,-16.82,-12.42,-23.667,-82.7,-24.593,2.393,-0.1738,swarm_98_43.pdb
top_16_A,A,top_16_B,B,1.74,-25.97,-37.7763,-34.54,-11.08,-23.328,-11.271,-17.253,-8.487,-0.1208,swarm_233_168.pdb
top_17_A,A,top_17_B,B,0.74,-23.49,-33.1678,12.34,25.83,-16.484,-39.263,-11.022,2.63,-0.1835,swarm_311_124.pdb
top_18_A,A,top_18_B,B,0.64,-21.64,-32.5324,-43.69,-19.46,-24.956,-54.048,-19.32,4.859,-0.0972,swarm_8_175.pdb
top_19_A,A,top_19_B,B,-0.68,-22.41,-31.4312,-41.04,1.34,-13.895,-54.359,-10.223,1.972,-0.0733,swarm_380_103.pdb
top_20_A,A,top_20_B,B,-0.46,-22.16,-31.0644,-30.97,15.28,-12.617,-36.899,-10.229,3.731,-0.2595,swarm_182_155.pdb
top_21_A,A,top_21_B,B,-0.48,-24.59,-34.6666,-79.38,-29.25,-30.159,-59.916,-28.593,7.068,-0.0345,swarm_391_19.pdb
top_22_A,A,top_22_B,B,0.5,-15.81,-28.6279,-13.45,42.32,-12.773,-30.044,-15.832,4.493,-0.1255,swarm_209_194.pdb
top_23_A,A,top_23_B,B,3.16,-19.97,-32.2873,-23.19,6.96,-8.806,-19.481,-8.227,8.615,-0.0415,swarm_264_11.pdb
top_24_A,A,top_24_B,B,-0.84,-21.76,-32.6108,-44.83,-14.36,-26.989,-49.205,-35.158,4.434,-0.1843,swarm_76_67.pdb
top_25_A,A,top_25_B,B,3.72,-22.16,-34.1476,-19.77,18.23,-15.936,-59.32,5.331,-6.825,-0.2536,swarm_135_30.pdb
top_26_A,A,top_26_B,B,-0.86,-19.04,-32.1751,-38.93,1.87,-17.667,-37.953,-7.513,3.379,-0.2827,swarm_52_102.pdb
top_27_A,A,top_27_B,B,6.4,-20.85,-31.657,23.23,16.62,-23.238,-29.873,-12.83,-8.143,-0.2004,swarm_28_10.pdb
top_28_A,A,top_28_B,B,3.18,-18.97,-33.3418,-19.82,40.58,-18.794,10.177,-9.237,5.098,-0.2545,swarm_205_168.pdb
