pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,13.5,-20.92,-45.434,27.78,17.3,-21.367,-75.07,5.748,-9.061,-0.0117,swarm_303_162.pdb
top_2_A,A,top_2_B,B,8.32,-28.42,-47.719,54.55,105.3,-11.762,75.832,12.231,-7.333,0.4606,swarm_271_126.pdb
top_3_A,A,top_3_B,B,14.08,-30.04,-57.888,29.57,60.09,-16.555,-18.037,4.838,-12.668,0.1507,swarm_96_30.pdb
top_4_A,A,top_4_B,B,12.54,-31.71,-51.632,-28.07,22.32,-17.909,-71.185,-2.947,-10.924,-0.1216,swarm_80_47.pdb
top_5_A,A,top_5_B,B,13.96,-23.46,-47.947,20.02,16.94,-17.361,-76.714,12.664,-10.053,0.1441,swarm_225_189.pdb
top_6_A,A,top_6_B,B,2.48,-30.91,-48.638,-30.61,-1.91,-9.164,-64.364,8.934,-5.794,-0.1998,swarm_67_112.pdb
top_7_A,A,top_7_B,B,5.88,-23.84,-44.416,49.26,53.77,-9.357,-7.892,15.721,-5.911,-0.0189,swarm_311_125.pdb
top_8_A,A,top_8_B,B,5.98,-24.71,-41.95,5.76,52.85,-4.85,-10.294,8.136,-2.076,-0.0188,swarm_325_173.pdb
top_9_A,A,top_9_B,B,9.24,-25.92,-46.87,97.77,77.68,-13.04,-14.398,25.45,-6.605,-0.1984,swarm_63_21.pdb
top_10_A,A,top_10_B,B,6.2,-24.9,-44.629,23.86,31.6,-8.677,-41.624,16.504,-8.026,-0.0556,swarm_239_118.pdb
top_11_A,A,top_11_B,B,5.66,-22.85,-41.663,-72.04,-11.3,-7.847,-71.21,5.952,-6.51,-0.0051,swarm_160_177.pdb
top_12_A,A,top_12_B,B,2.46,-22.82,-46.732,8.65,24.82,0.766,-62.588,20.255,-8.012,-0.0186,swarm_381_3.pdb
top_13_A,A,top_13_B,B,12.24,-22.89,-46.147,25.16,52.76,-18.257,38.845,18.989,-7.28,-0.0402,swarm_321_1.pdb
top_14_A,A,top_14_B,B,11.54,-20.94,-42.937,62.9,34.05,-8.087,-41.342,26.798,-8.512,-0.0334,swarm_80_121.pdb
top_15_A,A,top_15_B,B,4.0,-24.08,-46.141,-52.89,-16.55,-8.793,-48.386,12.247,-4.984,-0.1777,swarm_160_42.pdb
top_16_A,A,top_16_B,B,8.74,-28.62,-50.605,-41.8,10.81,-2.738,-53.803,9.139,-4.712,-0.0027,swarm_339_2.pdb
top_17_A,A,top_17_B,B,1.8,-17.3,-33.715,119.28,80.91,-5.785,112.014,16.92,-2.174,0.0138,swarm_154_138.pdb
