pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,26.8,-27.49,-76.428,-21.23,61.87,-15.943,-151.689,51.062,-18.547,-0.078,swarm_122_10.pdb
top_2_A,A,top_2_B,B,23.22,-32.87,-77.61,-2.52,45.29,-21.902,-49.217,37.485,-19.5,-0.1889,swarm_259_130.pdb
top_3_A,A,top_3_B,B,21.26,-33.54,-83.31,-31.14,51.79,-27.329,-119.076,34.098,-17.128,-0.0472,swarm_98_24.pdb
top_4_A,A,top_4_B,B,17.08,-30.84,-74.84,-37.64,24.73,-8.806,-138.444,63.877,-17.871,0.0457,swarm_952_145.pdb
top_5_A,A,top_5_B,B,20.38,-28.96,-71.631,31.52,89.55,-18.805,-52.571,42.638,-20.27,0.2475,swarm_1133_128.pdb
top_6_A,A,top_6_B,B,25.26,-23.42,-71.203,20.17,59.85,-2.61,-161.543,60.876,-18.399,-0.0331,swarm_522_164.pdb
top_7_A,A,top_7_B,B,26.36,-33.58,-82.632,-8.7,46.91,-42.483,-146.03,11.893,-17.888,-0.3118,swarm_197_118.pdb
top_8_A,A,top_8_B,B,12.5,-28.96,-69.564,3.68,30.2,-8.091,-93.549,50.052,-17.689,0.0465,swarm_310_166.pdb
top_9_A,A,top_9_B,B,16.32,-25.66,-65.551,123.38,117.04,-21.844,55.406,26.739,-16.761,-0.1188,swarm_605_151.pdb
top_10_A,A,top_10_B,B,25.12,-27.98,-79.4,201.22,144.89,-23.14,-5.269,61.993,-19.208,0.1727,swarm_605_171.pdb
top_11_A,A,top_11_B,B,25.4,-26.15,-65.101,29.55,48.62,0.146,-136.938,36.15,-23.799,-0.0553,swarm_621_33.pdb
top_12_A,A,top_12_B,B,25.36,-32.32,-69.719,-72.65,-9.65,-5.225,-133.143,19.961,-14.263,-0.3719,swarm_742_4.pdb
top_13_A,A,top_13_B,B,16.6,-32.26,-76.545,-76.4,-5.54,-14.473,-114.565,48.296,-17.426,-0.1048,swarm_289_152.pdb
top_14_A,A,top_14_B,B,21.26,-28.28,-72.78,41.82,62.61,-1.575,-127.501,57.746,-18.88,0.1287,swarm_65_107.pdb
top_15_A,A,top_15_B,B,24.76,-31.78,-73.791,36.78,59.61,-9.478,-51.691,45.017,-22.596,0.162,swarm_632_108.pdb
top_16_A,A,top_16_B,B,14.16,-29.57,-60.168,4.7,-5.14,-37.076,-130.683,-1.174,-11.172,-0.1738,swarm_208_28.pdb
top_17_A,A,top_17_B,B,8.62,-29.73,-74.227,-38.56,20.36,-17.956,-82.457,60.253,-17.981,-0.3892,swarm_816_97.pdb
top_18_A,A,top_18_B,B,25.64,-23.62,-60.89,35.39,59.56,8.863,-113.408,64.698,-13.681,0.1036,swarm_339_41.pdb
top_19_A,A,top_19_B,B,22.18,-21.56,-69.73,88.3,73.13,-13.403,-80.289,50.124,-14.291,-0.0549,swarm_510_44.pdb
top_20_A,A,top_20_B,B,22.7,-19.87,-69.082,26.35,66.16,4.302,4.126,67.443,-25.497,0.0439,swarm_815_15.pdb
top_21_A,A,top_21_B,B,24.24,-30.54,-68.784,-19.71,23.28,5.762,-126.676,60.99,-14.457,0.5411,swarm_5_147.pdb
top_22_A,A,top_22_B,B,16.78,-25.66,-71.459,37.17,47.9,-17.587,-36.174,39.268,-19.924,0.0456,swarm_788_9.pdb
top_23_A,A,top_23_B,B,13.76,-21.89,-60.187,77.57,110.25,5.669,47.319,52.225,-13.426,-0.06,swarm_234_74.pdb
top_24_A,A,top_24_B,B,12.52,-22.31,-60.794,129.69,98.84,-0.784,34.673,51.991,-23.385,0.2406,swarm_1084_71.pdb
top_25_A,A,top_25_B,B,21.9,-23.43,-66.924,42.86,64.74,1.983,-77.178,74.054,-17.601,-0.2344,swarm_698_162.pdb
top_26_A,A,top_26_B,B,19.26,-21.41,-60.223,-17.23,21.76,-0.207,-140.831,49.902,-18.932,-0.1075,swarm_1021_99.pdb
top_27_A,A,top_27_B,B,11.26,-32.92,-64.47,-69.63,0.07,-3.674,-132.173,41.505,-12.06,-0.1696,swarm_709_45.pdb
top_28_A,A,top_28_B,B,6.14,-27.06,-59.63,-15.95,28.64,-20.081,-141.87,34.727,-10.059,-0.2325,swarm_226_172.pdb
top_29_A,A,top_29_B,B,-0.68,-32.99,-65.708,-60.84,16.18,-62.916,-96.014,-37.621,2.454,-0.5129,swarm_587_137.pdb
top_30_A,A,top_30_B,B,17.08,-23.13,-62.79,12.13,48.17,0.476,-81.261,52.431,-21.548,-0.0225,swarm_858_42.pdb
top_31_A,A,top_31_B,B,18.06,-19.66,-55.112,112.05,92.89,4.077,-32.9,71.68,-11.216,-0.0623,swarm_742_21.pdb
top_32_A,A,top_32_B,B,14.74,-21.58,-58.01,64.97,68.65,7.017,3.576,46.353,-21.846,0.0374,swarm_785_128.pdb
top_33_A,A,top_33_B,B,15.18,-27.5,-63.87,-95.35,-30.29,11.569,-61.934,64.769,-17.685,-0.1014,swarm_430_14.pdb
top_34_A,A,top_34_B,B,19.76,-25.11,-61.197,57.04,67.9,-5.13,-45.04,41.315,-19.131,0.0433,swarm_559_42.pdb
top_35_A,A,top_35_B,B,12.22,-23.46,-62.841,20.74,29.36,-25.575,7.073,10.673,-13.344,-0.1051,swarm_592_146.pdb
top_36_A,A,top_36_B,B,20.16,-28.51,-64.403,58.05,88.26,1.463,-45.552,37.563,-15.714,0.108,swarm_355_11.pdb
top_37_A,A,top_37_B,B,23.48,-12.27,-57.037,131.12,133.13,2.114,83.07,78.581,-18.191,0.2218,swarm_156_114.pdb
