pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,11.58,-35.57,-65.68,11.7,62.07,-20.237,-39.355,11.395,-15.683,-0.0292,swarm_371_64.pdb
top_2_A,A,top_2_B,B,16.46,-32.38,-62.728,6.63,32.52,-4.708,-15.682,11.941,-9.1,-0.0989,swarm_202_155.pdb
top_3_A,A,top_3_B,B,5.18,-36.98,-62.185,-43.72,12.68,-19.268,-17.315,-8.478,4.826,-0.0242,swarm_72_20.pdb
top_4_A,A,top_4_B,B,1.66,-38.85,-67.12,113.42,77.19,-21.737,7.047,-4.118,2.112,-0.0757,swarm_98_157.pdb
top_5_A,A,top_5_B,B,12.76,-32.35,-61.411,28.58,70.29,-9.226,-3.817,-1.031,-3.658,0.2317,swarm_52_115.pdb
top_6_A,A,top_6_B,B,12.48,-30.75,-58.356,46.14,138.2,-15.239,54.074,20.723,1.322,0.3008,swarm_72_147.pdb
top_7_A,A,top_7_B,B,10.52,-31.27,-56.121,30.96,44.08,-7.449,-35.606,-0.803,6.074,0.2999,swarm_239_127.pdb
top_8_A,A,top_8_B,B,9.18,-36.2,-56.835,-71.59,-11.08,-8.052,-100.663,-7.804,-3.419,-0.2919,swarm_371_99.pdb
top_9_A,A,top_9_B,B,3.48,-26.76,-51.196,32.8,26.8,-18.976,-77.47,-0.247,2.067,0.1073,swarm_270_0.pdb
top_10_A,A,top_10_B,B,8.94,-18.52,-53.037,30.81,42.28,-4.798,6.537,25.62,-5.781,-0.15,swarm_109_50.pdb
top_11_A,A,top_11_B,B,25.34,-28.63,-56.384,-8.04,43.71,-10.885,7.764,20.928,-11.333,0.3527,swarm_13_156.pdb
top_12_A,A,top_12_B,B,11.9,-13.85,-42.687,181.68,113.06,-36.539,141.44,14.795,-8.628,0.0368,swarm_344_3.pdb
top_13_A,A,top_13_B,B,3.48,-22.54,-48.377,-35.18,20.11,-32.816,-25.757,-17.755,11.353,-0.3556,swarm_132_57.pdb
top_14_A,A,top_14_B,B,4.0,-28.11,-48.334,-71.8,-19.1,-7.405,-67.298,-12.299,3.243,-0.2302,swarm_183_126.pdb
top_15_A,A,top_15_B,B,-0.56,-27.5,-45.478,-52.06,-19.5,-10.297,-28.286,-23.414,8.52,-0.031,swarm_238_149.pdb
top_16_A,A,top_16_B,B,16.36,-22.76,-47.64,70.8,65.16,-11.382,-10.81,13.135,-11.109,0.0464,swarm_336_197.pdb
top_17_A,A,top_17_B,B,9.34,-29.81,-54.198,-32.61,-0.17,-10.943,-82.701,12.655,-10.851,-0.0705,swarm_349_5.pdb
top_18_A,A,top_18_B,B,5.86,-28.62,-55.701,17.15,42.98,-17.304,-43.922,-11.317,-4.914,-0.1783,swarm_383_88.pdb
top_19_A,A,top_19_B,B,7.84,-27.24,-48.965,-3.61,57.79,-17.538,18.626,-5.973,-4.706,0.0576,swarm_154_10.pdb
top_20_A,A,top_20_B,B,17.08,-25.15,-50.846,16.46,56.17,-18.508,10.429,26.199,-5.239,-0.0963,swarm_233_126.pdb
top_21_A,A,top_21_B,B,12.0,-24.82,-48.564,-2.5,11.85,-6.226,-96.214,10.604,-1.691,-0.1884,swarm_326_189.pdb
top_22_A,A,top_22_B,B,10.14,-18.85,-42.32,-38.63,-2.15,-13.766,-95.191,8.391,2.453,-0.049,swarm_217_167.pdb
top_23_A,A,top_23_B,B,9.14,-20.34,-38.961,113.87,100.74,-16.503,97.384,19.813,-6.107,-0.0028,swarm_24_62.pdb
top_24_A,A,top_24_B,B,8.56,-20.13,-47.748,-1.34,16.16,-10.57,-59.426,-7.959,1.9,-0.1039,swarm_128_3.pdb
top_25_A,A,top_25_B,B,11.94,-21.17,-45.845,43.65,50.42,-12.336,-0.614,8.319,-4.711,0.0191,swarm_128_168.pdb
top_26_A,A,top_26_B,B,6.26,-19.33,-44.843,11.38,43.44,2.507,-48.472,19.565,4.148,0.143,swarm_210_94.pdb
top_27_A,A,top_27_B,B,16.08,-22.88,-51.974,55.16,42.1,-8.376,-23.395,26.503,-8.55,-0.0771,swarm_80_57.pdb
top_28_A,A,top_28_B,B,11.1,-19.52,-43.948,26.72,39.36,-27.627,67.264,-1.785,-4.099,-0.1694,swarm_18_56.pdb
top_29_A,A,top_29_B,B,15.64,-30.06,-58.991,-16.25,29.74,-27.692,-36.06,-14.927,-2.666,0.134,swarm_371_177.pdb
top_30_A,A,top_30_B,B,9.14,-20.1,-43.43,-37.43,12.16,-4.584,-96.266,23.779,-4.094,-0.2496,swarm_233_43.pdb
top_31_A,A,top_31_B,B,12.66,-24.23,-46.22,-70.77,-4.78,-5.739,-96.071,11.675,1.669,0.0095,swarm_128_110.pdb
top_32_A,A,top_32_B,B,3.54,-27.59,-42.306,-30.57,3.34,-8.26,-61.994,-15.963,2.631,-0.1803,swarm_106_21.pdb
top_33_A,A,top_33_B,B,15.14,-30.13,-54.7,11.6,40.0,3.966,-60.943,36.303,-0.604,-0.0539,swarm_201_194.pdb
top_34_A,A,top_34_B,B,14.2,-26.61,-53.772,-0.76,27.32,-21.321,-64.913,11.637,-3.376,-0.0391,swarm_77_42.pdb
top_35_A,A,top_35_B,B,8.76,-29.2,-52.851,-2.93,35.38,-30.826,-56.227,-6.086,2.549,0.0086,swarm_239_160.pdb
top_36_A,A,top_36_B,B,13.58,-23.41,-45.378,4.14,37.16,-15.038,-68.173,14.078,-8.315,-0.0099,swarm_59_134.pdb
top_37_A,A,top_37_B,B,12.68,-18.85,-45.554,-3.58,39.3,-11.724,7.877,25.279,-7.178,-0.0565,swarm_98_82.pdb
top_38_A,A,top_38_B,B,7.4,-21.7,-46.508,100.72,85.1,-16.004,29.597,2.729,-3.864,-0.3232,swarm_321_172.pdb
top_39_A,A,top_39_B,B,14.06,-17.33,-44.507,30.95,44.19,-21.669,-24.667,4.355,-5.759,0.2757,swarm_50_85.pdb
top_40_A,A,top_40_B,B,18.18,-23.77,-54.802,64.04,55.03,-16.328,-85.841,30.673,-4.996,0.1974,swarm_344_36.pdb
top_41_A,A,top_41_B,B,11.6,-23.2,-46.206,-29.15,-2.74,-15.49,-87.62,2.786,2.392,-0.2263,swarm_52_72.pdb
top_42_A,A,top_42_B,B,4.42,-24.89,-53.237,41.71,55.29,-9.662,-35.083,22.169,-3.175,-0.0486,swarm_383_54.pdb
top_43_A,A,top_43_B,B,-0.62,-30.89,-48.27,-49.05,-2.61,-11.156,-41.886,-24.617,9.001,-0.11,swarm_185_85.pdb
top_44_A,A,top_44_B,B,3.36,-23.01,-41.885,-34.84,-14.67,-12.451,-62.975,-22.566,7.22,-0.0296,swarm_223_137.pdb
top_45_A,A,top_45_B,B,19.32,-27.74,-44.882,26.23,39.9,-17.913,-37.252,0.811,-12.683,-0.0803,swarm_208_56.pdb
top_46_A,A,top_46_B,B,12.04,-20.24,-46.381,8.85,24.49,-8.422,-42.82,14.359,-2.748,0.072,swarm_233_81.pdb
top_47_A,A,top_47_B,B,17.86,-11.91,-39.691,245.8,185.16,-16.097,225.102,33.904,-3.572,0.2502,swarm_150_116.pdb
top_48_A,A,top_48_B,B,15.98,-22.17,-52.651,100.12,83.81,-8.959,140.284,30.261,1.737,0.1872,swarm_371_190.pdb
top_49_A,A,top_49_B,B,7.4,-24.54,-47.453,-33.59,-1.82,-6.992,-44.629,-13.923,6.646,-0.194,swarm_59_74.pdb
top_50_A,A,top_50_B,B,1.74,-27.56,-41.551,-31.04,-8.36,-11.663,-52.347,-17.209,2.945,-0.1113,swarm_78_59.pdb
top_51_A,A,top_51_B,B,4.74,-27.7,-44.706,-14.72,-0.27,-23.329,-17.364,-11.393,6.613,-0.1903,swarm_370_116.pdb
top_52_A,A,top_52_B,B,9.46,-27.08,-47.312,34.92,15.7,-8.949,-39.534,-0.024,1.249,-0.1541,swarm_154_134.pdb
top_53_A,A,top_53_B,B,4.58,-25.44,-43.993,-89.13,-43.45,-21.305,-105.353,-17.721,5.977,-0.1,swarm_127_59.pdb
top_54_A,A,top_54_B,B,6.4,-20.38,-44.988,-82.63,-23.66,-14.654,-52.145,-0.7,-4.114,-0.1874,swarm_5_6.pdb
top_55_A,A,top_55_B,B,8.82,-21.32,-38.724,-30.59,-8.44,-12.414,-73.084,-2.787,2.314,0.0589,swarm_270_84.pdb
top_56_A,A,top_56_B,B,9.94,-17.21,-46.435,8.78,47.5,-7.461,4.466,37.71,-7.69,-0.1696,swarm_195_177.pdb
top_57_A,A,top_57_B,B,5.24,-25.79,-48.054,-28.76,-6.9,-11.815,-26.774,5.23,-2.322,-0.1151,swarm_270_30.pdb
top_58_A,A,top_58_B,B,1.62,-23.47,-39.954,-55.9,-25.75,-8.042,-37.609,-17.097,6.249,-0.2478,swarm_362_117.pdb
top_59_A,A,top_59_B,B,-0.76,-20.48,-41.456,56.63,62.67,-27.458,75.102,-8.506,-5.51,-0.0419,swarm_101_7.pdb
top_60_A,A,top_60_B,B,10.34,-16.75,-39.274,-19.13,7.38,5.118,-57.166,20.657,-6.162,-0.2269,swarm_11_55.pdb
top_61_A,A,top_61_B,B,11.5,-19.33,-39.51,37.61,40.31,-16.051,-3.456,2.827,-9.971,-0.0014,swarm_132_108.pdb
top_62_A,A,top_62_B,B,-2.6,-26.14,-41.939,-98.14,-22.22,-13.131,-54.156,-25.168,10.596,-0.2136,swarm_185_185.pdb
top_63_A,A,top_63_B,B,12.34,-32.07,-54.075,57.31,37.58,-4.425,-75.022,5.586,-2.1,-0.2403,swarm_202_158.pdb
top_64_A,A,top_64_B,B,6.2,-26.19,-40.911,-8.86,-19.42,-12.724,-70.917,-4.75,6.098,0.0004,swarm_162_154.pdb
top_65_A,A,top_65_B,B,0.26,-19.89,-41.22,-2.15,14.58,-8.244,-51.817,-2.54,2.614,-0.1127,swarm_251_108.pdb
top_66_A,A,top_66_B,B,2.06,-18.47,-43.135,40.18,39.48,-21.772,51.134,-18.376,4.514,-0.3691,swarm_192_53.pdb
top_67_A,A,top_67_B,B,12.08,-17.92,-40.238,124.98,87.68,-5.884,30.561,15.474,-6.034,0.0443,swarm_240_44.pdb
top_68_A,A,top_68_B,B,6.64,-22.71,-45.842,-69.96,-48.28,-9.304,-67.491,-14.509,6.187,-0.1279,swarm_77_84.pdb
top_69_A,A,top_69_B,B,10.18,-20.95,-44.92,37.05,30.68,-10.854,-64.374,1.836,-2.584,-0.2316,swarm_192_119.pdb
