pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,5.22,-22.1,-35.882,-24.08,-22.2,-9.708,-63.892,-16.297,13.142,-0.1285,swarm_124_80.pdb
top_2_A,A,top_2_B,B,-5.34,-26.13,-38.747,-24.91,6.61,-8.41,9.368,-35.18,19.347,-0.2505,swarm_150_173.pdb
top_3_A,A,top_3_B,B,-5.28,-20.33,-31.928,-41.86,3.46,-1.511,-27.774,-6.036,11.769,-0.0304,swarm_77_79.pdb
top_4_A,A,top_4_B,B,-4.54,-24.91,-35.205,-43.55,-8.39,-8.798,-43.612,-37.271,17.961,-0.1323,swarm_130_76.pdb
top_5_A,A,top_5_B,B,3.56,-28.22,-37.129,-85.71,-39.16,-4.635,-65.274,-16.347,11.204,-0.0305,swarm_124_196.pdb
top_6_A,A,top_6_B,B,-0.48,-29.66,-35.055,-5.77,-6.28,-11.488,-30.993,-26.421,19.963,-0.0721,swarm_144_176.pdb
top_7_A,A,top_7_B,B,-5.24,-25.56,-31.647,-51.51,-20.64,-4.272,-28.803,-33.263,22.241,-0.0944,swarm_180_30.pdb
top_8_A,A,top_8_B,B,-2.18,-25.45,-34.776,-32.21,9.91,-9.906,13.421,-40.715,23.771,-0.2302,swarm_117_83.pdb
top_9_A,A,top_9_B,B,0.74,-19.04,-31.488,-3.69,24.54,-14.672,-13.575,-28.774,16.805,-0.2599,swarm_150_140.pdb
top_10_A,A,top_10_B,B,-3.56,-23.37,-37.292,-28.32,-3.45,-1.703,12.427,-28.444,21.952,0.1099,swarm_150_48.pdb
top_11_A,A,top_11_B,B,-0.7,-25.18,-31.432,-62.15,-12.91,-8.422,-26.531,-37.062,14.728,-0.0909,swarm_63_36.pdb
top_12_A,A,top_12_B,B,-9.92,-27.11,-33.444,-101.45,-11.41,-5.471,-6.31,-43.568,21.926,-0.3133,swarm_137_115.pdb
top_13_A,A,top_13_B,B,-2.88,-21.66,-31.864,-39.83,-31.28,-6.405,-21.313,-23.486,9.399,-0.228,swarm_150_66.pdb
top_14_A,A,top_14_B,B,2.04,-21.66,-32.259,9.97,13.45,-17.576,35.789,-31.969,21.286,-0.146,swarm_5_123.pdb
top_15_A,A,top_15_B,B,-6.74,-24.01,-30.678,-79.13,-56.93,9.514,-65.162,-30.149,15.325,-0.1945,swarm_80_143.pdb
