pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,11.24,-21.47,-40.804,-1.72,9.49,-28.995,-42.521,-9.297,-9.654,-0.0676,swarm_320_112.pdb
top_2_A,A,top_2_B,B,12.1,-24.73,-43.828,-29.76,7.96,2.041,-55.93,21.88,-12.977,-0.1135,swarm_203_137.pdb
top_3_A,A,top_3_B,B,-0.88,-20.46,-36.527,-68.83,-16.68,-9.994,-79.915,-20.026,-1.666,-0.2238,swarm_331_80.pdb
top_4_A,A,top_4_B,B,19.18,-25.71,-45.971,21.96,35.33,-9.899,-46.127,19.792,-15.068,-0.0613,swarm_214_50.pdb
top_5_A,A,top_5_B,B,12.46,-15.42,-36.033,75.88,92.93,-38.18,20.85,-7.336,-9.153,-0.0156,swarm_312_105.pdb
top_6_A,A,top_6_B,B,7.3,-25.88,-43.911,-20.46,30.09,-15.14,-70.977,-5.393,-7.8,0.0209,swarm_312_72.pdb
top_7_A,A,top_7_B,B,3.42,-26.03,-38.703,-64.06,-30.24,-13.657,-69.138,-11.327,-9.234,-0.3941,swarm_77_44.pdb
top_8_A,A,top_8_B,B,4.42,-20.92,-35.329,2.51,16.52,-25.997,-47.044,-26.37,-2.637,-0.0702,swarm_300_40.pdb
top_9_A,A,top_9_B,B,4.22,-15.87,-36.182,51.03,58.48,-26.816,-14.071,-10.444,-5.048,-0.1385,swarm_186_190.pdb
top_10_A,A,top_10_B,B,7.46,-21.72,-38.689,5.34,26.29,-10.755,-71.941,-4.581,-6.067,-0.0519,swarm_327_18.pdb
top_11_A,A,top_11_B,B,12.6,-25.14,-40.064,40.79,17.52,-20.011,-65.951,-6.785,-11.696,0.2206,swarm_125_199.pdb
top_12_A,A,top_12_B,B,2.36,-16.87,-38.862,80.77,62.79,-18.213,88.57,-10.655,1.944,0.0976,swarm_343_91.pdb
top_13_A,A,top_13_B,B,13.54,-13.53,-38.336,73.08,46.19,-7.096,70.695,28.929,-11.1,0.2016,swarm_29_94.pdb
top_14_A,A,top_14_B,B,1.16,-16.97,-34.796,-37.9,-18.57,-26.577,-65.667,-17.592,-3.429,-0.2225,swarm_266_65.pdb
top_15_A,A,top_15_B,B,9.34,-19.09,-38.768,19.81,35.65,-4.173,-95.348,21.592,-10.698,0.0654,swarm_186_143.pdb
top_16_A,A,top_16_B,B,9.92,-18.57,-38.241,-67.79,-5.54,-25.893,-70.854,-14.304,-4.113,-0.2774,swarm_34_62.pdb
top_17_A,A,top_17_B,B,10.1,-19.98,-35.815,72.26,53.77,-7.656,-22.353,2.818,-11.432,0.1336,swarm_192_167.pdb
top_18_A,A,top_18_B,B,13.54,-21.81,-40.346,13.12,58.31,-0.071,-47.353,13.03,-11.76,-0.1657,swarm_227_152.pdb
top_19_A,A,top_19_B,B,11.38,-25.16,-37.914,28.89,26.99,-18.83,-44.181,-2.285,-12.434,0.138,swarm_53_100.pdb
top_20_A,A,top_20_B,B,9.9,-14.64,-37.768,36.64,41.9,-10.133,9.566,13.903,-9.702,-0.118,swarm_192_170.pdb
top_21_A,A,top_21_B,B,5.64,-15.82,-33.746,-15.29,8.44,-6.725,-58.123,1.085,-7.742,0.0672,swarm_274_48.pdb
top_22_A,A,top_22_B,B,9.7,-19.55,-41.623,19.4,54.25,-30.138,-66.943,-17.393,-10.08,-0.2287,swarm_145_34.pdb
top_23_A,A,top_23_B,B,7.64,-16.17,-36.002,54.54,53.31,-4.053,30.037,27.35,-5.255,0.0329,swarm_29_139.pdb
top_24_A,A,top_24_B,B,11.14,-22.16,-39.192,-24.04,15.43,-16.484,-1.929,-5.35,-11.116,-0.0832,swarm_209_32.pdb
top_25_A,A,top_25_B,B,6.28,-13.85,-34.394,-0.99,40.22,-18.092,19.594,3.586,-5.313,-0.0776,swarm_44_88.pdb
top_26_A,A,top_26_B,B,4.88,-20.09,-35.608,-24.08,5.31,-27.31,-38.359,-12.122,-4.124,-0.0002,swarm_116_131.pdb
top_27_A,A,top_27_B,B,13.54,-19.12,-38.294,22.52,44.44,0.017,-12.14,8.012,-9.914,0.0299,swarm_274_70.pdb
