pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-5.12,-22.23,-26.1693,10.9,12.68,-0.673,-3.074,0.756,-3.92,-0.0772,swarm_135_89.pdb
top_2_A,A,top_2_B,B,-6.7,-19.69,-25.6249,16.03,22.03,-0.364,-9.329,4.022,-1.751,-0.1194,swarm_172_113.pdb
top_3_A,A,top_3_B,B,-12.14,-21.41,-24.9199,1.9,3.06,-8.753,-6.699,-5.797,-0.569,-0.2018,swarm_98_109.pdb
top_4_A,A,top_4_B,B,-4.1,-21.36,-25.4805,-46.94,-18.03,-4.584,-55.887,-14.796,-0.321,0.0086,swarm_168_40.pdb
top_5_A,A,top_5_B,B,-4.0,-19.48,-26.2217,-24.56,5.76,-4.412,-10.984,-2.236,-0.05,0.0397,swarm_134_85.pdb
top_6_A,A,top_6_B,B,-5.7,-15.47,-20.2335,-7.0,-2.87,-4.256,57.631,6.944,-1.003,-0.3321,swarm_50_50.pdb
top_7_A,A,top_7_B,B,-8.24,-21.25,-25.3876,-49.31,-24.9,-9.405,-30.694,-15.795,2.615,-0.1331,swarm_135_75.pdb
top_8_A,A,top_8_B,B,-10.76,-22.05,-27.0153,-34.91,-6.38,-10.666,-1.762,-7.149,-1.514,-0.2288,swarm_36_0.pdb
top_9_A,A,top_9_B,B,-3.66,-20.57,-24.7417,42.97,32.53,3.187,-3.141,6.09,-2.691,-0.0359,swarm_36_69.pdb
top_10_A,A,top_10_B,B,-4.08,-20.31,-24.4733,-32.53,-5.29,-9.24,-5.287,-7.829,1.816,-0.0626,swarm_91_124.pdb
top_11_A,A,top_11_B,B,0.54,-19.47,-26.6156,-59.36,-19.33,-8.121,-26.065,-1.995,-2.914,-0.2336,swarm_60_8.pdb
top_12_A,A,top_12_B,B,-0.7,-18.76,-22.3683,-68.04,-15.87,-4.713,-30.984,-8.155,-4.858,-0.0219,swarm_161_140.pdb
top_13_A,A,top_13_B,B,-2.5,-17.89,-22.8168,9.7,1.35,-5.01,-38.305,-12.98,5.18,-0.1881,swarm_88_144.pdb
top_14_A,A,top_14_B,B,-4.62,-19.09,-24.0052,-14.19,-4.51,-11.16,-26.915,-14.285,1.949,-0.2221,swarm_61_131.pdb
top_15_A,A,top_15_B,B,0.38,-19.14,-23.9726,-46.09,-7.36,-6.138,-51.857,-10.595,-0.377,-0.0341,swarm_126_148.pdb
top_16_A,A,top_16_B,B,-10.96,-19.47,-24.428,-35.05,-11.17,-9.106,5.637,-9.427,-1.843,-0.0409,swarm_66_131.pdb
top_17_A,A,top_17_B,B,-1.72,-17.23,-23.7847,-11.75,8.16,-5.546,-20.313,-5.075,-2.368,-0.0594,swarm_19_148.pdb
top_18_A,A,top_18_B,B,-5.82,-14.11,-19.5263,10.02,31.97,-10.595,15.957,-7.517,-4.254,0.1872,swarm_26_144.pdb
top_19_A,A,top_19_B,B,-2.42,-18.15,-23.8154,10.24,6.36,-9.388,3.798,-8.431,-5.096,-0.0868,swarm_50_55.pdb
top_20_A,A,top_20_B,B,-0.62,-19.72,-24.1292,-28.17,-13.96,-0.34,-13.34,3.921,-1.274,-0.0719,swarm_59_152.pdb
top_21_A,A,top_21_B,B,-6.86,-17.8,-22.0779,5.41,14.06,-6.02,17.772,-8.947,-5.017,-0.0156,swarm_16_70.pdb
top_22_A,A,top_22_B,B,-8.42,-18.09,-24.7463,-51.5,-18.09,-3.234,-26.699,-11.423,1.396,-0.1939,swarm_113_80.pdb
top_23_A,A,top_23_B,B,-5.28,-16.92,-22.3365,-18.0,-8.51,-8.962,-28.171,-16.284,5.006,0.0148,swarm_9_142.pdb
top_24_A,A,top_24_B,B,-3.16,-15.16,-22.0225,-55.33,-28.78,-6.974,-47.342,-13.525,2.64,-0.0444,swarm_88_56.pdb
top_25_A,A,top_25_B,B,-1.02,-17.56,-24.6941,-43.63,-17.74,-5.709,-5.298,-18.39,1.194,-0.1261,swarm_88_153.pdb
top_26_A,A,top_26_B,B,-0.18,-16.78,-20.1378,-8.23,-17.65,-5.01,-38.738,-7.989,3.244,-0.1954,swarm_152_18.pdb
top_27_A,A,top_27_B,B,-1.14,-14.36,-24.8961,59.35,54.24,-10.542,26.893,-9.07,-1.662,-0.3048,swarm_0_126.pdb
top_28_A,A,top_28_B,B,-1.34,-19.38,-21.6255,-20.86,0.77,-3.284,-22.605,-14.384,-1.301,-0.011,swarm_102_149.pdb
top_29_A,A,top_29_B,B,2.42,-13.34,-21.2083,-39.88,-7.05,-6.392,-36.445,-2.938,-3.64,-0.0984,swarm_0_129.pdb
top_30_A,A,top_30_B,B,-0.8,-18.11,-20.607,0.02,16.8,1.738,-20.591,-1.411,-0.249,0.0194,swarm_161_45.pdb
top_31_A,A,top_31_B,B,-1.5,-12.1,-21.4682,44.87,85.29,-9.204,35.757,-8.838,1.206,0.0017,swarm_167_96.pdb
top_32_A,A,top_32_B,B,-9.54,-16.11,-20.0076,-31.99,3.1,-2.213,38.027,-2.316,1.215,-0.0397,swarm_16_178.pdb
