pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,2.48,-28.14,-42.841,-37.37,-14.73,-5.534,-59.633,5.849,-1.208,-0.2268,swarm_112_73.pdb
top_2_A,A,top_2_B,B,1.86,-29.51,-44.833,-65.03,4.28,-14.332,-80.39,-5.912,0.278,-0.0349,swarm_62_129.pdb
top_3_A,A,top_3_B,B,-0.58,-28.02,-38.883,-44.49,-0.86,1.197,-62.795,-11.054,-1.34,-0.0244,swarm_156_196.pdb
top_4_A,A,top_4_B,B,1.22,-25.43,-39.334,-36.34,4.36,-11.559,-24.628,-4.265,-1.303,0.148,swarm_206_102.pdb
top_5_A,A,top_5_B,B,2.14,-27.28,-39.947,-0.85,-10.16,-3.831,-66.331,-4.814,-6.321,0.2619,swarm_62_59.pdb
top_6_A,A,top_6_B,B,3.64,-21.72,-38.603,-23.43,6.22,-12.897,-61.744,-0.888,-8.18,0.0219,swarm_181_137.pdb
top_7_A,A,top_7_B,B,4.18,-19.84,-36.158,-42.93,-29.62,-10.76,-56.053,3.614,-5.676,-0.1671,swarm_222_113.pdb
top_8_A,A,top_8_B,B,2.34,-23.71,-37.717,-17.53,-0.63,11.943,-46.306,23.336,-5.495,-0.1639,swarm_62_76.pdb
top_9_A,A,top_9_B,B,-1.32,-23.39,-35.352,-11.66,-13.01,-4.05,-42.203,-3.618,-0.649,-0.2451,swarm_98_92.pdb
top_10_A,A,top_10_B,B,2.38,-21.67,-38.007,-74.77,-31.9,-6.141,-55.448,-12.294,2.214,-0.082,swarm_195_16.pdb
top_11_A,A,top_11_B,B,1.2,-26.92,-37.444,-7.02,2.32,-16.333,-40.491,-9.609,0.395,0.0052,swarm_90_101.pdb
top_12_A,A,top_12_B,B,6.78,-24.51,-35.548,-36.31,-7.35,-10.182,-60.556,-9.547,-7.561,0.1869,swarm_205_180.pdb
top_13_A,A,top_13_B,B,-5.08,-27.04,-36.821,-1.77,14.02,0.076,4.183,-12.442,0.322,-0.0556,swarm_61_170.pdb
top_14_A,A,top_14_B,B,-0.12,-20.89,-33.71,-30.22,12.44,-3.141,-43.061,5.18,1.849,-0.0825,swarm_28_126.pdb
top_15_A,A,top_15_B,B,9.44,-19.39,-35.78,-1.44,19.49,7.576,-56.77,21.776,-8.865,0.0838,swarm_216_3.pdb
top_16_A,A,top_16_B,B,6.48,-16.19,-33.104,-31.15,-5.96,-5.074,-27.968,25.455,-7.782,0.0075,swarm_148_165.pdb
top_17_A,A,top_17_B,B,2.04,-18.45,-35.758,11.94,-1.27,-10.929,-91.524,3.252,-1.714,0.0512,swarm_29_195.pdb
top_18_A,A,top_18_B,B,3.6,-28.92,-41.483,-109.61,-41.56,4.301,-93.445,-0.002,0.455,-0.0818,swarm_16_76.pdb
top_19_A,A,top_19_B,B,9.18,-22.02,-40.403,17.0,24.57,6.022,-68.795,17.72,1.18,0.0153,swarm_170_44.pdb
top_20_A,A,top_20_B,B,-8.32,-22.07,-32.955,5.38,18.68,2.543,-3.254,-12.992,2.436,-0.0183,swarm_99_132.pdb
top_21_A,A,top_21_B,B,-1.66,-27.79,-42.059,-42.29,27.62,-0.334,-32.666,13.368,-3.748,0.0197,swarm_180_177.pdb
top_22_A,A,top_22_B,B,0.7,-19.89,-33.385,-41.48,-20.32,-9.343,-65.816,8.493,-0.045,-0.1302,swarm_78_57.pdb
top_23_A,A,top_23_B,B,10.36,-23.66,-37.951,14.39,28.46,-4.799,-67.528,-5.704,-10.336,-0.0922,swarm_195_193.pdb
top_24_A,A,top_24_B,B,-0.12,-26.92,-37.576,-67.07,-35.82,-9.502,-72.422,-11.088,0.142,0.026,swarm_193_98.pdb
top_25_A,A,top_25_B,B,5.86,-26.52,-40.62,-25.58,-6.15,3.319,-63.895,6.048,-7.743,-0.1458,swarm_183_97.pdb
top_26_A,A,top_26_B,B,3.86,-14.78,-32.462,24.24,49.8,-6.771,-36.707,30.411,-3.499,-0.0078,swarm_112_148.pdb
top_27_A,A,top_27_B,B,-0.22,-22.38,-34.215,-38.05,-1.04,-1.793,-49.366,-7.458,4.022,1.6691,swarm_195_74.pdb
top_28_A,A,top_28_B,B,-9.14,-23.92,-31.513,15.56,-6.01,-1.021,-38.065,-16.826,1.134,-0.2625,swarm_89_28.pdb
top_29_A,A,top_29_B,B,-0.12,-23.44,-35.682,0.0300000000001,-6.59,2.273,-53.254,14.515,-3.21,0.0003,swarm_166_153.pdb
top_30_A,A,top_30_B,B,5.02,-18.48,-35.62,-23.09,-5.13,-5.181,-53.365,6.016,-8.475,0.3331,swarm_211_130.pdb
top_31_A,A,top_31_B,B,-4.2,-21.48,-36.423,-27.47,4.44,-7.712,-52.53,-0.526,2.259,-0.1363,swarm_29_164.pdb
top_32_A,A,top_32_B,B,6.94,-22.54,-37.472,-71.5,-14.55,-7.144,-65.876,3.017,-4.577,-0.1267,swarm_222_55.pdb
top_33_A,A,top_33_B,B,4.86,-16.76,-33.181,-9.42,3.82,-13.624,-37.541,8.567,-2.388,-0.0221,swarm_137_35.pdb
top_34_A,A,top_34_B,B,8.14,-19.8,-34.446,113.91,89.02,-15.029,231.232,18.227,-3.822,1.0851,swarm_62_100.pdb
top_35_A,A,top_35_B,B,1.26,-23.02,-35.382,9.73,26.91,-12.853,-43.699,-11.634,1.178,-0.1286,swarm_223_23.pdb
top_36_A,A,top_36_B,B,3.22,-22.47,-34.534,-8.57,-1.51,-15.504,-57.381,-16.119,-5.772,-0.1545,swarm_62_22.pdb
