pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,6.9,-23.1,-37.225,-28.46,11.37,-14.787,-62.682,10.776,-4.207,0.0444,swarm_165_164.pdb
top_2_A,A,top_2_B,B,5.48,-16.95,-31.817,-3.91,-16.9,-5.729,-59.226,-4.574,-2.055,-0.0774,swarm_195_11.pdb
top_3_A,A,top_3_B,B,11.5,-15.59,-34.693,-34.91,13.02,-16.123,-26.894,21.49,-5.486,0.0032,swarm_37_153.pdb
top_4_A,A,top_4_B,B,2.22,-19.65,-32.035,-65.48,-11.94,-6.047,-21.043,12.684,-0.036,0.0522,swarm_32_106.pdb
top_5_A,A,top_5_B,B,-2.3,-20.41,-30.422,-48.24,-19.37,-8.7,-59.831,-20.822,1.744,-0.1477,swarm_27_61.pdb
top_6_A,A,top_6_B,B,2.02,-20.17,-32.306,-18.65,-26.43,-10.693,-55.027,-15.956,1.914,-0.0539,swarm_95_97.pdb
top_7_A,A,top_7_B,B,2.5,-20.58,-31.64,-2.24,6.46,-12.479,5.096,-0.472,1.346,-0.0849,swarm_10_13.pdb
top_8_A,A,top_8_B,B,9.32,-12.01,-28.402,106.51,86.17,-2.007,128.235,34.366,-10.372,0.0822,swarm_152_115.pdb
top_9_A,A,top_9_B,B,3.4,-19.19,-29.84,-39.68,-1.32,-14.919,-64.658,-26.006,0.869,-0.081,swarm_104_1.pdb
top_10_A,A,top_10_B,B,3.28,-19.89,-34.764,-21.43,-8.39,-12.985,-55.901,-5.458,-1.246,0.1003,swarm_37_195.pdb
top_11_A,A,top_11_B,B,4.56,-17.74,-30.244,-56.56,-19.44,-11.898,-74.991,-6.598,-2.409,-0.2416,swarm_60_179.pdb
top_12_A,A,top_12_B,B,1.14,-15.12,-30.213,-61.26,-20.59,-24.601,-62.188,-22.906,0.01,-0.2109,swarm_95_18.pdb
top_13_A,A,top_13_B,B,-2.84,-16.79,-29.076,-34.81,-1.6,-18.776,-21.345,-9.699,-2.023,-0.1926,swarm_62_44.pdb
top_14_A,A,top_14_B,B,11.3,-11.2,-26.523,104.98,82.39,-3.259,75.359,28.864,-3.459,0.2661,swarm_52_4.pdb
top_15_A,A,top_15_B,B,17.6,-8.85,-31.09,90.62,82.16,-36.482,1.681,12.729,-12.49,0.0398,swarm_130_59.pdb
top_16_A,A,top_16_B,B,6.06,-13.18,-24.573,-38.43,-3.24,-13.669,-60.181,6.286,-2.957,-0.206,swarm_128_35.pdb
top_17_A,A,top_17_B,B,3.2,-19.43,-31.642,-64.05,-51.74,-21.118,-66.079,-17.866,-0.597,-0.1731,swarm_90_141.pdb
top_18_A,A,top_18_B,B,6.54,-13.43,-28.918,6.77,-6.35,-5.335,-53.674,2.888,-4.288,-0.1991,swarm_206_86.pdb
top_19_A,A,top_19_B,B,2.4,-13.98,-28.664,3.15,1.33,0.538,-32.884,7.836,-0.35,-0.0824,swarm_144_77.pdb
top_20_A,A,top_20_B,B,9.04,-13.07,-30.884,-18.7,-7.36,-24.405,-61.177,5.363,-2.175,-0.0642,swarm_22_148.pdb
top_21_A,A,top_21_B,B,5.68,-15.96,-30.363,11.5,44.51,-9.193,-3.252,0.102,-0.772,-0.0884,swarm_10_171.pdb
top_22_A,A,top_22_B,B,5.64,-15.09,-25.892,122.75,82.41,-9.783,119.92,14.141,-10.358,-0.2273,swarm_137_51.pdb
top_23_A,A,top_23_B,B,3.06,-19.64,-30.666,-10.33,-1.88,-18.856,-48.349,7.169,0.102,-0.058,swarm_1_122.pdb
top_24_A,A,top_24_B,B,7.46,-12.94,-29.577,21.49,12.72,-0.618,-82.841,38.783,-7.076,0.23,swarm_114_59.pdb
top_25_A,A,top_25_B,B,6.08,-12.37,-24.107,1.68,45.79,-17.032,75.509,3.363,-3.242,0.0262,swarm_36_62.pdb
top_26_A,A,top_26_B,B,-0.88,-16.91,-25.911,-37.81,-10.57,-9.993,-50.627,-7.133,-0.641,-0.0985,swarm_62_51.pdb
top_27_A,A,top_27_B,B,3.88,-14.41,-28.579,-8.17,-0.61,-19.079,-40.661,-8.114,-0.65,-0.045,swarm_71_171.pdb
top_28_A,A,top_28_B,B,5.6,-15.43,-31.218,19.23,2.91,-14.991,4.857,-2.387,1.706,0.0963,swarm_39_152.pdb
