pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,2.7,-34.44,-43.412,15.62,5.72,-8.868,-2.839,-25.127,19.225,-0.3031,swarm_88_141.pdb
top_2_A,A,top_2_B,B,-5.44,-30.08,-42.065,-29.28,2.56,-12.882,-7.609,-35.63,16.856,-0.2514,swarm_27_56.pdb
top_3_A,A,top_3_B,B,7.54,-30.96,-40.449,-56.5,-20.01,9.247,-71.186,15.668,7.863,-0.0035,swarm_86_168.pdb
top_4_A,A,top_4_B,B,-0.84,-28.42,-38.318,-51.22,-37.13,2.239,-48.91,-13.24,16.193,-0.3987,swarm_28_178.pdb
top_5_A,A,top_5_B,B,-6.1,-22.5,-37.227,152.01,112.23,-16.14,327.983,-17.839,24.114,0.1378,swarm_178_183.pdb
top_6_A,A,top_6_B,B,-0.3,-29.97,-40.62,-55.63,-2.2,-0.364,-10.861,-27.78,10.51,-0.2399,swarm_83_187.pdb
top_7_A,A,top_7_B,B,4.06,-25.3,-35.39,13.94,22.51,-1.817,-37.592,-12.955,9.538,-0.1715,swarm_148_34.pdb
top_8_A,A,top_8_B,B,-9.2,-30.24,-37.563,-58.99,-17.56,-15.081,-4.657,-44.661,17.667,-0.3236,swarm_31_184.pdb
top_9_A,A,top_9_B,B,5.06,-23.74,-35.285,-32.31,-4.21,-0.963,-24.099,-7.832,7.092,-0.1685,swarm_66_154.pdb
top_10_A,A,top_10_B,B,-6.12,-30.57,-46.064,-69.31,-26.43,-14.096,31.783,-47.289,25.188,-0.3975,swarm_113_147.pdb
top_11_A,A,top_11_B,B,3.96,-30.71,-39.23,-21.93,2.78,-23.158,-58.611,-25.563,9.961,-0.0481,swarm_181_90.pdb
top_12_A,A,top_12_B,B,-2.72,-23.85,-34.425,-44.4,-8.35,-12.875,18.806,-16.067,3.798,-0.2252,swarm_66_46.pdb
top_13_A,A,top_13_B,B,-0.72,-29.26,-40.193,-30.98,1.84,-2.784,13.944,-18.242,13.611,-0.2748,swarm_173_98.pdb
top_14_A,A,top_14_B,B,-3.4,-25.66,-41.057,-45.51,28.6,-2.923,19.163,-15.764,6.885,-0.3257,swarm_147_129.pdb
top_15_A,A,top_15_B,B,-6.72,-24.44,-35.031,37.41,17.57,5.692,101.376,-12.014,21.623,-0.2435,swarm_197_195.pdb
top_16_A,A,top_16_B,B,-7.3,-24.0,-34.127,-39.26,-7.1,-3.225,-3.625,-30.398,20.841,-0.2499,swarm_84_192.pdb
top_17_A,A,top_17_B,B,-1.78,-21.98,-35.433,-36.14,-20.06,-1.355,12.093,3.528,4.273,-0.1133,swarm_43_1.pdb
top_18_A,A,top_18_B,B,7.22,-30.54,-37.636,57.73,26.95,-3.273,-33.057,-18.539,7.276,-0.0376,swarm_28_10.pdb
top_19_A,A,top_19_B,B,-3.08,-23.11,-36.442,-44.15,-17.9,-9.656,-47.313,-25.974,15.53,-0.3244,swarm_27_43.pdb
top_20_A,A,top_20_B,B,0.22,-24.75,-36.353,-15.32,13.16,-12.096,-30.867,-7.114,7.55,-0.1647,swarm_74_81.pdb
top_21_A,A,top_21_B,B,-2.06,-23.58,-34.271,-15.79,-0.66,-5.525,3.617,-6.847,10.42,-0.2337,swarm_55_62.pdb
top_22_A,A,top_22_B,B,0.72,-19.82,-35.851,54.74,28.2,-3.641,-23.559,-5.892,-2.841,-0.0649,swarm_14_6.pdb
top_23_A,A,top_23_B,B,3.98,-26.48,-38.161,-22.89,-19.36,6.411,-45.0,3.5,8.256,-0.1096,swarm_76_172.pdb
top_24_A,A,top_24_B,B,2.86,-31.41,-41.417,7.27,19.66,-8.06,32.991,-14.729,13.604,-0.3403,swarm_201_106.pdb
top_25_A,A,top_25_B,B,-1.5,-23.84,-36.078,-9.05,20.9,-0.688,18.647,2.65,10.4,-0.1116,swarm_20_96.pdb
top_26_A,A,top_26_B,B,2.36,-26.71,-35.674,-64.8,-28.09,2.441,-56.926,-6.484,4.582,-0.1599,swarm_83_73.pdb
top_27_A,A,top_27_B,B,-6.84,-32.57,-42.42,-18.09,-7.47,0.473,-18.371,-24.389,16.327,-0.2733,swarm_1_57.pdb
top_28_A,A,top_28_B,B,4.48,-23.97,-33.781,34.26,20.76,12.015,-34.769,15.215,8.932,0.1319,swarm_139_52.pdb
top_29_A,A,top_29_B,B,0.14,-26.88,-39.72,-31.72,15.01,-30.987,29.863,-32.709,8.203,-0.0242,swarm_24_110.pdb
top_30_A,A,top_30_B,B,0.84,-25.42,-35.36,46.27,28.07,-4.733,45.928,-7.789,8.865,0.0262,swarm_119_155.pdb
top_31_A,A,top_31_B,B,-1.5,-26.72,-36.818,-65.25,-25.29,3.033,-24.1,-11.303,16.906,0.0357,swarm_73_141.pdb
top_32_A,A,top_32_B,B,0.88,-29.93,-41.429,-57.55,-23.64,-12.692,-54.288,-11.504,11.073,-0.186,swarm_124_32.pdb
top_33_A,A,top_33_B,B,-4.28,-20.73,-30.427,-53.42,0.11,-5.91,-35.569,-10.844,7.351,-0.2959,swarm_56_77.pdb
top_34_A,A,top_34_B,B,1.3,-22.11,-34.44,-20.87,4.03,-13.553,-12.651,-10.269,7.383,-0.0397,swarm_47_171.pdb
top_35_A,A,top_35_B,B,-6.3,-22.23,-29.607,-4.86,10.58,-4.86,31.582,-11.539,3.015,0.0679,swarm_203_1.pdb
top_36_A,A,top_36_B,B,1.42,-23.92,-33.592,-39.95,-17.89,-14.212,-47.467,-27.416,10.519,-0.3005,swarm_5_167.pdb
top_37_A,A,top_37_B,B,5.14,-19.24,-32.7,-2.65,35.9,-9.855,-24.144,0.928,-6.455,0.0439,swarm_45_41.pdb
top_38_A,A,top_38_B,B,-3.74,-17.58,-33.727,17.54,30.75,-13.898,75.195,-1.331,6.759,-0.3636,swarm_161_39.pdb
top_39_A,A,top_39_B,B,6.66,-24.62,-34.409,-26.57,-10.15,0.762,-34.798,10.007,9.422,-0.0868,swarm_59_184.pdb
top_40_A,A,top_40_B,B,3.46,-26.72,-36.237,-56.83,-21.13,5.315,-49.645,-4.326,6.346,-0.1877,swarm_69_192.pdb
top_41_A,A,top_41_B,B,2.46,-27.35,-35.947,-99.63,-36.33,-5.492,-49.306,-13.986,3.59,-0.1913,swarm_142_139.pdb
top_42_A,A,top_42_B,B,-1.28,-26.48,-35.149,-34.99,-24.89,-0.269,-46.83,-27.589,14.008,-0.2208,swarm_55_77.pdb
top_43_A,A,top_43_B,B,3.56,-25.79,-36.407,-33.37,-29.6,-9.88,-44.414,-30.28,17.603,-0.2694,swarm_55_33.pdb
top_44_A,A,top_44_B,B,3.66,-26.75,-37.193,-69.06,-23.52,-20.749,-83.881,-25.888,8.776,-0.1979,swarm_24_14.pdb
top_45_A,A,top_45_B,B,1.04,-23.13,-36.339,-26.97,-5.35,-21.896,-55.273,-21.236,13.242,-0.2315,swarm_17_50.pdb
top_46_A,A,top_46_B,B,-2.54,-21.42,-29.114,8.39,-1.99,5.279,-16.964,-5.059,9.073,-0.0547,swarm_201_153.pdb
top_47_A,A,top_47_B,B,-5.24,-21.4,-31.045,32.81,14.87,-5.252,65.86,-10.719,9.57,-0.0621,swarm_206_173.pdb
top_48_A,A,top_48_B,B,3.64,-22.11,-32.122,-40.55,0.23,2.624,-17.099,16.097,-4.115,0.0126,swarm_174_85.pdb
top_49_A,A,top_49_B,B,-2.34,-22.39,-35.683,27.69,25.98,-7.337,15.391,0.018,0.829,-0.0787,swarm_184_53.pdb
top_50_A,A,top_50_B,B,-2.02,-20.42,-27.549,8.84,17.5,-0.172,10.615,-6.88,1.852,-0.0274,swarm_66_172.pdb
top_51_A,A,top_51_B,B,3.06,-23.74,-34.563,-42.27,-10.07,-15.716,-36.531,-15.034,4.538,-0.1205,swarm_24_170.pdb
top_52_A,A,top_52_B,B,-4.52,-28.58,-40.857,-22.2,-3.49,-0.853,-14.752,-4.479,12.999,-0.2031,swarm_115_131.pdb
