pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,0.88,-28.08,-39.647,-47.44,-1.12,-23.534,-67.507,-26.519,0.23,-0.1493,swarm_125_93.pdb
top_2_A,A,top_2_B,B,-5.4,-27.27,-40.475,3.06,17.57,-24.209,-10.681,-12.196,0.668,-0.4832,swarm_12_150.pdb
top_3_A,A,top_3_B,B,-1.64,-25.58,-37.105,-55.78,-20.55,-14.7,-69.629,-22.954,1.384,-0.1835,swarm_136_73.pdb
top_4_A,A,top_4_B,B,5.76,-28.88,-46.538,-55.97,-30.48,-15.687,-69.103,-13.417,1.004,-0.2772,swarm_166_18.pdb
top_5_A,A,top_5_B,B,1.98,-21.22,-32.508,-24.74,2.08,-12.469,-57.035,7.842,1.558,-0.0458,swarm_173_146.pdb
top_6_A,A,top_6_B,B,4.62,-19.2,-34.072,-70.02,-13.34,-11.617,-52.817,-14.9,-0.357,-0.0442,swarm_73_154.pdb
top_7_A,A,top_7_B,B,2.1,-23.22,-36.254,-27.64,8.63,-19.375,-19.894,-18.476,-3.33,-0.1128,swarm_92_107.pdb
top_8_A,A,top_8_B,B,5.04,-24.42,-35.792,-65.65,-22.35,-25.182,-49.98,-25.848,-1.306,-0.1193,swarm_211_179.pdb
top_9_A,A,top_9_B,B,4.2,-22.7,-34.948,-81.31,-42.7,0.927,-58.465,6.963,-0.706,-0.1813,swarm_47_122.pdb
top_10_A,A,top_10_B,B,0.22,-20.61,-30.034,-8.38,3.42,-7.325,-60.733,-1.245,-2.026,-0.1272,swarm_101_81.pdb
top_11_A,A,top_11_B,B,6.14,-25.38,-40.995,-61.17,-24.93,-24.552,-50.383,-20.797,-1.226,-0.064,swarm_166_126.pdb
top_12_A,A,top_12_B,B,6.14,-23.82,-34.473,-54.78,-14.15,-15.847,-40.385,-14.401,-7.109,0.0061,swarm_150_69.pdb
top_13_A,A,top_13_B,B,-0.98,-28.02,-37.629,-69.42,-20.2,-22.788,-29.747,-20.601,-2.19,0.0736,swarm_96_122.pdb
top_14_A,A,top_14_B,B,2.5,-20.79,-33.123,-80.2,-29.82,-19.394,-43.923,-14.555,-0.601,-0.227,swarm_5_155.pdb
top_15_A,A,top_15_B,B,2.74,-14.31,-29.045,-3.57,4.62,2.171,-50.756,3.417,1.296,0.0688,swarm_130_174.pdb
top_16_A,A,top_16_B,B,7.56,-25.23,-38.234,-44.2,-3.13,-22.856,-54.871,-2.356,-6.361,-0.0621,swarm_190_150.pdb
top_17_A,A,top_17_B,B,2.5,-22.27,-34.27,-9.45,12.99,-15.982,-11.222,-5.262,-3.598,-0.2099,swarm_42_104.pdb
top_18_A,A,top_18_B,B,0.74,-21.29,-31.326,-15.96,-1.38,0.255,-40.065,4.363,1.476,-0.0217,swarm_88_126.pdb
top_19_A,A,top_19_B,B,1.5,-20.8,-32.992,-76.68,-8.11,-13.617,-43.173,-5.797,-0.578,-0.0304,swarm_212_174.pdb
top_20_A,A,top_20_B,B,4.22,-19.3,-30.002,-15.09,29.3,-8.2,-60.738,-2.084,-1.71,-0.1059,swarm_161_196.pdb
top_21_A,A,top_21_B,B,5.0,-22.08,-36.662,-35.23,5.47,-8.976,-29.004,-5.487,-2.085,-0.0773,swarm_73_44.pdb
top_22_A,A,top_22_B,B,-0.04,-22.38,-32.395,-16.17,5.78,-3.587,-18.684,-3.989,2.996,0.0969,swarm_7_80.pdb
top_23_A,A,top_23_B,B,4.58,-17.21,-28.348,-7.48,12.24,7.953,-35.478,11.605,2.294,-0.066,swarm_134_68.pdb
top_24_A,A,top_24_B,B,-0.08,-24.32,-32.53,-67.78,-16.47,-24.538,-82.326,-19.123,-0.059,-0.0387,swarm_92_159.pdb
