pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,0.96,-27.37,-47.384,-0.49,34.0,-37.86,-28.96,-14.16,-3.764,-0.0073,swarm_313_25.pdb
top_2_A,A,top_2_B,B,8.66,-25.77,-45.815,-23.42,35.89,-12.503,7.598,7.855,-4.879,0.0545,swarm_198_39.pdb
top_3_A,A,top_3_B,B,10.66,-28.53,-46.46,-36.41,21.44,-8.998,-69.235,6.583,-7.41,0.1188,swarm_262_23.pdb
top_4_A,A,top_4_B,B,2.18,-29.68,-46.439,0.57,16.47,-28.03,-3.503,1.041,-4.789,-0.2601,swarm_31_182.pdb
top_5_A,A,top_5_B,B,6.72,-30.39,-45.711,-21.89,24.92,-8.178,-66.28,17.62,-2.98,0.2787,swarm_207_72.pdb
top_6_A,A,top_6_B,B,7.12,-25.48,-39.608,-9.34,31.17,-13.617,-88.507,3.831,-5.396,-0.2506,swarm_38_164.pdb
top_7_A,A,top_7_B,B,-3.5,-28.19,-46.504,-65.83,41.32,-23.105,30.789,9.624,0.548,-0.3159,swarm_348_147.pdb
top_8_A,A,top_8_B,B,0.8,-24.67,-44.183,-28.78,-10.66,-13.458,-64.043,1.51,0.28,-0.121,swarm_243_153.pdb
top_9_A,A,top_9_B,B,2.9,-25.14,-41.096,-8.4,22.79,-0.96,-68.389,17.178,-2.082,0.0598,swarm_260_10.pdb
top_10_A,A,top_10_B,B,1.8,-25.07,-45.743,19.35,30.14,-17.236,34.036,0.322,-2.099,-0.2575,swarm_292_145.pdb
top_11_A,A,top_11_B,B,-2.2,-19.74,-37.694,-101.21,-24.21,-15.202,-42.367,7.273,-4.23,-0.1472,swarm_143_197.pdb
top_12_A,A,top_12_B,B,2.02,-19.66,-38.877,-34.99,27.53,-13.787,-37.637,15.034,-4.275,0.0382,swarm_14_100.pdb
top_13_A,A,top_13_B,B,5.44,-18.31,-37.946,-5.81,2.28,4.994,-37.193,15.647,-1.975,-0.131,swarm_287_103.pdb
top_14_A,A,top_14_B,B,4.34,-21.59,-40.628,53.04,68.48,-22.341,78.151,9.413,4.229,-0.0515,swarm_381_141.pdb
top_15_A,A,top_15_B,B,2.06,-20.38,-39.378,58.7,69.65,-1.879,19.886,11.464,1.002,0.1899,swarm_273_35.pdb
top_16_A,A,top_16_B,B,4.9,-25.13,-42.656,-6.34,28.77,-26.392,-42.427,-4.824,0.791,-0.0005,swarm_258_189.pdb
top_17_A,A,top_17_B,B,2.78,-25.85,-39.653,-31.87,-21.26,-22.095,-46.806,0.082,1.704,0.024,swarm_331_33.pdb
top_18_A,A,top_18_B,B,1.34,-26.63,-42.072,-87.48,-42.25,-24.239,-73.203,-13.233,2.538,-0.2278,swarm_229_95.pdb
top_19_A,A,top_19_B,B,4.4,-22.58,-34.685,8.39,23.26,-8.565,-59.626,18.883,-2.909,0.2063,swarm_48_169.pdb
top_20_A,A,top_20_B,B,8.58,-22.57,-39.495,-31.47,-1.59,-20.266,-69.815,4.551,-4.292,0.1417,swarm_108_179.pdb
top_21_A,A,top_21_B,B,5.72,-27.99,-38.438,-45.45,5.5,-8.508,-45.001,4.201,-6.453,-0.018,swarm_8_11.pdb
