pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,4.7,-31.4,-48.814,-46.21,8.6,-7.945,-38.018,-10.411,4.19,0.0199,swarm_154_151.pdb
top_2_A,A,top_2_B,B,12.92,-29.44,-49.543,-0.26,19.08,-3.011,-116.076,5.868,0.88,0.0856,swarm_50_158.pdb
top_3_A,A,top_3_B,B,-1.78,-20.21,-43.557,24.46,40.24,-11.774,111.789,-6.723,11.215,-0.3509,swarm_10_68.pdb
top_4_A,A,top_4_B,B,9.24,-25.31,-43.878,2.85,-11.02,-8.994,-92.758,2.297,-2.374,0.2096,swarm_70_57.pdb
top_5_A,A,top_5_B,B,2.42,-30.78,-48.462,-73.13,-6.04,-2.258,-50.454,3.072,9.983,0.004,swarm_165_162.pdb
top_6_A,A,top_6_B,B,3.86,-35.07,-52.955,11.31,32.03,10.362,-31.441,8.484,9.463,-0.1642,swarm_3_54.pdb
top_7_A,A,top_7_B,B,2.96,-20.46,-40.216,-41.82,32.95,-4.524,-32.088,-0.992,-2.278,-0.2439,swarm_44_55.pdb
top_8_A,A,top_8_B,B,5.36,-21.53,-42.164,4.09,27.38,-23.447,-37.088,-7.934,-6.216,-0.0389,swarm_35_49.pdb
top_9_A,A,top_9_B,B,10.04,-29.59,-42.704,-11.37,5.19,-13.795,-89.725,-27.888,1.593,-0.0214,swarm_72_86.pdb
top_10_A,A,top_10_B,B,6.94,-17.82,-34.059,-38.08,-1.16,8.86,-49.929,2.813,5.559,-0.2244,swarm_165_125.pdb
top_11_A,A,top_11_B,B,14.34,-26.78,-42.806,-9.41,27.54,-3.201,-83.237,12.877,-5.213,-0.3579,swarm_174_132.pdb
top_12_A,A,top_12_B,B,-1.7,-23.0,-40.986,78.88,53.5,-10.098,-21.921,-27.7,8.611,-0.1468,swarm_63_2.pdb
top_13_A,A,top_13_B,B,4.52,-27.01,-43.582,3.8,11.36,-14.951,-7.433,-6.379,1.891,-0.0231,swarm_20_156.pdb
top_14_A,A,top_14_B,B,9.14,-20.84,-43.576,-44.64,7.59,-14.198,-35.457,16.131,0.861,0.0165,swarm_15_136.pdb
top_15_A,A,top_15_B,B,10.8,-27.43,-46.099,-69.13,-13.51,4.513,-88.561,32.556,-4.136,0.0941,swarm_9_16.pdb
