pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,9.06,-21.96,-47.537,33.88,43.82,-22.989,-38.092,4.161,-9.001,0.2306,swarm_164_108.pdb
top_2_A,A,top_2_B,B,16.74,-15.73,-43.992,-13.31,19.98,-6.941,-103.493,37.088,-11.849,0.0737,swarm_213_36.pdb
top_3_A,A,top_3_B,B,7.68,-27.83,-41.287,15.24,30.38,-10.563,-32.824,-5.942,-6.606,-0.1254,swarm_527_2.pdb
top_4_A,A,top_4_B,B,13.22,-20.25,-49.359,27.53,39.9,-11.111,-56.574,35.481,-14.189,0.0241,swarm_213_2.pdb
top_5_A,A,top_5_B,B,15.4,-22.39,-51.845,23.71,27.6,-22.528,25.806,23.461,-11.774,-0.0031,swarm_120_114.pdb
top_6_A,A,top_6_B,B,3.74,-16.17,-40.826,-52.1,4.23,-9.71,-52.156,19.731,-5.571,-0.11,swarm_211_96.pdb
top_7_A,A,top_7_B,B,17.48,-21.18,-49.953,28.7,69.07,-22.606,-72.032,2.085,-16.068,0.134,swarm_86_107.pdb
top_8_A,A,top_8_B,B,12.54,-19.59,-49.723,23.42,48.85,-9.839,-20.302,18.393,-11.918,-0.082,swarm_211_4.pdb
top_9_A,A,top_9_B,B,10.28,-19.0,-48.446,36.33,64.54,-17.725,36.446,8.003,-14.379,0.2209,swarm_464_64.pdb
top_10_A,A,top_10_B,B,12.38,-14.83,-42.8,26.04,43.28,-8.263,8.318,33.524,-9.424,0.1129,swarm_474_172.pdb
top_11_A,A,top_11_B,B,12.76,-19.43,-42.925,-4.51,18.3,-13.341,-56.249,22.889,-9.239,-0.0014,swarm_478_130.pdb
top_12_A,A,top_12_B,B,11.52,-22.37,-47.34,14.12,23.76,-14.368,-24.486,12.501,-8.073,0.0384,swarm_55_147.pdb
top_13_A,A,top_13_B,B,14.9,-23.69,-48.006,4.06,52.24,-7.93,-12.579,22.895,-12.953,-0.1285,swarm_464_112.pdb
top_14_A,A,top_14_B,B,14.68,-17.97,-40.15,80.69,80.1,-9.102,51.908,20.663,-9.661,0.0781,swarm_559_36.pdb
top_15_A,A,top_15_B,B,12.98,-15.76,-40.132,-37.35,-3.85,-2.343,-35.079,26.144,-9.346,0.0969,swarm_460_1.pdb
top_16_A,A,top_16_B,B,8.92,-21.96,-40.461,-13.25,9.93,-19.143,-66.525,-0.689,-3.336,-0.071,swarm_185_187.pdb
top_17_A,A,top_17_B,B,17.7,-21.63,-45.132,-52.43,32.94,-17.442,-115.452,20.081,-11.244,0.1695,swarm_249_195.pdb
top_18_A,A,top_18_B,B,16.54,-26.71,-49.348,-4.89,27.14,-17.893,-82.138,17.351,-14.689,0.1418,swarm_306_194.pdb
top_19_A,A,top_19_B,B,15.52,-19.98,-39.246,4.54,33.49,-15.754,-8.933,19.424,-11.201,0.1542,swarm_116_70.pdb
top_20_A,A,top_20_B,B,13.4,-21.62,-42.406,-19.06,41.67,-16.759,-54.751,16.556,-9.414,0.016,swarm_406_38.pdb
top_21_A,A,top_21_B,B,13.7,-12.13,-44.639,137.48,133.62,-15.148,171.768,47.465,-17.46,0.016,swarm_576_64.pdb
top_22_A,A,top_22_B,B,8.44,-20.53,-42.808,-2.21,49.78,-5.075,-24.861,28.998,-9.086,-0.0552,swarm_474_134.pdb
top_23_A,A,top_23_B,B,14.86,-25.11,-42.992,104.51,37.77,-12.855,-48.578,30.636,-19.032,-0.0671,swarm_122_1.pdb
top_24_A,A,top_24_B,B,11.16,-17.64,-41.683,28.33,80.77,0.51,-62.657,19.734,-7.382,-0.1103,swarm_143_61.pdb
top_25_A,A,top_25_B,B,5.66,-23.35,-50.557,28.45,45.76,-17.604,-36.175,10.712,-7.11,0.0559,swarm_211_118.pdb
top_26_A,A,top_26_B,B,18.44,-18.47,-50.143,112.62,112.6,-14.835,12.51,40.71,-17.569,0.2835,swarm_406_67.pdb
top_27_A,A,top_27_B,B,10.56,-14.1,-39.665,18.03,40.53,-16.48,-54.459,22.205,-10.008,-0.0821,swarm_86_34.pdb
top_28_A,A,top_28_B,B,7.58,-19.95,-40.148,-59.84,-12.9,-21.809,-83.839,1.809,-9.775,0.0879,swarm_75_164.pdb
top_29_A,A,top_29_B,B,-2.98,-14.25,-29.844,76.3,53.16,-29.731,77.014,-6.462,-6.173,-0.1488,swarm_329_22.pdb
top_30_A,A,top_30_B,B,8.08,-17.52,-34.814,3.16,10.4,-12.546,-7.329,17.851,-3.542,0.1204,swarm_92_113.pdb
top_31_A,A,top_31_B,B,17.9,-12.48,-41.865,162.5,136.82,2.965,53.438,54.955,-17.329,0.0414,swarm_211_185.pdb
top_32_A,A,top_32_B,B,12.26,-19.95,-41.428,55.97,42.97,-8.472,-43.928,28.38,-9.45,-0.1419,swarm_185_1.pdb
top_33_A,A,top_33_B,B,16.38,-23.42,-47.885,15.12,33.76,0.464,-72.444,21.277,-13.256,0.0037,swarm_143_198.pdb
top_34_A,A,top_34_B,B,9.38,-14.84,-42.614,-41.41,-4.38,-12.343,-68.524,28.038,-6.864,-0.0286,swarm_406_117.pdb
top_35_A,A,top_35_B,B,15.78,-17.75,-47.2,9.04,30.44,-7.248,-75.182,26.204,-8.89,-0.0903,swarm_559_120.pdb
top_36_A,A,top_36_B,B,8.92,-20.39,-37.821,-22.7,16.33,-8.242,-71.676,5.772,-7.492,-0.1468,swarm_102_140.pdb
top_37_A,A,top_37_B,B,15.1,-18.3,-40.668,77.17,74.86,-6.769,-44.847,28.552,-11.486,0.0546,swarm_501_165.pdb
top_38_A,A,top_38_B,B,8.8,-16.45,-40.284,-23.67,15.76,2.462,-73.173,41.656,-11.615,0.0612,swarm_213_54.pdb
top_39_A,A,top_39_B,B,17.56,-23.37,-43.993,-41.76,-11.48,-24.272,-49.548,14.881,-12.973,-0.0216,swarm_623_199.pdb
top_40_A,A,top_40_B,B,11.24,-22.06,-46.097,-22.39,0.8,-15.329,-73.145,25.896,-11.911,-0.1153,swarm_499_113.pdb
top_41_A,A,top_41_B,B,11.86,-17.17,-42.263,-11.08,32.46,-11.538,-31.219,31.521,-11.571,-0.1533,swarm_501_120.pdb
top_42_A,A,top_42_B,B,12.16,-17.87,-40.418,-34.08,-13.85,-29.157,-65.577,-17.05,-11.919,0.0369,swarm_501_31.pdb
top_43_A,A,top_43_B,B,10.2,-17.57,-40.784,-6.87,35.62,-13.096,-16.256,24.305,-5.882,-0.0316,swarm_249_5.pdb
top_44_A,A,top_44_B,B,10.54,-18.11,-38.189,-58.37,-17.58,-12.261,-83.483,9.495,-9.606,-0.0936,swarm_86_106.pdb
top_45_A,A,top_45_B,B,4.58,-13.07,-37.38,-29.73,16.13,-19.171,-50.635,11.067,-5.431,-0.0742,swarm_260_190.pdb
top_46_A,A,top_46_B,B,9.52,-17.78,-42.402,-16.22,41.77,-1.978,-34.46,25.579,-8.813,0.019,swarm_99_77.pdb
top_47_A,A,top_47_B,B,16.24,-19.17,-39.653,16.85,6.48,-9.687,-75.656,20.782,-13.322,0.2304,swarm_122_39.pdb
top_48_A,A,top_48_B,B,1.58,-22.13,-29.971,-22.25,0.98,-30.534,-23.13,-22.145,-1.475,-0.0774,swarm_333_167.pdb
top_49_A,A,top_49_B,B,9.5,-18.48,-39.598,-18.13,48.03,-9.505,-68.352,6.41,-5.688,-0.1375,swarm_55_132.pdb
top_50_A,A,top_50_B,B,8.98,-22.32,-51.518,-1.29,6.52,-22.238,-45.943,11.202,-16.055,0.2891,swarm_86_16.pdb
top_51_A,A,top_51_B,B,15.96,-20.22,-40.818,32.18,50.23,-13.816,-35.278,5.052,-12.121,-0.0037,swarm_221_38.pdb
top_52_A,A,top_52_B,B,8.16,-18.83,-37.381,-29.76,-9.42,-17.016,-76.808,7.787,-9.041,-0.0974,swarm_7_148.pdb
top_53_A,A,top_53_B,B,8.46,-20.78,-37.954,14.14,37.41,-1.335,39.646,18.266,-6.369,-0.0818,swarm_518_90.pdb
top_54_A,A,top_54_B,B,10.68,-20.36,-41.566,-53.36,-15.44,-12.334,-66.809,9.613,-5.585,-0.0199,swarm_55_30.pdb
top_55_A,A,top_55_B,B,12.32,-16.85,-35.962,38.17,18.36,-16.384,-65.995,1.086,-9.94,0.071,swarm_63_186.pdb
top_56_A,A,top_56_B,B,15.9,-22.08,-45.848,35.83,40.85,-11.245,-56.929,3.348,-11.982,-0.1132,swarm_460_69.pdb
top_57_A,A,top_57_B,B,10.28,-19.21,-37.877,10.96,37.19,-8.882,26.007,25.085,-8.313,0.0421,swarm_102_118.pdb
top_58_A,A,top_58_B,B,15.64,-13.73,-39.392,64.61,67.11,-14.077,-21.383,34.72,-10.978,0.2286,swarm_248_38.pdb
top_59_A,A,top_59_B,B,6.06,-18.83,-37.073,-47.49,-0.86,-7.263,-69.762,21.737,-3.995,0.1169,swarm_533_112.pdb
top_60_A,A,top_60_B,B,4.94,-16.94,-41.043,-51.02,-6.81,-30.744,-66.374,-5.425,-7.179,-0.2563,swarm_464_68.pdb
top_61_A,A,top_61_B,B,11.2,-18.15,-38.014,-26.85,10.05,-10.327,-46.368,11.671,-8.746,-0.0207,swarm_584_60.pdb
top_62_A,A,top_62_B,B,10.74,-16.08,-34.013,-34.31,6.91,5.097,-57.147,28.868,-9.233,0.0016,swarm_55_97.pdb
top_63_A,A,top_63_B,B,2.5,-16.49,-30.968,-15.62,6.65,-5.831,-24.418,15.283,-4.365,-0.0593,swarm_628_78.pdb
top_64_A,A,top_64_B,B,1.2,-5.98,-27.652,271.9,173.89,-11.174,181.91,27.092,-11.052,0.4579,swarm_512_147.pdb
top_65_A,A,top_65_B,B,14.42,-17.76,-35.58,12.66,19.0,-11.496,-84.233,19.258,-11.147,-0.0044,swarm_259_173.pdb
top_66_A,A,top_66_B,B,9.2,-23.2,-34.751,2.16,1.16,-15.412,-75.231,3.86,-6.809,-0.0452,swarm_588_39.pdb
top_67_A,A,top_67_B,B,12.34,-11.71,-42.368,44.6,72.35,0.04,108.092,48.453,-12.848,0.319,swarm_99_17.pdb
top_68_A,A,top_68_B,B,9.74,-17.38,-34.427,65.03,54.78,-22.045,-8.131,13.091,-11.512,-0.0022,swarm_439_190.pdb
top_69_A,A,top_69_B,B,9.28,-16.14,-36.723,-4.13,-7.97,-8.777,-76.462,15.599,-3.564,-0.0795,swarm_141_143.pdb
top_70_A,A,top_70_B,B,9.48,-18.01,-34.055,36.89,20.44,-24.992,48.939,10.693,-3.726,-0.0008,swarm_560_109.pdb
top_71_A,A,top_71_B,B,9.34,-16.8,-34.38,-23.78,4.47,-13.246,-52.379,17.096,-7.35,-0.027,swarm_629_130.pdb
top_72_A,A,top_72_B,B,6.46,-8.82,-27.606,45.81,49.76,-14.697,36.24,18.466,-8.287,-0.1264,swarm_561_27.pdb
top_73_A,A,top_73_B,B,19.34,-20.85,-39.688,24.32,51.61,-7.919,-63.963,29.09,-14.62,-0.0773,swarm_245_47.pdb
