pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-2.02,-30.18,-35.62,3.22,1.7,-27.985,-11.025,-33.518,1.46,-0.1881,swarm_16_97.pdb
top_2_A,A,top_2_B,B,-0.48,-31.78,-38.156,-42.67,-16.02,-21.569,-49.289,-26.584,0.893,-0.0472,swarm_41_87.pdb
top_3_A,A,top_3_B,B,1.62,-28.33,-34.851,9.9,10.62,-27.01,-31.613,-37.285,2.268,-0.2567,swarm_111_11.pdb
top_4_A,A,top_4_B,B,-3.14,-25.98,-32.8591,-40.87,2.43,-26.365,2.83,-25.611,3.172,-0.1154,swarm_82_116.pdb
top_5_A,A,top_5_B,B,-2.2,-25.74,-33.626,74.9,79.52,-28.255,83.587,-24.805,-0.533,-0.1387,swarm_70_64.pdb
top_6_A,A,top_6_B,B,-1.2,-27.64,-34.681,-33.68,-14.94,-29.112,-10.688,-34.799,0.711,-0.1319,swarm_182_167.pdb
top_7_A,A,top_7_B,B,1.72,-21.23,-32.011,14.52,2.77,-35.106,-61.089,-20.169,0.784,0.0183,swarm_191_122.pdb
top_8_A,A,top_8_B,B,3.04,-23.95,-34.188,-13.61,-14.86,-41.055,-41.323,-21.711,0.041,0.0782,swarm_5_193.pdb
top_9_A,A,top_9_B,B,-0.92,-24.62,-29.552,10.52,23.6,-25.702,-14.337,-29.398,0.027,-0.19,swarm_23_168.pdb
top_10_A,A,top_10_B,B,-1.52,-25.51,-31.295,-25.04,-16.19,-19.177,-44.181,-28.826,1.984,-0.1914,swarm_135_23.pdb
top_11_A,A,top_11_B,B,-5.52,-22.81,-32.437,17.41,12.63,-31.606,-34.71,-38.25,1.858,-0.1889,swarm_16_44.pdb
top_12_A,A,top_12_B,B,-1.88,-23.12,-30.403,61.9,39.15,-23.946,32.185,-19.482,1.912,-0.2125,swarm_67_92.pdb
top_13_A,A,top_13_B,B,1.5,-22.13,-31.255,5.59,12.75,-41.095,-68.911,-31.68,-3.166,-0.1209,swarm_110_122.pdb
top_14_A,A,top_14_B,B,-0.96,-21.28,-27.672,-58.89,-32.78,-22.152,-56.768,-32.402,2.265,-0.2341,swarm_61_190.pdb
top_15_A,A,top_15_B,B,3.68,-17.29,-28.81,-27.88,-6.18,-29.089,-40.439,-15.499,-0.783,-0.0168,swarm_142_40.pdb
top_16_A,A,top_16_B,B,-5.34,-27.54,-35.038,-103.13,-43.41,-37.341,-75.499,-45.535,5.612,-0.4608,swarm_115_187.pdb
top_17_A,A,top_17_B,B,-7.3,-26.54,-34.523,-79.08,-31.16,-46.716,-40.082,-54.158,5.801,-0.3497,swarm_163_158.pdb
top_18_A,A,top_18_B,B,0.74,-19.49,-28.079,1.38,-20.14,-29.743,-19.505,-29.517,1.32,-0.2505,swarm_109_6.pdb
top_19_A,A,top_19_B,B,-4.54,-24.1,-31.3,-66.62,-28.82,-30.709,-29.556,-33.575,4.134,-0.1448,swarm_77_83.pdb
top_20_A,A,top_20_B,B,-2.66,-23.13,-29.449,-31.17,-11.65,-26.795,-34.889,-12.222,5.926,0.004,swarm_186_186.pdb
top_21_A,A,top_21_B,B,6.42,-15.12,-27.379,6.03,10.22,-30.671,-46.845,-11.489,-3.709,-0.0354,swarm_140_113.pdb
top_22_A,A,top_22_B,B,-0.24,-21.97,-31.649,-12.68,11.07,-24.82,-66.755,-16.847,0.523,-0.1904,swarm_172_42.pdb
top_23_A,A,top_23_B,B,-2.96,-22.53,-28.579,-39.07,-12.61,-25.115,-34.055,-27.64,1.661,-0.151,swarm_10_154.pdb
top_24_A,A,top_24_B,B,-2.64,-26.76,-32.36,-12.9,-9.02,-24.946,-54.831,-36.72,2.469,-0.0441,swarm_193_99.pdb
top_25_A,A,top_25_B,B,-2.78,-26.27,-34.57,-41.21,-32.27,-35.055,-32.851,-49.228,4.756,-0.3916,swarm_117_145.pdb
top_26_A,A,top_26_B,B,4.44,-16.08,-26.602,-21.3,-13.19,-22.142,-48.16,-0.906,-3.906,-0.1245,swarm_93_167.pdb
top_27_A,A,top_27_B,B,5.3,-19.27,-27.428,-30.74,-20.25,-31.969,-43.477,-27.921,-0.147,-0.0348,swarm_40_55.pdb
top_28_A,A,top_28_B,B,-0.44,-15.46,-25.091,-47.82,-20.03,-32.492,-19.178,-20.126,1.661,-0.0699,swarm_158_29.pdb
top_29_A,A,top_29_B,B,-4.32,-16.65,-26.838,-7.33,-11.95,-36.104,-18.557,-22.038,1.364,-0.2606,swarm_145_122.pdb
top_30_A,A,top_30_B,B,3.54,-19.07,-27.852,25.42,3.97,-32.564,-56.239,-23.528,-3.052,0.0277,swarm_112_172.pdb
