pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,6.62,-38.38,-58.369,-75.54,-36.81,-24.353,-99.858,-35.195,4.708,-0.0797,swarm_407_132.pdb
top_2_A,A,top_2_B,B,18.0,-36.97,-65.836,2.46,46.87,-36.189,-89.262,-10.302,-3.409,-0.0426,swarm_184_37.pdb
top_3_A,A,top_3_B,B,9.06,-28.05,-49.409,-15.69,1.24,-17.239,-97.05,8.943,-0.314,-0.1326,swarm_411_61.pdb
top_4_A,A,top_4_B,B,15.72,-37.62,-66.797,-12.73,58.76,-34.407,-92.284,-24.076,-3.182,0.2677,swarm_412_102.pdb
top_5_A,A,top_5_B,B,-5.98,-39.84,-48.246,-81.91,-7.14,-19.221,-43.443,-42.512,8.711,-0.3667,swarm_336_180.pdb
top_6_A,A,top_6_B,B,14.86,-18.63,-47.372,55.09,41.19,-22.79,-78.531,29.804,-7.779,0.1785,swarm_497_23.pdb
top_7_A,A,top_7_B,B,14.34,-20.37,-50.98,65.01,43.64,-21.256,-83.521,24.85,-8.208,0.177,swarm_405_136.pdb
top_8_A,A,top_8_B,B,11.1,-29.9,-53.795,-52.88,-21.83,-17.127,-58.546,-4.259,1.302,-0.1787,swarm_226_188.pdb
top_9_A,A,top_9_B,B,10.3,-32.32,-52.319,-68.5,-12.92,-10.577,-89.393,9.859,-0.96,0.0398,swarm_363_39.pdb
top_10_A,A,top_10_B,B,16.14,-45.79,-67.173,9.75,34.86,-28.443,21.902,-28.093,4.093,0.0937,swarm_508_113.pdb
top_11_A,A,top_11_B,B,7.3,-34.18,-55.226,-14.69,34.42,-29.054,12.578,2.916,1.756,-0.1616,swarm_82_67.pdb
top_12_A,A,top_12_B,B,14.4,-31.44,-53.757,20.86,34.04,-15.567,-52.68,6.701,-7.01,0.0551,swarm_170_193.pdb
top_13_A,A,top_13_B,B,8.92,-30.56,-50.871,51.5,37.62,-12.728,32.245,10.112,2.943,-0.0183,swarm_232_45.pdb
top_14_A,A,top_14_B,B,15.74,-18.69,-48.917,-0.39,28.12,-19.687,-76.34,27.343,-11.222,0.2761,swarm_136_116.pdb
top_15_A,A,top_15_B,B,13.64,-22.88,-52.134,60.96,44.22,-26.104,-70.821,23.068,-7.945,0.0854,swarm_355_79.pdb
top_16_A,A,top_16_B,B,8.46,-28.11,-46.964,-38.33,-21.35,-15.782,-90.555,-12.583,3.674,-0.2307,swarm_482_12.pdb
top_17_A,A,top_17_B,B,9.86,-27.18,-44.221,-48.14,-23.89,-21.882,-105.597,-20.042,-1.06,0.0137,swarm_425_128.pdb
top_18_A,A,top_18_B,B,3.26,-30.08,-49.705,-65.26,-17.04,-28.091,-53.428,-13.744,2.83,-0.2262,swarm_412_103.pdb
