pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,12.8,-22.37,-49.143,7.76,41.81,-32.743,18.354,0.233,-2.028,-0.1098,swarm_10_195.pdb
top_2_A,A,top_2_B,B,4.18,-17.79,-41.069,24.13,50.34,-17.316,73.307,27.688,-6.033,0.0545,swarm_16_73.pdb
top_3_A,A,top_3_B,B,9.86,-23.94,-43.407,-48.74,-16.12,-21.708,-96.093,7.927,-2.196,-0.0992,swarm_270_60.pdb
top_4_A,A,top_4_B,B,6.24,-26.24,-49.819,-23.49,-5.15,-19.328,-77.612,2.5,-1.324,-0.3371,swarm_286_20.pdb
top_5_A,A,top_5_B,B,1.7,-24.58,-42.581,-102.9,-34.81,-21.337,-73.021,0.567,0.455,-0.2437,swarm_230_32.pdb
top_6_A,A,top_6_B,B,1.54,-24.97,-40.61,-44.29,-9.65,-4.604,-55.268,18.748,-4.204,0.0459,swarm_202_168.pdb
top_7_A,A,top_7_B,B,5.78,-21.18,-45.819,-43.92,-6.42,-22.351,-56.142,12.838,-2.835,0.1185,swarm_331_126.pdb
top_8_A,A,top_8_B,B,7.22,-24.64,-39.558,-4.99,12.96,-13.861,-56.985,9.897,-8.19,-0.0803,swarm_110_102.pdb
top_9_A,A,top_9_B,B,2.7,-25.17,-42.838,-26.32,-5.83,-5.454,-41.499,22.057,-3.596,-0.1256,swarm_233_21.pdb
top_10_A,A,top_10_B,B,9.32,-24.08,-44.124,129.71,83.21,-14.744,34.001,32.553,-5.56,-0.1615,swarm_331_70.pdb
top_11_A,A,top_11_B,B,1.86,-21.5,-43.2,49.75,43.87,-12.537,31.197,17.821,-3.031,0.1624,swarm_214_60.pdb
top_12_A,A,top_12_B,B,3.68,-22.7,-38.989,-29.33,-20.16,-9.948,-74.941,0.61,-1.228,-0.1052,swarm_203_137.pdb
top_13_A,A,top_13_B,B,3.2,-21.09,-37.471,-53.1,-40.42,-16.514,-67.649,-2.693,-1.813,-0.1256,swarm_64_136.pdb
top_14_A,A,top_14_B,B,8.78,-27.01,-43.082,25.23,22.36,-18.852,-51.932,13.372,-5.182,0.1045,swarm_249_171.pdb
top_15_A,A,top_15_B,B,6.56,-31.85,-46.251,-40.93,-0.56,-15.536,-86.555,-9.523,-1.005,-0.3632,swarm_255_13.pdb
top_16_A,A,top_16_B,B,12.46,-28.28,-43.184,4.54,61.61,-23.365,-111.863,2.797,-9.968,0.0661,swarm_326_91.pdb
top_17_A,A,top_17_B,B,6.2,-21.36,-39.247,-30.17,11.37,-15.844,-56.342,23.332,-4.993,-0.0655,swarm_231_20.pdb
top_18_A,A,top_18_B,B,4.0,-20.55,-37.885,0.93,16.96,-18.419,-32.432,10.541,-3.369,-0.0226,swarm_1_96.pdb
top_19_A,A,top_19_B,B,0.7,-20.14,-39.562,-43.55,1.55,-8.787,-8.712,27.979,-2.085,-0.0928,swarm_109_170.pdb
top_20_A,A,top_20_B,B,5.36,-18.95,-36.52,30.98,26.69,-21.589,17.528,-0.626,-5.14,0.0314,swarm_255_15.pdb
top_21_A,A,top_21_B,B,5.74,-18.77,-37.583,66.78,19.1,-9.216,-47.264,25.743,-4.382,0.2065,swarm_70_130.pdb
top_22_A,A,top_22_B,B,3.72,-19.81,-37.792,-22.68,-13.91,-7.486,-64.241,15.627,-0.293,0.0779,swarm_62_37.pdb
top_23_A,A,top_23_B,B,12.7,-20.34,-36.711,8.64,-1.68,-18.612,-65.715,9.595,-7.417,-0.0068,swarm_326_15.pdb
top_24_A,A,top_24_B,B,5.88,-22.87,-40.395,-3.05,13.84,-15.259,-76.443,11.462,-5.911,-0.2292,swarm_71_168.pdb
top_25_A,A,top_25_B,B,6.2,-17.53,-35.026,-25.45,2.71,-11.283,-34.158,4.622,-4.826,-0.1383,swarm_185_140.pdb
top_26_A,A,top_26_B,B,7.44,-19.43,-32.531,-21.93,5.81,-9.073,-62.228,11.504,-6.598,-0.0104,swarm_231_94.pdb
top_27_A,A,top_27_B,B,11.02,-23.16,-38.819,-25.93,11.25,-25.517,-75.344,3.075,-9.036,-0.0741,swarm_36_57.pdb
top_28_A,A,top_28_B,B,11.62,-17.24,-36.523,36.91,24.28,-27.362,-54.435,14.56,-7.008,-0.0375,swarm_10_152.pdb
top_29_A,A,top_29_B,B,11.28,-25.07,-42.537,-45.96,2.24,-23.654,-44.187,4.391,-7.348,0.0292,swarm_10_72.pdb
top_30_A,A,top_30_B,B,7.1,-27.1,-40.044,-24.2,-14.96,-20.763,-80.123,-7.073,-1.806,-0.0145,swarm_227_83.pdb
top_31_A,A,top_31_B,B,10.14,-16.56,-38.096,166.81,109.65,-19.81,197.102,20.588,-10.979,0.2163,swarm_109_101.pdb
top_32_A,A,top_32_B,B,5.64,-16.38,-36.096,-12.25,5.91,-22.053,-3.844,-0.628,-2.682,-0.394,swarm_187_152.pdb
top_33_A,A,top_33_B,B,2.28,-18.15,-36.518,-67.51,-32.74,-10.652,-45.724,16.904,-1.72,-0.0467,swarm_109_182.pdb
