pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-10.36,-19.04,-27.4372,-41.37,0.73,-19.248,-0.397,-17.09,1.855,-0.1887,swarm_123_178.pdb
top_2_A,A,top_2_B,B,-3.66,-18.86,-26.9109,0.74,19.11,-14.971,7.113,-14.017,-0.25,-0.1118,swarm_54_167.pdb
top_3_A,A,top_3_B,B,5.84,-16.1,-25.2276,7.34,9.44,-15.48,-49.46,-16.098,-5.394,-0.0567,swarm_9_93.pdb
top_4_A,A,top_4_B,B,-6.2,-17.09,-24.1557,-40.99,0.92,-16.654,-26.622,-15.398,1.546,-0.0938,swarm_54_83.pdb
top_5_A,A,top_5_B,B,-4.16,-17.4,-22.6989,-16.29,3.16,-11.485,-36.907,-17.734,-0.356,-0.1709,swarm_74_83.pdb
top_6_A,A,top_6_B,B,-7.98,-18.78,-27.0993,54.22,47.54,-14.657,139.089,0.247,-0.866,0.1029,swarm_21_58.pdb
top_7_A,A,top_7_B,B,-5.54,-16.58,-23.4454,-26.86,-0.95,-13.188,9.737,-12.115,0.827,-0.1134,swarm_59_74.pdb
top_8_A,A,top_8_B,B,0.08,-18.35,-25.5261,-40.24,-10.71,-3.634,-48.256,-5.921,-2.115,-0.0451,swarm_57_100.pdb
top_9_A,A,top_9_B,B,-15.5,-14.23,-26.7246,46.4,30.21,-19.185,102.366,-5.027,4.05,-0.1793,swarm_56_191.pdb
top_10_A,A,top_10_B,B,-3.08,-15.38,-24.1057,-6.89,2.8,-11.642,47.202,-7.116,2.731,-0.1039,swarm_109_67.pdb
top_11_A,A,top_11_B,B,-0.3,-10.96,-19.7049,41.17,28.55,-5.928,43.829,2.365,-1.151,0.0196,swarm_75_84.pdb
top_12_A,A,top_12_B,B,5.06,-13.83,-24.8943,56.81,11.2,-16.831,-39.224,5.825,-6.49,-0.068,swarm_142_146.pdb
top_13_A,A,top_13_B,B,10.54,-18.62,-25.4111,-55.97,-20.1,-14.713,-80.428,-6.596,-3.635,-0.0357,swarm_134_187.pdb
top_14_A,A,top_14_B,B,-4.7,-14.29,-21.3073,-9.96,12.86,-12.221,0.494,-11.515,2.215,-0.1476,swarm_56_185.pdb
top_15_A,A,top_15_B,B,-5.02,-17.55,-25.5719,-24.86,-6.68,-15.26,-3.323,-13.911,1.38,-0.2332,swarm_41_133.pdb
top_16_A,A,top_16_B,B,-0.48,-18.95,-24.5386,-31.53,-17.93,-9.869,-45.631,-12.876,3.093,-0.2375,swarm_22_170.pdb
top_17_A,A,top_17_B,B,-0.2,-16.83,-22.4541,-55.39,-18.12,-10.749,-37.366,-12.643,-0.94,-0.0393,swarm_112_108.pdb
top_18_A,A,top_18_B,B,1.14,-11.97,-21.3548,33.55,30.86,-3.819,25.442,4.389,-0.623,-0.0251,swarm_113_193.pdb
top_19_A,A,top_19_B,B,-0.42,-14.95,-22.3501,-7.97,7.6,-2.877,-10.6,-5.574,1.055,-0.1376,swarm_75_191.pdb
top_20_A,A,top_20_B,B,-3.78,-15.76,-22.4368,-68.82,-24.94,-14.411,-24.151,-10.672,2.248,-0.0886,swarm_161_23.pdb
top_21_A,A,top_21_B,B,-0.26,-16.5,-23.2156,-62.35,-8.17,-6.017,-40.677,-9.358,-1.114,-0.1393,swarm_11_170.pdb
top_22_A,A,top_22_B,B,1.98,-15.0,-22.0654,-33.78,-11.23,-5.124,-42.243,6.214,-2.626,-0.0765,swarm_7_132.pdb
top_23_A,A,top_23_B,B,-3.46,-16.09,-22.695,-37.94,-3.25,0.19,-30.586,3.644,0.155,-0.0233,swarm_117_179.pdb
top_24_A,A,top_24_B,B,7.72,-15.31,-24.2211,-13.68,1.45,-18.299,-52.734,-16.243,-3.407,0.0081,swarm_118_19.pdb
top_25_A,A,top_25_B,B,-1.28,-17.79,-23.4245,-27.98,-30.23,-1.718,-47.602,3.576,-3.213,-0.083,swarm_28_14.pdb
top_26_A,A,top_26_B,B,1.08,-17.5,-23.3517,-18.75,-10.71,-15.589,-22.49,-10.877,-1.777,-0.0857,swarm_67_149.pdb
top_27_A,A,top_27_B,B,-6.18,-14.71,-20.8139,20.38,32.57,-6.596,39.05,-7.371,0.194,-0.087,swarm_109_199.pdb
top_28_A,A,top_28_B,B,1.82,-12.7,-20.8345,94.05,68.8,-7.58,20.555,-10.2,-2.665,0.0412,swarm_116_188.pdb
top_29_A,A,top_29_B,B,3.44,-16.0,-21.095,-35.01,-10.86,-6.95,-48.142,-8.598,-1.913,-0.0706,swarm_70_149.pdb
top_30_A,A,top_30_B,B,0.66,-14.89,-21.7725,-30.88,2.76,-14.545,-28.665,-17.418,-4.252,-0.0653,swarm_112_69.pdb
top_31_A,A,top_31_B,B,-3.32,-14.48,-22.6291,-43.19,-7.99,-8.468,1.981,-13.269,0.151,-0.0473,swarm_158_8.pdb
top_32_A,A,top_32_B,B,-3.88,-18.04,-22.7141,-33.64,-12.09,-15.24,-22.565,-15.894,1.292,0.0959,swarm_5_161.pdb
top_33_A,A,top_33_B,B,-2.02,-17.2,-23.373,-21.2,-6.46,-7.567,-25.573,-4.04,-2.293,-0.1416,swarm_57_54.pdb
top_34_A,A,top_34_B,B,0.9,-12.55,-21.074,10.33,3.3,-6.169,-38.919,-3.285,-2.589,-0.0239,swarm_52_103.pdb
top_35_A,A,top_35_B,B,3.32,-15.14,-20.7175,23.72,27.83,-7.958,-12.177,-7.125,-2.68,-0.0314,swarm_176_12.pdb
top_36_A,A,top_36_B,B,-3.06,-18.19,-25.2674,-3.99,4.99,-12.851,-26.522,-12.288,-0.559,-0.2154,swarm_5_171.pdb
top_37_A,A,top_37_B,B,4.98,-13.28,-22.1208,49.7,41.75,-1.914,-28.819,0.648,-7.252,-0.1089,swarm_124_98.pdb
top_38_A,A,top_38_B,B,-3.68,-18.77,-24.224,-42.78,-20.78,-18.414,-2.488,-15.344,0.262,-0.115,swarm_5_36.pdb
top_39_A,A,top_39_B,B,2.92,-10.1,-19.7732,35.66,16.1,-13.743,7.9,8.432,-6.742,-0.0132,swarm_45_151.pdb
top_40_A,A,top_40_B,B,-3.24,-11.91,-20.4056,20.86,7.95,-4.792,32.494,-9.112,-2.127,-0.0707,swarm_4_20.pdb
top_41_A,A,top_41_B,B,-1.48,-11.78,-20.7254,-22.35,1.36,-12.552,-4.945,-8.744,-1.354,-0.0948,swarm_22_27.pdb
top_42_A,A,top_42_B,B,5.62,-15.01,-21.4175,0.63,9.95,-2.859,-32.371,2.609,-5.99,-0.0291,swarm_179_176.pdb
top_43_A,A,top_43_B,B,-1.3,-15.97,-21.7416,3.19,-5.53,-2.745,14.898,0.253,0.359,0.0663,swarm_183_162.pdb
top_44_A,A,top_44_B,B,1.44,-15.28,-20.3044,-45.78,-15.48,-8.195,-39.215,-9.428,-2.367,-0.0773,swarm_52_148.pdb
top_45_A,A,top_45_B,B,0.58,-20.33,-24.6657,-46.31,-24.14,-7.884,-25.416,-6.022,-0.869,0.0205,swarm_40_185.pdb
top_46_A,A,top_46_B,B,3.82,-12.35,-20.8416,-25.08,10.37,-3.374,-28.365,6.753,-4.178,-0.1041,swarm_125_183.pdb
top_47_A,A,top_47_B,B,5.98,-11.09,-23.6877,16.21,20.59,-20.104,43.127,0.538,-9.446,0.0898,swarm_35_25.pdb
top_48_A,A,top_48_B,B,-3.64,-15.58,-22.6756,-41.68,1.75,-4.706,62.105,5.412,1.264,0.0178,swarm_59_4.pdb
top_49_A,A,top_49_B,B,-5.46,-16.61,-23.5528,-7.42,-1.58,-15.874,-9.165,-20.377,4.459,-0.1568,swarm_21_38.pdb
top_50_A,A,top_50_B,B,-2.24,-13.24,-21.1518,-24.65,3.5,-5.738,-22.837,-7.33,-0.537,-0.1273,swarm_99_93.pdb
top_51_A,A,top_51_B,B,3.62,-12.99,-20.7797,7.45,4.2,3.552,-29.567,11.657,-1.99,0.0047,swarm_39_98.pdb
top_52_A,A,top_52_B,B,-4.38,-17.7,-21.95,-60.65,-31.24,-4.989,-47.791,-7.097,-0.81,-0.1169,swarm_139_159.pdb
top_53_A,A,top_53_B,B,3.48,-6.84,-16.8047,37.94,25.42,-4.429,5.826,20.383,-5.779,0.1892,swarm_69_3.pdb
top_54_A,A,top_54_B,B,2.48,-14.49,-21.7882,-28.32,-16.44,-6.99,-57.953,-6.703,-4.512,-0.113,swarm_176_154.pdb
