pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-4.8,-34.22,-49.81,-56.97,-2.49,-37.602,-61.023,-26.362,-0.022,-0.2463,swarm_236_133.pdb
top_2_A,A,top_2_B,B,-8.92,-27.2,-41.095,51.72,53.5,-30.093,101.773,-11.452,5.109,-0.1881,swarm_95_34.pdb
top_3_A,A,top_3_B,B,6.52,-21.69,-38.4,6.46,21.65,-22.41,-17.816,-15.034,0.096,-0.0817,swarm_40_131.pdb
top_4_A,A,top_4_B,B,-0.7,-21.22,-36.32,-33.87,-6.23,-16.328,-24.469,-12.194,1.047,-0.1565,swarm_0_152.pdb
top_5_A,A,top_5_B,B,0.12,-25.31,-38.098,0.34,6.19,-17.284,-55.491,-11.336,0.825,-0.1858,swarm_35_6.pdb
top_6_A,A,top_6_B,B,1.32,-26.26,-42.256,2.18,12.36,-17.223,-12.516,0.095,-1.527,-0.1584,swarm_248_80.pdb
top_7_A,A,top_7_B,B,9.36,-17.13,-36.223,-53.3,-1.97,-15.578,-29.215,9.696,-4.487,-0.1953,swarm_135_47.pdb
top_8_A,A,top_8_B,B,1.06,-21.32,-35.433,-47.82,-7.4,-21.946,-47.391,-18.29,5.243,-0.1497,swarm_167_172.pdb
top_9_A,A,top_9_B,B,8.76,-18.7,-41.181,-60.88,-31.38,-32.24,-91.195,-9.207,-2.414,-0.1167,swarm_135_96.pdb
top_10_A,A,top_10_B,B,7.12,-24.54,-37.333,0.27,37.74,-6.711,2.332,6.586,-8.734,-0.0168,swarm_61_148.pdb
top_11_A,A,top_11_B,B,5.14,-21.51,-39.969,19.09,52.7,-43.728,26.421,-36.041,-0.214,0.0156,swarm_122_191.pdb
top_12_A,A,top_12_B,B,17.3,-24.84,-49.649,27.57,40.13,-24.522,-69.651,0.777,-12.002,0.1997,swarm_122_158.pdb
top_13_A,A,top_13_B,B,8.04,-20.07,-34.592,-53.06,-14.33,-28.46,-73.907,-13.394,-2.952,-0.124,swarm_99_22.pdb
top_14_A,A,top_14_B,B,5.8,-28.09,-41.527,-25.67,-15.78,-9.893,-89.702,-5.983,-1.392,0.0024,swarm_57_191.pdb
top_15_A,A,top_15_B,B,8.2,-22.66,-37.663,-64.34,-21.42,-17.094,-73.431,-5.873,-0.1,-0.1478,swarm_189_141.pdb
top_16_A,A,top_16_B,B,5.54,-17.77,-35.537,-32.79,-6.19,-14.029,-75.614,8.208,-0.904,-0.2716,swarm_57_85.pdb
top_17_A,A,top_17_B,B,4.14,-15.62,-32.488,-33.6,-14.43,-19.028,-78.283,-8.083,1.07,-0.0596,swarm_204_20.pdb
top_18_A,A,top_18_B,B,-0.24,-34.67,-41.771,-53.47,-4.9,-26.728,-16.128,-25.9,0.74,-0.1475,swarm_68_116.pdb
top_19_A,A,top_19_B,B,1.82,-19.25,-36.207,-77.5,-20.09,-46.715,-61.43,-37.524,2.56,-0.0699,swarm_203_83.pdb
top_20_A,A,top_20_B,B,2.58,-16.83,-32.537,-47.46,-13.21,-21.527,-31.52,-3.569,-0.191,-0.1122,swarm_194_97.pdb
