pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,0.54,-21.7,-31.8074,-37.64,-7.03,-10.391,-49.649,-1.4,1.05,-0.1096,swarm_223_50.pdb
top_2_A,A,top_2_B,B,1.8,-23.65,-32.5684,8.52,-4.08,-1.895,-66.333,-5.552,-1.785,-0.1376,swarm_310_143.pdb
top_3_A,A,top_3_B,B,1.84,-19.39,-29.9496,32.38,40.01,-12.808,-15.888,-11.556,-0.834,-0.0823,swarm_15_169.pdb
top_4_A,A,top_4_B,B,-2.76,-18.47,-25.5301,-61.69,-20.11,-0.824,-49.018,8.158,3.307,-0.058,swarm_55_29.pdb
top_5_A,A,top_5_B,B,-4.1,-19.34,-27.7276,-30.4,3.36,-10.756,-19.447,-5.669,3.429,-0.1244,swarm_201_117.pdb
top_6_A,A,top_6_B,B,-1.4,-22.93,-30.1283,-9.19,14.03,-3.827,-50.01,-6.382,4.289,-0.0537,swarm_147_183.pdb
top_7_A,A,top_7_B,B,-1.3,-19.41,-28.1575,10.88,-3.3,-2.447,4.85,2.676,1.063,-0.0572,swarm_102_197.pdb
top_8_A,A,top_8_B,B,-2.56,-20.37,-27.5897,3.84,13.89,-4.351,-44.117,-5.661,5.862,-0.0112,swarm_75_88.pdb
top_9_A,A,top_9_B,B,-0.44,-20.45,-26.7582,-44.23,-18.3,-13.684,-31.066,-7.817,1.973,0.0654,swarm_295_173.pdb
top_10_A,A,top_10_B,B,-3.86,-21.31,-30.3535,-20.9,-3.28,-10.369,-4.628,-11.256,4.86,-0.1339,swarm_307_44.pdb
top_11_A,A,top_11_B,B,1.22,-16.93,-25.2884,61.08,41.55,7.339,26.475,25.633,-1.393,0.0117,swarm_51_0.pdb
top_12_A,A,top_12_B,B,-3.44,-22.34,-29.3732,-61.78,-4.93,-0.976,-37.049,-1.054,-1.331,0.0288,swarm_3_8.pdb
top_13_A,A,top_13_B,B,-0.24,-19.82,-27.6197,-10.94,-16.3,-6.338,-33.045,-0.864,2.532,-0.2701,swarm_26_40.pdb
top_14_A,A,top_14_B,B,0.64,-17.98,-27.2464,-20.26,-23.89,-4.386,-6.297,3.526,-1.067,-0.0285,swarm_115_50.pdb
top_15_A,A,top_15_B,B,-0.02,-17.21,-25.1169,-33.32,-12.99,-15.327,-35.943,-4.123,4.397,-0.0344,swarm_51_198.pdb
top_16_A,A,top_16_B,B,-1.8,-19.84,-26.6191,-37.93,-20.4,-4.758,-46.079,-0.696,3.871,-0.1829,swarm_276_189.pdb
top_17_A,A,top_17_B,B,4.98,-18.16,-26.6526,-11.21,10.77,4.547,-76.214,14.414,-6.981,0.1132,swarm_133_55.pdb
top_18_A,A,top_18_B,B,1.08,-15.84,-24.0598,-9.36,-22.63,-9.282,-22.58,4.424,1.688,-0.0258,swarm_321_182.pdb
top_19_A,A,top_19_B,B,-2.96,-18.89,-26.2546,2.51,23.93,-9.286,-24.222,1.757,2.273,0.1771,swarm_208_144.pdb
top_20_A,A,top_20_B,B,1.06,-18.87,-27.3613,-0.88,29.87,-2.828,-43.698,-2.709,-0.092,-0.0857,swarm_115_191.pdb
top_21_A,A,top_21_B,B,-3.82,-20.57,-28.7091,-46.27,-19.48,-12.443,-9.018,-3.608,4.327,-0.0831,swarm_140_61.pdb
top_22_A,A,top_22_B,B,-1.06,-15.96,-23.6675,22.31,-5.39,5.066,-40.296,6.035,-0.496,-0.0692,swarm_304_90.pdb
top_23_A,A,top_23_B,B,5.24,-18.37,-28.9052,6.09,20.61,-2.958,-51.221,0.615,-0.547,-0.1158,swarm_97_32.pdb
top_24_A,A,top_24_B,B,-4.8,-17.29,-26.9191,-17.35,12.04,-7.154,-28.136,-3.129,3.109,0.0362,swarm_20_120.pdb
top_25_A,A,top_25_B,B,2.2,-17.45,-24.5096,15.84,4.4,-1.947,-19.303,-2.9,-0.705,-0.0298,swarm_143_19.pdb
top_26_A,A,top_26_B,B,0.38,-18.77,-25.7936,7.98,9.77,13.851,-33.798,27.155,1.267,0.0379,swarm_129_77.pdb
top_27_A,A,top_27_B,B,1.08,-15.2,-23.3122,-11.0,-16.26,1.755,-38.481,12.725,0.419,-0.0298,swarm_204_134.pdb
top_28_A,A,top_28_B,B,-1.92,-20.39,-26.7688,-24.36,-26.68,-10.403,-29.56,-7.439,4.807,-0.2565,swarm_54_38.pdb
top_29_A,A,top_29_B,B,2.88,-14.87,-25.0306,-2.17,8.25,-2.617,-37.662,6.782,-0.369,-0.0405,swarm_257_17.pdb
top_30_A,A,top_30_B,B,3.5,-21.98,-29.5335,10.54,3.5,-12.205,-11.6,-12.358,-1.185,-0.0396,swarm_78_114.pdb
top_31_A,A,top_31_B,B,-1.68,-24.92,-31.2516,-20.03,8.77,-10.1,-33.8,-10.514,3.16,-0.0996,swarm_202_95.pdb
top_32_A,A,top_32_B,B,-1.6,-18.65,-25.3682,2.83,9.98,4.312,-39.246,13.448,4.188,0.1781,swarm_285_194.pdb
top_33_A,A,top_33_B,B,-0.4,-17.18,-24.1063,-34.16,-12.43,-5.87,-55.066,1.031,4.466,-0.0968,swarm_193_139.pdb
top_34_A,A,top_34_B,B,-1.54,-19.17,-27.8583,45.2,31.37,-9.417,8.378,0.398,2.257,0.034,swarm_107_92.pdb
top_35_A,A,top_35_B,B,-1.26,-14.39,-24.5301,59.15,42.22,2.087,4.995,11.47,-1.543,-0.0096,swarm_276_152.pdb
top_36_A,A,top_36_B,B,-5.66,-16.35,-23.9504,-0.1,-3.3,7.921,13.374,23.608,2.587,-0.0078,swarm_61_64.pdb
top_37_A,A,top_37_B,B,0.44,-23.6,-28.1801,-20.3,-15.91,-9.648,-38.107,-18.358,0.104,-0.1442,swarm_57_164.pdb
top_38_A,A,top_38_B,B,3.56,-19.36,-26.5506,-10.23,-12.67,-9.445,-20.058,-11.123,1.245,-0.2437,swarm_212_124.pdb
top_39_A,A,top_39_B,B,-1.18,-13.75,-24.0645,77.7,46.7,-6.391,37.734,17.021,1.191,0.0874,swarm_310_150.pdb
top_40_A,A,top_40_B,B,1.26,-17.47,-24.925,-30.98,2.95,-3.762,-42.95,5.775,0.601,-0.1289,swarm_283_109.pdb
top_41_A,A,top_41_B,B,0.54,-16.41,-24.471,-56.64,-28.22,8.151,-54.731,10.132,-1.351,-0.0029,swarm_204_22.pdb
top_42_A,A,top_42_B,B,0.3,-16.71,-25.0515,-62.94,-15.3,-7.636,-40.869,-6.095,4.986,-0.1392,swarm_270_66.pdb
top_43_A,A,top_43_B,B,-0.22,-19.49,-26.2927,-56.31,-21.49,-17.209,-26.782,-21.451,1.293,-0.2608,swarm_153_76.pdb
top_44_A,A,top_44_B,B,-0.34,-19.44,-25.0659,-44.14,1.89,-11.815,-45.086,-11.18,6.172,-0.0916,swarm_143_137.pdb
top_45_A,A,top_45_B,B,-6.12,-11.84,-19.804,56.8,39.96,5.103,79.177,29.189,6.097,-0.014,swarm_230_64.pdb
top_46_A,A,top_46_B,B,-2.14,-18.01,-24.7334,1.96,16.84,-6.817,-32.159,-17.455,3.556,0.0724,swarm_61_77.pdb
top_47_A,A,top_47_B,B,-0.64,-20.54,-25.0458,13.49,2.94,-7.196,-11.134,-1.23,1.17,0.0236,swarm_315_188.pdb
top_48_A,A,top_48_B,B,-4.52,-14.38,-23.3376,36.22,-3.11,0.881,-30.555,1.455,-0.788,-0.0462,swarm_120_108.pdb
top_49_A,A,top_49_B,B,2.84,-15.79,-22.9024,-41.64,-16.68,7.688,-45.674,27.822,0.66,0.0548,swarm_213_172.pdb
top_50_A,A,top_50_B,B,-5.62,-15.92,-20.9333,14.86,12.7,5.868,10.701,7.504,4.492,-0.1779,swarm_318_32.pdb
top_51_A,A,top_51_B,B,0.94,-16.34,-23.2507,-27.52,13.9,16.786,-41.617,32.096,1.895,0.1156,swarm_101_11.pdb
top_52_A,A,top_52_B,B,-2.36,-19.02,-25.6556,-72.11,-25.21,-2.744,-36.404,-0.966,5.711,-0.1681,swarm_23_107.pdb
top_53_A,A,top_53_B,B,1.5,-15.86,-22.9393,-6.26,-6.63,-14.49,-46.797,-8.335,-1.385,-0.0094,swarm_24_109.pdb
top_54_A,A,top_54_B,B,-1.28,-16.79,-23.9679,-59.46,3.5,-4.133,-15.46,5.906,-2.892,0.2353,swarm_170_1.pdb
top_55_A,A,top_55_B,B,2.14,-17.35,-25.4613,-10.81,-1.43,2.263,-30.445,15.247,-0.882,-0.2143,swarm_102_0.pdb
top_56_A,A,top_56_B,B,-3.8,-14.8,-22.7172,29.85,27.72,-11.859,-22.322,-16.041,2.744,0.0602,swarm_96_139.pdb
top_57_A,A,top_57_B,B,-2.0,-15.17,-23.0415,-5.65,1.18,-9.311,-12.591,-1.305,1.487,-0.1433,swarm_3_126.pdb
top_58_A,A,top_58_B,B,-1.34,-15.88,-23.282,-19.88,-8.68,-11.472,-2.785,-8.843,2.413,-0.0555,swarm_307_196.pdb
top_59_A,A,top_59_B,B,6.92,-18.32,-25.0265,21.43,35.77,8.785,53.948,4.438,3.75,0.0286,swarm_26_28.pdb
top_60_A,A,top_60_B,B,-1.02,-16.05,-22.7561,-30.87,-2.08,-21.867,-50.771,-21.052,4.295,-0.1631,swarm_22_6.pdb
top_61_A,A,top_61_B,B,-1.92,-14.53,-25.709,3.9,13.76,-13.934,-10.307,-8.309,1.811,-0.0175,swarm_26_153.pdb
top_62_A,A,top_62_B,B,1.42,-20.54,-26.9508,-18.23,-15.74,-6.973,-51.5,-12.449,4.649,-0.0352,swarm_61_158.pdb
top_63_A,A,top_63_B,B,-3.26,-16.07,-25.4288,26.48,7.53,-4.52,0.171,8.348,2.505,-0.0339,swarm_257_101.pdb
top_64_A,A,top_64_B,B,2.16,-16.3,-23.1864,-20.66,-13.2,-5.143,-58.82,4.696,2.552,0.0342,swarm_150_147.pdb
top_65_A,A,top_65_B,B,1.34,-14.15,-22.057,72.22,32.5,-0.47,6.136,18.993,0.638,0.0444,swarm_78_101.pdb
top_66_A,A,top_66_B,B,0.8,-14.81,-24.3689,-42.47,-5.51,-5.225,-55.72,-11.492,1.632,-0.0893,swarm_96_159.pdb
top_67_A,A,top_67_B,B,2.22,-12.2,-21.9926,83.62,86.04,-18.521,13.363,0.08,4.306,-0.1422,swarm_260_14.pdb
top_68_A,A,top_68_B,B,-4.88,-16.47,-21.4457,-14.3,-9.73,-3.839,-22.621,-3.699,2.246,-0.0514,swarm_295_119.pdb
top_69_A,A,top_69_B,B,0.46,-15.48,-24.0255,-45.75,0.89,-7.396,-47.305,-8.349,0.431,-0.1402,swarm_187_113.pdb
top_70_A,A,top_70_B,B,-1.3,-16.48,-23.9896,23.54,19.51,8.128,2.688,13.785,1.192,-0.0854,swarm_104_155.pdb
top_71_A,A,top_71_B,B,-2.22,-16.86,-24.7584,22.22,23.71,6.201,-32.663,16.401,-0.152,-0.0998,swarm_313_0.pdb
top_72_A,A,top_72_B,B,3.48,-13.69,-23.8173,-26.19,-5.45,-3.028,-25.541,5.66,1.662,-0.0128,swarm_260_159.pdb
top_73_A,A,top_73_B,B,-3.56,-12.9,-21.802,21.91,22.61,7.332,-17.033,17.246,-0.16,-0.0436,swarm_134_19.pdb
top_74_A,A,top_74_B,B,-2.18,-15.82,-22.8619,-12.28,-14.58,-11.459,-35.587,-2.424,4.898,0.0739,swarm_213_91.pdb
top_75_A,A,top_75_B,B,-0.2,-16.78,-25.0505,-48.24,-7.89,-13.744,-38.627,-15.788,5.038,0.0606,swarm_97_66.pdb
top_76_A,A,top_76_B,B,-2.78,-16.16,-23.1299,-34.92,-29.92,-11.025,-23.348,-5.694,-1.153,-0.2398,swarm_184_36.pdb
top_77_A,A,top_77_B,B,-0.42,-14.99,-22.157,-22.29,23.2,-4.795,-45.879,-3.326,-0.719,-0.1721,swarm_310_63.pdb
top_78_A,A,top_78_B,B,0.62,-16.03,-24.2351,-52.04,-31.37,-14.542,-19.556,-11.36,3.092,-0.1122,swarm_22_45.pdb
top_79_A,A,top_79_B,B,0.5,-18.21,-24.2833,-3.82,1.65,18.33,-53.583,34.565,-2.453,-0.0399,swarm_149_185.pdb
