pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,7.58,-32.58,-57.526,5.73,30.52,-15.747,-43.795,1.563,-2.419,0.2533,swarm_237_184.pdb
top_2_A,A,top_2_B,B,10.9,-36.38,-69.149,-30.52,24.12,-20.09,-94.386,-12.029,-1.761,-0.1404,swarm_180_37.pdb
top_3_A,A,top_3_B,B,-2.4,-37.19,-54.571,0.94,-0.18,-20.871,-48.161,-16.468,1.743,-0.0736,swarm_457_102.pdb
top_4_A,A,top_4_B,B,-6.26,-36.73,-58.788,-41.63,-33.01,-22.144,-50.187,-35.955,7.219,-0.0499,swarm_362_42.pdb
top_5_A,A,top_5_B,B,13.22,-39.76,-74.047,-1.46,40.59,-41.481,-72.912,-4.793,-9.392,0.0813,swarm_298_28.pdb
top_6_A,A,top_6_B,B,9.44,-29.69,-54.57,-87.69,-27.01,-17.408,-97.16,19.836,-1.22,0.0672,swarm_121_117.pdb
top_7_A,A,top_7_B,B,-3.52,-34.48,-58.283,-109.79,-25.09,-22.636,-64.812,-38.609,8.48,-0.3577,swarm_3_74.pdb
top_8_A,A,top_8_B,B,-0.46,-33.05,-56.928,-6.11,-0.79,-24.91,1.812,-20.937,2.929,-0.2576,swarm_3_78.pdb
top_9_A,A,top_9_B,B,2.96,-23.14,-48.425,44.71,41.94,-15.149,-10.03,21.67,2.177,0.1253,swarm_353_147.pdb
top_10_A,A,top_10_B,B,9.94,-29.83,-55.184,-71.62,-22.28,-22.472,-97.912,-8.974,0.148,-0.1254,swarm_229_138.pdb
top_11_A,A,top_11_B,B,-5.84,-34.41,-51.237,-146.56,-46.96,-23.582,-64.703,-38.87,7.406,-0.2861,swarm_146_165.pdb
top_12_A,A,top_12_B,B,7.5,-28.38,-57.138,-19.81,-17.92,-22.506,-131.244,24.081,0.307,-0.1233,swarm_46_62.pdb
top_13_A,A,top_13_B,B,10.66,-28.84,-60.355,-38.68,20.22,-17.604,-51.1,-3.241,5.972,-0.2587,swarm_108_24.pdb
top_14_A,A,top_14_B,B,4.06,-27.65,-54.263,-52.85,-19.25,-19.385,-64.058,-10.168,2.919,-0.0877,swarm_421_112.pdb
top_15_A,A,top_15_B,B,12.98,-52.67,-77.759,-25.25,11.39,-19.978,-6.596,-24.077,-0.516,-0.1937,swarm_108_89.pdb
top_16_A,A,top_16_B,B,14.12,-20.5,-53.521,27.92,57.16,-19.796,-65.015,14.709,-6.788,0.054,swarm_337_83.pdb
top_17_A,A,top_17_B,B,11.16,-33.84,-54.14,21.57,37.98,-48.468,-52.416,-18.909,-1.413,-0.097,swarm_364_169.pdb
top_18_A,A,top_18_B,B,-6.66,-29.58,-50.267,-96.75,-55.19,-27.47,-56.817,-40.661,6.748,-0.1445,swarm_291_38.pdb
top_19_A,A,top_19_B,B,8.86,-35.2,-57.284,-20.27,3.32,-20.684,-65.317,5.886,-3.977,0.0001,swarm_373_2.pdb
top_20_A,A,top_20_B,B,7.56,-28.37,-48.229,-90.7,-33.26,-29.642,-86.635,-16.763,-0.983,-0.2297,swarm_353_36.pdb
top_21_A,A,top_21_B,B,9.62,-24.35,-48.137,-29.15,-37.33,-34.866,-46.655,-7.878,-2.626,-0.1236,swarm_3_157.pdb
top_22_A,A,top_22_B,B,10.8,-27.98,-52.518,-21.5,31.65,-13.963,-71.124,1.549,-5.17,-0.0797,swarm_47_61.pdb
top_23_A,A,top_23_B,B,7.62,-23.36,-49.671,-17.21,-16.2,-10.368,-86.2,3.744,0.464,-0.0314,swarm_131_19.pdb
top_24_A,A,top_24_B,B,7.1,-27.25,-50.149,68.14,35.67,-21.536,-2.602,8.981,-2.358,-0.0104,swarm_0_71.pdb
top_25_A,A,top_25_B,B,18.98,-31.18,-68.156,57.09,61.4,-31.44,-25.817,40.017,-16.531,0.2676,swarm_353_161.pdb
top_26_A,A,top_26_B,B,2.94,-28.61,-49.67,-84.72,-40.83,-26.197,-99.849,-30.851,6.28,-0.3487,swarm_280_40.pdb
top_27_A,A,top_27_B,B,0.74,-29.15,-46.527,-65.82,-7.2,-21.4,-7.738,-20.07,4.431,-0.2552,swarm_230_53.pdb
top_28_A,A,top_28_B,B,20.24,-41.51,-80.221,254.08,201.06,-38.05,116.804,11.077,-15.108,0.4218,swarm_280_163.pdb
top_29_A,A,top_29_B,B,-1.12,-35.99,-62.993,57.51,52.81,-35.731,47.708,-31.156,0.675,-0.0196,swarm_244_73.pdb
top_30_A,A,top_30_B,B,11.94,-31.26,-57.027,-7.37,13.81,-19.638,-71.562,3.279,-6.705,-0.1936,swarm_352_72.pdb
top_31_A,A,top_31_B,B,9.26,-18.56,-45.049,35.43,41.65,-10.293,-45.121,29.758,2.453,0.2296,swarm_451_8.pdb
top_32_A,A,top_32_B,B,11.36,-20.87,-48.88,-15.09,10.27,-4.171,-32.222,6.921,-3.705,-0.0349,swarm_337_142.pdb
top_33_A,A,top_33_B,B,11.52,-26.62,-52.499,39.71,28.5,-5.209,-67.413,21.869,-4.394,-0.0303,swarm_316_58.pdb
top_34_A,A,top_34_B,B,4.66,-27.92,-48.423,-26.01,-9.36,-27.874,-87.197,-41.226,7.335,-0.1319,swarm_108_64.pdb
top_35_A,A,top_35_B,B,10.32,-19.6,-44.569,139.42,79.86,-34.507,79.643,16.236,-4.81,0.104,swarm_108_143.pdb
top_36_A,A,top_36_B,B,9.18,-21.09,-45.067,15.13,12.43,-28.528,-69.356,9.567,4.756,0.0933,swarm_421_126.pdb
