pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,5.2,-23.04,-37.428,4.44,15.4,-14.281,-58.705,-19.084,8.277,-0.179,swarm_28_177.pdb
top_2_A,A,top_2_B,B,0.52,-28.26,-36.173,-74.85,-33.42,-18.853,-56.867,-51.392,5.96,-0.1449,swarm_185_53.pdb
top_3_A,A,top_3_B,B,6.08,-20.99,-35.544,-53.16,13.75,-22.072,-67.334,-11.861,-1.219,0.2255,swarm_8_80.pdb
top_4_A,A,top_4_B,B,5.56,-21.9,-33.112,24.16,41.13,-24.208,-54.723,-13.77,-3.864,0.039,swarm_172_1.pdb
top_5_A,A,top_5_B,B,1.86,-17.47,-34.406,24.63,39.52,-35.012,4.016,-28.787,-4.632,-0.0567,swarm_89_28.pdb
top_6_A,A,top_6_B,B,0.12,-22.62,-32.093,-49.48,-0.49,-13.992,-83.79,-24.979,0.651,0.0168,swarm_123_96.pdb
top_7_A,A,top_7_B,B,3.58,-18.42,-32.775,15.54,51.0,-20.89,76.416,-0.923,6.021,-0.0871,swarm_100_112.pdb
top_8_A,A,top_8_B,B,-0.38,-19.99,-32.027,-81.89,-20.4,-8.899,-9.177,-9.736,6.955,-0.1125,swarm_81_116.pdb
top_9_A,A,top_9_B,B,4.84,-27.59,-36.286,-45.18,-16.87,3.818,-54.08,-3.734,0.329,-0.1013,swarm_178_34.pdb
top_10_A,A,top_10_B,B,0.72,-15.17,-31.301,-38.12,-10.76,-21.46,-25.894,-1.102,-3.784,-0.1708,swarm_170_17.pdb
top_11_A,A,top_11_B,B,3.04,-21.94,-34.792,-30.3,-7.23,-8.612,-52.605,-15.973,12.164,-0.283,swarm_222_115.pdb
top_12_A,A,top_12_B,B,7.5,-9.52,-25.241,110.9,64.66,-17.625,106.833,7.503,3.873,-0.0224,swarm_110_73.pdb
