pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,7.34,-34.22,-52.472,-12.69,-9.05,-13.453,-49.705,-13.139,4.315,-0.1669,swarm_258_62.pdb
top_2_A,A,top_2_B,B,-0.04,-27.51,-43.725,24.88,20.12,3.411,-46.678,11.344,6.618,0.0884,swarm_275_82.pdb
top_3_A,A,top_3_B,B,0.26,-27.96,-49.984,-41.76,-9.76,-18.197,-13.011,-15.422,9.383,-0.0853,swarm_258_38.pdb
top_4_A,A,top_4_B,B,6.64,-21.43,-41.342,-16.15,6.17,-16.4,-58.059,-13.96,7.748,-0.0828,swarm_83_24.pdb
top_5_A,A,top_5_B,B,-2.08,-29.71,-43.338,-62.3,-2.4,-4.807,-51.983,-14.388,14.218,-0.1029,swarm_275_107.pdb
top_6_A,A,top_6_B,B,4.42,-24.5,-40.346,49.55,9.85,-13.819,-43.305,6.785,7.65,-0.0643,swarm_269_70.pdb
top_7_A,A,top_7_B,B,-3.28,-25.37,-40.814,-15.62,21.13,-14.946,-36.176,-54.276,11.393,-0.2055,swarm_38_17.pdb
top_8_A,A,top_8_B,B,-2.72,-26.04,-42.658,-26.18,-8.24,-10.078,-75.417,-7.761,5.726,-0.1963,swarm_266_29.pdb
top_9_A,A,top_9_B,B,-0.36,-25.77,-38.093,-76.98,-28.33,-4.414,-56.126,-1.98,6.584,-0.1618,swarm_104_53.pdb
top_10_A,A,top_10_B,B,11.4,-28.06,-46.098,-22.91,1.08,-27.005,-100.11,-18.027,1.031,-0.1157,swarm_10_54.pdb
top_11_A,A,top_11_B,B,0.06,-25.34,-41.194,17.51,29.6,-6.28,4.921,0.46,1.734,0.1632,swarm_214_178.pdb
top_12_A,A,top_12_B,B,-10.78,-26.34,-47.042,-6.11,39.51,-16.349,70.019,-17.497,13.297,-0.2021,swarm_140_66.pdb
top_13_A,A,top_13_B,B,0.52,-28.91,-41.257,-66.92,-24.52,-16.347,-83.083,-36.612,9.587,-0.0962,swarm_265_68.pdb
top_14_A,A,top_14_B,B,2.94,-29.61,-40.559,-36.32,-9.62,-28.248,-94.892,-33.709,15.005,-0.0306,swarm_269_36.pdb
top_15_A,A,top_15_B,B,5.74,-24.79,-36.977,24.54,40.21,-16.688,31.464,-12.627,3.372,-0.1022,swarm_133_156.pdb
top_16_A,A,top_16_B,B,0.36,-25.16,-42.193,-56.31,-19.26,1.746,-25.916,-15.932,13.987,-0.1592,swarm_148_120.pdb
top_17_A,A,top_17_B,B,10.18,-22.68,-40.489,-45.2,-5.9,7.622,-67.37,5.037,7.002,-0.0422,swarm_64_145.pdb
top_18_A,A,top_18_B,B,-0.36,-26.93,-43.15,-19.49,26.67,-16.049,-20.262,-36.867,8.019,-0.1422,swarm_258_168.pdb
top_19_A,A,top_19_B,B,-2.88,-23.74,-37.27,-29.42,0.58,-9.099,-37.158,-27.882,6.854,-0.0651,swarm_255_144.pdb
top_20_A,A,top_20_B,B,-0.38,-21.41,-41.854,-3.94,18.06,10.946,-37.762,-1.521,10.988,0.0054,swarm_206_40.pdb
top_21_A,A,top_21_B,B,9.14,-22.09,-40.669,42.58,24.38,-0.368,-29.856,3.168,15.2,0.0422,swarm_151_193.pdb
top_22_A,A,top_22_B,B,6.4,-22.83,-40.397,-64.2,-23.78,-11.573,-87.626,-12.407,11.86,-0.1884,swarm_174_46.pdb
top_23_A,A,top_23_B,B,6.86,-21.14,-38.055,-23.74,-10.27,19.168,-37.162,8.458,7.687,-0.0425,swarm_12_61.pdb
top_24_A,A,top_24_B,B,-4.22,-25.21,-39.45,41.44,58.13,-13.841,129.318,-15.317,9.694,-0.1367,swarm_60_58.pdb
top_25_A,A,top_25_B,B,1.94,-14.52,-34.542,68.33,78.32,4.536,125.877,4.84,0.185,0.1795,swarm_281_75.pdb
top_26_A,A,top_26_B,B,-2.84,-26.81,-38.69,-32.69,-13.9,-14.753,-29.553,-11.398,7.201,0.018,swarm_214_16.pdb
top_27_A,A,top_27_B,B,0.94,-22.57,-39.273,-24.06,18.04,9.043,-39.681,0.417,3.776,0.207,swarm_13_197.pdb
