pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,2.96,-33.58,-44.474,24.5,37.61,-30.064,-16.516,-31.562,1.42,-0.2439,swarm_181_139.pdb
top_2_A,A,top_2_B,B,-0.84,-31.57,-40.284,-67.02,-16.72,-21.017,-60.503,-36.139,0.987,-0.0897,swarm_100_150.pdb
top_3_A,A,top_3_B,B,4.6,-16.53,-34.61,24.26,22.65,-20.04,-37.841,8.959,-1.85,-0.0169,swarm_135_103.pdb
top_4_A,A,top_4_B,B,1.68,-19.05,-34.683,-33.45,-17.35,-18.553,-53.272,-1.366,-4.756,0.0233,swarm_114_155.pdb
top_5_A,A,top_5_B,B,7.08,-19.66,-32.631,-19.79,-15.12,-13.603,-11.747,-12.691,-3.33,-0.0776,swarm_88_59.pdb
top_6_A,A,top_6_B,B,1.28,-12.02,-29.469,-29.91,-9.29,-25.209,-10.133,5.931,0.229,-0.1815,swarm_231_138.pdb
top_7_A,A,top_7_B,B,3.18,-6.8,-20.835,78.32,61.76,-9.808,157.697,13.606,-2.664,0.1429,swarm_88_135.pdb
top_8_A,A,top_8_B,B,-0.56,-21.59,-31.705,38.81,51.92,-14.005,20.761,-18.114,1.615,-0.188,swarm_157_117.pdb
top_9_A,A,top_9_B,B,2.18,-21.71,-31.659,-38.42,-10.82,-1.704,-37.74,-7.6,1.599,0.0265,swarm_88_126.pdb
top_10_A,A,top_10_B,B,11.86,-10.43,-29.339,52.89,49.66,-24.531,42.781,8.337,-6.711,0.2293,swarm_226_154.pdb
top_11_A,A,top_11_B,B,7.36,-19.08,-36.937,58.1,39.02,-21.339,44.942,8.096,-6.458,0.1104,swarm_135_53.pdb
top_12_A,A,top_12_B,B,7.34,-16.35,-38.053,2.78,48.41,-9.193,21.039,22.351,-4.359,0.2904,swarm_210_52.pdb
top_13_A,A,top_13_B,B,3.72,-11.89,-28.675,12.25,28.36,-16.126,28.559,9.409,-3.057,0.0587,swarm_213_72.pdb
top_14_A,A,top_14_B,B,3.62,-18.77,-30.923,-12.86,-1.55,-10.271,-40.502,-8.659,-0.693,-0.0574,swarm_34_45.pdb
top_15_A,A,top_15_B,B,1.3,-15.84,-27.142,-5.79,12.61,-2.59,15.011,12.05,3.361,0.0024,swarm_144_128.pdb
top_16_A,A,top_16_B,B,2.74,-17.65,-30.203,-4.66,7.91,-12.448,-31.371,-8.174,-2.28,-0.0893,swarm_58_29.pdb
top_17_A,A,top_17_B,B,0.6,-24.92,-35.236,-62.1,-25.79,-12.43,-57.142,-9.065,-0.737,-0.1032,swarm_120_117.pdb
top_18_A,A,top_18_B,B,1.8,-21.6,-34.651,-19.61,12.69,-25.38,-10.198,-5.951,1.304,-0.0588,swarm_88_133.pdb
top_19_A,A,top_19_B,B,0.76,-24.61,-33.373,-6.26,21.14,-6.255,-52.019,-0.269,-0.463,0.0375,swarm_197_161.pdb
top_20_A,A,top_20_B,B,-3.4,-13.37,-22.38,89.52,37.96,-15.676,89.538,5.191,-0.574,0.0037,swarm_127_93.pdb
top_21_A,A,top_21_B,B,6.36,-17.41,-32.636,-30.96,-3.48,-22.968,-17.618,-6.728,-4.344,-0.0061,swarm_62_72.pdb
top_22_A,A,top_22_B,B,6.34,-14.83,-29.594,16.75,10.66,-10.77,-28.201,6.614,-5.851,0.0278,swarm_3_81.pdb
top_23_A,A,top_23_B,B,5.38,-18.19,-33.714,-41.68,20.91,-12.035,-39.471,-4.92,-4.487,-0.0682,swarm_9_138.pdb
top_24_A,A,top_24_B,B,2.64,-20.87,-34.108,-38.67,-7.48,-7.064,-49.908,3.199,-1.908,0.1995,swarm_164_120.pdb
top_25_A,A,top_25_B,B,7.26,-20.95,-34.302,-30.92,-19.51,-2.292,-52.756,-2.975,-1.466,0.1238,swarm_120_116.pdb
top_26_A,A,top_26_B,B,6.66,-20.59,-29.982,43.76,27.63,0.993,10.494,9.46,-1.563,0.0248,swarm_49_163.pdb
top_27_A,A,top_27_B,B,3.94,-14.26,-25.513,21.98,16.77,-8.0,34.677,17.521,-4.858,-0.1224,swarm_165_87.pdb
top_28_A,A,top_28_B,B,5.92,-17.87,-28.563,7.94,14.46,-16.35,-48.268,-16.305,-0.333,-0.1004,swarm_183_23.pdb
top_29_A,A,top_29_B,B,3.54,-17.1,-30.689,-15.7,7.88,-6.064,-4.215,8.79,0.229,-0.0791,swarm_164_146.pdb
