pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,12.48,-36.06,-62.608,-62.88,-12.75,-31.985,-121.325,7.115,-9.273,0.096,swarm_622_145.pdb
top_2_A,A,top_2_B,B,9.7,-27.29,-55.135,27.85,53.33,-14.985,46.318,15.289,-2.917,-0.2436,swarm_480_150.pdb
top_3_A,A,top_3_B,B,11.18,-32.83,-56.083,-47.45,-7.43,-17.99,-110.378,7.227,-6.599,0.1205,swarm_541_139.pdb
top_4_A,A,top_4_B,B,16.14,-29.32,-55.411,-12.42,16.9,-15.908,-91.72,19.501,-7.715,0.1668,swarm_42_17.pdb
top_5_A,A,top_5_B,B,9.16,-32.76,-52.065,37.5,19.61,-8.493,33.992,12.048,-2.252,0.2051,swarm_482_73.pdb
top_6_A,A,top_6_B,B,4.26,-31.53,-48.384,-51.98,-28.67,-30.495,-78.278,-15.883,0.013,-0.2985,swarm_327_172.pdb
top_7_A,A,top_7_B,B,12.58,-33.1,-54.154,39.23,53.02,-22.655,-36.732,19.738,-6.728,0.1187,swarm_704_44.pdb
top_8_A,A,top_8_B,B,3.3,-36.56,-57.247,-113.18,-32.99,-31.479,-56.121,-23.318,-0.079,-0.2093,swarm_720_84.pdb
top_9_A,A,top_9_B,B,7.68,-32.47,-53.139,-62.32,-26.04,-17.314,-94.445,0.562,0.723,-0.1469,swarm_408_77.pdb
top_10_A,A,top_10_B,B,6.24,-21.54,-44.463,-14.27,29.88,-20.818,-52.929,-1.953,-4.189,-0.1471,swarm_683_27.pdb
top_11_A,A,top_11_B,B,10.82,-24.23,-45.777,-39.06,-20.34,-8.248,-79.775,14.311,-0.311,0.2073,swarm_264_146.pdb
top_12_A,A,top_12_B,B,10.86,-32.61,-52.965,91.75,52.55,-28.818,-32.84,-3.833,-9.908,0.0718,swarm_327_66.pdb
top_13_A,A,top_13_B,B,3.94,-29.5,-52.237,-1.12,2.9,-16.563,-63.499,11.625,-2.432,0.0116,swarm_404_70.pdb
top_14_A,A,top_14_B,B,7.58,-34.15,-51.396,-11.96,16.89,-12.911,-113.419,-13.329,-2.883,-0.0531,swarm_516_155.pdb
